trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.390662082,9.999999747378752e-06,1.0,0,0.26817288994789124,1736758974.2101023,,,,,,
1,1,29.141954369,9.999999747378752e-06,2.0,0,0.512165367603302,1736758974.9613829,,,,,,
2,2,29.897507772,9.999999747378752e-06,3.0,0,0.3004593551158905,1736758975.716951,,,,,,
3,3,30.650533393,9.999999747378752e-06,4.0,0,0.33158954977989197,1736758976.4699752,,,,,,
4,4,31.406378647,9.999999747378752e-06,5.0,0,0.2903101146221161,1736758977.225852,,,,,,
5,5,32.159395341,9.999999747378752e-06,6.0,0,0.2501499056816101,1736758977.978824,,,,,,
6,6,32.913221136,9.999999747378752e-06,7.0,0,0.20155690610408783,1736758978.7326632,,,,,,
7,7,33.667043117,9.999999747378752e-06,8.0,0,0.1956891119480133,1736758979.4864714,,,,,,
8,8,34.421238417,9.999999747378752e-06,9.0,0,0.17341502010822296,1736758980.2406688,,,,,,
9,9,35.177783791,9.999999747378752e-06,10.0,0,0.22051748633384705,1736758980.9972234,,,,,,
10,10,35.932322536,9.999999747378752e-06,11.0,0,0.2033349722623825,1736758981.7517638,,,,,,
11,11,36.686848231,9.999999747378752e-06,12.0,0,0.2619725465774536,1736758982.5062785,,,,,,
12,12,37.444548952,9.999999747378752e-06,13.0,0,0.23162566125392914,1736758983.2639961,,,,,,
13,13,38.199693469,9.999999747378752e-06,14.0,0,0.23110345005989075,1736758984.0191495,,,,,,
14,14,38.955028538,9.999999747378752e-06,15.0,0,0.1819383203983307,1736758984.7744544,,,,,,
15,15,39.711008917,9.999999747378752e-06,16.0,0,0.21025700867176056,1736758985.5304532,,,,,,
16,16,40.468253592,9.999999747378752e-06,17.0,0,0.20766930282115936,1736758986.2876964,,,,,,
17,17,41.224492087,9.999999747378752e-06,18.0,0,0.11745277792215347,1736758987.0439496,,,,,,
18,18,41.985034214,9.999999747378752e-06,19.0,0,0.12087253481149673,1736758987.8044906,,,,,,
19,19,42.742887896,9.999999747378752e-06,20.0,0,0.15301500260829926,1736758988.562302,,,,,,
20,20,43.499864326,9.999999747378752e-06,21.0,0,0.25777050852775574,1736758989.3193047,,,,,,
21,21,44.257999509,9.999999747378752e-06,22.0,0,0.2534465193748474,1736758990.0774322,,,,,,
22,22,45.016163238,9.999999747378752e-06,23.0,0,0.1521889567375183,1736758990.8356178,,,,,,
23,23,45.774597961,9.999999747378752e-06,24.0,0,0.11988390237092972,1736758991.5940433,,,,,,
24,24,46.531375645,9.999999747378752e-06,25.0,0,0.16121695935726166,1736758992.3508441,,,,,,
25,25,47.293093903,9.999999747378752e-06,26.0,0,0.09656602144241333,1736758993.1125386,,,,,,
26,26,48.050662207,9.999999747378752e-06,27.0,0,0.08020113408565521,1736758993.8701177,,,,,,
27,27,48.810154756,9.999999747378752e-06,28.0,0,0.08807528018951416,1736758994.629588,,,,,,
28,28,49.56963429,9.999999747378752e-06,29.0,0,0.08768443763256073,1736758995.3890896,,,,,,
29,29,50.327639116,9.999999747378752e-06,30.0,0,0.063412144780159,1736758996.147062,,,,,,
30,30,51.086289845,9.999999747378752e-06,31.0,0,0.15890894830226898,1736758996.9057598,,,,,,
31,31,51.847536603,9.999999747378752e-06,32.0,0,0.22403359413146973,1736758997.666981,,,,,,
32,32,52.60732988,9.999999747378752e-06,33.0,0,0.2196369171142578,1736758998.426772,,,,,,
33,33,53.364793703,9.999999747378752e-06,34.0,0,0.35078108310699463,1736758999.184235,,,,,,
34,34,54.12538378,9.999999747378752e-06,35.0,0,0.12308377772569656,1736758999.9448068,,,,,,
35,35,54.885519056,9.999999747378752e-06,36.0,0,0.06097949296236038,1736759000.7049642,,,,,,
36,36,55.644063775,9.999999747378752e-06,37.0,0,0.02731151692569256,1736759001.4635098,,,,,,
37,37,56.40271857,9.999999747378752e-06,38.0,0,0.23089748620986938,1736759002.2221656,,,,,,
38,38,57.161070456,9.999999747378752e-06,39.0,0,0.1786951869726181,1736759002.980511,,,,,,
39,39,57.91965904,9.999999747378752e-06,40.0,0,0.10480448603630066,1736759003.7391076,,,,,,
40,40,58.678628674,9.999999747378752e-06,41.0,0,0.12543880939483643,1736759004.4980862,,,,,,
41,41,59.437555588,9.999999747378752e-06,42.0,0,0.3120230734348297,1736759005.2570047,,,,,,
42,42,60.196290998,9.999999747378752e-06,43.0,0,0.09104651212692261,1736759006.015744,,,,,,
43,43,60.95539702,9.999999747378752e-06,44.0,0,0.16423001885414124,1736759006.7748647,,,,,,
44,44,61.71561744,9.999999747378752e-06,45.0,0,0.2084813117980957,1736759007.5350637,,,,,,
45,45,62.474382184,9.999999747378752e-06,46.0,0,0.22514034807682037,1736759008.2938268,,,,,,
46,46,63.233209844,9.999999747378752e-06,47.0,0,0.17013153433799744,1736759009.0526574,,,,,,
47,47,63.993440676,9.999999747378752e-06,48.0,0,0.18190257251262665,1736759009.8128784,,,,,,
48,48,64.754092622,9.999999747378752e-06,49.0,0,0.1343645304441452,1736759010.5735354,,,,,,
49,49,65.514897942,9.999999747378752e-06,50.0,0,0.1658390909433365,1736759011.334189,,,,,,
50,50,66.276098211,9.999999747378752e-06,51.0,0,0.17160582542419434,1736759012.095547,,,,,,
51,51,67.037478131,9.999999747378752e-06,52.0,0,0.0807732418179512,1736759012.8569176,,,,,,
52,52,67.799567757,9.999999747378752e-06,53.0,0,0.07954014092683792,1736759013.6190138,,,,,,
53,53,68.561642832,9.999999747378752e-06,54.0,0,0.09898317605257034,1736759014.3810737,,,,,,
54,54,69.322527537,9.999999747378752e-06,55.0,0,0.12016337364912033,1736759015.1419635,,,,,,
55,55,70.08321726,9.999999747378752e-06,56.0,0,0.10270073264837265,1736759015.9026701,,,,,,
56,56,70.844370076,9.999999747378752e-06,57.0,0,0.0977112203836441,1736759016.6638463,,,,,,
57,57,71.606746478,9.999999747378752e-06,58.0,0,0.15053749084472656,1736759017.4261937,,,,,,
58,58,72.367839274,9.999999747378752e-06,59.0,0,0.05324563756585121,1736759018.1872768,,,,,,
59,59,73.13033449,9.999999747378752e-06,60.0,0,0.18782460689544678,1736759018.9497683,,,,,,
60,60,73.892561878,9.999999747378752e-06,61.0,0,0.1752537190914154,1736759019.71201,,,,,,
61,61,74.652691969,9.999999747378752e-06,62.0,0,0.09388229250907898,1736759020.4721484,,,,,,
62,62,75.413994706,9.999999747378752e-06,63.0,0,0.18901586532592773,1736759021.2334454,,,,,,
63,63,76.175385454,9.999999747378752e-06,64.0,0,0.16117362678050995,1736759021.994849,,,,,,
64,64,76.936044878,9.999999747378752e-06,65.0,0,0.14468605816364288,1736759022.7554944,,,,,,
65,65,77.696430931,9.999999747378752e-06,66.0,0,0.14310692250728607,1736759023.515878,,,,,,
66,66,78.458265557,9.999999747378752e-06,67.0,0,0.09589943289756775,1736759024.2777042,,,,,,
67,67,79.22027471,9.999999747378752e-06,68.0,0,0.15493127703666687,1736759025.039718,,,,,,
68,68,79.982832927,9.999999747378752e-06,69.0,0,0.0849413052201271,1736759025.8022792,,,,,,
69,69,80.745219107,9.999999747378752e-06,70.0,0,0.2081368863582611,1736759026.5646975,,,,,,
70,70,81.509433979,9.999999747378752e-06,71.0,0,0.02972971834242344,1736759027.3288689,,,,,,
71,71,82.271522854,9.999999747378752e-06,72.0,0,0.11885465681552887,1736759028.090975,,,,,,
72,72,83.033803918,9.999999747378752e-06,73.0,0,0.09035907685756683,1736759028.8532462,,,,,,
73,73,83.797315638,9.999999747378752e-06,74.0,0,0.12138129025697708,1736759029.6167583,,,,,,
74,74,84.559344698,9.999999747378752e-06,75.0,0,0.08633901923894882,1736759030.3787892,,,,,,
