trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.536701305,9.999999747378752e-06,1.0,0,2.0094478130340576,1736754552.2029188,,,,,,
1,1,27.285009854,9.999999747378752e-06,2.0,0,1.9378060102462769,1736754552.9512098,,,,,,
2,2,28.032108907,9.999999747378752e-06,3.0,0,2.0514745712280273,1736754553.698332,,,,,,
3,3,28.779738261,9.999999747378752e-06,4.0,0,1.5649046897888184,1736754554.445951,,,,,,
4,4,29.530613209,9.999999747378752e-06,5.0,0,1.7384909391403198,1736754555.1968238,,,,,,
5,5,30.279767831,9.999999747378752e-06,6.0,0,1.6557117700576782,1736754555.945995,,,,,,
6,6,31.027553196,9.999999747378752e-06,7.0,0,1.3518595695495605,1736754556.6938026,,,,,,
7,7,31.777432498,9.999999747378752e-06,8.0,0,1.4658746719360352,1736754557.443654,,,,,,
8,8,32.526259158,9.999999747378752e-06,9.0,0,1.695259928703308,1736754558.1925015,,,,,,
9,9,33.278795426,9.999999747378752e-06,10.0,0,1.270419716835022,1736754558.9450283,,,,,,
10,10,34.031640189,9.999999747378752e-06,11.0,0,1.316214919090271,1736754559.697877,,,,,,
11,11,34.783069664,9.999999747378752e-06,12.0,0,1.1035174131393433,1736754560.4492807,,,,,,
12,12,35.533989446,9.999999747378752e-06,13.0,0,1.2984174489974976,1736754561.2001927,,,,,,
13,13,36.286117861,9.999999747378752e-06,14.0,0,1.3190234899520874,1736754561.9523973,,,,,,
14,14,37.037387603,9.999999747378752e-06,15.0,0,1.1300747394561768,1736754562.7036147,,,,,,
15,15,37.788566474,9.999999747378752e-06,16.0,0,1.2586336135864258,1736754563.4547784,,,,,,
16,16,38.544424779,9.999999747378752e-06,17.0,0,1.050204873085022,1736754564.2106633,,,,,,
17,17,39.296024165,9.999999747378752e-06,18.0,0,1.0949974060058594,1736754564.9622626,,,,,,
18,18,40.048826475,9.999999747378752e-06,19.0,0,1.1280258893966675,1736754565.7150445,,,,,,
19,19,40.800216484,9.999999747378752e-06,20.0,0,1.039952278137207,1736754566.4664376,,,,,,
20,20,41.552858486,9.999999747378752e-06,21.0,0,1.1502572298049927,1736754567.2191017,,,,,,
21,21,42.305932029,9.999999747378752e-06,22.0,0,1.1173797845840454,1736754567.9721718,,,,,,
22,22,43.057447028,9.999999747378752e-06,23.0,0,1.068171739578247,1736754568.7236738,,,,,,
23,23,43.810406337,9.999999747378752e-06,24.0,0,0.9934208393096924,1736754569.476595,,,,,,
24,24,44.562283667,9.999999747378752e-06,25.0,0,0.9791714549064636,1736754570.2285206,,,,,,
25,25,45.314072776,9.999999747378752e-06,26.0,0,1.0383331775665283,1736754570.980305,,,,,,
26,26,46.067332172,9.999999747378752e-06,27.0,0,1.063890814781189,1736754571.7335787,,,,,,
27,27,46.819296917,9.999999747378752e-06,28.0,0,1.075332522392273,1736754572.4855065,,,,,,
28,28,47.570269446,9.999999747378752e-06,29.0,0,1.0553512573242188,1736754573.236515,,,,,,
29,29,48.318765951,9.999999747378752e-06,30.0,0,1.014175295829773,1736754573.9849858,,,,,,
30,30,49.067091203,9.999999747378752e-06,31.0,0,0.979236364364624,1736754574.7333133,,,,,,
31,31,49.620580041,9.999999747378752e-06,32.0,0,0.8797106146812439,1736754575.2868273,,,,,,
31,32,51.659783056,,,0,,1736754577.3259923,0.7937915921211243,0.7847116589546204,,,,
31,33,51.665365275,,,0,,1736754577.3316295,,,0.6387588977813721,1.2813931703567505,,
32,34,55.165730239,,,1,,1736754580.8319273,,,,,0.8004434704780579,0.754858672618866
