trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.52947585,9.999999747378752e-06,1.0,0,2.3149023056030273,1736760415.7123225,,,,,,
1,1,27.279113812,9.999999747378752e-06,2.0,0,2.195617437362671,1736760416.461983,,,,,,
2,2,28.029677688,9.999999747378752e-06,3.0,0,1.9085752964019775,1736760417.2125056,,,,,,
3,3,28.78093343,9.999999747378752e-06,4.0,0,1.7716419696807861,1736760417.9637988,,,,,,
4,4,29.53229672,9.999999747378752e-06,5.0,0,1.540953278541565,1736760418.7151513,,,,,,
5,5,30.283706156,9.999999747378752e-06,6.0,0,1.3870060443878174,1736760419.4665594,,,,,,
6,6,31.035556635,9.999999747378752e-06,7.0,0,1.1253223419189453,1736760420.2183847,,,,,,
7,7,31.788831836,9.999999747378752e-06,8.0,0,0.9075565934181213,1736760420.97169,,,,,,
8,8,32.541084924,9.999999747378752e-06,9.0,0,0.9327138662338257,1736760421.7239428,,,,,,
9,9,33.29456721,9.999999747378752e-06,10.0,0,0.6423091888427734,1736760422.4774084,,,,,,
10,10,34.048660817,9.999999747378752e-06,11.0,0,0.7395310997962952,1736760423.2315085,,,,,,
11,11,34.801863393,9.999999747378752e-06,12.0,0,0.5180047154426575,1736760423.9847362,,,,,,
12,12,35.557595787,9.999999747378752e-06,13.0,0,0.4278255105018616,1736760424.7404506,,,,,,
13,13,36.311754894,9.999999747378752e-06,14.0,0,0.3731170892715454,1736760425.4946177,,,,,,
14,14,37.067955505,9.999999747378752e-06,15.0,0,0.3223939836025238,1736760426.2508116,,,,,,
15,15,37.822428139,9.999999747378752e-06,16.0,0,0.3549683690071106,1736760427.0052605,,,,,,
16,16,38.5856358,9.999999747378752e-06,17.0,0,0.17302563786506653,1736760427.7685015,,,,,,
17,17,39.340994043,9.999999747378752e-06,18.0,0,0.24324962496757507,1736760428.5238419,,,,,,
18,18,40.096211103,9.999999747378752e-06,19.0,0,0.3539090156555176,1736760429.2790658,,,,,,
19,19,40.853489334,9.999999747378752e-06,20.0,0,0.2438531070947647,1736760430.0363543,,,,,,
20,20,41.608540246,9.999999747378752e-06,21.0,0,0.21797701716423035,1736760430.79139,,,,,,
21,21,42.36520152,9.999999747378752e-06,22.0,0,0.3530345857143402,1736760431.548053,,,,,,
22,22,43.120831092,9.999999747378752e-06,23.0,0,0.27399343252182007,1736760432.303696,,,,,,
23,23,43.878984126,9.999999747378752e-06,24.0,0,0.45582327246665955,1736760433.0618265,,,,,,
24,24,44.636055985,9.999999747378752e-06,25.0,0,0.21584367752075195,1736760433.8189244,,,,,,
25,25,45.393933114,9.999999747378752e-06,26.0,0,0.24199436604976654,1736760434.5767798,,,,,,
26,26,46.151310374,9.999999747378752e-06,27.0,0,0.44557061791419983,1736760435.3341808,,,,,,
27,27,46.907104973,9.999999747378752e-06,28.0,0,0.2686212956905365,1736760436.0899613,,,,,,
28,28,47.665307204,9.999999747378752e-06,29.0,0,0.16883529722690582,1736760436.8481488,,,,,,
29,29,48.424021152,9.999999747378752e-06,30.0,0,0.1431993842124939,1736760437.6068857,,,,,,
30,30,49.181581495,9.999999747378752e-06,31.0,0,0.22895871102809906,1736760438.3644364,,,,,,
31,31,49.937988322,9.999999747378752e-06,32.0,0,0.1866454780101776,1736760439.1208458,,,,,,
32,32,50.69522543,9.999999747378752e-06,33.0,0,0.11441874504089355,1736760439.878101,,,,,,
33,33,51.454256276,9.999999747378752e-06,34.0,0,0.11083395779132843,1736760440.637106,,,,,,
34,34,52.212866454,9.999999747378752e-06,35.0,0,0.09456358850002289,1736760441.3957233,,,,,,
35,35,52.972063781,9.999999747378752e-06,36.0,0,0.12636679410934448,1736760442.154914,,,,,,
36,36,53.730899145,9.999999747378752e-06,37.0,0,0.097285196185112,1736760442.9137268,,,,,,
37,37,54.490191853,9.999999747378752e-06,38.0,0,0.13222992420196533,1736760443.6730514,,,,,,
38,38,55.249382378,9.999999747378752e-06,39.0,0,0.14259834587574005,1736760444.432225,,,,,,
39,39,56.008601661,9.999999747378752e-06,40.0,0,0.06876277178525925,1736760445.1914487,,,,,,
40,40,56.768153564,9.999999747378752e-06,41.0,0,0.06922607868909836,1736760445.9510198,,,,,,
41,41,57.527202404,9.999999747378752e-06,42.0,0,0.09039121121168137,1736760446.710059,,,,,,
42,42,58.286837363,9.999999747378752e-06,43.0,0,0.17833811044692993,1736760447.469697,,,,,,
43,43,59.045914958,9.999999747378752e-06,44.0,0,0.03864779323339462,1736760448.228762,,,,,,
44,44,59.80487835,9.999999747378752e-06,45.0,0,0.2493756115436554,1736760448.987746,,,,,,
45,45,60.564425952,9.999999747378752e-06,46.0,0,0.07691309601068497,1736760449.7472918,,,,,,
46,46,61.323534616,9.999999747378752e-06,47.0,0,0.06806517392396927,1736760450.5064101,,,,,,
47,47,62.083511519,9.999999747378752e-06,48.0,0,0.10071470588445663,1736760451.2663498,,,,,,
48,48,62.844347601,9.999999747378752e-06,49.0,0,0.06118069961667061,1736760452.0271785,,,,,,
49,49,63.604704927,9.999999747378752e-06,50.0,0,0.08313705027103424,1736760452.7875621,,,,,,
50,50,64.366708822,9.999999747378752e-06,51.0,0,0.06885962933301926,1736760453.5495427,,,,,,
51,51,65.128236858,9.999999747378752e-06,52.0,0,0.06664589792490005,1736760454.3110917,,,,,,
52,52,65.887822785,9.999999747378752e-06,53.0,0,0.1698126196861267,1736760455.0706074,,,,,,
53,53,66.648677233,9.999999747378752e-06,54.0,0,0.09951312094926834,1736760455.8315208,,,,,,
54,54,67.409203742,9.999999747378752e-06,55.0,0,0.15163183212280273,1736760456.5920517,,,,,,
55,55,68.170740652,9.999999747378752e-06,56.0,0,0.09170592576265335,1736760457.353592,,,,,,
56,56,68.932860785,9.999999747378752e-06,57.0,0,0.09561339020729065,1736760458.115684,,,,,,
57,57,69.694307581,9.999999747378752e-06,58.0,0,0.11245659738779068,1736760458.8771613,,,,,,
58,58,70.456126025,9.999999747378752e-06,59.0,0,0.07316944003105164,1736760459.6389763,,,,,,
59,59,71.216600244,9.999999747378752e-06,60.0,0,0.057266999036073685,1736760460.399458,,,,,,
60,60,71.97819535,9.999999747378752e-06,61.0,0,0.13394670188426971,1736760461.1610472,,,,,,
61,61,72.740294924,9.999999747378752e-06,62.0,0,0.1209503784775734,1736760461.9231513,,,,,,
62,62,73.501899511,9.999999747378752e-06,63.0,0,0.17116186022758484,1736760462.6847482,,,,,,
63,63,74.262078169,9.999999747378752e-06,64.0,0,0.05433592572808266,1736760463.4449375,,,,,,
64,64,75.024035346,9.999999747378752e-06,65.0,0,0.10330066084861755,1736760464.2068827,,,,,,
65,65,75.785078868,9.999999747378752e-06,66.0,0,0.07820649445056915,1736760464.9679375,,,,,,
66,66,76.544986069,9.999999747378752e-06,67.0,0,0.08125726878643036,1736760465.7278345,,,,,,
67,67,77.305223292,9.999999747378752e-06,68.0,0,0.06272076070308685,1736760466.4880695,,,,,,
68,68,78.065840658,9.999999747378752e-06,69.0,0,0.15547963976860046,1736760467.24869,,,,,,
69,69,78.826761151,9.999999747378752e-06,70.0,0,0.06598789989948273,1736760468.0095947,,,,,,
70,70,79.588525837,9.999999747378752e-06,71.0,0,0.10680684447288513,1736760468.7713826,,,,,,
