trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,25.690101304,9.999999747378752e-06,1.0,0,1.2521287202835083,1736756627.669702,,,,,,
1,1,26.438533472,9.999999747378752e-06,2.0,0,1.7671953439712524,1736756628.4181182,,,,,,
2,2,27.186927113,9.999999747378752e-06,3.0,0,1.0969818830490112,1736756629.1665113,,,,,,
3,3,27.933987595,9.999999747378752e-06,4.0,0,1.0346662998199463,1736756629.9135687,,,,,,
4,4,28.680866511,9.999999747378752e-06,5.0,0,1.000930666923523,1736756630.66045,,,,,,
5,5,29.428375813,9.999999747378752e-06,6.0,0,0.9108793139457703,1736756631.4079762,,,,,,
6,6,30.176582013,9.999999747378752e-06,7.0,0,0.8995627760887146,1736756632.1561713,,,,,,
7,7,30.323104002,9.999999747378752e-06,8.0,0,0.7369175553321838,1736756632.302707,,,,,,
7,8,31.608412925,,,0,,1736756633.5880318,0.813725471496582,0.6022127866744995,,,,
7,9,31.615853803,,,0,,1736756633.595539,,,0.6906318068504333,1.1278783082962036,,
8,10,34.386625177,,,1,,1736756636.3662238,,,,,0.7941176295280457,0.6263500452041626
