trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.284333638,9.999999747378752e-06,1.0,0,2.163356065750122,1736754918.1847382,,,,,,
1,1,27.035464333,9.999999747378752e-06,2.0,0,1.5102264881134033,1736754918.9358542,,,,,,
2,2,27.787451485,9.999999747378752e-06,3.0,0,1.3179866075515747,1736754919.6878355,,,,,,
3,3,28.5433018,9.999999747378752e-06,4.0,0,1.078495979309082,1736754920.4436722,,,,,,
4,4,29.29511093,9.999999747378752e-06,5.0,0,0.9716602563858032,1736754921.1954718,,,,,,
5,5,30.047549187,9.999999747378752e-06,6.0,0,0.8523198962211609,1736754921.947955,,,,,,
6,6,30.799423134,9.999999747378752e-06,7.0,0,0.763323962688446,1736754922.699842,,,,,,
7,7,31.549215953,9.999999747378752e-06,8.0,0,0.6774947047233582,1736754923.4495924,,,,,,
8,8,32.297391505,9.999999747378752e-06,9.0,0,0.6691625714302063,1736754924.1977909,,,,,,
9,9,33.046277249,9.999999747378752e-06,10.0,0,0.6086511015892029,1736754924.9466677,,,,,,
10,10,33.796226808,9.999999747378752e-06,11.0,0,0.3819141089916229,1736754925.6965957,,,,,,
11,11,34.545011934,9.999999747378752e-06,12.0,0,0.3589780926704407,1736754926.44539,,,,,,
12,12,35.293680749,9.999999747378752e-06,13.0,0,0.42938223481178284,1736754927.1940548,,,,,,
13,13,36.042076387,9.999999747378752e-06,14.0,0,0.33896902203559875,1736754927.942474,,,,,,
14,14,36.791168152,9.999999747378752e-06,15.0,0,0.2823588252067566,1736754928.691535,,,,,,
15,15,37.540498235,9.999999747378752e-06,16.0,0,0.262665331363678,1736754929.4408538,,,,,,
16,16,38.29498838,9.999999747378752e-06,17.0,0,0.2608017921447754,1736754930.195377,,,,,,
17,17,39.044678505,9.999999747378752e-06,18.0,0,0.28962570428848267,1736754930.9450762,,,,,,
18,18,39.79342373,9.999999747378752e-06,19.0,0,0.38588935136795044,1736754931.6937916,,,,,,
19,19,40.545663119,9.999999747378752e-06,20.0,0,0.3746621310710907,1736754932.4460351,,,,,,
20,20,41.294893941,9.999999747378752e-06,21.0,0,0.3277815580368042,1736754933.1953056,,,,,,
21,21,42.044484706,9.999999747378752e-06,22.0,0,0.3130103349685669,1736754933.9448597,,,,,,
22,22,42.794078982,9.999999747378752e-06,23.0,0,0.1705489605665207,1736754934.694452,,,,,,
23,23,43.543487759,9.999999747378752e-06,24.0,0,0.21025313436985016,1736754935.4438763,,,,,,
24,24,44.294010623,9.999999747378752e-06,25.0,0,0.22810158133506775,1736754936.1944065,,,,,,
25,25,45.043837007,9.999999747378752e-06,26.0,0,0.1601964831352234,1736754936.9442446,,,,,,
26,26,45.794436942,9.999999747378752e-06,27.0,0,0.17274880409240723,1736754937.6947806,,,,,,
27,27,46.544833475,9.999999747378752e-06,28.0,0,0.22005777060985565,1736754938.4451888,,,,,,
28,28,47.295318342,9.999999747378752e-06,29.0,0,0.18833951652050018,1736754939.1957073,,,,,,
29,29,48.045741783,9.999999747378752e-06,30.0,0,0.1367933452129364,1736754939.9461164,,,,,,
30,30,48.79807543,9.999999747378752e-06,31.0,0,0.20030488073825836,1736754940.6984508,,,,,,
31,31,49.550778348,9.999999747378752e-06,32.0,0,0.17457444965839386,1736754941.4511724,,,,,,
32,32,50.304380901,9.999999747378752e-06,33.0,0,0.15117515623569489,1736754942.2047539,,,,,,
33,33,51.058492484,9.999999747378752e-06,34.0,0,0.13489700853824615,1736754942.9589338,,,,,,
34,34,51.812458199,9.999999747378752e-06,35.0,0,0.1206170991063118,1736754943.7128618,,,,,,
35,35,52.566606219,9.999999747378752e-06,36.0,0,0.12965551018714905,1736754944.466976,,,,,,
36,36,53.321038465,9.999999747378752e-06,37.0,0,0.129831463098526,1736754945.2214336,,,,,,
37,37,54.074732611,9.999999747378752e-06,38.0,0,0.06664702296257019,1736754945.975093,,,,,,
38,38,54.829597316,9.999999747378752e-06,39.0,0,0.07050487399101257,1736754946.7299752,,,,,,
39,39,55.583290045,9.999999747378752e-06,40.0,0,0.11048711836338043,1736754947.4836757,,,,,,
40,40,56.337651687,9.999999747378752e-06,41.0,0,0.07337266206741333,1736754948.2380536,,,,,,
41,41,57.09174217,9.999999747378752e-06,42.0,0,0.21480609476566315,1736754948.9921231,,,,,,
42,42,57.846252171,9.999999747378752e-06,43.0,0,0.15989215672016144,1736754949.74663,,,,,,
43,43,58.600188969,9.999999747378752e-06,44.0,0,0.07756247371435165,1736754950.5005622,,,,,,
44,44,59.354262475,9.999999747378752e-06,45.0,0,0.14203059673309326,1736754951.2546651,,,,,,
45,45,60.108702925,9.999999747378752e-06,46.0,0,0.10949669778347015,1736754952.0090327,,,,,,
46,46,60.863569239,9.999999747378752e-06,47.0,0,0.11253979802131653,1736754952.763961,,,,,,
47,47,61.618521228,9.999999747378752e-06,48.0,0,0.11932654678821564,1736754953.5189066,,,,,,
48,48,62.373730362,9.999999747378752e-06,49.0,0,0.07218749821186066,1736754954.2740998,,,,,,
49,49,63.128222297,9.999999747378752e-06,50.0,0,0.10272546857595444,1736754955.028628,,,,,,
50,50,63.882760655,9.999999747378752e-06,51.0,0,0.06532194465398788,1736754955.7831476,,,,,,
51,51,64.63803859,9.999999747378752e-06,52.0,0,0.15972016751766205,1736754956.5384092,,,,,,
52,52,65.393215393,9.999999747378752e-06,53.0,0,0.14263169467449188,1736754957.2936094,,,,,,
53,53,66.147899669,9.999999747378752e-06,54.0,0,0.11976825445890427,1736754958.0483034,,,,,,
54,54,66.903013154,9.999999747378752e-06,55.0,0,0.10448582470417023,1736754958.8033657,,,,,,
55,55,67.6580558,9.999999747378752e-06,56.0,0,0.12667004764080048,1736754959.558446,,,,,,
56,56,68.412937604,9.999999747378752e-06,57.0,0,0.20789116621017456,1736754960.313268,,,,,,
57,57,69.167568753,9.999999747378752e-06,58.0,0,0.13448677957057953,1736754961.067972,,,,,,
58,58,69.922940913,9.999999747378752e-06,59.0,0,0.1317017674446106,1736754961.823326,,,,,,
59,59,70.677838542,9.999999747378752e-06,60.0,0,0.13925497233867645,1736754962.5782082,,,,,,
60,60,71.433490426,9.999999747378752e-06,61.0,0,0.1197376549243927,1736754963.3338869,,,,,,
61,61,72.188631647,9.999999747378752e-06,62.0,0,0.13474854826927185,1736754964.0890338,,,,,,
62,62,72.943820599,9.999999747378752e-06,63.0,0,0.10340575873851776,1736754964.844194,,,,,,
63,63,73.698732706,9.999999747378752e-06,64.0,0,0.10059435665607452,1736754965.5991232,,,,,,
64,64,74.45428659,9.999999747378752e-06,65.0,0,0.06842724233865738,1736754966.3546865,,,,,,
65,65,75.209719292,9.999999747378752e-06,66.0,0,0.06329890340566635,1736754967.1101182,,,,,,
66,66,75.964555148,9.999999747378752e-06,67.0,0,0.09566020220518112,1736754967.8649912,,,,,,
67,67,76.720092735,9.999999747378752e-06,68.0,0,0.046610016375780106,1736754968.6204624,,,,,,
68,68,77.475696107,9.999999747378752e-06,69.0,0,0.08586621284484863,1736754969.376087,,,,,,
69,69,78.231254919,9.999999747378752e-06,70.0,0,0.035704355686903,1736754970.1316602,,,,,,
70,70,78.986442844,9.999999747378752e-06,71.0,0,0.07752827554941177,1736754970.886813,,,,,,
71,71,79.741720344,9.999999747378752e-06,72.0,0,0.062362924218177795,1736754971.642108,,,,,,
72,72,80.496965789,9.999999747378752e-06,73.0,0,0.17410217225551605,1736754972.397341,,,,,,
73,73,81.253274788,9.999999747378752e-06,74.0,0,0.07068021595478058,1736754973.1536856,,,,,,
74,74,82.008118309,9.999999747378752e-06,75.0,0,0.04272593557834625,1736754973.9085066,,,,,,
75,75,82.763395567,9.999999747378752e-06,76.0,0,0.04308528080582619,1736754974.6637568,,,,,,
76,76,83.519471893,9.999999747378752e-06,77.0,0,0.04885058104991913,1736754975.4198575,,,,,,
77,77,84.274927317,9.999999747378752e-06,78.0,0,0.08689220994710922,1736754976.1753304,,,,,,
78,78,85.031099857,9.999999747378752e-06,79.0,0,0.05243893712759018,1736754976.93147,,,,,,
79,79,85.786895058,9.999999747378752e-06,80.0,0,0.02435610257089138,1736754977.6872807,,,,,,
80,80,86.542267387,9.999999747378752e-06,81.0,0,0.036715175956487656,1736754978.4426024,,,,,,
81,81,87.298133605,9.999999747378752e-06,82.0,0,0.03976646438241005,1736754979.1984913,,,,,,
82,82,88.053357852,9.999999747378752e-06,83.0,0,0.08851692825555801,1736754979.9537442,,,,,,
83,83,88.810251142,9.999999747378752e-06,84.0,0,0.12991508841514587,1736754980.7105682,,,,,,
84,84,89.566080338,9.999999747378752e-06,85.0,0,0.025615008547902107,1736754981.4664633,,,,,,
85,85,90.321887277,9.999999747378752e-06,86.0,0,0.02546766772866249,1736754982.2222939,,,,,,
86,86,91.077647227,9.999999747378752e-06,87.0,0,0.07756219804286957,1736754982.9780438,,,,,,
87,87,91.833767366,9.999999747378752e-06,88.0,0,0.024945972487330437,1736754983.7341275,,,,,,
88,88,92.590092043,9.999999747378752e-06,89.0,0,0.07025196403265,1736754984.4904606,,,,,,
89,89,93.345252105,9.999999747378752e-06,90.0,0,0.025745417922735214,1736754985.2456174,,,,,,
90,90,94.101113025,9.999999747378752e-06,91.0,0,0.06673837453126907,1736754986.0015066,,,,,,
91,91,94.856540869,9.999999747378752e-06,92.0,0,0.052641719579696655,1736754986.7569118,,,,,,
92,92,95.612322245,9.999999747378752e-06,93.0,0,0.07572714239358902,1736754987.5126932,,,,,,
93,93,96.368850423,9.999999747378752e-06,94.0,0,0.037005338817834854,1736754988.2692688,,,,,,
94,94,97.124442868,9.999999747378752e-06,95.0,0,0.04177387058734894,1736754989.0248225,,,,,,
95,95,97.879944071,9.999999747378752e-06,96.0,0,0.0629831999540329,1736754989.780327,,,,,,
96,96,98.636032042,9.999999747378752e-06,97.0,0,0.07915288209915161,1736754990.5364,,,,,,
97,97,99.391667414,9.999999747378752e-06,98.0,0,0.020842131227254868,1736754991.2920277,,,,,,
98,98,100.147682795,9.999999747378752e-06,99.0,0,0.057004399597644806,1736754992.0480506,,,,,,
99,99,100.903066207,9.999999747378752e-06,100.0,0,0.048044536262750626,1736754992.8034496,,,,,,
100,100,101.658891306,9.999999747378752e-06,101.0,0,0.04337124153971672,1736754993.5592494,,,,,,
101,101,102.414905035,9.999999747378752e-06,102.0,0,0.04427803307771683,1736754994.3153062,,,,,,
102,102,103.170208388,9.999999747378752e-06,103.0,0,0.037167470902204514,1736754995.070599,,,,,,
103,103,103.926209842,9.999999747378752e-06,104.0,0,0.08312518149614334,1736754995.826595,,,,,,
104,104,104.681674303,9.999999747378752e-06,105.0,0,0.03310565650463104,1736754996.5820231,,,,,,
105,105,105.437976952,9.999999747378752e-06,106.0,0,0.016465898603200912,1736754997.338333,,,,,,
106,106,106.195235037,9.999999747378752e-06,107.0,0,0.023800773546099663,1736754998.0956488,,,,,,
107,107,106.95206653,9.999999747378752e-06,108.0,0,0.03105824813246727,1736754998.8524506,,,,,,
108,108,107.708863557,9.999999747378752e-06,109.0,0,0.05882671847939491,1736754999.6092196,,,,,,
109,109,108.465777093,9.999999747378752e-06,110.0,0,0.06660754978656769,1736755000.3661628,,,,,,
110,110,109.223591489,9.999999747378752e-06,111.0,0,0.06388658285140991,1736755001.1240203,,,,,,
111,111,109.980709691,9.999999747378752e-06,112.0,0,0.03281962499022484,1736755001.8810735,,,,,,
112,112,110.737302622,9.999999747378752e-06,113.0,0,0.04566200450062752,1736755002.6376967,,,,,,
113,113,111.494187394,9.999999747378752e-06,114.0,0,0.02608015015721321,1736755003.3945408,,,,,,
114,114,112.250974683,9.999999747378752e-06,115.0,0,0.0179673433303833,1736755004.1513653,,,,,,
115,115,113.008317895,9.999999747378752e-06,116.0,0,0.047617357224226,1736755004.9087481,,,,,,
116,116,113.764866821,9.999999747378752e-06,117.0,0,0.029737725853919983,1736755005.6652236,,,,,,
117,117,114.522595992,9.999999747378752e-06,118.0,0,0.04503628611564636,1736755006.4229767,,,,,,
118,118,115.279359377,9.999999747378752e-06,119.0,0,0.06402894854545593,1736755007.1797655,,,,,,
119,119,116.035691053,9.999999747378752e-06,120.0,0,0.022738810628652573,1736755007.9360573,,,,,,
120,120,116.79318785,9.999999747378752e-06,121.0,0,0.03341330587863922,1736755008.6935527,,,,,,
121,121,117.549837172,9.999999747378752e-06,122.0,0,0.03129296749830246,1736755009.4502358,,,,,,
122,122,118.306668858,9.999999747378752e-06,123.0,0,0.027591358870267868,1736755010.2070343,,,,,,
123,123,119.063511098,9.999999747378752e-06,124.0,0,0.013045458123087883,1736755010.9639158,,,,,,
124,124,119.821152897,9.999999747378752e-06,125.0,0,0.03266802802681923,1736755011.7215245,,,,,,
125,125,120.578480725,9.999999747378752e-06,126.0,0,0.060137711465358734,1736755012.4788377,,,,,,
126,126,121.334889753,9.999999747378752e-06,127.0,0,0.016417164355516434,1736755013.2353246,,,,,,
127,127,122.092748548,9.999999747378752e-06,128.0,0,0.012844471260905266,1736755013.993125,,,,,,
128,128,122.850236649,9.999999747378752e-06,129.0,0,0.022069036960601807,1736755014.7506082,,,,,,
129,129,123.606783514,9.999999747378752e-06,130.0,0,0.031084341928362846,1736755015.5071814,,,,,,
130,130,124.363930599,9.999999747378752e-06,131.0,0,0.06944916397333145,1736755016.264298,,,,,,
131,131,125.121071301,9.999999747378752e-06,132.0,0,0.014065772294998169,1736755017.0214617,,,,,,
132,132,125.878594056,9.999999747378752e-06,133.0,0,0.04521365836262703,1736755017.778976,,,,,,
133,133,126.635771072,9.999999747378752e-06,134.0,0,0.011738322675228119,1736755018.5361466,,,,,,
134,134,127.392818405,9.999999747378752e-06,135.0,0,0.011997834779322147,1736755019.2932243,,,,,,
135,135,128.149113235,9.999999747378752e-06,136.0,0,0.06318862736225128,1736755020.0494635,,,,,,
136,136,128.90684258,9.999999747378752e-06,137.0,0,0.015927426517009735,1736755020.807223,,,,,,
