trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,34.668755908,9.999999747378752e-06,1.0,0,1.8202078342437744,1736755143.4272423,,,,,,
1,1,35.427903946,9.999999747378752e-06,2.0,0,1.0107998847961426,1736755144.186392,,,,,,
2,2,36.18001486,9.999999747378752e-06,3.0,0,0.6255885362625122,1736755144.9385226,,,,,,
3,3,36.931854575,9.999999747378752e-06,4.0,0,0.5320861339569092,1736755145.6903718,,,,,,
4,4,37.68502979,9.999999747378752e-06,5.0,0,0.3690135180950165,1736755146.4435122,,,,,,
5,5,38.43445355,9.999999747378752e-06,6.0,0,0.3098292648792267,1736755147.1929772,,,,,,
6,6,39.183159578,9.999999747378752e-06,7.0,0,0.31952181458473206,1736755147.9416766,,,,,,
7,7,39.932579382,9.999999747378752e-06,8.0,0,0.27839669585227966,1736755148.6910503,,,,,,
8,8,40.682022961,9.999999747378752e-06,9.0,0,0.27620741724967957,1736755149.440531,,,,,,
9,9,41.432350043,9.999999747378752e-06,10.0,0,0.2810799479484558,1736755150.19083,,,,,,
10,10,42.185664191,9.999999747378752e-06,11.0,0,0.4148801863193512,1736755150.9441895,,,,,,
11,11,42.935192332,9.999999747378752e-06,12.0,0,0.23565931618213654,1736755151.6936998,,,,,,
12,12,43.685166408,9.999999747378752e-06,13.0,0,0.329137921333313,1736755152.4436436,,,,,,
13,13,44.435652509,9.999999747378752e-06,14.0,0,0.2388748973608017,1736755153.1941683,,,,,,
14,14,45.185656755,9.999999747378752e-06,15.0,0,0.1342839151620865,1736755153.9441655,,,,,,
15,15,45.936136817,9.999999747378752e-06,16.0,0,0.28828224539756775,1736755154.694649,,,,,,
16,16,46.686958365,9.999999747378752e-06,17.0,0,0.21571864187717438,1736755155.4454699,,,,,,
17,17,47.445403354,9.999999747378752e-06,18.0,0,0.1562533676624298,1736755156.2038617,,,,,,
