trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,39.285630535,9.999999747378752e-06,1.0,0,0.058646202087402344,1736756444.973054,,,,,,
1,1,40.036952891,9.999999747378752e-06,2.0,0,0.11750870943069458,1736756445.7243934,,,,,,
2,2,40.786977546,9.999999747378752e-06,3.0,0,0.0644586831331253,1736756446.4744341,,,,,,
3,3,41.541981731,9.999999747378752e-06,4.0,0,0.08427932858467102,1736756447.2293954,,,,,,
4,4,42.292117238,9.999999747378752e-06,5.0,0,0.12621046602725983,1736756447.979573,,,,,,
5,5,43.041072036,9.999999747378752e-06,6.0,0,0.03867843374609947,1736756448.7285104,,,,,,
6,6,43.790085949,9.999999747378752e-06,7.0,0,0.09383801370859146,1736756449.4775016,,,,,,
7,7,44.539304395,9.999999747378752e-06,8.0,0,0.05447464808821678,1736756450.2267528,,,,,,
8,8,45.290591659,9.999999747378752e-06,9.0,0,0.046166397631168365,1736756450.9780443,,,,,,
9,9,46.043311005,9.999999747378752e-06,10.0,0,0.023192740976810455,1736756451.7307727,,,,,,
10,10,46.798230586,9.999999747378752e-06,11.0,0,0.024197377264499664,1736756452.4856515,,,,,,
11,11,47.551092559,9.999999747378752e-06,12.0,0,0.0723319873213768,1736756453.2385418,,,,,,
12,12,48.303204252,9.999999747378752e-06,13.0,0,0.0499536395072937,1736756453.9906595,,,,,,
13,13,49.056036389,9.999999747378752e-06,14.0,0,0.16775435209274292,1736756454.7434704,,,,,,
14,14,49.8088155,9.999999747378752e-06,15.0,0,0.06037617102265358,1736756455.496227,,,,,,
15,15,50.563562813,9.999999747378752e-06,16.0,0,0.0781724750995636,1736756456.2510145,,,,,,
16,16,51.316607215,9.999999747378752e-06,17.0,0,0.11603693664073944,1736756457.0040748,,,,,,
17,17,52.069676173,9.999999747378752e-06,18.0,0,0.03500126302242279,1736756457.7571082,,,,,,
18,18,52.825123085,9.999999747378752e-06,19.0,0,0.01126716285943985,1736756458.5125513,,,,,,
19,19,53.582588761,9.999999747378752e-06,20.0,0,0.08167040348052979,1736756459.27003,,,,,,
20,20,54.336190575,9.999999747378752e-06,21.0,0,0.0683169737458229,1736756460.0236187,,,,,,
21,21,55.089319942,9.999999747378752e-06,22.0,0,0.11487624794244766,1736756460.7767541,,,,,,
22,22,55.842449237,9.999999747378752e-06,23.0,0,0.09011776000261307,1736756461.5298827,,,,,,
23,23,56.596413372,9.999999747378752e-06,24.0,0,0.07734554260969162,1736756462.2838697,,,,,,
24,24,57.349467307,9.999999747378752e-06,25.0,0,0.027116039767861366,1736756463.0369167,,,,,,
25,25,58.102584008,9.999999747378752e-06,26.0,0,0.029532961547374725,1736756463.7900002,,,,,,
26,26,58.856304833,9.999999747378752e-06,27.0,0,0.06192819029092789,1736756464.5437365,,,,,,
27,27,59.609506797,9.999999747378752e-06,28.0,0,0.05351896956562996,1736756465.2969518,,,,,,
28,28,60.363178162,9.999999747378752e-06,29.0,0,0.02142951823771,1736756466.0505664,,,,,,
29,29,61.117922714,9.999999747378752e-06,30.0,0,0.04488079249858856,1736756466.805416,,,,,,
30,30,61.872219069,9.999999747378752e-06,31.0,0,0.046290185302495956,1736756467.5596602,,,,,,
31,31,62.627804248,9.999999747378752e-06,32.0,0,0.015918996185064316,1736756468.315238,,,,,,
32,32,63.384033554,9.999999747378752e-06,33.0,0,0.21054783463478088,1736756469.071487,,,,,,
33,33,64.139537016,9.999999747378752e-06,34.0,0,0.11060307919979095,1736756469.826983,,,,,,
34,34,64.896760127,9.999999747378752e-06,35.0,0,0.06321023404598236,1736756470.5841904,,,,,,
35,35,65.037508782,9.999999747378752e-06,36.0,0,0.1361692100763321,1736756470.724961,,,,,,
35,36,66.835171274,,,0,,1736756472.522552,0.972000002861023,0.07624758780002594,,,,
35,37,66.843004434,,,0,,1736756472.5305185,,,0.9779999852180481,0.07000534236431122,,
36,38,70.110856251,,,1,,1736756475.7982855,,,,,0.9819999933242798,0.057715076953172684
