trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.860602087,9.999999747378752e-06,1.0,0,1.324400544166565,1736756238.0527046,,,,,,
1,1,37.612639842,9.999999747378752e-06,2.0,0,1.2508413791656494,1736756238.8048072,,,,,,
2,2,38.371122985,9.999999747378752e-06,3.0,0,1.321725606918335,1736756239.5632513,,,,,,
3,3,39.124596249,9.999999747378752e-06,4.0,0,1.1851005554199219,1736756240.3167624,,,,,,
4,4,39.877630191,9.999999747378752e-06,5.0,0,1.0778210163116455,1736756241.0697806,,,,,,
5,5,40.631489407,9.999999747378752e-06,6.0,0,1.1268835067749023,1736756241.8236465,,,,,,
6,6,41.385112476,9.999999747378752e-06,7.0,0,1.2030766010284424,1736756242.577239,,,,,,
7,7,42.140190993,9.999999747378752e-06,8.0,0,1.153436541557312,1736756243.3323371,,,,,,
8,8,42.895639404,9.999999747378752e-06,9.0,0,1.2645893096923828,1736756244.0878043,,,,,,
9,9,43.651187516,9.999999747378752e-06,10.0,0,1.0766929388046265,1736756244.843321,,,,,,
10,10,44.407268736,9.999999747378752e-06,11.0,0,1.0626909732818604,1736756245.5994048,,,,,,
11,11,45.166048399,9.999999747378752e-06,12.0,0,1.2340521812438965,1736756246.3581426,,,,,,
12,12,45.923097966,9.999999747378752e-06,13.0,0,1.0383059978485107,1736756247.115253,,,,,,
13,13,46.680442994,9.999999747378752e-06,14.0,0,0.9871215224266052,1736756247.8725996,,,,,,
14,14,47.43636281,9.999999747378752e-06,15.0,0,1.0534955263137817,1736756248.6284964,,,,,,
15,15,48.192234474,9.999999747378752e-06,16.0,0,0.7086856365203857,1736756249.384387,,,,,,
16,16,48.952726929,9.999999747378752e-06,17.0,0,1.0548806190490723,1736756250.1448793,,,,,,
17,17,49.709213989,9.999999747378752e-06,18.0,0,0.9964639544487,1736756250.901366,,,,,,
18,18,50.468633658,9.999999747378752e-06,19.0,0,1.0970368385314941,1736756251.6607907,,,,,,
19,19,51.225538333,9.999999747378752e-06,20.0,0,1.1360920667648315,1736756252.4177036,,,,,,
20,20,51.981731273,9.999999747378752e-06,21.0,0,0.9048795104026794,1736756253.1738455,,,,,,
21,21,52.740314737,9.999999747378752e-06,22.0,0,0.9230844378471375,1736756253.932466,,,,,,
22,22,53.498952998,9.999999747378752e-06,23.0,0,0.9438530802726746,1736756254.691118,,,,,,
23,23,54.255508951,9.999999747378752e-06,24.0,0,0.9795312285423279,1736756255.4476538,,,,,,
24,24,55.013452437,9.999999747378752e-06,25.0,0,1.1366046667099,1736756256.205612,,,,,,
25,25,55.769807137,9.999999747378752e-06,26.0,0,1.0564539432525635,1736756256.9619217,,,,,,
26,26,56.529324675,9.999999747378752e-06,27.0,0,1.048880934715271,1736756257.721466,,,,,,
27,27,57.287702381,9.999999747378752e-06,28.0,0,0.7440910339355469,1736756258.4798844,,,,,,
28,28,58.045891249,9.999999747378752e-06,29.0,0,0.9028912782669067,1736756259.2380557,,,,,,
29,29,58.804907192,9.999999747378752e-06,30.0,0,1.286105751991272,1736756259.9970374,,,,,,
30,30,59.563848827,9.999999747378752e-06,31.0,0,0.8105483055114746,1736756260.756002,,,,,,
31,31,60.323981032,9.999999747378752e-06,32.0,0,0.7985823750495911,1736756261.5161602,,,,,,
32,32,61.083763534,9.999999747378752e-06,33.0,0,1.1196249723434448,1736756262.275887,,,,,,
33,33,61.846181033,9.999999747378752e-06,34.0,0,0.9090820550918579,1736756263.0383017,,,,,,
34,34,62.606272423,9.999999747378752e-06,35.0,0,0.8018555045127869,1736756263.798294,,,,,,
35,35,63.36789344,9.999999747378752e-06,36.0,0,0.9696475267410278,1736756264.5600379,,,,,,
36,36,64.127008006,9.999999747378752e-06,37.0,0,0.909864068031311,1736756265.3191714,,,,,,
37,37,64.888045362,9.999999747378752e-06,38.0,0,0.8532359004020691,1736756266.080208,,,,,,
38,38,65.649017171,9.999999747378752e-06,39.0,0,0.8846844434738159,1736756266.8411689,,,,,,
39,39,66.411489936,9.999999747378752e-06,40.0,0,0.69095778465271,1736756267.6036592,,,,,,
40,40,67.172204765,9.999999747378752e-06,41.0,0,0.6825160384178162,1736756268.364358,,,,,,
41,41,67.931586303,9.999999747378752e-06,42.0,0,0.9576058387756348,1736756269.1237526,,,,,,
42,42,68.691240468,9.999999747378752e-06,43.0,0,0.795204222202301,1736756269.883399,,,,,,
43,43,69.452295437,9.999999747378752e-06,44.0,0,0.9692642688751221,1736756270.6444373,,,,,,
44,44,70.212755209,9.999999747378752e-06,45.0,0,0.7379127144813538,1736756271.4048977,,,,,,
45,45,70.974181286,9.999999747378752e-06,46.0,0,1.0216609239578247,1736756272.1663105,,,,,,
46,46,71.735385039,9.999999747378752e-06,47.0,0,0.9607937932014465,1736756272.9275026,,,,,,
