trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.043377074,9.999999747378752e-06,1.0,0,1.091684103012085,1736754437.4114552,,,,,,
1,1,29.793397632,9.999999747378752e-06,2.0,0,1.9623875617980957,1736754438.1614828,,,,,,
2,2,30.541970242,9.999999747378752e-06,3.0,0,1.9541434049606323,1736754438.9098108,,,,,,
3,3,31.293612387,9.999999747378752e-06,4.0,0,1.1730897426605225,1736754439.6617131,,,,,,
4,4,32.041226236,9.999999747378752e-06,5.0,0,1.1677000522613525,1736754440.4092813,,,,,,
5,5,32.790155497,9.999999747378752e-06,6.0,0,1.1922401189804077,1736754441.158209,,,,,,
6,6,33.537783688,9.999999747378752e-06,7.0,0,1.0148251056671143,1736754441.9058397,,,,,,
7,7,34.285979998,9.999999747378752e-06,8.0,0,0.8533741235733032,1736754442.6540313,,,,,,
8,8,35.034896124,9.999999747378752e-06,9.0,0,1.035880446434021,1736754443.4029517,,,,,,
9,9,35.7843785,9.999999747378752e-06,10.0,0,0.889082670211792,1736754444.1524174,,,,,,
10,10,36.533807006,9.999999747378752e-06,11.0,0,1.1061763763427734,1736754444.901848,,,,,,
11,11,37.283090903,9.999999747378752e-06,12.0,0,1.0166370868682861,1736754445.6511629,,,,,,
12,12,38.031381636,9.999999747378752e-06,13.0,0,0.7377286553382874,1736754446.3994555,,,,,,
13,13,38.781817835,9.999999747378752e-06,14.0,0,0.9249811768531799,1736754447.1498525,,,,,,
14,14,39.534985892,9.999999747378752e-06,15.0,0,0.9087741374969482,1736754447.903051,,,,,,
15,15,40.285644422,9.999999747378752e-06,16.0,0,0.8173454999923706,1736754448.6536937,,,,,,
16,16,41.036711346,9.999999747378752e-06,17.0,0,0.7294414639472961,1736754449.4047818,,,,,,
17,17,41.794921881,9.999999747378752e-06,18.0,0,0.7483972311019897,1736754450.1630034,,,,,,
18,18,42.545666244,9.999999747378752e-06,19.0,0,0.7067500948905945,1736754450.9137347,,,,,,
19,19,43.29860963,9.999999747378752e-06,20.0,0,0.8421051502227783,1736754451.6666672,,,,,,
20,20,44.049188086,9.999999747378752e-06,21.0,0,0.8557795882225037,1736754452.4172444,,,,,,
21,21,44.802336907,9.999999747378752e-06,22.0,0,0.8140932321548462,1736754453.170387,,,,,,
22,22,45.554021961,9.999999747378752e-06,23.0,0,0.6176782846450806,1736754453.9220889,,,,,,
23,23,46.305898426,9.999999747378752e-06,24.0,0,0.6514998078346252,1736754454.6739838,,,,,,
24,24,47.057580773,9.999999747378752e-06,25.0,0,0.8316940069198608,1736754455.4255989,,,,,,
25,25,47.812536387,9.999999747378752e-06,26.0,0,0.6878701448440552,1736754456.1806734,,,,,,
26,26,48.562695853,9.999999747378752e-06,27.0,0,0.6642798185348511,1736754456.9307969,,,,,,
27,27,49.313334747,9.999999747378752e-06,28.0,0,0.6037135720252991,1736754457.6814044,,,,,,
28,28,50.064259544,9.999999747378752e-06,29.0,0,0.6791263222694397,1736754458.4323385,,,,,,
29,29,50.814409381,9.999999747378752e-06,30.0,0,0.6898175477981567,1736754459.1825364,,,,,,
30,30,51.565027287,9.999999747378752e-06,31.0,0,0.5921455025672913,1736754459.933103,,,,,,
31,31,52.316124938,9.999999747378752e-06,32.0,0,0.779900312423706,1736754460.6842012,,,,,,
32,32,53.067922212,9.999999747378752e-06,33.0,0,0.6444957256317139,1736754461.436012,,,,,,
33,33,53.82059118,9.999999747378752e-06,34.0,0,0.805531919002533,1736754462.1886976,,,,,,
34,34,54.572200378,9.999999747378752e-06,35.0,0,0.6670172810554504,1736754462.9402993,,,,,,
35,35,55.324634412,9.999999747378752e-06,36.0,0,0.5826283693313599,1736754463.6926968,,,,,,
36,36,56.073388339,9.999999747378752e-06,37.0,0,0.7578763365745544,1736754464.4414833,,,,,,
37,37,56.821494847,9.999999747378752e-06,38.0,0,0.7233288288116455,1736754465.1896014,,,,,,
38,38,57.569784576,9.999999747378752e-06,39.0,0,0.6627053022384644,1736754465.9378612,,,,,,
39,39,58.318306082,9.999999747378752e-06,40.0,0,0.8191508054733276,1736754466.686385,,,,,,
40,40,59.066577607,9.999999747378752e-06,41.0,0,0.6827453970909119,1736754467.434667,,,,,,
41,41,59.815104532,9.999999747378752e-06,42.0,0,0.6703367233276367,1736754468.1831849,,,,,,
42,42,60.563643338,9.999999747378752e-06,43.0,0,0.5532822608947754,1736754468.9317434,,,,,,
43,43,61.312519961,9.999999747378752e-06,44.0,0,0.7352656126022339,1736754469.6806164,,,,,,
44,44,62.061073631,9.999999747378752e-06,45.0,0,0.6681740283966064,1736754470.429152,,,,,,
45,45,62.80888622,9.999999747378752e-06,46.0,0,0.6002588272094727,1736754471.1770198,,,,,,
46,46,63.557477477,9.999999747378752e-06,47.0,0,0.5640022158622742,1736754471.9255326,,,,,,
47,47,64.306066521,9.999999747378752e-06,48.0,0,0.5837984085083008,1736754472.6741617,,,,,,
48,48,65.054243745,9.999999747378752e-06,49.0,0,0.5906813740730286,1736754473.4223325,,,,,,
49,49,65.803071767,9.999999747378752e-06,50.0,0,0.7855229377746582,1736754474.1711478,,,,,,
50,50,66.552718158,9.999999747378752e-06,51.0,0,0.6628677845001221,1736754474.9208205,,,,,,
51,51,67.301474199,9.999999747378752e-06,52.0,0,0.654567301273346,1736754475.6695688,,,,,,
52,52,68.049782429,9.999999747378752e-06,53.0,0,0.6941129565238953,1736754476.4178333,,,,,,
53,53,68.798605786,9.999999747378752e-06,54.0,0,0.3908969461917877,1736754477.1667197,,,,,,
54,54,69.546803507,9.999999747378752e-06,55.0,0,0.45273932814598083,1736754477.9149108,,,,,,
55,55,70.296228792,9.999999747378752e-06,56.0,0,0.5878727436065674,1736754478.6643052,,,,,,
56,56,71.045228434,9.999999747378752e-06,57.0,0,0.6930378079414368,1736754479.4133298,,,,,,
