trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.705473211,9.999999747378752e-06,1.0,0,1.2720742225646973,1736754645.052436,,,,,,
1,1,27.452961516,9.999999747378752e-06,2.0,0,0.8827022910118103,1736754645.7999454,,,,,,
2,2,28.204290113,9.999999747378752e-06,3.0,0,0.6553971767425537,1736754646.5512621,,,,,,
3,3,28.952344241,9.999999747378752e-06,4.0,0,0.5249428749084473,1736754647.299339,,,,,,
4,4,29.701263137,9.999999747378752e-06,5.0,0,0.35285013914108276,1736754648.0482538,,,,,,
5,5,30.454010936,9.999999747378752e-06,6.0,0,0.3115988075733185,1736754648.800986,,,,,,
6,6,31.204235487,9.999999747378752e-06,7.0,0,0.24418514966964722,1736754649.5512264,,,,,,
7,7,31.955017518,9.999999747378752e-06,8.0,0,0.191175177693367,1736754650.3020036,,,,,,
8,8,32.706028818,9.999999747378752e-06,9.0,0,0.38443782925605774,1736754651.0530143,,,,,,
9,9,33.456709589,9.999999747378752e-06,10.0,0,0.2682221531867981,1736754651.8036988,,,,,,
10,10,34.208372683,9.999999747378752e-06,11.0,0,0.21867430210113525,1736754652.5553315,,,,,,
11,11,34.959974109,9.999999747378752e-06,12.0,0,0.17673569917678833,1736754653.3069627,,,,,,
12,12,35.712650332,9.999999747378752e-06,13.0,0,0.1523825228214264,1736754654.0596426,,,,,,
13,13,36.466629456,9.999999747378752e-06,14.0,0,0.14672955870628357,1736754654.813586,,,,,,
14,14,37.217851782,9.999999747378752e-06,15.0,0,0.26866254210472107,1736754655.5648248,,,,,,
15,15,37.970493943,9.999999747378752e-06,16.0,0,0.17552417516708374,1736754656.317488,,,,,,
16,16,38.726530852,9.999999747378752e-06,17.0,0,0.158156618475914,1736754657.073506,,,,,,
17,17,39.477775104,9.999999747378752e-06,18.0,0,0.29684677720069885,1736754657.8247705,,,,,,
18,18,40.229622827,9.999999747378752e-06,19.0,0,0.16128133237361908,1736754658.5765834,,,,,,
19,19,40.98145355,9.999999747378752e-06,20.0,0,0.1445571929216385,1736754659.328449,,,,,,
20,20,41.73397211,9.999999747378752e-06,21.0,0,0.25361403822898865,1736754660.080975,,,,,,
21,21,42.483671325,9.999999747378752e-06,22.0,0,0.18834982812404633,1736754660.8306208,,,,,,
22,22,43.231904522,9.999999747378752e-06,23.0,0,0.13759997487068176,1736754661.5788877,,,,,,
23,23,43.979251379,9.999999747378752e-06,24.0,0,0.20236802101135254,1736754662.32625,,,,,,
24,24,44.727055891,9.999999747378752e-06,25.0,0,0.2399693876504898,1736754663.0740256,,,,,,
25,25,45.475174008,9.999999747378752e-06,26.0,0,0.12346251308917999,1736754663.8221626,,,,,,
26,26,46.224231964,9.999999747378752e-06,27.0,0,0.18267463147640228,1736754664.5711994,,,,,,
27,27,46.972604739,9.999999747378752e-06,28.0,0,0.2560059428215027,1736754665.3195813,,,,,,
28,28,47.721701324,9.999999747378752e-06,29.0,0,0.21556833386421204,1736754666.0686862,,,,,,
29,29,48.470144657,9.999999747378752e-06,30.0,0,0.07895981520414352,1736754666.817108,,,,,,
30,30,49.218238146,9.999999747378752e-06,31.0,0,0.1025342270731926,1736754667.5652275,,,,,,
31,31,49.968029152,9.999999747378752e-06,32.0,0,0.19694381952285767,1736754668.3150237,,,,,,
32,32,50.717122565,9.999999747378752e-06,33.0,0,0.12568458914756775,1736754669.0640771,,,,,,
33,33,51.466928577,9.999999747378752e-06,34.0,0,0.2014494389295578,1736754669.813961,,,,,,
34,34,52.216488322000004,9.999999747378752e-06,35.0,0,0.10901320725679398,1736754670.5634534,,,,,,
35,35,52.967134359,9.999999747378752e-06,36.0,0,0.1758081465959549,1736754671.3141038,,,,,,
36,36,53.716739649,9.999999747378752e-06,37.0,0,0.07729926705360413,1736754672.0637271,,,,,,
37,37,54.466377407,9.999999747378752e-06,38.0,0,0.22372040152549744,1736754672.8133485,,,,,,
38,38,55.216039708,9.999999747378752e-06,39.0,0,0.15016654133796692,1736754673.5630102,,,,,,
39,39,55.965852348,9.999999747378752e-06,40.0,0,0.12405621260404587,1736754674.3128462,,,,,,
40,40,56.716156298,9.999999747378752e-06,41.0,0,0.09724625200033188,1736754675.0631628,,,,,,
41,41,57.466271663,9.999999747378752e-06,42.0,0,0.1071731448173523,1736754675.813248,,,,,,
42,42,58.216834291,9.999999747378752e-06,43.0,0,0.1532595455646515,1736754676.5637937,,,,,,
43,43,58.966478433,9.999999747378752e-06,44.0,0,0.21207857131958008,1736754677.3134341,,,,,,
44,44,59.715875346,9.999999747378752e-06,45.0,0,0.060306645929813385,1736754678.0628464,,,,,,
45,45,60.465962553,9.999999747378752e-06,46.0,0,0.11670229583978653,1736754678.812938,,,,,,
46,46,61.216329662,9.999999747378752e-06,47.0,0,0.10812313109636307,1736754679.5633357,,,,,,
47,47,61.966631884,9.999999747378752e-06,48.0,0,0.08146011084318161,1736754680.313616,,,,,,
48,48,62.717200449,9.999999747378752e-06,49.0,0,0.236384779214859,1736754681.0641904,,,,,,
49,49,63.46732874,9.999999747378752e-06,50.0,0,0.16797974705696106,1736754681.8142946,,,,,,
