trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.292233743,9.999999747378752e-06,1.0,0,2.2919411659240723,1736761917.6332529,,,,,,
1,1,27.043804172,9.999999747378752e-06,2.0,0,2.2951250076293945,1736761918.3848128,,,,,,
2,2,27.796343429,9.999999747378752e-06,3.0,0,2.1809990406036377,1736761919.1373627,,,,,,
3,3,28.550266917,9.999999747378752e-06,4.0,0,2.2775211334228516,1736761919.891266,,,,,,
4,4,29.305745431,9.999999747378752e-06,5.0,0,2.1901333332061768,1736761920.646775,,,,,,
5,5,30.060599257,9.999999747378752e-06,6.0,0,2.0816738605499268,1736761921.4016213,,,,,,
6,6,30.815625126,9.999999747378752e-06,7.0,0,1.8641153573989868,1736761922.1566453,,,,,,
7,7,31.570511524,9.999999747378752e-06,8.0,0,1.8857334852218628,1736761922.9115481,,,,,,
8,8,32.328517528,9.999999747378752e-06,9.0,0,1.7710305452346802,1736761923.6695576,,,,,,
9,9,33.082897058,9.999999747378752e-06,10.0,0,1.6886823177337646,1736761924.423918,,,,,,
10,10,33.837618895,9.999999747378752e-06,11.0,0,1.6165815591812134,1736761925.178611,,,,,,
11,11,34.594168562,9.999999747378752e-06,12.0,0,1.3119750022888184,1736761925.9352062,,,,,,
12,12,35.350035864,9.999999747378752e-06,13.0,0,1.2516273260116577,1736761926.6910355,,,,,,
13,13,36.105716312,9.999999747378752e-06,14.0,0,1.262779951095581,1736761927.446744,,,,,,
14,14,36.861878765,9.999999747378752e-06,15.0,0,1.2157421112060547,1736761928.2029061,,,,,,
15,15,37.617444293,9.999999747378752e-06,16.0,0,1.2780368328094482,1736761928.9584854,,,,,,
16,16,38.375143513,9.999999747378752e-06,17.0,0,0.9400414824485779,1736761929.7161875,,,,,,
17,17,39.131254009,9.999999747378752e-06,18.0,0,0.926478922367096,1736761930.4722762,,,,,,
18,18,39.887336757,9.999999747378752e-06,19.0,0,0.6078743934631348,1736761931.2283537,,,,,,
19,19,40.643032772,9.999999747378752e-06,20.0,0,0.7604485750198364,1736761931.984077,,,,,,
20,20,41.399209035,9.999999747378752e-06,21.0,0,0.6442098021507263,1736761932.7402427,,,,,,
21,21,42.158763902,9.999999747378752e-06,22.0,0,0.5346411466598511,1736761933.4997952,,,,,,
22,22,42.916507981,9.999999747378752e-06,23.0,0,0.609997034072876,1736761934.2575285,,,,,,
