trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,32.797615027,2.857142931134149e-07,1.0,0,0.26785364747047424,1736796465.1025746,,,,,,
1,1,33.251719531,5.714285862268298e-07,2.0,0,0.22169552743434906,1736796465.5564778,,,,,,
2,2,33.705376006,8.571428793402447e-07,3.0,0,0.2715281844139099,1736796466.0104074,,,,,,
3,3,34.159839703,1.1428571724536596e-06,4.0,0,0.34581124782562256,1736796466.4648135,,,,,,
4,4,34.614629811,1.4285714087236556e-06,5.0,0,0.2862848937511444,1736796466.9196181,,,,,,
5,5,35.068376178,1.7142857586804894e-06,6.0,0,0.26865729689598083,1736796467.3734028,,,,,,
6,6,35.52284112,1.9999999949504854e-06,7.0,0,0.26669740676879883,1736796467.827863,,,,,,
7,7,35.977884866,2.285714344907319e-06,8.0,0,0.23632395267486572,1736796468.2826054,,,,,,
8,8,36.4324408,2.5714284674904775e-06,9.0,0,0.22133001685142517,1736796468.7374084,,,,,,
9,9,36.886564435,2.8571428174473112e-06,10.0,0,0.20514529943466187,1736796469.1915545,,,,,,
10,10,37.340697921,3.142857167404145e-06,11.0,0,0.06349565833806992,1736796469.6454005,,,,,,
11,11,37.794980466,3.4285715173609788e-06,12.0,0,0.25153985619544983,1736796470.0995576,,,,,,
12,12,38.249322814,3.714285639944137e-06,13.0,0,0.17156489193439484,1736796470.5540164,,,,,,
13,13,38.703997374,3.999999989900971e-06,14.0,0,0.20647743344306946,1736796471.008993,,,,,,
14,14,39.158816877,4.285714112484129e-06,15.0,0,0.2552463412284851,1736796471.463797,,,,,,
15,15,39.614385232,4.571428689814638e-06,16.0,0,0.12897849082946777,1736796471.9193835,,,,,,
16,16,40.080756634,4.857142812397797e-06,17.0,0,0.12182547152042389,1736796472.3854737,,,,,,
17,17,40.536098787,5.142856934980955e-06,18.0,0,0.06743079423904419,1736796472.8411334,,,,,,
18,18,40.99140261,5.428571512311464e-06,19.0,0,0.10863342136144638,1736796473.296174,,,,,,
19,19,41.447893214,5.7142856348946225e-06,20.0,0,0.2616899311542511,1736796473.7525115,,,,,,
20,20,41.90472624,6.000000212225132e-06,21.0,0,0.1675056368112564,1736796474.2097583,,,,,,
21,21,42.359805135,6.28571433480829e-06,22.0,0,0.15722449123859406,1736796474.6648262,,,,,,
22,22,42.814656594,6.571428457391448e-06,23.0,0,0.16312840580940247,1736796475.1196625,,,,,,
23,23,43.269688062,6.8571430347219575e-06,24.0,0,0.11177689582109451,1736796475.5747013,,,,,,
24,24,43.725027586,7.142857157305116e-06,25.0,0,0.22764533758163452,1736796476.0300272,,,,,,
25,25,44.179524966,7.428571279888274e-06,26.0,0,0.123414546251297,1736796476.4845328,,,,,,
26,26,44.636570976,7.714285857218783e-06,27.0,0,0.056155264377593994,1736796476.94159,,,,,,
27,27,45.09386957,7.999999979801942e-06,28.0,0,0.07787848263978958,1736796477.398312,,,,,,
28,28,45.548431232,8.2857141023851e-06,29.0,0,0.16782410442829132,1736796477.8533986,,,,,,
29,29,46.003221163,8.571428224968258e-06,30.0,0,0.05231814086437225,1736796478.30824,,,,,,
30,30,46.463539701,8.857143257046118e-06,31.0,0,0.2505616843700409,1736796478.7685263,,,,,,
31,31,46.920206355,9.142857379629277e-06,32.0,0,0.40699517726898193,1736796479.225196,,,,,,
32,32,47.378487953,9.428571502212435e-06,33.0,0,0.1602085381746292,1736796479.6830928,,,,,,
33,33,47.833424892,9.714285624795593e-06,34.0,0,0.25370270013809204,1736796480.1384344,,,,,,
34,34,48.288887727,9.999999747378752e-06,35.0,0,0.26336055994033813,1736796480.5939293,,,,,,
35,35,48.744493319,9.999999747378752e-06,36.0,0,0.22313088178634644,1736796481.049484,,,,,,
36,36,49.201431076,9.999754183809273e-06,37.0,0,0.11128764599561691,1736796481.5064335,,,,,,
37,37,49.657358371,9.999017493100837e-06,38.0,0,0.18261446058750153,1736796481.9620469,,,,,,
38,38,50.112435148,9.997790584748145e-06,39.0,0,0.13791897892951965,1736796482.4172277,,,,,,
39,39,50.569299238,9.996071639761794e-06,40.0,0,0.13982665538787842,1736796482.874327,,,,,,
40,40,51.026171325,9.993862477131188e-06,41.0,0,0.1644895374774933,1736796483.3307574,,,,,,
41,41,51.481753649,9.991163096856326e-06,42.0,0,0.23286117613315582,1736796483.7865362,,,,,,
42,42,51.943735331,9.987973498937208e-06,43.0,0,0.14577606320381165,1736796484.2487264,,,,,,
43,43,52.399920986,9.984293683373835e-06,44.0,0,0.12324202805757523,1736796484.7048988,,,,,,
44,44,52.856286618,9.980124559660908e-06,45.0,0,0.12248159945011139,1736796485.1607823,,,,,,
45,45,53.311729866,9.975466127798427e-06,46.0,0,0.22063589096069336,1736796485.6167326,,,,,,
46,46,53.766511185,9.970319297281094e-06,47.0,0,0.13030120730400085,1736796486.0714824,,,,,,
47,47,54.221616322,9.964684068108909e-06,48.0,0,0.14471621811389923,1736796486.5266418,,,,,,
48,48,54.677505286,9.958561349776573e-06,49.0,0,0.14194151759147644,1736796486.9824777,,,,,,
49,49,55.133593704,9.951951142284088e-06,50.0,0,0.20100834965705872,1736796487.4386544,,,,,,
50,50,55.588541048,9.944855264620855e-06,51.0,0,0.25153401494026184,1736796487.8935492,,,,,,
51,51,56.049527204,9.937273716786876e-06,52.0,0,0.04854438826441765,1736796488.3545043,,,,,,
52,52,56.505883416,9.92920649878215e-06,53.0,0,0.09218147397041321,1736796488.8108337,,,,,,
53,53,56.962674313,9.920656339090783e-06,54.0,0,0.19375398755073547,1736796489.2676513,,,,,,
54,54,57.418263641,9.911621418723371e-06,55.0,0,0.17086011171340942,1736796489.7232742,,,,,,
55,55,57.876097421,9.90210537565872e-06,56.0,0,0.10249320417642593,1736796490.1811059,,,,,,
56,56,58.33271707,9.892107300402131e-06,57.0,0,0.09613015502691269,1736796490.637137,,,,,,
57,57,58.787925158,9.881629011943005e-06,58.0,0,0.16442333161830902,1736796491.0929112,,,,,,
58,58,59.246905456,9.870671419776045e-06,59.0,0,0.03987671807408333,1736796491.5514755,,,,,,
59,59,59.702766798,9.85923452390125e-06,60.0,0,0.12322310358285904,1736796492.0078044,,,,,,
60,60,60.159994679,9.847321052802727e-06,61.0,0,0.16183173656463623,1736796492.4645786,,,,,,
61,61,60.621576939,9.834931915975176e-06,62.0,0,0.09917999804019928,1736796492.9266098,,,,,,
62,62,61.076553939,9.822067113418598e-06,63.0,0,0.24206112325191498,1736796493.381554,,,,,,
63,63,61.537297491,9.808729373617098e-06,64.0,0,0.20624010264873505,1736796493.8422832,,,,,,
64,64,61.995128564,9.794918696570676e-06,65.0,0,0.1645875871181488,1736796494.2996612,,,,,,
65,65,62.450017281,9.780637810763437e-06,66.0,0,0.17426612973213196,1736796494.7550004,,,,,,
66,66,62.906601772,9.765886716195382e-06,67.0,0,0.16798433661460876,1736796495.2116058,,,,,,
67,67,63.362875593,9.750668141350616e-06,68.0,0,0.19176197052001953,1736796495.6678612,,,,,,
68,68,63.819914707,9.734982086229138e-06,69.0,0,0.043067969381809235,1736796496.1249373,,,,,,
69,69,64.281317629,9.718832188809756e-06,70.0,0,0.17281219363212585,1736796496.5863638,,,,,,
70,70,64.736096284,9.702217539597768e-06,71.0,0,0.030252380296587944,1736796497.041096,,,,,,
71,71,65.192275793,9.685141776571982e-06,72.0,0,0.12234020233154297,1736796497.4973254,,,,,,
72,72,65.649186289,9.667605809227098e-06,73.0,0,0.17543740570545197,1736796497.9541976,,,,,,
73,73,66.105490242,9.64961145655252e-06,74.0,0,0.08599232137203217,1736796498.410232,,,,,,
74,74,66.560961897,9.631160537537653e-06,75.0,0,0.07974302768707275,1736796498.86598,,,,,,
75,75,67.017004162,9.612254871171899e-06,76.0,0,0.12305952608585358,1736796499.3219953,,,,,,
76,76,67.473619711,9.592896276444662e-06,77.0,0,0.1980937272310257,1736796499.7782948,,,,,,
77,77,67.930271447,9.573085662850644e-06,78.0,0,0.11742385476827621,1736796500.235331,,,,,,
78,78,68.38607602,9.552826668368652e-06,79.0,0,0.1717461496591568,1736796500.6910641,,,,,,
79,79,68.841712849,9.532120202493388e-06,80.0,0,0.15445394814014435,1736796501.1467307,,,,,,
80,80,69.298470266,9.510968993708957e-06,81.0,0,0.1147301122546196,1736796501.6034513,,,,,,
81,81,69.754436754,9.489374861004762e-06,82.0,0,0.14443407952785492,1736796502.0594773,,,,,,
82,82,70.210630839,9.467339623370208e-06,83.0,0,0.14429983496665955,1736796502.5153227,,,,,,
83,83,70.66727158,9.444865099794697e-06,84.0,0,0.20783407986164093,1736796502.9719565,,,,,,
84,84,71.124358036,9.421954018762335e-06,85.0,0,0.136111781001091,1736796503.429058,,,,,,
85,85,71.580875649,9.398609108757228e-06,86.0,0,0.09639307856559753,1736796503.8856213,,,,,,
86,86,72.036634112,9.374832188768778e-06,87.0,0,0.08619874715805054,1736796504.3414052,,,,,,
87,87,72.49322354,9.350625987281092e-06,88.0,0,0.08602967858314514,1736796504.7982426,,,,,,
88,88,72.949910192,9.32599141378887e-06,89.0,0,0.14698050916194916,1736796505.2549343,,,,,,
89,89,73.405745872,9.300933015765622e-06,90.0,0,0.09150288254022598,1736796505.7107193,,,,,,
90,90,73.861969018,9.27545170270605e-06,91.0,0,0.15765300393104553,1736796506.1669734,,,,,,
91,91,74.317958257,9.249550203094259e-06,92.0,0,0.07736851274967194,1736796506.6229706,,,,,,
