trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,37.075463413,1.9999999949504854e-06,1.0,0,1.0917621850967407,1736792964.6435537,,,,,,
1,1,37.534580942,3.999999989900971e-06,2.0,0,0.7981358766555786,1736792965.1026573,,,,,,
2,2,37.991811503,6.000000212225132e-06,3.0,0,1.1893965005874634,1736792965.5598512,,,,,,
3,3,38.452449915,7.999999979801942e-06,4.0,0,1.0119519233703613,1736792966.0204382,,,,,,
4,4,38.909715172,9.999999747378752e-06,5.0,0,0.8414285182952881,1736792966.4778059,,,,,,
5,5,39.3647558,9.999999747378752e-06,6.0,0,0.9656125903129578,1736792966.9328144,,,,,,
6,6,39.821203358,9.991218576033134e-06,7.0,0,0.9747353196144104,1736792967.3893244,,,,,,
7,7,40.275444282,9.96490507532144e-06,8.0,0,0.7486196160316467,1736792967.8434703,,,,,,
8,8,40.731362671,9.921152923197951e-06,9.0,0,0.919605016708374,1736792968.2994657,,,,,,
9,9,41.186736462,9.860114914772566e-06,10.0,0,0.94798344373703,1736792968.754803,,,,,,
10,10,41.647951822,9.782004781300202e-06,11.0,0,0.9659901857376099,1736792969.2160046,,,,,,
11,11,42.108030337,9.687098099675495e-06,12.0,0,1.088260293006897,1736792969.6761086,,,,,,
12,12,42.567069229,9.575727744959295e-06,13.0,0,0.6989165544509888,1736792970.1351283,,,,,,
13,13,43.026314657,9.448285709368065e-06,14.0,0,0.9178617596626282,1736792970.5944264,,,,,,
14,14,43.482623967,9.305217645305675e-06,15.0,0,0.9953075647354126,1736792971.0507042,,,,,,
15,15,43.939733542,9.147028322331607e-06,16.0,0,0.8604275584220886,1736792971.5077918,,,,,,
16,16,44.401347878,8.974272532213945e-06,17.0,0,0.6559023261070251,1736792971.9693544,,,,,,
17,17,44.865756096,8.787555998424068e-06,18.0,0,0.7690660357475281,1736792972.4338365,,,,,,
18,18,45.324082346,8.587536285631359e-06,19.0,0,0.7877575755119324,1736792972.8921216,,,,,,
19,19,45.784993799,8.374914614250883e-06,20.0,0,0.8123262524604797,1736792973.3530967,,,,,,
20,20,46.24616207,8.150439498422202e-06,21.0,0,0.8535571694374084,1736792973.814274,,,,,,
21,21,46.703687053,7.914897651062347e-06,22.0,0,0.7858361005783081,1736792974.2717376,,,,,,
22,22,47.161136704,7.669116712349933e-06,23.0,0,0.5999101400375366,1736792974.729202,,,,,,
23,23,47.618876047,7.413961156998994e-06,24.0,0,0.6144701242446899,1736792975.1870086,,,,,,
24,24,48.076001121,7.150325927796075e-06,25.0,0,0.8365575671195984,1736792975.644029,,,,,,
25,25,48.534698164,6.879137799842283e-06,26.0,0,0.6708702445030212,1736792976.1027977,,,,,,
26,26,48.988340068,6.601349468837725e-06,27.0,0,0.6700481176376343,1736792976.5563817,,,,,,
27,27,49.441180814,6.317935913102701e-06,28.0,0,0.6469428539276123,1736792977.009278,,,,,,
28,28,49.894591997,6.029893029335653e-06,29.0,0,0.7034098505973816,1736792977.4626749,,,,,,
29,29,50.349297489,5.738232630392304e-06,30.0,0,0.7194263339042664,1736792977.9174008,,,,,,
30,30,50.802756711,5.443979262054199e-06,31.0,0,0.601675271987915,1736792978.370573,,,,,,
31,31,51.25578643,5.148166565049905e-06,32.0,0,0.7433190941810608,1736792978.8235478,,,,,,
32,32,51.710281359,4.851833182328846e-06,33.0,0,0.6614031195640564,1736792979.278185,,,,,,
33,33,52.163947218,4.556020485324552e-06,34.0,0,0.789458692073822,1736792979.732032,,,,,,
34,34,52.617446605,4.261767116986448e-06,35.0,0,0.6830871105194092,1736792980.185587,,,,,,
35,35,53.070743704,3.970106718043098e-06,36.0,0,0.6083998680114746,1736792980.6388404,,,,,,
36,36,53.525997702,3.6820640616497258e-06,37.0,0,0.676262617111206,1736792981.0940566,,,,,,
37,37,53.98040179,3.3986507332883775e-06,38.0,0,0.6509267687797546,1736792981.5485306,,,,,,
38,38,54.434732061,3.120862174910144e-06,39.0,0,0.6075770854949951,1736792982.002884,,,,,,
39,39,54.889196021,2.849674046956352e-06,40.0,0,0.7734065055847168,1736792982.4573023,,,,,,
40,40,55.343971985,2.5860390451271087e-06,41.0,0,0.6995750665664673,1736792982.9120526,,,,,,
41,41,55.798489786,2.330883035028819e-06,42.0,0,0.6493729948997498,1736792983.3666158,,,,,,
42,42,56.252614091,2.0851025510637555e-06,43.0,0,0.5664246678352356,1736792983.8207474,,,,,,
43,43,56.706825169,1.8495608173907385e-06,44.0,0,0.7579708099365234,1736792984.2749615,,,,,,
44,44,57.161334254,1.6250850194410305e-06,45.0,0,0.7302172183990479,1736792984.72942,,,,,,
45,45,57.617790137,1.4124636891210685e-06,46.0,0,0.7073814868927002,1736792985.1858776,,,,,,
46,46,58.071620043,1.2124437489546835e-06,47.0,0,0.6129798889160156,1736792985.6397197,,,,,,
47,47,58.52610892,1.0257277835989953e-06,48.0,0,0.6757125854492188,1736792986.0942347,,,,,,
48,48,58.980455601,8.529715955774009e-07,49.0,0,0.597743570804596,1736792986.5485682,,,,,,
49,49,59.434537898,6.947819315428205e-07,50.0,0,0.6959272623062134,1736792987.0026553,,,,,,
50,50,59.888740039,5.517145496014564e-07,51.0,0,0.5635318160057068,1736792987.4568367,,,,,,
51,51,60.342652298,4.2427191715432855e-07,52.0,0,0.5818890333175659,1736792987.9107668,,,,,,
52,52,60.797120727,3.129017045466753e-07,53.0,0,0.6767531633377075,1736792988.3650188,,,,,,
53,53,61.250584478,2.1799507976538735e-07,54.0,0,0.4303973317146301,1736792988.818752,,,,,,
