trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,32.077502665,3.3333333249174757e-06,1.0,0,2.0091629028320312,1736793091.8805547,,,,,,
1,1,32.529959935,6.666666649834951e-06,2.0,0,2.081693172454834,1736793092.3330517,,,,,,
2,2,32.985681475,9.999999747378752e-06,3.0,0,2.1129629611968994,1736793092.7887542,,,,,,
3,3,33.439219886,9.999999747378752e-06,4.0,0,1.614941120147705,1736793093.2422984,,,,,,
4,4,33.892559734,9.970689461624715e-06,5.0,0,1.816592812538147,1736793093.695636,,,,,,
5,5,34.345743181,9.883102393359877e-06,6.0,0,1.7505707740783691,1736793094.1488137,,,,,,
6,6,34.800375877,9.73826627159724e-06,7.0,0,1.3994438648223877,1736793094.6034214,,,,,,
7,7,35.253444378,9.53787730395561e-06,8.0,0,1.5828934907913208,1736793095.0565493,,,,,,
8,8,35.706213611,9.28428562474437e-06,9.0,0,1.7448265552520752,1736793095.5092769,,,,,,
9,9,36.158902543,8.980465281638317e-06,10.0,0,1.3077678680419922,1736793095.961844,,,,,,
10,10,36.611591686,8.629977855889592e-06,11.0,0,1.364797592163086,1736793096.4146442,,,,,,
11,11,37.064699972,8.236931535066105e-06,12.0,0,1.1597542762756348,1736793096.8675017,,,,,,
12,12,37.516950725,7.805935638316441e-06,13.0,0,1.3330610990524292,1736793097.3200054,,,,,,
13,13,37.970553436,7.342042408708949e-06,14.0,0,1.3861793279647827,1736793097.7736466,,,,,,
14,14,38.423389303,6.8506906245602295e-06,15.0,0,1.0763965845108032,1736793098.2264645,,,,,,
15,15,38.876202838,6.3376414800586645e-06,16.0,0,1.3106341361999512,1736793098.6792521,,,,,,
16,16,39.333109405,5.808909918414429e-06,17.0,0,1.112597107887268,1736793099.1362035,,,,,,
17,17,39.788226465,5.270694600767456e-06,18.0,0,1.1170984506607056,1736793099.5913227,,,,,,
18,18,40.247424916,4.7293056013586465e-06,19.0,0,1.1329818964004517,1736793100.050491,,,,,,
19,19,40.701028709,4.191089828964323e-06,20.0,0,1.046701431274414,1736793100.504069,,,,,,
20,20,41.154442396,3.662358267320087e-06,21.0,0,1.12283194065094,1736793100.9575608,,,,,,
21,21,41.608927706,3.149309122818522e-06,22.0,0,1.155171275138855,1736793101.4119647,,,,,,
22,22,42.06191179,2.657957793417154e-06,23.0,0,1.105627417564392,1736793101.8649821,,,,,,
23,23,42.515061613,2.194064563809661e-06,24.0,0,1.0346955060958862,1736793102.3181527,,,,,,
24,24,42.968729525,1.7630685533731594e-06,25.0,0,1.1024622917175293,1736793102.7717857,,,,,,
25,25,43.422010044,1.3700225736101856e-06,26.0,0,1.0592081546783447,1736793103.2250826,,,,,,
26,26,43.875227394,1.0195346931141103e-06,27.0,0,0.9444119334220886,1736793103.678318,,,,,,
27,27,44.328808493,7.157141226343811e-07,28.0,0,1.1757497787475586,1736793104.1318552,,,,,,
28,28,44.781912171,4.621228981704917e-07,29.0,0,1.1894563436508179,1736793104.5849273,,,,,,
29,29,45.235139941,2.6173415790253785e-07,30.0,0,1.1154173612594604,1736793105.038228,,,,,,
30,30,45.688140846,1.1689721901575467e-07,31.0,0,1.0727332830429077,1736793105.491204,,,,,,
31,31,46.024539459,2.9310214699762582e-08,32.0,0,0.9927191734313965,1736793105.8275049,,,,,,
31,32,48.642184379,,,0,,1736793108.4452403,0.758314847946167,0.9415820240974426,,,,
31,33,48.653569229,,,0,,1736793108.4567482,,,0.6316178441047668,1.3320097923278809,,
32,34,53.942773073,,,1,,1736793113.7458322,,,,,0.7605321407318115,0.9263455867767334
