trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.642104068,5.464480778982761e-08,1.0,0,2.315168619155884,1736797526.9788709,,,,,,
1,1,31.095976018,1.0928961557965522e-07,2.0,0,2.3263871669769287,1736797527.4327888,,,,,,
2,2,31.553901693,1.6393443047491019e-07,3.0,0,2.253009557723999,1736797527.8906262,,,,,,
3,3,32.011821776,2.1857923115931044e-07,4.0,0,2.306520938873291,1736797528.3485692,,,,,,
4,4,32.466822992,2.732240318437107e-07,5.0,0,2.2730419635772705,1736797528.8028784,,,,,,
5,5,32.920656391,3.2786886094982037e-07,6.0,0,2.283432722091675,1736797529.2573917,,,,,,
6,6,33.375682775,3.825136616342206e-07,7.0,0,2.2609097957611084,1736797529.7124178,,,,,,
7,7,33.831208113,4.371584623186209e-07,8.0,0,2.2529993057250977,1736797530.168002,,,,,,
8,8,34.285338599,4.918032914247306e-07,9.0,0,2.2692477703094482,1736797530.6221013,,,,,,
9,9,34.739555907,5.464480636874214e-07,10.0,0,2.2282633781433105,1736797531.076367,,,,,,
10,10,35.193727059,6.010928927935311e-07,11.0,0,2.2499232292175293,1736797531.5305393,,,,,,
11,11,35.649112335,6.557377218996407e-07,12.0,0,2.228271484375,1736797531.9858544,,,,,,
12,12,36.104493524,7.103824941623316e-07,13.0,0,2.175555944442749,1736797532.4410255,,,,,,
13,13,36.560745434,7.650273232684413e-07,14.0,0,2.184267520904541,1736797532.897221,,,,,,
14,14,37.016406868,8.196721523745509e-07,15.0,0,2.184394359588623,1736797533.3529084,,,,,,
15,15,37.471693059,8.743169246372418e-07,16.0,0,2.1149518489837646,1736797533.808134,,,,,,
16,16,37.934064584,9.289617537433514e-07,17.0,0,2.021989107131958,1736797534.27081,,,,,,
17,17,38.389230941,9.836065828494611e-07,18.0,0,2.0869505405426025,1736797534.725999,,,,,,
18,18,38.844680358,1.0382514119555708e-06,19.0,0,1.9066534042358398,1736797535.181451,,,,,,
19,19,39.304569793,1.0928961273748428e-06,20.0,0,1.910669207572937,1736797535.6413684,,,,,,
20,20,39.758521936,1.1475409564809524e-06,21.0,0,1.8921180963516235,1736797536.095313,,,,,,
21,21,40.213075505,1.2021857855870621e-06,22.0,0,1.8555545806884766,1736797536.5498695,,,,,,
22,22,40.668739155,1.2568306146931718e-06,23.0,0,1.7780663967132568,1736797537.0051935,,,,,,
23,23,41.12329576,1.3114754437992815e-06,24.0,0,1.730093002319336,1736797537.4601386,,,,,,
24,24,41.577872022,1.3661202729053912e-06,25.0,0,1.6436513662338257,1736797537.9145925,,,,,,
25,25,42.033024625,1.4207649883246631e-06,26.0,0,1.639650583267212,1736797538.3694923,,,,,,
26,26,42.487195798,1.4754098174307728e-06,27.0,0,1.6405686140060425,1736797538.8239563,,,,,,
27,27,42.942208438,1.5300546465368825e-06,28.0,0,1.475160002708435,1736797539.2789938,,,,,,
28,28,43.398054109,1.5846994756429922e-06,29.0,0,1.642006516456604,1736797539.7345662,,,,,,
29,29,43.853064846,1.6393443047491019e-06,30.0,0,1.3695281744003296,1736797540.1898692,,,,,,
30,30,44.30836228,1.6939890201683738e-06,31.0,0,1.3180651664733887,1736797540.6448083,,,,,,
31,31,44.762399453,1.7486338492744835e-06,32.0,0,1.4166003465652466,1736797541.099173,,,,,,
32,32,45.217466616,1.8032786783805932e-06,33.0,0,1.139268398284912,1736797541.5542316,,,,,,
33,33,45.673632868,1.8579235074867029e-06,34.0,0,1.0440574884414673,1736797542.0096393,,,,,,
34,34,46.12880052,1.912568222905975e-06,35.0,0,1.1234240531921387,1736797542.4655828,,,,,,
35,35,46.584287388999996,1.9672131656989222e-06,36.0,0,0.8671922087669373,1736797542.9210455,,,,,,
36,36,47.03964689,2.021857881118194e-06,37.0,0,1.0590972900390625,1736797543.3763905,,,,,,
37,37,47.494736014,2.0765028239111416e-06,38.0,0,0.7032961249351501,1736797543.8315158,,,,,,
38,38,47.951393677,2.1311475393304136e-06,39.0,0,0.8027311563491821,1736797544.2877154,,,,,,
39,39,48.406801118,2.1857922547496855e-06,40.0,0,0.6881356835365295,1736797544.743577,,,,,,
40,40,48.861926572,2.240437197542633e-06,41.0,0,0.6010445952415466,1736797545.1986918,,,,,,
41,41,49.317369389,2.295081912961905e-06,42.0,0,0.736318826675415,1736797545.6541271,,,,,,
42,42,49.772695328,2.3497268557548523e-06,43.0,0,0.7589646577835083,1736797546.109461,,,,,,
43,43,50.228327951,2.4043715711741243e-06,44.0,0,0.436726450920105,1736797546.5646572,,,,,,
44,44,50.683667556,2.4590162865933962e-06,45.0,0,0.7693796753883362,1736797547.0204399,,,,,,
45,45,51.140128,2.5136612293863436e-06,46.0,0,0.4831087291240692,1736797547.4769247,,,,,,
46,46,51.596693842,2.5683059448056156e-06,47.0,0,0.4882039427757263,1736797547.933448,,,,,,
47,47,52.052962868,2.622950887598563e-06,48.0,0,0.4746928811073303,1736797548.389336,,,,,,
48,48,52.507395804,2.677595603017835e-06,49.0,0,0.4120074212551117,1736797548.8441384,,,,,,
49,49,52.962660359,2.7322405458107824e-06,50.0,0,0.3959145247936249,1736797549.299421,,,,,,
50,50,53.418075195,2.7868852612300543e-06,51.0,0,0.4312080144882202,1736797549.7548275,,,,,,
51,51,53.873896503,2.8415299766493263e-06,52.0,0,0.32819584012031555,1736797550.210355,,,,,,
52,52,54.328466336,2.8961749194422737e-06,53.0,0,0.36774933338165283,1736797550.6652222,,,,,,
53,53,54.783691347,2.9508196348615456e-06,54.0,0,0.34472405910491943,1736797551.120465,,,,,,
54,54,55.239372092,3.005464577654493e-06,55.0,0,0.3845212161540985,1736797551.576152,,,,,,
55,55,55.695611193,3.060109293073765e-06,56.0,0,0.27834761142730713,1736797552.0323381,,,,,,
56,56,56.151986188,3.114754008493037e-06,57.0,0,0.3081258535385132,1736797552.488761,,,,,,
57,57,56.607344028,3.1693989512859844e-06,58.0,0,0.24020175635814667,1736797552.9440784,,,,,,
58,58,57.063563072,3.2240436667052563e-06,59.0,0,0.29534268379211426,1736797553.4003024,,,,,,
59,59,57.518839149,3.2786886094982037e-06,60.0,0,0.2114560604095459,1736797553.8555796,,,,,,
60,60,57.974510397,3.3333333249174757e-06,61.0,0,0.33813613653182983,1736797554.3110218,,,,,,
61,61,58.430745009,3.3879780403367477e-06,62.0,0,0.2868867814540863,1736797554.7674956,,,,,,
62,62,58.887713437,3.442622983129695e-06,63.0,0,0.30214932560920715,1736797555.2244442,,,,,,
63,63,59.344151993,3.497267698548967e-06,64.0,0,0.2600429952144623,1736797555.6804085,,,,,,
64,64,59.799826507,3.5519126413419144e-06,65.0,0,0.2527635097503662,1736797556.1363192,,,,,,
65,65,60.255142169,3.6065573567611864e-06,66.0,0,0.19223394989967346,1736797556.5914226,,,,,,
66,66,60.710348406,3.6612020721804583e-06,67.0,0,0.224468395113945,1736797557.0471416,,,,,,
67,67,61.165868882,3.7158470149734057e-06,68.0,0,0.14584045112133026,1736797557.5026608,,,,,,
68,68,61.620854526,3.7704917303926777e-06,69.0,0,0.23355542123317719,1736797557.9576252,,,,,,
69,69,62.076175789,3.82513644581195e-06,70.0,0,0.16582529246807098,1736797558.4126043,,,,,,
70,70,62.531644557999996,3.8797816159785725e-06,71.0,0,0.1376701146364212,1736797558.8683705,,,,,,
71,71,62.987239694,3.9344263313978445e-06,72.0,0,0.21955759823322296,1736797559.3240108,,,,,,
72,72,63.442949355,3.9890710468171164e-06,73.0,0,0.16307370364665985,1736797559.77971,,,,,,
73,73,63.898737533,4.043715762236388e-06,74.0,0,0.1350758671760559,1736797560.23549,,,,,,
74,74,64.354909831,4.09836047765566e-06,75.0,0,0.14275409281253815,1736797560.691641,,,,,,
75,75,64.811505492,4.153005647822283e-06,76.0,0,0.1779966801404953,1736797561.148268,,,,,,
76,76,65.266858515,4.207650363241555e-06,77.0,0,0.12112344056367874,1736797561.6036618,,,,,,
77,77,65.723971846,4.262295078660827e-06,78.0,0,0.16446560621261597,1736797562.060747,,,,,,
78,78,66.179956152,4.316939794080099e-06,79.0,0,0.10918804258108139,1736797562.5167084,,,,,,
79,79,66.635474435,4.371584509499371e-06,80.0,0,0.18590620160102844,1736797562.9722345,,,,,,
80,80,67.091946635,4.426229679665994e-06,81.0,0,0.13737532496452332,1736797563.4287672,,,,,,
81,81,67.547162913,4.480874395085266e-06,82.0,0,0.0987263098359108,1736797563.8836334,,,,,,
82,82,68.002846215,4.535519110504538e-06,83.0,0,0.09523572772741318,1736797564.3396003,,,,,,
83,83,68.458155697,4.59016382592381e-06,84.0,0,0.13340893387794495,1736797564.7949078,,,,,,
84,84,68.914747202,4.644808541343082e-06,85.0,0,0.09694284200668335,1736797565.2511957,,,,,,
85,85,69.369981263,4.699453711509705e-06,86.0,0,0.16227476298809052,1736797565.706436,,,,,,
86,86,69.827554967,4.7540984269289766e-06,87.0,0,0.12505613267421722,1736797566.1639395,,,,,,
87,87,70.283555314,4.8087431423482485e-06,88.0,0,0.07149364054203033,1736797566.6200645,,,,,,
88,88,70.738915001,4.8633878577675205e-06,89.0,0,0.28198328614234924,1736797567.07567,,,,,,
89,89,71.195318073,4.9180325731867924e-06,90.0,0,0.11472798883914948,1736797567.5316715,,,,,,
90,90,71.650826368,4.972677743353415e-06,91.0,0,0.1156848594546318,1736797567.9876065,,,,,,
91,91,72.108110661,5.027322458772687e-06,92.0,0,0.18312905728816986,1736797568.444917,,,,,,
92,92,72.564477645,5.081967174191959e-06,93.0,0,0.0914105772972107,1736797568.9012372,,,,,,
93,93,73.021153989,5.136611889611231e-06,94.0,0,0.14147122204303741,1736797569.3579462,,,,,,
94,94,73.477522927,5.191256605030503e-06,95.0,0,0.1257021129131317,1736797569.8142896,,,,,,
95,95,73.933733018,5.245901775197126e-06,96.0,0,0.1971253752708435,1736797570.2701926,,,,,,
96,96,74.388740426,5.300546490616398e-06,97.0,0,0.06835734099149704,1736797570.7254667,,,,,,
97,97,74.844040241,5.35519120603567e-06,98.0,0,0.1230536550283432,1736797571.1808336,,,,,,
98,98,75.299035286,5.409835921454942e-06,99.0,0,0.08391233533620834,1736797571.635871,,,,,,
