trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.405705362,6.24999984211172e-07,1.0,0,1.2724401950836182,1736793204.044853,,,,,,
1,1,30.860505069,1.249999968422344e-06,2.0,0,1.2989696264266968,1736793204.4997058,,,,,,
2,2,31.313850258,1.874999952633516e-06,3.0,0,1.217090129852295,1736793204.9530587,,,,,,
3,3,31.769819351,2.499999936844688e-06,4.0,0,1.0621087551116943,1736793205.4089978,,,,,,
4,4,32.226131326,3.12499992105586e-06,5.0,0,0.7338482141494751,1736793205.8650649,,,,,,
5,5,32.679746599,3.749999905267032e-06,6.0,0,0.5785265564918518,1736793206.3186245,,,,,,
6,6,33.133356873,4.375000116851879e-06,7.0,0,0.48976483941078186,1736793206.7725296,,,,,,
7,7,33.588341396,4.999999873689376e-06,8.0,0,0.3685983419418335,1736793207.2275202,,,,,,
8,8,34.042946671,5.625000085274223e-06,9.0,0,0.4177946150302887,1736793207.6821766,,,,,,
9,9,34.498430687,6.24999984211172e-06,10.0,0,0.3120569586753845,1736793208.1376445,,,,,,
10,10,34.951358185,6.875000053696567e-06,11.0,0,0.24574832618236542,1736793208.5902646,,,,,,
11,11,35.40443889,7.499999810534064e-06,12.0,0,0.25929251313209534,1736793209.043613,,,,,,
12,12,35.857280827,8.125000022118911e-06,13.0,0,0.20365476608276367,1736793209.496469,,,,,,
13,13,36.310336305,8.750000233703759e-06,14.0,0,0.1562756597995758,1736793209.9496412,,,,,,
14,14,36.764409444,9.375000445288606e-06,15.0,0,0.19956956803798676,1736793210.4035575,,,,,,
15,15,37.21912246,9.999999747378752e-06,16.0,0,0.26298412680625916,1736793210.8582904,,,,,,
16,16,37.682759165,9.999999747378752e-06,17.0,0,0.17767608165740967,1736793211.3219273,,,,,,
17,17,38.136283679,9.998945643019397e-06,18.0,0,0.23996925354003906,1736793211.7751842,,,,,,
18,18,38.588847478,9.995784239436034e-06,19.0,0,0.21312741935253143,1736793212.2280512,,,,,,
19,19,39.042555925,9.990516446123365e-06,20.0,0,0.1259775608778,1736793212.6817486,,,,,,
20,20,39.49705449,9.983144991565496e-06,21.0,0,0.15259000658988953,1736793213.136218,,,,,,
21,21,39.950902007,9.97367260424653e-06,22.0,0,0.26427531242370605,1736793213.5900898,,,,,,
22,22,40.404700453,9.962102922145277e-06,23.0,0,0.2240801900625229,1736793214.0438776,,,,,,
23,23,40.85859569,9.948440492735244e-06,24.0,0,0.10101905465126038,1736793214.4977767,,,,,,
24,24,41.311539809,9.932692591974046e-06,25.0,0,0.3127501308917999,1736793214.9507163,,,,,,
25,25,41.771600901,9.914865586324595e-06,26.0,0,0.1898433268070221,1736793215.410761,,,,,,
26,26,42.226006101,9.894965842249803e-06,27.0,0,0.15234003961086273,1736793215.8651884,,,,,,
27,27,42.679889326,9.873002454696689e-06,28.0,0,0.2387865036725998,1736793216.3186724,,,,,,
28,28,43.134014563,9.84898451861227e-06,29.0,0,0.23322220146656036,1736793216.7726982,,,,,,
29,29,43.586529159,9.822922947932966e-06,30.0,0,0.11230110377073288,1736793217.2256804,,,,,,
30,30,44.040711422,9.794826837605797e-06,31.0,0,0.0786876454949379,1736793217.6798527,,,,,,
31,31,44.496079653,9.764709830051288e-06,32.0,0,0.13763220608234406,1736793218.135258,,,,,,
32,32,44.951347836,9.732583748700563e-06,33.0,0,0.09383762627840042,1736793218.5904787,,,,,,
33,33,45.406714904,9.69846314546885e-06,34.0,0,0.18815436959266663,1736793219.0458598,,,,,,
34,34,45.86151417,9.662360753281973e-06,35.0,0,0.06199588626623154,1736793219.5006785,,,,,,
35,35,46.316963572,9.624293852539267e-06,36.0,0,0.14513297379016876,1736793219.9559119,,,,,,
36,36,46.771268595,9.584276085661259e-06,37.0,0,0.0918831005692482,1736793220.4104314,,,,,,
37,37,47.225743375,9.542326552036684e-06,38.0,0,0.1778893768787384,1736793220.8649096,,,,,,
38,38,47.685205988999996,9.498461622570176e-06,39.0,0,0.1357536017894745,1736793221.3243568,,,,,,
39,39,48.138996961,9.452699487155769e-06,40.0,0,0.11673565953969955,1736793221.7782178,,,,,,
40,40,48.594842733,9.405061064171605e-06,41.0,0,0.0835433229804039,1736793222.2340403,,,,,,
41,41,49.050751925,9.355564543511719e-06,42.0,0,0.11740245670080185,1736793222.6899269,,,,,,
42,42,49.510640915,9.304232662543654e-06,43.0,0,0.1311631202697754,1736793223.1497674,,,,,,
43,43,49.966293026,9.251085430150852e-06,44.0,0,0.16045179963111877,1736793223.6054657,,,,,,
44,44,50.420971897,9.196146493195556e-06,45.0,0,0.06356679648160934,1736793224.0601301,,,,,,
45,45,50.87538939,9.13943767955061e-06,46.0,0,0.055875007063150406,1736793224.5145779,,,,,,
46,46,51.329397949,9.080984455067664e-06,47.0,0,0.14137394726276398,1736793224.9685898,,,,,,
47,47,51.7842527,9.020810466608964e-06,48.0,0,0.12196709960699081,1736793225.4234114,,,,,,
48,48,52.24040776,8.958941180026159e-06,49.0,0,0.3216458261013031,1736793225.879545,,,,,,
49,49,52.695344674,8.8954029706656e-06,50.0,0,0.3228074312210083,1736793226.3345468,,,,,,
50,50,53.150729365,8.83022221387364e-06,51.0,0,0.30215534567832947,1736793226.7899144,,,,,,
51,51,53.60544731,8.763427103986032e-06,52.0,0,0.2255309522151947,1736793227.2446208,,,,,,
52,52,54.06113624,8.695044925843831e-06,53.0,0,0.07911815494298935,1736793227.7003396,,,,,,
53,53,54.515787269,8.625104783277493e-06,54.0,0,0.1374143362045288,1736793228.1546726,,,,,,
54,54,54.970665554,8.553636689612176e-06,55.0,0,0.13971799612045288,1736793228.6094823,,,,,,
55,55,55.425665245,8.480669748678338e-06,56.0,0,0.3203751742839813,1736793229.0648415,,,,,,
56,56,55.880805339,8.40623579279054e-06,57.0,0,0.17844800651073456,1736793229.5194058,,,,,,
57,57,56.335479181,8.330365744768642e-06,58.0,0,0.33500340580940247,1736793229.9747102,,,,,,
58,58,56.790517524,8.253091436927207e-06,59.0,0,0.2509177029132843,1736793230.4293797,,,,,,
59,59,57.244627743,8.174445611075498e-06,60.0,0,0.16470108926296234,1736793230.8837922,,,,,,
60,60,57.699086423,8.094461918517482e-06,61.0,0,0.08218292146921158,1736793231.3382533,,,,,,
61,61,58.153391456,8.01317310106242e-06,62.0,0,0.1045365184545517,1736793231.7926025,,,,,,
62,62,58.612546554,7.930614629003685e-06,63.0,0,0.1295667439699173,1736793232.2517562,,,,,,
63,63,59.067753904,7.846819244150538e-06,64.0,0,0.06477894634008408,1736793232.706986,,,,,,
64,64,59.52262809,7.761825145280454e-06,65.0,0,0.11842036247253418,1736793233.1618474,,,,,,
65,65,59.977288938,7.6756659836974e-06,66.0,0,0.061982862651348114,1736793233.6164944,,,,,,
66,66,60.432727029,7.588378593936795e-06,67.0,0,0.13248933851718903,1736793234.0719047,,,,,,
67,67,60.888278702,7.499999810534064e-06,68.0,0,0.09037021547555923,1736793234.5271914,,,,,,
68,68,61.344400611,7.410567377519328e-06,69.0,0,0.035975098609924316,1736793234.983585,,,,,,
69,69,61.799459122,7.320118584175361e-06,70.0,0,0.04071429371833801,1736793235.4383001,,,,,,
70,70,62.254054478,7.228691629279638e-06,71.0,0,0.0371566116809845,1736793235.8929698,,,,,,
71,71,62.708670662,7.136325166356983e-06,72.0,0,0.1217404305934906,1736793236.3478715,,,,,,
72,72,63.163784487,7.0430578489322215e-06,73.0,0,0.07123453915119171,1736793236.8027065,,,,,,
73,73,63.619195036,6.9489292400248814e-06,74.0,0,0.07004491984844208,1736793237.2583792,,,,,,
74,74,64.07475764,6.8539789026544895e-06,75.0,0,0.05170058086514473,1736793237.7136278,,,,,,
75,75,64.52936588,6.758247309335275e-06,76.0,0,0.09679317474365234,1736793238.168489,,,,,,
76,76,64.984294057,6.661774023086764e-06,77.0,0,0.08496011048555374,1736793238.6234617,,,,,,
77,77,65.439581626,6.564600425917888e-06,78.0,0,0.05996745824813843,1736793239.078769,,,,,,
78,78,65.895689228,6.466766990342876e-06,79.0,0,0.11829164624214172,1736793239.534901,,,,,,
79,79,66.351064732,6.368315098370658e-06,80.0,0,0.07766442000865936,1736793239.9900215,,,,,,
80,80,66.805734948,6.269286132010166e-06,81.0,0,0.09676726162433624,1736793240.4446552,,,,,,
81,81,67.259944031,6.1697223827650305e-06,82.0,0,0.06940962374210358,1736793240.899083,,,,,,
82,82,67.718239132,6.0696652326441836e-06,83.0,0,0.0411171019077301,1736793241.3571444,,,,,,
83,83,68.173310307,5.969157427898608e-06,84.0,0,0.10152534395456314,1736793241.8122385,,,,,,
84,84,68.628743849,5.868240805284586e-06,85.0,0,0.03319568559527397,1736793242.2675724,,,,,,
85,85,69.083039555,5.7669581110531e-06,86.0,0,0.1385483592748642,1736793242.7222018,,,,,,
86,86,69.537786173,5.665352091455134e-06,87.0,0,0.09113523364067078,1736793243.1769629,,,,,,
87,87,69.992913984,5.563465947489021e-06,88.0,0,0.0687217190861702,1736793243.6321082,,,,,,
88,88,70.448080958,5.4613419706583954e-06,89.0,0,0.055599067360162735,1736793244.0873053,,,,,,
89,89,70.903390468,5.35902336196159e-06,90.0,0,0.11519332975149155,1736793244.5425692,,,,,,
90,90,71.358563673,5.25655332239694e-06,91.0,0,0.2023441195487976,1736793244.9977515,,,,,,
91,91,71.813293039,5.153975507710129e-06,92.0,0,0.06690415740013123,1736793245.4521573,,,,,,
92,92,72.267453632,5.051332209404791e-06,93.0,0,0.04458364099264145,1736793245.9066782,,,,,,
93,93,72.721977404,4.948667537973961e-06,94.0,0,0.07425572723150253,1736793246.3608484,,,,,,
94,94,73.177249054,4.8460246944159735e-06,95.0,0,0.03753615915775299,1736793246.816134,,,,,,
95,95,73.632223388,4.743446424981812e-06,96.0,0,0.12001460790634155,1736793247.2714067,,,,,,
96,96,74.086639317,4.640976840164512e-06,97.0,0,0.11087265610694885,1736793247.725856,,,,,,
97,97,74.541305505,4.538658231467707e-06,98.0,0,0.03406395763158798,1736793248.1805127,,,,,,
98,98,74.996306349,4.436534254637081e-06,99.0,0,0.08241494745016098,1736793248.635477,,,,,,
99,99,75.452073905,4.334647655923618e-06,100.0,0,0.1206769123673439,1736793249.0912678,,,,,,
100,100,75.907785738,4.233041636325652e-06,101.0,0,0.09042607992887497,1736793249.546953,,,,,,
101,101,76.362442588,4.131758942094166e-06,102.0,0,0.0621156245470047,1736793250.0016448,,,,,,
102,102,76.816858248,4.030842774227494e-06,103.0,0,0.028023233637213707,1736793250.4560723,,,,,,
103,103,77.273459944,3.930334514734568e-06,104.0,0,0.10424502193927765,1736793250.9126515,,,,,,
104,104,77.729416564,3.830277364613721e-06,105.0,0,0.10617062449455261,1736793251.3681536,,,,,,
105,105,78.185774253,3.7307138427422615e-06,106.0,0,0.1253487467765808,1736793251.8245738,,,,,,
106,106,78.641248542,3.6316851037554443e-06,107.0,0,0.150544211268425,1736793252.2804363,,,,,,
107,107,79.103232197,3.5332332117832266e-06,108.0,0,0.08823886513710022,1736793252.7423813,,,,,,
108,108,79.557880922,3.4353997762082145e-06,109.0,0,0.12898559868335724,1736793253.197093,,,,,,
109,109,80.013208857,3.338225951665663e-06,110.0,0,0.05526316165924072,1736793253.652357,,,,,,
110,110,80.47225377,3.241752892790828e-06,111.0,0,0.07639475911855698,1736793254.1113842,,,,,,
111,111,80.927426214,3.146020844724262e-06,112.0,0,0.024095814675092697,1736793254.5666528,,,,,,
112,112,81.382558172,3.0510707347275456e-06,113.0,0,0.05083947628736496,1736793255.021752,,,,,,
113,113,81.837702484,2.9569421258202055e-06,114.0,0,0.07408410310745239,1736793255.476574,,,,,,
114,114,82.292455755,2.8636748083954444e-06,115.0,0,0.05526268482208252,1736793255.9316573,,,,,,
115,115,82.749241564,2.771308118099114e-06,116.0,0,0.05390191450715065,1736793256.3883853,,,,,,
116,116,83.204225216,2.6798811632033903e-06,117.0,0,0.06387671828269958,1736793256.8434176,,,,,,
117,117,83.660198897,2.589432597233099e-06,118.0,0,0.08584224432706833,1736793257.29864,,,,,,
118,118,84.114860907,2.499999936844688e-06,119.0,0,0.09442899376153946,1736793257.7540693,,,,,,
119,119,84.570386111,2.411621608189307e-06,120.0,0,0.10567136853933334,1736793258.2095573,,,,,,
120,120,85.026258634,2.324334218428703e-06,121.0,0,0.11609335988759995,1736793258.665358,,,,,,
121,121,85.482252213,2.2381750568456482e-06,122.0,0,0.08698814362287521,1736793259.1213746,,,,,,
122,122,85.936337896,2.153180275854538e-06,123.0,0,0.05583108961582184,1736793259.5754933,,,,,,
123,123,86.392476396,2.069385800496093e-06,124.0,0,0.05075392872095108,1736793260.031686,,,,,,
124,124,86.847463794,1.9868268736900063e-06,125.0,0,0.01573627069592476,1736793260.4866493,,,,,,
125,125,87.302505564,1.9055381699217833e-06,126.0,0,0.0507064089179039,1736793260.9417253,,,,,,
126,126,87.758068979,1.8255541363032535e-06,127.0,0,0.01797598972916603,1736793261.3972542,,,,,,
