trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,37.09322959,4.999999987376214e-07,1.0,0,2.108314037322998,1736796267.9786525,,,,,,
1,1,37.546645215,9.999999974752427e-07,2.0,0,1.7195563316345215,1736796268.4320724,,,,,,
2,2,38.000361282,1.500000053056283e-06,3.0,0,1.9122618436813354,1736796268.8857367,,,,,,
3,3,38.453999596,1.9999999949504854e-06,4.0,0,1.6864982843399048,1736796269.338875,,,,,,
4,4,38.907271595,2.499999936844688e-06,5.0,0,1.741133451461792,1736796269.7926805,,,,,,
5,5,39.3613264,3.000000106112566e-06,6.0,0,1.714119791984558,1736796270.2467554,,,,,,
6,6,39.81444712,3.5000000480067683e-06,7.0,0,1.5145814418792725,1736796270.6998746,,,,,,
7,7,40.268870817,3.999999989900971e-06,8.0,0,1.4286311864852905,1736796271.154326,,,,,,
8,8,40.722190542,4.500000159168849e-06,9.0,0,1.4380115270614624,1736796271.6076293,,,,,,
9,9,41.181688001,4.999999873689376e-06,10.0,0,1.4754836559295654,1736796272.0671887,,,,,,
10,10,41.635549732,5.500000042957254e-06,11.0,0,1.4606555700302124,1736796272.5209546,,,,,,
11,11,42.089889938,6.000000212225132e-06,12.0,0,1.4330216646194458,1736796272.9752777,,,,,,
12,12,42.544864624,6.499999926745659e-06,13.0,0,1.242687463760376,1736796273.4302795,,,,,,
13,13,42.998950627,7.000000096013537e-06,14.0,0,1.0788700580596924,1736796273.8840587,,,,,,
14,14,43.452879599,7.499999810534064e-06,15.0,0,1.2083885669708252,1736796274.3383052,,,,,,
15,15,43.907314298,7.999999979801942e-06,16.0,0,1.2784651517868042,1736796274.7927365,,,,,,
16,16,44.373623347,8.50000014906982e-06,17.0,0,1.463265299797058,1736796275.2587335,,,,,,
17,17,44.827329005,9.000000318337698e-06,18.0,0,1.1378421783447266,1736796275.7127547,,,,,,
18,18,45.281835592,9.499999578110874e-06,19.0,0,1.2701228857040405,1736796276.1668563,,,,,,
19,19,45.735152896,9.999999747378752e-06,20.0,0,1.2698004245758057,1736796276.6205916,,,,,,
20,20,46.189091584,9.999999747378752e-06,21.0,0,1.0595057010650635,1736796277.0744777,,,,,,
21,21,46.643625477,9.999254871218e-06,22.0,0,1.128495693206787,1736796277.5287979,,,,,,
22,22,47.098163577,9.997021152230445e-06,23.0,0,1.11612868309021,1736796277.9835513,,,,,,
23,23,47.552670202,9.993297680921387e-06,24.0,0,1.1112769842147827,1736796278.4381402,,,,,,
24,24,48.006812966,9.988086276280228e-06,25.0,0,1.2046245336532593,1736796278.8921912,,,,,,
25,25,48.461071258,9.981388757296372e-06,26.0,0,1.1024836301803589,1736796279.346211,,,,,,
26,26,48.914919765,9.973207852453925e-06,27.0,0,1.1061933040618896,1736796279.8000386,,,,,,
27,27,49.368888809,9.963544471247587e-06,28.0,0,1.3474611043930054,1736796280.254342,,,,,,
28,28,49.823027712,9.952402251656167e-06,29.0,0,1.053492784500122,1736796280.7084196,,,,,,
29,29,50.27724417,9.939784831658471e-06,30.0,0,1.138814926147461,1736796281.162297,,,,,,
30,30,50.731075601,9.925694939738605e-06,31.0,0,1.1075918674468994,1736796281.6159804,,,,,,
31,31,51.184440499,9.91013803286478e-06,32.0,0,1.0118414163589478,1736796282.0699105,,,,,,
32,32,51.64015249,9.8931177490158e-06,33.0,0,1.030956506729126,1736796282.5252829,,,,,,
33,33,52.094846316,9.87463954515988e-06,34.0,0,0.9225651025772095,1736796282.980282,,,,,,
34,34,52.550547429,9.854708878265228e-06,35.0,0,1.1402654647827148,1736796283.4356823,,,,,,
35,35,53.005577818,9.833332114794757e-06,36.0,0,0.7488560080528259,1736796283.8909557,,,,,,
36,36,53.46168918,9.810514711716678e-06,37.0,0,0.9603719115257263,1736796284.3470972,,,,,,
37,37,53.916610047,9.786264854483306e-06,38.0,0,0.9781382083892822,1736796284.8019931,,,,,,
38,38,54.372302228,9.760588000062853e-06,39.0,0,1.0772020816802979,1736796285.2574205,,,,,,
