trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.629759761,2.3255813630385092e-07,1.0,0,1.115624189376831,1736797101.8032806,,,,,,
1,1,31.088187979,4.6511627260770183e-07,2.0,0,1.1375784873962402,1736797102.2617643,,,,,,
2,2,31.553560203,6.976744089115527e-07,3.0,0,1.07597017288208,1736797102.7271302,,,,,,
3,3,32.009182706,9.302325452154037e-07,4.0,0,1.076658844947815,1736797103.1827266,,,,,,
4,4,32.463114434,1.1627906815192546e-06,5.0,0,0.7529504895210266,1736797103.6363938,,,,,,
5,5,32.916761648,1.3953488178231055e-06,6.0,0,0.7594977617263794,1736797104.0900888,,,,,,
6,6,33.370312743,1.6279069541269564e-06,7.0,0,0.4703799784183502,1736797104.5435724,,,,,,
7,7,33.823968293,1.8604650904308073e-06,8.0,0,0.7703129649162292,1736797104.9974856,,,,,,
8,8,34.279379353,2.093023340421496e-06,9.0,0,0.49163830280303955,1736797105.452939,,,,,,
9,9,34.733082072,2.325581363038509e-06,10.0,0,0.6919819116592407,1736797105.9066586,,,,,,
10,10,35.186833564,2.558139613029198e-06,11.0,0,0.5502484440803528,1736797106.3603644,,,,,,
11,11,35.640511928,2.790697635646211e-06,12.0,0,0.7092352509498596,1736797106.814071,,,,,,
12,12,36.095713997,3.0232558856368996e-06,13.0,0,0.49643057584762573,1736797107.2688003,,,,,,
13,13,36.5486494,3.255813908253913e-06,14.0,0,0.6172518730163574,1736797107.7222226,,,,,,
14,14,37.011117858,3.4883721582446015e-06,15.0,0,0.49440306425094604,1736797108.1843455,,,,,,
15,15,37.465213245,3.7209301808616146e-06,16.0,0,0.4207535982131958,1736797108.6384676,,,,,,
16,16,37.930048386,3.953488430852303e-06,17.0,0,0.42926815152168274,1736797109.1036198,,,,,,
17,17,38.38540698,4.186046680842992e-06,18.0,0,0.45369091629981995,1736797109.5589464,,,,,,
18,18,38.84012892,4.41860447608633e-06,19.0,0,0.40594345331192017,1736797110.0136976,,,,,,
19,19,39.297218887,4.651162726077018e-06,20.0,0,0.3996722400188446,1736797110.4707615,,,,,,
20,20,39.751563622,4.883720976067707e-06,21.0,0,0.5693860650062561,1736797110.9250915,,,,,,
21,21,40.206592097,5.116279226058396e-06,22.0,0,0.3999205529689789,1736797111.379879,,,,,,
22,22,40.660630619,5.348837021301733e-06,23.0,0,0.37313738465309143,1736797111.8342488,,,,,,
23,23,41.11656367,5.581395271292422e-06,24.0,0,0.41242465376853943,1736797112.290164,,,,,,
24,24,41.57101241,5.813953521283111e-06,25.0,0,0.40658172965049744,1736797112.744543,,,,,,
25,25,42.026692027,6.046511771273799e-06,26.0,0,0.43965208530426025,1736797113.2002463,,,,,,
26,26,42.481611099,6.279069566517137e-06,27.0,0,0.282103955745697,1736797113.6551836,,,,,,
27,27,42.936469067,6.511627816507826e-06,28.0,0,0.4929739832878113,1736797114.11004,,,,,,
28,28,43.390895627,6.744186066498514e-06,29.0,0,0.3399806022644043,1736797114.5644753,,,,,,
29,29,43.846389336,6.976744316489203e-06,30.0,0,0.30821487307548523,1736797115.019947,,,,,,
30,30,44.301151435,7.209302111732541e-06,31.0,0,0.3825949728488922,1736797115.4743583,,,,,,
31,31,44.755704763,7.441860361723229e-06,32.0,0,0.262891560792923,1736797115.9292219,,,,,,
32,32,45.212273597,7.674418156966567e-06,33.0,0,0.3041982352733612,1736797116.3855748,,,,,,
33,33,45.667385262,7.906976861704607e-06,34.0,0,0.3515279293060303,1736797116.8409302,,,,,,
34,34,46.123089887,8.139534656947944e-06,35.0,0,0.2238624095916748,1736797117.2966442,,,,,,
35,35,46.578771119,8.372093361685984e-06,36.0,0,0.40238913893699646,1736797117.7523298,,,,,,
36,36,47.033925895,8.604651156929322e-06,37.0,0,0.3247276246547699,1736797118.2074687,,,,,,
37,37,47.488971207,8.83720895217266e-06,38.0,0,0.731956958770752,1736797118.662517,,,,,,
38,38,47.944347087,9.069767656910699e-06,39.0,0,0.2924649715423584,1736797119.1178942,,,,,,
39,39,48.399232991,9.302325452154037e-06,40.0,0,0.23684808611869812,1736797119.5727706,,,,,,
40,40,48.854484188,9.534884156892076e-06,41.0,0,0.3866095244884491,1736797120.0280497,,,,,,
41,41,49.309830685,9.767441952135414e-06,42.0,0,0.3342670798301697,1736797120.4833648,,,,,,
42,42,49.765670926,9.999999747378752e-06,43.0,0,0.2940353453159332,1736797120.9388816,,,,,,
43,43,50.221011993,9.999999747378752e-06,44.0,0,0.27003031969070435,1736797121.3945618,,,,,,
44,44,50.675991012,9.99983512883773e-06,45.0,0,0.45513567328453064,1736797121.8495843,,,,,,
45,45,51.132170901,9.999341273214668e-06,46.0,0,0.2974627912044525,1736797122.3051877,,,,,,
46,46,51.587115977,9.998517271014862e-06,47.0,0,0.27898675203323364,1736797122.76066,,,,,,
47,47,52.042237563,9.997364031733014e-06,48.0,0,0.2326434999704361,1736797123.215757,,,,,,
48,48,52.497995462,9.995881555369124e-06,49.0,0,0.3158781826496124,1736797123.671533,,,,,,
49,49,52.953456245,9.994069841923192e-06,50.0,0,0.269062876701355,1736797124.1270082,,,,,,
50,50,53.408350647,9.99192980088992e-06,51.0,0,0.4167160391807556,1736797124.5819244,,,,,,
51,51,53.864487215,9.989459613279905e-06,52.0,0,0.2676151394844055,1736797125.0380163,,,,,,
52,52,54.32666514,9.98666109808255e-06,53.0,0,0.35213983058929443,1736797125.5002553,,,,,,
53,53,54.781961886,9.983534255297855e-06,54.0,0,0.31599465012550354,1736797125.9552507,,,,,,
54,54,55.237118811,9.98007908492582e-06,55.0,0,0.24879074096679688,1736797126.4106836,,,,,,
