trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.280959792,9.999999747378752e-06,1.0,0,1.2524341344833374,1736794855.1669154,,,,,,
1,1,28.734011498,9.619398042559624e-06,2.0,0,1.7669981718063354,1736794855.620008,,,,,,
2,2,29.186915165,8.535534107068088e-06,3.0,0,1.1003221273422241,1736794856.0729294,,,,,,
3,3,29.640517,6.913417109899456e-06,4.0,0,0.9993027448654175,1736794856.5264912,,,,,,
4,4,30.093049155,4.999999873689376e-06,5.0,0,1.016653060913086,1736794856.9789948,,,,,,
5,5,30.546599369,3.0865828648529714e-06,6.0,0,0.9920259118080139,1736794857.4325786,,,,,,
6,6,31.000700738,1.4644660950580146e-06,7.0,0,0.9856988191604614,1736794857.886732,,,,,,
7,7,31.105620228,3.806023300967354e-07,8.0,0,0.5738122463226318,1736794857.9916441,,,,,,
7,8,33.041283284,,,0,,1736794859.9272506,0.7647058963775635,0.8147464990615845,,,,
7,9,33.056562588,,,0,,1736794859.9426448,,,0.6928104758262634,1.1450365781784058,,
8,10,37.605109276,,,1,,1736794864.4910572,,,,,0.7450980544090271,0.8363580107688904
