trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,34.296531052,1.8181818006723915e-07,1.0,0,0.6012167930603027,1736851770.0974333,,,,,,
1,1,34.762382917,3.636363601344783e-07,2.0,0,0.43989041447639465,1736851770.5632935,,,,,,
2,2,35.217262471,5.454545544125722e-07,3.0,0,0.5180723667144775,1736851771.0181472,,,,,,
3,3,35.675916789,7.272727202689566e-07,4.0,0,0.5730496644973755,1736851771.476752,,,,,,
4,4,36.132083506,9.090908861253411e-07,5.0,0,0.557105541229248,1736851771.9329937,,,,,,
5,5,36.588658996,1.0909091088251444e-06,6.0,0,0.6563223004341125,1736851772.3895423,,,,,,
6,6,37.044047803,1.27272721783811e-06,7.0,0,0.5145645141601562,1736851772.8449214,,,,,,
7,7,37.504887771,1.4545454405379132e-06,8.0,0,0.46532928943634033,1736851773.305753,,,,,,
8,8,37.961306912,1.6363636632377165e-06,9.0,0,0.5356545448303223,1736851773.762207,,,,,,
9,9,38.417227173,1.8181817722506821e-06,10.0,0,0.5438148379325867,1736851774.2181106,,,,,,
10,10,38.87367565,1.9999999949504854e-06,11.0,0,0.5376020669937134,1736851774.6745698,,,,,,
11,11,39.329763224,2.1818182176502887e-06,12.0,0,0.6631348133087158,1736851775.1306555,,,,,,
12,12,39.785551421,2.363636440350092e-06,13.0,0,0.3661787509918213,1736851775.5864463,,,,,,
13,13,40.242804522,2.54545443567622e-06,14.0,0,0.4703148603439331,1736851776.0437212,,,,,,
14,14,40.699163074,2.727272658376023e-06,15.0,0,0.47293028235435486,1736851776.5000603,,,,,,
15,15,41.154259453,2.9090908810758265e-06,16.0,0,0.4752376079559326,1736851776.9551582,,,,,,
16,16,41.615910562,3.0909091037756298e-06,17.0,0,0.49577251076698303,1736851777.41679,,,,,,
17,17,42.071850916,3.272727326475433e-06,18.0,0,0.5584943890571594,1736851777.872732,,,,,,
18,18,42.527403378,3.4545455491752364e-06,19.0,0,0.505256712436676,1736851778.328275,,,,,,
19,19,42.98691153,3.6363635445013642e-06,20.0,0,0.3610683083534241,1736851778.7877839,,,,,,
20,20,43.441914939,3.818181994574843e-06,21.0,0,0.601268470287323,1736851779.2427955,,,,,,
21,21,43.897672084999996,3.999999989900971e-06,22.0,0,0.46731457114219666,1736851779.6985657,,,,,,
22,22,44.353236061,4.181817985227099e-06,23.0,0,0.46018683910369873,1736851780.1541,,,,,,
23,23,44.808635912,4.3636364353005774e-06,24.0,0,0.4434445798397064,1736851780.6095612,,,,,,
24,24,45.263978416,4.545454430626705e-06,25.0,0,0.5350213050842285,1736851781.064862,,,,,,
25,25,45.719417322,4.727272880700184e-06,26.0,0,0.5892055630683899,1736851781.5203319,,,,,,
26,26,46.17456313,4.909090876026312e-06,27.0,0,0.6337702870368958,1736851781.9754918,,,,,,
27,27,46.63076432,5.09090887135244e-06,28.0,0,0.5310016870498657,1736851782.431663,,,,,,
28,28,47.086018993,5.2727273214259185e-06,29.0,0,0.8105713129043579,1736851782.8869226,,,,,,
29,29,47.542187352,5.454545316752046e-06,30.0,0,0.41617587208747864,1736851783.3431067,,,,,,
30,30,47.997618306,5.636363766825525e-06,31.0,0,0.5519665479660034,1736851783.7985432,,,,,,
31,31,48.452327555,5.818181762151653e-06,32.0,0,0.40319138765335083,1736851784.253258,,,,,,
32,32,48.908689157,6.000000212225132e-06,33.0,0,0.3731871247291565,1736851784.7095664,,,,,,
33,33,49.366989527,6.1818182075512595e-06,34.0,0,0.6266927719116211,1736851785.1679342,,,,,,
34,34,49.823134296,6.363636202877387e-06,35.0,0,0.4083608388900757,1736851785.6240401,,,,,,
35,35,50.278682062,6.545454652950866e-06,36.0,0,0.5775107741355896,1736851786.079587,,,,,,
36,36,50.735410511,6.727272648276994e-06,37.0,0,0.4613193869590759,1736851786.5363224,,,,,,
37,37,51.191848199,6.909091098350473e-06,38.0,0,0.6082617044448853,1736851786.9927418,,,,,,
38,38,51.648081196,7.090909093676601e-06,39.0,0,0.5052320957183838,1736851787.4489837,,,,,,
39,39,52.103962988,7.2727270890027285e-06,40.0,0,0.6778813004493713,1736851787.9048312,,,,,,
