trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.627471445,5.555555731007189e-07,1.0,0,2.1636617183685303,1736793427.0328522,,,,,,
1,1,31.085101563,1.1111111462014378e-06,2.0,0,2.192166328430176,1736793427.4904468,,,,,,
2,2,31.539293384,1.6666666624587378e-06,3.0,0,2.1266586780548096,1736793427.9446776,,,,,,
3,3,31.996051652,2.2222222924028756e-06,4.0,0,1.831852912902832,1736793428.4013617,,,,,,
4,4,32.452711736,2.7777778086601757e-06,5.0,0,1.7500572204589844,1736793428.8580608,,,,,,
5,5,32.906430703,3.3333333249174757e-06,6.0,0,1.5113993883132935,1736793429.3117805,,,,,,
6,6,33.360172653,3.888888841174776e-06,7.0,0,1.3791431188583374,1736793429.7655196,,,,,,
7,7,33.817188303,4.444444584805751e-06,8.0,0,1.3953956365585327,1736793430.222554,,,,,,
8,8,34.27101458,4.999999873689376e-06,9.0,0,1.1974127292633057,1736793430.6763902,,,,,,
9,9,34.72596544,5.555555617320351e-06,10.0,0,1.0364952087402344,1736793431.131292,,,,,,
10,10,35.180259302,6.111110906203976e-06,11.0,0,0.7756054997444153,1736793431.5855887,,,,,,
11,11,35.635115024,6.666666649834951e-06,12.0,0,0.7173463106155396,1736793432.0404472,,,,,,
12,12,36.089536935,7.222222393465927e-06,13.0,0,0.8334100246429443,1736793432.4948862,,,,,,
13,13,36.54457643,7.777777682349551e-06,14.0,0,0.6991382241249084,1736793432.9499319,,,,,,
14,14,37.001128804,8.333333425980527e-06,15.0,0,0.7704287767410278,1736793433.406491,,,,,,
15,15,37.456178658,8.888889169611502e-06,16.0,0,0.7297142148017883,1736793433.861515,,,,,,
16,16,37.913678022,9.444444003747776e-06,17.0,0,0.5379518270492554,1736793434.3187468,,,,,,
17,17,38.371246314,9.999999747378752e-06,18.0,0,0.6326247453689575,1736793434.7765775,,,,,,
18,18,38.826057493,9.999999747378752e-06,19.0,0,0.5727865099906921,1736793435.231376,,,,,,
19,19,39.281555705,9.999146641348489e-06,20.0,0,0.6058770418167114,1736793435.6869137,,,,,,
20,20,39.737180896,9.996585504268296e-06,21.0,0,0.436479777097702,1736793436.1425428,,,,,,
21,21,40.19145993,9.992318155127577e-06,22.0,0,0.4739783704280853,1736793436.5967946,,,,,,
22,22,40.645483396,9.986345503421035e-06,23.0,0,0.2796889543533325,1736793437.0508416,,,,,,
23,23,41.102588783,9.978671187127475e-06,24.0,0,0.3580506443977356,1736793437.5079248,,,,,,
24,24,41.556541968,9.9692961157416e-06,25.0,0,0.4610837399959564,1736793437.9618993,,,,,,
25,25,42.011028079,9.958223927242216e-06,26.0,0,0.2924657464027405,1736793438.416384,,,,,,
26,26,42.465539357,9.945458259608131e-06,27.0,0,0.2710455656051636,1736793438.8709166,,,,,,
27,27,42.920499745,9.931003660312854e-06,28.0,0,0.3155812621116638,1736793439.325879,,,,,,
28,28,43.374503344,9.914865586324595e-06,29.0,0,0.2720217704772949,1736793439.779825,,,,,,
