trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.108471937,2.3255813630385092e-07,1.0,0,2.2918758392333984,1736798473.454628,,,,,,
1,1,30.563288973,4.6511627260770183e-07,2.0,0,2.476569890975952,1736798473.9094586,,,,,,
2,2,31.019218906,6.976744089115527e-07,3.0,0,2.4853312969207764,1736798474.3653867,,,,,,
3,3,31.48398527,9.302325452154037e-07,4.0,0,2.3870108127593994,1736798474.830167,,,,,,
4,4,31.939163973,1.1627906815192546e-06,5.0,0,2.36498761177063,1736798475.285368,,,,,,
5,5,32.394388631,1.3953488178231055e-06,6.0,0,2.3503782749176025,1736798475.7405837,,,,,,
6,6,32.849105136,1.6279069541269564e-06,7.0,0,2.1974306106567383,1736798476.1952918,,,,,,
7,7,33.303370935,1.8604650904308073e-06,8.0,0,2.2591469287872314,1736798476.6495488,,,,,,
8,8,33.759297038,2.093023340421496e-06,9.0,0,2.1809446811676025,1736798477.1054804,,,,,,
9,9,34.214557421,2.325581363038509e-06,10.0,0,2.1867454051971436,1736798477.5607615,,,,,,
10,10,34.670085366,2.558139613029198e-06,11.0,0,2.1144628524780273,1736798478.0162668,,,,,,
11,11,35.128387061,2.790697635646211e-06,12.0,0,2.0720715522766113,1736798478.4745595,,,,,,
12,12,35.583820708,3.0232558856368996e-06,13.0,0,1.9903631210327148,1736798478.9295492,,,,,,
13,13,36.037617845,3.255813908253913e-06,14.0,0,2.0101022720336914,1736798479.3838084,,,,,,
14,14,36.491993456,3.4883721582446015e-06,15.0,0,1.9595378637313843,1736798479.8381863,,,,,,
15,15,36.946042324,3.7209301808616146e-06,16.0,0,1.8566151857376099,1736798480.2922342,,,,,,
16,16,37.402981642,3.953488430852303e-06,17.0,0,1.8200781345367432,1736798480.7491586,,,,,,
17,17,37.857404511,4.186046680842992e-06,18.0,0,1.7584680318832397,1736798481.2036216,,,,,,
18,18,38.315714849,4.41860447608633e-06,19.0,0,1.5946869850158691,1736798481.661921,,,,,,
19,19,38.773081567,4.651162726077018e-06,20.0,0,1.6130833625793457,1736798482.1192772,,,,,,
20,20,39.227410968,4.883720976067707e-06,21.0,0,1.6694546937942505,1736798482.5736225,,,,,,
21,21,39.681949201,5.116279226058396e-06,22.0,0,1.511576533317566,1736798483.0278563,,,,,,
22,22,40.136012011,5.348837021301733e-06,23.0,0,1.520477533340454,1736798483.482199,,,,,,
23,23,40.590457609,5.581395271292422e-06,24.0,0,1.4255388975143433,1736798483.9366813,,,,,,
24,24,41.046055347,5.813953521283111e-06,25.0,0,1.2225427627563477,1736798484.3922803,,,,,,
