trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.539023026,4.999999873689376e-06,1.0,0,0.35668474435806274,1736794752.0548415,,,,,,
1,1,30.993419284,9.999999747378752e-06,2.0,0,0.4246456027030945,1736794752.5092497,,,,,,
2,2,31.454152398,9.999999747378752e-06,3.0,0,0.6511649489402771,1736794752.9699872,,,,,,
3,3,31.906863914,9.957224392564967e-06,4.0,0,0.3174535930156708,1736794753.4223695,,,,,,
4,4,32.35913417,9.82962956186384e-06,5.0,0,0.48137393593788147,1736794753.8749757,,,,,,
5,5,32.811692503,9.619398042559624e-06,6.0,0,0.2444794476032257,1736794754.3275213,,,,,,
6,6,33.266121803,9.330126886197831e-06,7.0,0,0.2438894659280777,1736794754.781616,,,,,,
7,7,33.719042654,8.966766472440213e-06,8.0,0,0.21947434544563293,1736794755.2348638,,,,,,
8,8,34.171933086,8.535534107068088e-06,9.0,0,0.18450063467025757,1736794755.6878006,,,,,,
9,9,34.625205333,8.043806701607537e-06,10.0,0,0.2673226594924927,1736794756.141032,,,,,,
10,10,35.078593264,7.499999810534064e-06,11.0,0,0.4295121431350708,1736794756.5941749,,,,,,
11,11,35.531267503,6.913417109899456e-06,12.0,0,0.34112441539764404,1736794757.047117,,,,,,
12,12,35.986049581,6.2940953284851275e-06,13.0,0,0.21069516241550446,1736794757.501914,,,,,,
13,13,36.438993432,5.652630989061436e-06,14.0,0,0.32399439811706543,1736794757.9548557,,,,,,
14,14,36.892910909,4.999999873689376e-06,15.0,0,0.2702515125274658,1736794758.4087684,,,,,,
15,15,37.346026939,4.347369213064667e-06,16.0,0,0.26693180203437805,1736794758.8619127,,,,,,
16,16,37.802239668,3.705904873640975e-06,17.0,0,0.27626127004623413,1736794759.3180716,,,,,,
17,17,38.259391711,3.0865828648529714e-06,18.0,0,0.1628902107477188,1736794759.7752247,,,,,,
18,18,38.71533547,2.499999936844688e-06,19.0,0,0.19310274720191956,1736794760.2311456,,,,,,
19,19,39.16937253,1.9561928183975397e-06,20.0,0,0.3960872292518616,1736794760.6850045,,,,,,
20,20,39.62386175,1.4644660950580146e-06,21.0,0,0.16256381571292877,1736794761.1396818,,,,,,
21,21,40.07833707,1.0332332749385387e-06,22.0,0,0.24761730432510376,1736794761.594088,,,,,,
22,22,40.532205488,6.698729748677579e-07,23.0,0,0.17545028030872345,1736794762.0480623,,,,,,
23,23,40.987495274,3.806023300967354e-07,24.0,0,0.311087429523468,1736794762.5033612,,,,,,
24,24,41.441748972,1.7037086763593834e-07,25.0,0,0.2975468635559082,1736794762.9576054,,,,,,
25,25,41.846558719,4.277569232158385e-08,26.0,0,0.2437659054994583,1736794763.362403,,,,,,
25,26,44.221692184,,,0,,1736794765.7374778,0.91576087474823,0.23237574100494385,,,,
25,27,44.238907743,,,0,,1736794765.7548437,,,0.9012681245803833,0.2964020073413849,,
26,28,49.165732355,,,1,,1736794770.6814914,,,,,0.9239130616188049,0.23100265860557556
