trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.594190913,5.000000058430487e-08,1.0,0,0.7499175667762756,1736795230.6828465,,,,,,
1,1,37.05051111,1.0000000116860974e-07,2.0,0,0.7330875992774963,1736795231.1391807,,,,,,
2,2,37.505153596,1.500000053056283e-07,3.0,0,0.810843825340271,1736795231.5938957,,,,,,
3,3,37.960025243,2.0000000233721948e-07,4.0,0,0.788610577583313,1736795232.0487235,,,,,,
4,4,38.417207364,2.499999993688107e-07,5.0,0,0.7487464547157288,1736795232.5058928,,,,,,
5,5,38.873132005,3.000000106112566e-07,6.0,0,0.796676516532898,1736795232.9618275,,,,,,
6,6,39.333429731,3.4999999343199306e-07,7.0,0,0.7712218761444092,1736795233.4221268,,,,,,
7,7,39.789003632000004,4.0000000467443897e-07,8.0,0,0.7573981285095215,1736795233.877648,,,,,,
8,8,40.246999426,4.4999998749517545e-07,9.0,0,0.6582796573638916,1736795234.3356586,,,,,,
9,9,40.702003446,4.999999987376214e-07,10.0,0,0.6873226165771484,1736795234.790668,,,,,,
10,10,41.157773892,5.499999815583578e-07,11.0,0,0.5921186208724976,1736795235.2464323,,,,,,
11,11,41.611983198,6.000000212225132e-07,12.0,0,0.5856344103813171,1736795235.700585,,,,,,
12,12,42.074917166,6.500000040432496e-07,13.0,0,0.6339825987815857,1736795236.1635847,,,,,,
13,13,42.529386097,6.999999868639861e-07,14.0,0,0.5589098334312439,1736795236.6180568,,,,,,
14,14,42.984287659,7.500000265281415e-07,15.0,0,0.5483420491218567,1736795237.0730102,,,,,,
15,15,43.439983501,8.000000093488779e-07,16.0,0,0.5604165196418762,1736795237.528671,,,,,,
16,16,43.895357127,8.499999921696144e-07,17.0,0,0.490435928106308,1736795237.9837265,,,,,,
17,17,44.35075103,8.999999749903509e-07,18.0,0,0.5199406147003174,1736795238.4394443,,,,,,
18,18,44.806641535,9.500000146545062e-07,19.0,0,0.5404479503631592,1736795238.8953588,,,,,,
19,19,45.260949578,9.999999974752427e-07,20.0,0,0.4676244854927063,1736795239.3496494,,,,,,
20,20,45.717966304,1.050000037139398e-06,21.0,0,0.48436522483825684,1736795239.8066585,,,,,,
21,21,46.17515977,1.0999999631167157e-06,22.0,0,0.49235451221466064,1736795240.2637951,,,,,,
22,22,46.633709541,1.150000002780871e-06,23.0,0,0.4336893856525421,1736795240.7224386,,,,,,
23,23,47.090624263,1.2000000424450263e-06,24.0,0,0.44087380170822144,1736795241.179297,,,,,,
24,24,47.547257355,1.249999968422344e-06,25.0,0,0.42845943570137024,1736795241.6359243,,,,,,
25,25,48.002367929,1.3000000080864993e-06,26.0,0,0.4124429523944855,1736795242.0906193,,,,,,
26,26,48.457139686,1.3500000477506546e-06,27.0,0,0.3796819746494293,1736795242.545813,,,,,,
27,27,48.911888309,1.3999999737279722e-06,28.0,0,0.432280957698822,1736795243.000555,,,,,,
28,28,49.367044405,1.4500000133921276e-06,29.0,0,0.4031951129436493,1736795243.455721,,,,,,
29,29,49.821018654,1.500000053056283e-06,30.0,0,0.31865009665489197,1736795243.909685,,,,,,
30,30,50.274946453,1.5499999790336005e-06,31.0,0,0.4246484339237213,1736795244.3636317,,,,,,
31,31,50.730219617,1.6000000186977559e-06,32.0,0,0.4109225273132324,1736795244.8188813,,,,,,
32,32,51.185546801,1.6499999446750735e-06,33.0,0,0.3968178629875183,1736795245.2742116,,,,,,
33,33,51.643180322,1.6999999843392288e-06,34.0,0,0.41152918338775635,1736795245.73185,,,,,,
34,34,52.107565192,1.7500000240033842e-06,35.0,0,0.42781588435173035,1736795246.1962736,,,,,,
35,35,52.562896641,1.7999999499807018e-06,36.0,0,0.37040382623672485,1736795246.6515772,,,,,,
36,36,53.020898691,1.8499999896448571e-06,37.0,0,0.4155145585536957,1736795247.109606,,,,,,
37,37,53.477780017,1.9000000293090125e-06,38.0,0,0.37183016538619995,1736795247.5661309,,,,,,
38,38,53.932040424,1.950000068973168e-06,39.0,0,0.2913903295993805,1736795248.0207303,,,,,,
39,39,54.390474281,1.9999999949504854e-06,40.0,0,0.350845605134964,1736795248.4791605,,,,,,
40,40,54.847352639,2.049999920927803e-06,41.0,0,0.6066407561302185,1736795248.936017,,,,,,
41,41,55.303108829,2.100000074278796e-06,42.0,0,0.5166282653808594,1736795249.3917994,,,,,,
42,42,55.759799122,2.1500000002561137e-06,43.0,0,0.4072410464286804,1736795249.8485148,,,,,,
43,43,56.215263603,2.1999999262334313e-06,44.0,0,0.3807612955570221,1736795250.303957,,,,,,
44,44,56.671034138,2.2500000795844244e-06,45.0,0,0.3534241020679474,1736795250.7597115,,,,,,
45,45,57.126703863,2.300000005561742e-06,46.0,0,0.3181653916835785,1736795251.2153394,,,,,,
46,46,57.581804749,2.3499999315390596e-06,47.0,0,0.39131852984428406,1736795251.6704903,,,,,,
47,47,58.039068344,2.4000000848900527e-06,48.0,0,0.37826505303382874,1736795252.1277702,,,,,,
48,48,58.493881357,2.4500000108673703e-06,49.0,0,0.34280234575271606,1736795252.5825386,,,,,,
49,49,58.949687635,2.499999936844688e-06,50.0,0,0.36730942130088806,1736795253.0383306,,,,,,
50,50,59.406440187,2.550000090195681e-06,51.0,0,0.3611459732055664,1736795253.4951353,,,,,,
51,51,59.862050024,2.6000000161729986e-06,52.0,0,0.32879865169525146,1736795253.9507463,,,,,,
52,52,60.318627015,2.649999942150316e-06,53.0,0,0.30337101221084595,1736795254.407316,,,,,,
53,53,60.777287325,2.7000000955013093e-06,54.0,0,0.25980907678604126,1736795254.8659763,,,,,,
54,54,61.234024865,2.750000021478627e-06,55.0,0,0.27812740206718445,1736795255.3227868,,,,,,
55,55,61.692180505,2.7999999474559445e-06,56.0,0,0.2962762117385864,1736795255.7808478,,,,,,
56,56,62.148035929,2.8500001008069376e-06,57.0,0,0.36533182859420776,1736795256.236702,,,,,,
57,57,62.603543087,2.900000026784255e-06,58.0,0,0.28590822219848633,1736795256.6921852,,,,,,
58,58,63.06000627,2.9499999527615728e-06,59.0,0,0.3038255274295807,1736795257.148672,,,,,,
59,59,63.516346379,3.000000106112566e-06,60.0,0,0.266263484954834,1736795257.605003,,,,,,
60,60,63.973039181,3.0500000320898835e-06,61.0,0,0.3823205232620239,1736795258.0617023,,,,,,
61,61,64.429219148,3.099999958067201e-06,62.0,0,0.32872119545936584,1736795258.5178802,,,,,,
62,62,64.885544237,3.150000111418194e-06,63.0,0,0.22529630362987518,1736795258.974208,,,,,,
63,63,65.3420103,3.2000000373955118e-06,64.0,0,0.23942731320858002,1736795259.430703,,,,,,
64,64,65.798327653,3.2499999633728294e-06,65.0,0,0.248167484998703,1736795259.8869884,,,,,,
65,65,66.253242322,3.299999889350147e-06,66.0,0,0.2475593537092209,1736795260.3419569,,,,,,
66,66,66.709409261,3.35000004270114e-06,67.0,0,0.1662190854549408,1736795260.7981048,,,,,,
67,67,67.164803519,3.3999999686784577e-06,68.0,0,0.3061617612838745,1736795261.253491,,,,,,
68,68,67.621543361,3.4499998946557753e-06,69.0,0,0.24034002423286438,1736795261.7102237,,,,,,
69,69,68.077196463,3.5000000480067683e-06,70.0,0,0.31684410572052,1736795262.1659095,,,,,,
70,70,68.531959263,3.549999973984086e-06,71.0,0,0.1944754421710968,1736795262.6206398,,,,,,
71,71,68.989949509,3.5999998999614036e-06,72.0,0,0.22732020914554596,1736795263.078646,,,,,,
72,72,69.446593457,3.6500000533123966e-06,73.0,0,0.35385948419570923,1736795263.5352535,,,,,,
73,73,69.902918447,3.6999999792897142e-06,74.0,0,0.2587123215198517,1736795263.9916115,,,,,,
74,74,70.359185666,3.749999905267032e-06,75.0,0,0.2215534746646881,1736795264.4478862,,,,,,
75,75,70.81473079,3.800000058618025e-06,76.0,0,0.30453845858573914,1736795264.9034135,,,,,,
76,76,71.271527331,3.850000211969018e-06,77.0,0,0.35552728176116943,1736795265.3602228,,,,,,
77,77,71.727414655,3.900000137946336e-06,78.0,0,0.25298792123794556,1736795265.816149,,,,,,
78,78,72.184089466,3.950000063923653e-06,79.0,0,0.21742330491542816,1736795266.2727573,,,,,,
