trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.7516158,2.499999936844688e-06,1.0,0,0.6754261255264282,1736797406.256035,,,,,,
1,1,31.207109083,4.999999873689376e-06,2.0,0,0.7097306847572327,1736797406.71154,,,,,,
2,2,31.665021688,7.499999810534064e-06,3.0,0,0.617583692073822,1736797407.1693892,,,,,,
3,3,32.123142264,9.999999747378752e-06,4.0,0,0.6613924503326416,1736797407.6274698,,,,,,
4,4,32.578568332,9.999999747378752e-06,5.0,0,0.628803014755249,1736797408.0829594,,,,,,
5,5,33.035411845,9.98782070382731e-06,6.0,0,0.6175955533981323,1736797408.5397713,,,,,,
6,6,33.493367141,9.951339961844496e-06,7.0,0,0.5500001907348633,1736797408.9977624,,,,,,
7,7,33.949070298,9.890737601381261e-06,8.0,0,0.5994471907615662,1736797409.453411,,,,,,
8,8,34.404402892,9.806308298720978e-06,9.0,0,0.6536012887954712,1736797409.908778,,,,,,
9,9,34.859299378,9.69846314546885e-06,10.0,0,0.5645662546157837,1736797410.363643,,,,,,
10,10,35.317167482,9.567726920067798e-06,11.0,0,0.7218999266624451,1736797410.8215294,,,,,,
11,11,35.772196487,9.414738087798469e-06,12.0,0,0.6440943479537964,1736797411.2765462,,,,,,
12,12,36.226570916,9.240240615326911e-06,13.0,0,0.5513287782669067,1736797411.73094,,,,,,
13,13,36.680919557,9.045084880199283e-06,14.0,0,0.5699766278266907,1736797412.1852376,,,,,,
14,14,37.135821244,8.83022221387364e-06,15.0,0,0.6192792057991028,1736797412.6401975,,,,,,
15,15,37.591680124,8.596699444751721e-06,16.0,0,0.5020768642425537,1736797413.096064,,,,,,
16,16,38.056449827,8.345653441210743e-06,17.0,0,0.6256498098373413,1736797413.5607932,,,,,,
17,17,38.511337828,8.07830747362459e-06,18.0,0,0.5354989767074585,1736797414.0156837,,,,,,
18,18,38.965534866,7.795964847900905e-06,19.0,0,0.5269291996955872,1736797414.469305,,,,,,
19,19,39.420006688,7.499999810534064e-06,20.0,0,0.5396502614021301,1736797414.923858,,,,,,
20,20,39.873287841,7.1918557296157815e-06,21.0,0,0.5831760168075562,1736797415.377639,,,,,,
21,21,40.327904755,6.873032816656632e-06,22.0,0,0.48525145649909973,1736797415.8317993,,,,,,
22,22,40.78138443,6.5450849433545955e-06,23.0,0,0.5440236926078796,1736797416.285799,,,,,,
23,23,41.23541144,6.209609637153335e-06,24.0,0,0.5999206900596619,1736797416.7397788,,,,,,
24,24,41.689521886,5.868240805284586e-06,25.0,0,0.49863892793655396,1736797417.1939113,,,,,,
25,25,42.143513009,5.522642368305242e-06,26.0,0,0.5740267038345337,1736797417.647878,,,,,,
26,26,42.598368762,5.174497346160933e-06,27.0,0,0.4651940166950226,1736797418.102775,,,,,,
27,27,43.052669996,4.825502401217818e-06,28.0,0,0.5118443369865417,1736797418.5570335,,,,,,
28,28,43.506447089,4.477357833820861e-06,29.0,0,0.48243001103401184,1736797419.010839,,,,,,
29,29,43.961364958,4.131758942094166e-06,30.0,0,0.4717833399772644,1736797419.4657314,,,,,,
30,30,44.41473052,3.7903905649727676e-06,31.0,0,0.4773349165916443,1736797419.919152,,,,,,
31,31,44.869510632,3.4549150313978316e-06,32.0,0,0.44921135902404785,1736797420.3739069,,,,,,
32,32,45.324057056,3.1269669307221193e-06,33.0,0,0.4815428853034973,1736797420.8281298,,,,,,
33,33,45.77989,2.8081442451366456e-06,34.0,0,0.4486210346221924,1736797421.2842805,,,,,,
34,34,46.235224411,2.499999936844688e-06,35.0,0,0.5379977822303772,1736797421.7396708,,,,,,
35,35,46.689831649,2.2040355815988733e-06,36.0,0,0.5681176781654358,1736797422.1942227,,,,,,
36,36,47.144493941,1.9216927285015117e-06,37.0,0,0.3964296877384186,1736797422.6485806,,,,,,
37,37,47.600175643,1.654346988289035e-06,38.0,0,0.4798629879951477,1736797423.1045694,,,,,,
38,38,48.055391722,1.403300984748057e-06,39.0,0,0.5416839718818665,1736797423.5597603,,,,,,
39,39,48.512431928,1.1697777608787874e-06,40.0,0,0.47779589891433716,1736797424.0168219,,,,,,
40,40,48.967492888,9.54914980866306e-07,41.0,0,0.5484676957130432,1736797424.471583,,,,,,
41,41,49.421742447,7.597595299557725e-07,42.0,0,0.5321086049079895,1736797424.9261296,,,,,,
42,42,49.876541616,5.852620574842149e-07,43.0,0,0.480663537979126,1736797425.3809574,,,,,,
43,43,50.331697864,4.3227271362411557e-07,44.0,0,0.4945383667945862,1736797425.8360212,,,,,,
44,44,50.786694013,3.0153688612699625e-07,45.0,0,0.5185328722000122,1736797426.2911284,,,,,,
45,45,51.242353123,1.93691519712047e-07,46.0,0,0.4462471008300781,1736797426.7467349,,,,,,
46,46,51.697836053,1.0926199678351622e-07,47.0,0,0.48410600423812866,1736797427.2022183,,,,,,
47,47,52.15319941,4.865965763656277e-08,48.0,0,0.5362041592597961,1736797427.6572695,,,,,,
48,48,52.46277333,1.2179748765106524e-08,49.0,0,0.4656948745250702,1736797427.9671867,,,,,,
48,49,55.569403171,,,0,,1736797431.0737724,0.7442196607589722,0.5075645446777344,,,,
48,50,55.579042278,,,0,,1736797431.0835218,,,0.7265574932098389,0.5453748106956482,,
49,51,61.307877341,,,1,,1736797436.8121665,,,,,0.7615606784820557,0.5169029831886292
