trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,46.105982029,3.3333333249174757e-06,1.0,0,0.05879950523376465,1736794639.6187615,,,,,,
1,1,46.565767901,6.666666649834951e-06,2.0,0,0.11175747215747833,1736794640.0784872,,,,,,
2,2,47.018550719,9.999999747378752e-06,3.0,0,0.03984636440873146,1736794640.5312939,,,,,,
3,3,47.471869676,9.999999747378752e-06,4.0,0,0.05432204529643059,1736794640.983874,,,,,,
4,4,47.923492595,9.977359695767518e-06,5.0,0,0.08514236658811569,1736794641.4359846,,,,,,
5,5,48.378477791,9.909643267747015e-06,6.0,0,0.0559881329536438,1736794641.8910313,,,,,,
6,6,48.833664622,9.79746528173564e-06,7.0,0,0.09343742579221725,1736794642.3464415,,,,,,
7,7,49.286488684,9.64183982432587e-06,8.0,0,0.051146071404218674,1736794642.7992468,,,,,,
8,8,49.739908475,9.444177521800157e-06,9.0,0,0.047860223799943924,1736794643.2527092,,,,,,
9,9,50.192874999,9.206267350236885e-06,10.0,0,0.019763125106692314,1736794643.705627,,,,,,
10,10,50.646980915,8.93026572157396e-06,11.0,0,0.038114383816719055,1736794644.1597817,,,,,,
11,11,51.099843657,8.61867010826245e-06,12.0,0,0.09805209934711456,1736794644.6126328,,,,,,
12,12,51.552361359,8.274303581856657e-06,13.0,0,0.03941056504845619,1736794645.0649116,,,,,,
13,13,52.00422247,7.900284799688961e-06,14.0,0,0.1352793127298355,1736794645.517046,,,,,,
14,14,52.457901512,7.499999810534064e-06,15.0,0,0.030721541494131088,1736794645.970321,,,,,,
15,15,52.910390147,7.0770752245152835e-06,16.0,0,0.11008547246456146,1736794646.4232347,,,,,,
16,16,53.367007923,6.635340014327085e-06,17.0,0,0.06475213915109634,1736794646.879822,,,,,,
17,17,53.82441067,6.1787945924152154e-06,18.0,0,0.036394063383340836,1736794647.3367553,,,,,,
18,18,54.277223539,5.7115739764412865e-06,19.0,0,0.013065258041024208,1736794647.7900732,,,,,,
19,19,54.730527488999996,5.237909590505296e-06,20.0,0,0.034709345549345016,1736794648.2431145,,,,,,
20,20,55.183866842,4.762090611620806e-06,21.0,0,0.05447521433234215,1736794648.6966279,,,,,,
21,21,55.640278554,4.288425770937465e-06,22.0,0,0.09589193016290665,1736794649.1528604,,,,,,
22,22,56.096563253,3.821205154963536e-06,23.0,0,0.04066227376461029,1736794649.6093807,,,,,,
23,23,56.550016563,3.364660187799018e-06,24.0,0,0.06336940079927444,1736794650.0627701,,,,,,
24,24,57.00430029,2.922924977610819e-06,25.0,0,0.07750177383422852,1736794650.5167906,,,,,,
25,25,57.45728908,2.499999936844688e-06,26.0,0,0.015741081908345222,1736794650.9701042,,,,,,
26,26,57.911217773,2.099715402437141e-06,27.0,0,0.009880813769996166,1736794651.4238102,,,,,,
27,27,58.36470219,1.7256962792089325e-06,28.0,0,0.021713990718126297,1736794651.8772283,,,,,,
28,28,58.818145906,1.3813297528031399e-06,29.0,0,0.03755791485309601,1736794652.3304539,,,,,,
29,29,59.271334539,1.0697344805521425e-06,30.0,0,0.01811125874519348,1736794652.784085,,,,,,
30,30,59.726358593,7.937323402984475e-07,31.0,0,0.023534391075372696,1736794653.2391644,,,,,,
31,31,60.180098778,5.558227371693647e-07,32.0,0,0.018784310668706894,1736794653.692662,,,,,,
32,32,60.634362947,3.5816032095681294e-07,33.0,0,0.12274545431137085,1736794654.147152,,,,,,
33,33,61.088562229,2.0253513355328323e-07,34.0,0,0.04192611947655678,1736794654.601103,,,,,,
34,34,61.542403426999996,9.035651515887366e-08,35.0,0,0.037393271923065186,1736794655.055157,,,,,,
35,35,61.630427684,2.264038734267615e-08,36.0,0,0.08167857676744461,1736794655.1432672,,,,,,
35,36,63.800327346,,,0,,1736794657.3130374,0.9879999756813049,0.036316800862550735,,,,
35,37,63.817668986,,,0,,1736794657.3305268,,,0.9828888773918152,0.05434875562787056,,
36,38,68.52842722,,,1,,1736794662.041135,,,,,0.9900000095367432,0.0330200158059597
