trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,44.512355048,7.142857043618278e-07,1.0,0,1.3242512941360474,1736794445.889908,,,,,,
1,1,44.968629708,1.4285714087236556e-06,2.0,0,1.3242719173431396,1736794446.3462813,,,,,,
2,2,45.43926026,2.1428570562420646e-06,3.0,0,1.378266453742981,1736794446.8166604,,,,,,
3,3,45.900411876,2.8571428174473112e-06,4.0,0,1.2919228076934814,1736794447.2777307,,,,,,
4,4,46.367700958,3.571428578652558e-06,5.0,0,1.1247920989990234,1736794447.7452562,,,,,,
5,5,46.838093346,4.285714112484129e-06,6.0,0,1.128193736076355,1736794448.2153478,,,,,,
6,6,47.31514301,4.999999873689376e-06,7.0,0,1.1767895221710205,1736794448.6926916,,,,,,
7,7,47.775896197,5.7142856348946225e-06,8.0,0,1.1647450923919678,1736794449.153361,,,,,,
8,8,48.247599632,6.428571396099869e-06,9.0,0,1.2272816896438599,1736794449.6250384,,,,,,
9,9,48.719155116,7.142857157305116e-06,10.0,0,1.0459332466125488,1736794450.0964537,,,,,,
10,10,49.197901918,7.857142918510363e-06,11.0,0,1.0774365663528442,1736794450.575218,,,,,,
11,11,49.660350155,8.571428224968258e-06,12.0,0,1.1945769786834717,1736794451.0377774,,,,,,
12,12,50.139866027,9.285714440920856e-06,13.0,0,1.0958342552185059,1736794451.517339,,,,,,
13,13,50.608141019,9.999999747378752e-06,14.0,0,1.023122787475586,1736794451.9852262,,,,,,
14,14,51.079417839,9.999999747378752e-06,15.0,0,1.071327567100525,1736794452.4569373,,,,,,
15,15,51.545912094,9.998446330428123e-06,16.0,0,0.7114556431770325,1736794452.9233744,,,,,,
16,16,52.021551921,9.993784260586835e-06,17.0,0,1.0459506511688232,1736794453.3990538,,,,,,
17,17,52.494977693,9.986018994823098e-06,18.0,0,0.9865086078643799,1736794453.8724227,,,,,,
18,18,52.967829045,9.975154171115719e-06,19.0,0,1.1179800033569336,1736794454.3452861,,,,,,
19,19,53.439800946,9.96119615592761e-06,20.0,0,1.0777158737182617,1736794454.8171844,,,,,,
20,20,53.907505907,9.944154044205789e-06,21.0,0,0.9677295684814453,1736794455.2849925,,,,,,
21,21,54.388716915,9.924038749886677e-06,22.0,0,0.9747576117515564,1736794455.7660303,,,,,,
22,22,54.864780043,9.900862096401397e-06,23.0,0,0.942071795463562,1736794456.2422166,,,,,,
23,23,55.335040809,9.87463954515988e-06,24.0,0,0.9610045552253723,1736794456.7122428,,,,,,
24,24,55.807918384,9.845386557572056e-06,25.0,0,1.138655185699463,1736794457.1854258,,,,,,
25,25,56.276754144,9.81312132353196e-06,26.0,0,1.1124401092529297,1736794457.6540341,,,,,,
26,26,56.760527388,9.77786385192303e-06,27.0,0,1.0145585536956787,1736794458.1381161,,,,,,
27,27,57.224878134,9.739636880112812e-06,28.0,0,0.7619801759719849,1736794458.6022334,,,,,,
28,28,57.695013061,9.69846314546885e-06,29.0,0,0.8659082651138306,1736794459.0723035,,,,,,
29,29,58.173389876,9.654369023337495e-06,30.0,0,1.3421059846878052,1736794459.5506847,,,,,,
30,30,58.65081169,9.607380889065098e-06,31.0,0,0.8159834146499634,1736794460.0282097,,,,,,
31,31,59.130564599,9.55752966547152e-06,32.0,0,0.7740479111671448,1736794460.508118,,,,,,
32,32,59.603187469,9.504844456387218e-06,33.0,0,1.125001072883606,1736794460.9804976,,,,,,
33,33,60.076499196,9.449358913116157e-06,34.0,0,0.9335154891014099,1736794461.4539938,,,,,,
34,34,60.545146251,9.391107596457005e-06,35.0,0,0.8275654911994934,1736794461.922636,,,,,,
35,35,61.016002974,9.330126886197831e-06,36.0,0,0.9675157070159912,1736794462.3933372,,,,,,
36,36,61.487800117,9.26645407162141e-06,37.0,0,0.934955358505249,1736794462.8652415,,,,,,
37,37,61.958694792,9.20012917049462e-06,38.0,0,0.8536547422409058,1736794463.3361106,,,,,,
38,38,62.439211561,9.13119401957374e-06,39.0,0,0.9181590676307678,1736794463.8165276,,,,,,
39,39,62.910565573,9.059690455615055e-06,40.0,0,0.6650811433792114,1736794464.2880793,,,,,,
40,40,63.382851568,8.985662134364247e-06,41.0,0,0.729581892490387,1736794464.7602968,,,,,,
41,41,63.852192107,8.909157259040512e-06,42.0,0,1.0087940692901611,1736794465.2297618,,,,,,
42,42,64.325890344,8.83022221387364e-06,43.0,0,0.8037233948707581,1736794465.7033896,,,,,,
43,43,64.801799635,8.748906111577526e-06,44.0,0,0.962619423866272,1736794466.1786907,,,,,,
44,44,65.272501175,8.665258974360768e-06,45.0,0,0.7530362010002136,1736794466.6491075,,,,,,
45,45,65.761397666,8.57933446241077e-06,46.0,0,1.0303974151611328,1736794467.1387763,,,,,,
46,46,66.245714348,8.491184416925535e-06,47.0,0,1.0217618942260742,1736794467.6232405,,,,,,
47,47,66.723454752,8.400863407587167e-06,48.0,0,0.8461748957633972,1736794468.1007626,,,,,,
48,48,67.201425143,8.30842964205658e-06,49.0,0,0.8980501294136047,1736794468.578713,,,,,,
49,49,67.678283877,8.213937690015882e-06,50.0,0,1.0094081163406372,1736794469.0555272,,,,,,
50,50,68.159563425,8.117449397104792e-06,51.0,0,0.9132620096206665,1736794469.5370235,,,,,,
51,51,68.638851649,8.019022061489522e-06,52.0,0,0.9150539636611938,1736794470.0158606,,,,,,
52,52,69.121258742,7.918718438304495e-06,53.0,0,1.043892502784729,1736794470.498774,,,,,,
53,53,69.602116645,7.81660037318943e-06,54.0,0,0.8262065649032593,1736794470.9794152,,,,,,
54,54,70.070939796,7.712731530773453e-06,55.0,0,0.8243860602378845,1736794471.4481347,,,,,,
55,55,70.542864433,7.607176030433038e-06,56.0,0,0.8215677738189697,1736794471.9199538,,,,,,
56,56,71.020938862,7.499999810534064e-06,57.0,0,0.7998287677764893,1736794472.3983097,,,,,,
57,57,71.505687279,7.39126971893711e-06,58.0,0,0.6836487650871277,1736794472.8831432,,,,,,
58,58,71.97836584,7.28105351299746e-06,59.0,0,0.8569299578666687,1736794473.355761,,,,,,
59,59,72.456872021,7.169418495323043e-06,60.0,0,0.7993428707122803,1736794473.8340096,,,,,,
60,60,72.924622395,7.0564356065005995e-06,61.0,0,0.8226678967475891,1736794474.3021255,,,,,,
61,61,73.394458938,6.942173968127463e-06,62.0,0,0.7406302690505981,1736794474.7718308,,,,,,
62,62,73.872918808,6.826704975537723e-06,63.0,0,0.7701480984687805,1736794475.2503052,,,,,,
63,63,74.350489617,6.71010093356017e-06,64.0,0,0.8081539869308472,1736794475.727954,,,,,,
64,64,74.829986353,6.592433237528894e-06,65.0,0,0.8779093623161316,1736794476.2071497,,,,,,
65,65,75.310910883,6.473776011262089e-06,66.0,0,0.7749974727630615,1736794476.6884103,,,,,,
66,66,75.779513849,6.354202469083248e-06,67.0,0,0.8458646535873413,1736794477.1569576,,,,,,
67,67,76.253580425,6.2337871895579156e-06,68.0,0,0.8511457443237305,1736794477.6309524,,,,,,
68,68,76.726800343,6.112604751251638e-06,69.0,0,0.9169431328773499,1736794478.1042297,,,,,,
