trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,32.027783901,5.000000058430487e-08,1.0,0,0.26785364747047424,1736754504.7150352,,,,,,
1,1,32.481473073,1.0000000116860974e-07,2.0,0,0.22347117960453033,1736754505.1684415,,,,,,
2,2,32.940285012,1.500000053056283e-07,3.0,0,0.2781391143798828,1736754505.6274765,,,,,,
3,3,33.395459352,2.0000000233721948e-07,4.0,0,0.3719678223133087,1736754506.0822074,,,,,,
4,4,33.848383218,2.499999993688107e-07,5.0,0,0.393838495016098,1736754506.5356193,,,,,,
5,5,34.30261517,3.000000106112566e-07,6.0,0,0.378119558095932,1736754506.9898665,,,,,,
6,6,34.760157376,3.4999999343199306e-07,7.0,0,0.31439197063446045,1736754507.4474056,,,,,,
7,7,35.214423203,4.0000000467443897e-07,8.0,0,0.3111696243286133,1736754507.9011502,,,,,,
8,8,35.667784085,4.4999998749517545e-07,9.0,0,0.3276121914386749,1736754508.3550467,,,,,,
9,9,36.121868798,4.999999987376214e-07,10.0,0,0.18897104263305664,1736754508.8091476,,,,,,
10,10,36.581857452,5.499999815583578e-07,11.0,0,0.17815573513507843,1736754509.2691593,,,,,,
11,11,37.036139972,6.000000212225132e-07,12.0,0,0.29812994599342346,1736754509.7230256,,,,,,
12,12,37.490150086,6.500000040432496e-07,13.0,0,0.21915870904922485,1736754510.177065,,,,,,
13,13,37.943960289,6.999999868639861e-07,14.0,0,0.294942706823349,1736754510.6312523,,,,,,
14,14,38.39752459,7.500000265281415e-07,15.0,0,0.27832940220832825,1736754511.0847728,,,,,,
15,15,38.850746715,8.000000093488779e-07,16.0,0,0.19246746599674225,1736754511.5380077,,,,,,
16,16,39.308793701,8.499999921696144e-07,17.0,0,0.15253832936286926,1736754511.9960737,,,,,,
17,17,39.763312161,8.999999749903509e-07,18.0,0,0.14563478529453278,1736754512.4503813,,,,,,
18,18,40.223069328,9.500000146545062e-07,19.0,0,0.1390906572341919,1736754512.9103322,,,,,,
19,19,40.677434661,9.999999974752427e-07,20.0,0,0.23475126922130585,1736754513.364702,,,,,,
20,20,41.132208897,1.050000037139398e-06,21.0,0,0.1881840080022812,1736754513.8195057,,,,,,
21,21,41.587397229,1.0999999631167157e-06,22.0,0,0.22566156089305878,1736754514.2746117,,,,,,
22,22,42.044521953,1.150000002780871e-06,23.0,0,0.2128315269947052,1736754514.7318006,,,,,,
23,23,42.500414016,1.2000000424450263e-06,24.0,0,0.11024699360132217,1736754515.1873496,,,,,,
24,24,42.955197572,1.249999968422344e-06,25.0,0,0.24209286272525787,1736754515.6422138,,,,,,
25,25,43.409801602,1.3000000080864993e-06,26.0,0,0.16526831686496735,1736754516.096748,,,,,,
26,26,43.86384422,1.3500000477506546e-06,27.0,0,0.08462589234113693,1736754516.5509176,,,,,,
27,27,44.318086637,1.3999999737279722e-06,28.0,0,0.10148683190345764,1736754517.0052965,,,,,,
28,28,44.773756698,1.4500000133921276e-06,29.0,0,0.07341324537992477,1736754517.4606228,,,,,,
29,29,45.228372767,1.500000053056283e-06,30.0,0,0.06409437209367752,1736754517.915264,,,,,,
30,30,45.6825051,1.5499999790336005e-06,31.0,0,0.15596675872802734,1736754518.3694863,,,,,,
31,31,46.136067988,1.6000000186977559e-06,32.0,0,0.16199956834316254,1736754518.8233562,,,,,,
32,32,46.597510058,1.6499999446750735e-06,33.0,0,0.1564246565103531,1736754519.2847364,,,,,,
33,33,47.052223913,1.6999999843392288e-06,34.0,0,0.10913337767124176,1736754519.7394807,,,,,,
34,34,47.507494478,1.7500000240033842e-06,35.0,0,0.10882081091403961,1736754520.194726,,,,,,
35,35,47.962359863,1.7999999499807018e-06,36.0,0,0.09901714324951172,1736754520.6496217,,,,,,
36,36,48.417821015,1.8499999896448571e-06,37.0,0,0.06631632149219513,1736754521.1046333,,,,,,
37,37,48.873615536,1.9000000293090125e-06,38.0,0,0.11307438462972641,1736754521.5605128,,,,,,
38,38,49.32841738,1.950000068973168e-06,39.0,0,0.13119404017925262,1736754522.0156572,,,,,,
39,39,49.783521219,1.9999999949504854e-06,40.0,0,0.06667928397655487,1736754522.470786,,,,,,
40,40,50.238498819,2.049999920927803e-06,41.0,0,0.05482517182826996,1736754522.9257267,,,,,,
41,41,50.694508143,2.100000074278796e-06,42.0,0,0.21866503357887268,1736754523.3814342,,,,,,
42,42,51.149161016,2.1500000002561137e-06,43.0,0,0.09401895850896835,1736754523.8364096,,,,,,
43,43,51.603712415,2.1999999262334313e-06,44.0,0,0.04370753467082977,1736754524.2910035,,,,,,
44,44,52.059338939,2.2500000795844244e-06,45.0,0,0.11305421590805054,1736754524.746558,,,,,,
45,45,52.51542047,2.300000005561742e-06,46.0,0,0.18768228590488434,1736754525.202654,,,,,,
46,46,52.97019711,2.3499999315390596e-06,47.0,0,0.07301121950149536,1736754525.657402,,,,,,
47,47,53.424354429,2.4000000848900527e-06,48.0,0,0.04658214747905731,1736754526.1116164,,,,,,
48,48,53.879931792,2.4500000108673703e-06,49.0,0,0.15839165449142456,1736754526.5672033,,,,,,
49,49,54.336449892,2.499999936844688e-06,50.0,0,0.2934940457344055,1736754527.0234292,,,,,,
50,50,54.792388643,2.550000090195681e-06,51.0,0,0.09851736575365067,1736754527.4796252,,,,,,
51,51,55.249663462,2.6000000161729986e-06,52.0,0,0.08155886828899384,1736754527.9369643,,,,,,
52,52,55.705196896,2.649999942150316e-06,53.0,0,0.09114503115415573,1736754528.392456,,,,,,
53,53,56.160993979,2.7000000955013093e-06,54.0,0,0.06069536507129669,1736754528.8482661,,,,,,
54,54,56.617011698,2.750000021478627e-06,55.0,0,0.16395317018032074,1736754529.304263,,,,,,
55,55,57.07253452,2.7999999474559445e-06,56.0,0,0.17352603375911713,1736754529.7597642,,,,,,
56,56,57.527761021,2.8500001008069376e-06,57.0,0,0.12661899626255035,1736754530.2150369,,,,,,
57,57,57.98289203,2.900000026784255e-06,58.0,0,0.10627015680074692,1736754530.6701002,,,,,,
58,58,58.438781445,2.9499999527615728e-06,59.0,0,0.12167002260684967,1736754531.1260555,,,,,,
59,59,58.893958323,3.000000106112566e-06,60.0,0,0.1709432601928711,1736754531.5813012,,,,,,
60,60,59.350480746,3.0500000320898835e-06,61.0,0,0.06994748115539551,1736754532.0377235,,,,,,
61,61,59.80553972,3.099999958067201e-06,62.0,0,0.08940867334604263,1736754532.4928217,,,,,,
62,62,60.261023352,3.150000111418194e-06,63.0,0,0.09379979968070984,1736754532.9479642,,,,,,
63,63,60.716138748,3.2000000373955118e-06,64.0,0,0.1395355463027954,1736754533.4034016,,,,,,
64,64,61.171629094,3.2499999633728294e-06,65.0,0,0.13088767230510712,1736754533.8589199,,,,,,
65,65,61.626562068,3.299999889350147e-06,66.0,0,0.15004044771194458,1736754534.313836,,,,,,
66,66,62.087797589,3.35000004270114e-06,67.0,0,0.07667849212884903,1736754534.7750378,,,,,,
67,67,62.542879992,3.3999999686784577e-06,68.0,0,0.1314200460910797,1736754535.2301962,,,,,,
68,68,62.997684828,3.4499998946557753e-06,69.0,0,0.05388885736465454,1736754535.684637,,,,,,
69,69,63.453123582,3.5000000480067683e-06,70.0,0,0.16092436015605927,1736754536.1403463,,,,,,
70,70,63.908514473,3.549999973984086e-06,71.0,0,0.0417838990688324,1736754536.595421,,,,,,
71,71,64.364990483,3.5999998999614036e-06,72.0,0,0.14490851759910583,1736754537.0522542,,,,,,
72,72,64.820715871,3.6500000533123966e-06,73.0,0,0.06737508624792099,1736754537.507708,,,,,,
73,73,65.275867929,3.6999999792897142e-06,74.0,0,0.04677678644657135,1736754537.9628952,,,,,,
74,74,65.731181017,3.749999905267032e-06,75.0,0,0.0948924720287323,1736754538.4184582,,,,,,
75,75,66.185887781,3.800000058618025e-06,76.0,0,0.09158050268888474,1736754538.8731005,,,,,,
76,76,66.640426423,3.850000211969018e-06,77.0,0,0.11738916486501694,1736754539.3277073,,,,,,
77,77,67.097182631,3.900000137946336e-06,78.0,0,0.16112670302391052,1736754539.7839713,,,,,,
78,78,67.551632409,3.950000063923653e-06,79.0,0,0.20113468170166016,1736754540.2388437,,,,,,
79,79,68.006927524,3.999999989900971e-06,80.0,0,0.12043856084346771,1736754540.6942036,,,,,,
80,80,68.46866008,4.0499999158782884e-06,81.0,0,0.10642662644386292,1736754541.1559427,,,,,,
81,81,68.924423005,4.099999841855606e-06,82.0,0,0.1179976612329483,1736754541.6116688,,,,,,
82,82,69.379963665,4.1500002225802746e-06,83.0,0,0.0466093048453331,1736754542.067224,,,,,,
83,83,69.835540618,4.200000148557592e-06,84.0,0,0.1463319957256317,1736754542.5228138,,,,,,
84,84,70.290812632,4.25000007453491e-06,85.0,0,0.07988147437572479,1736754542.9780824,,,,,,
85,85,70.746323793,4.300000000512227e-06,86.0,0,0.15359298884868622,1736754543.4336267,,,,,,
86,86,71.201257096,4.349999926489545e-06,87.0,0,0.08369836956262589,1736754543.8885334,,,,,,
87,87,71.657056209,4.399999852466863e-06,88.0,0,0.13651707768440247,1736754544.344364,,,,,,
88,88,72.113101004,4.44999977844418e-06,89.0,0,0.10378128290176392,1736754544.80037,,,,,,
89,89,72.569223797,4.500000159168849e-06,90.0,0,0.07819842547178268,1736754545.2561755,,,,,,
90,90,73.024395546,4.550000085146166e-06,91.0,0,0.1434038281440735,1736754545.7116191,,,,,,
91,91,73.479993497,4.600000011123484e-06,92.0,0,0.07067267596721649,1736754546.1670325,,,,,,
92,92,73.935902558,4.649999937100802e-06,93.0,0,0.07498278468847275,1736754546.6231425,,,,,,
