trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,34.656835151,5.000000058430487e-08,1.0,0,2.108314037322998,1736754309.0942929,,,,,,
1,1,35.109823184,1.0000000116860974e-07,2.0,0,1.727342963218689,1736754309.547325,,,,,,
2,2,35.564717861,1.500000053056283e-07,3.0,0,1.9593141078948975,1736754310.0018325,,,,,,
3,3,36.01848835,2.0000000233721948e-07,4.0,0,1.797834873199463,1736754310.4560099,,,,,,
4,4,36.472694451,2.499999993688107e-07,5.0,0,1.9460076093673706,1736754310.9101462,,,,,,
5,5,36.926510955,3.000000106112566e-07,6.0,0,1.938800573348999,1736754311.363981,,,,,,
6,6,37.380505294,3.4999999343199306e-07,7.0,0,1.8561478853225708,1736754311.8179858,,,,,,
7,7,37.834499464,4.0000000467443897e-07,8.0,0,1.7359647750854492,1736754312.2719717,,,,,,
8,8,38.293244413,4.4999998749517545e-07,9.0,0,1.8853838443756104,1736754312.730713,,,,,,
9,9,38.747601003,4.999999987376214e-07,10.0,0,1.8668875694274902,1736754313.1851113,,,,,,
10,10,39.202218385,5.499999815583578e-07,11.0,0,1.7987127304077148,1736754313.6397097,,,,,,
11,11,39.656000795,6.000000212225132e-07,12.0,0,1.6997222900390625,1736754314.0934856,,,,,,
12,12,40.109454373,6.500000040432496e-07,13.0,0,1.6760411262512207,1736754314.5466104,,,,,,
13,13,40.562984819,6.999999868639861e-07,14.0,0,1.4906396865844727,1736754315.000447,,,,,,
14,14,41.017832834,7.500000265281415e-07,15.0,0,1.6687763929367065,1736754315.4548752,,,,,,
15,15,41.471260474,8.000000093488779e-07,16.0,0,1.7015118598937988,1736754315.9087725,,,,,,
16,16,41.934141386,8.499999921696144e-07,17.0,0,1.7618768215179443,1736754316.3713422,,,,,,
17,17,42.389189905,8.999999749903509e-07,18.0,0,1.5820038318634033,1736754316.8266585,,,,,,
18,18,42.843325973,9.500000146545062e-07,19.0,0,1.7433960437774658,1736754317.280876,,,,,,
19,19,43.297980121,9.999999974752427e-07,20.0,0,1.5797628164291382,1736754317.7354732,,,,,,
20,20,43.75436855,1.050000037139398e-06,21.0,0,1.7310086488723755,1736754318.191882,,,,,,
21,21,44.208900465,1.0999999631167157e-06,22.0,0,1.5730657577514648,1736754318.6463926,,,,,,
22,22,44.663172357,1.150000002780871e-06,23.0,0,1.6055783033370972,1736754319.100636,,,,,,
23,23,45.118529361,1.2000000424450263e-06,24.0,0,1.4501559734344482,1736754319.5557306,,,,,,
24,24,45.573392339,1.249999968422344e-06,25.0,0,1.5756527185440063,1736754320.0109556,,,,,,
25,25,46.027908848,1.3000000080864993e-06,26.0,0,1.5129612684249878,1736754320.465364,,,,,,
26,26,46.483146816,1.3500000477506546e-06,27.0,0,1.4078434705734253,1736754320.9206295,,,,,,
27,27,46.941714211,1.3999999737279722e-06,28.0,0,1.5013035535812378,1736754321.3791814,,,,,,
28,28,47.395676383,1.4500000133921276e-06,29.0,0,1.389414668083191,1736754321.8329527,,,,,,
29,29,47.849800466,1.500000053056283e-06,30.0,0,1.4372581243515015,1736754322.2872922,,,,,,
30,30,48.305016295,1.5499999790336005e-06,31.0,0,1.3694623708724976,1736754322.7424927,,,,,,
31,31,48.763804325,1.6000000186977559e-06,32.0,0,1.326077938079834,1736754323.201272,,,,,,
32,32,49.218942077,1.6499999446750735e-06,33.0,0,1.4116946458816528,1736754323.6564803,,,,,,
33,33,49.673949442,1.6999999843392288e-06,34.0,0,1.164952039718628,1736754324.1114674,,,,,,
34,34,50.129383651,1.7500000240033842e-06,35.0,0,1.4801040887832642,1736754324.5665617,,,,,,
35,35,50.583789525,1.7999999499807018e-06,36.0,0,1.1975123882293701,1736754325.0213127,,,,,,
36,36,51.038631064,1.8499999896448571e-06,37.0,0,1.352860450744629,1736754325.4761283,,,,,,
37,37,51.493796993,1.9000000293090125e-06,38.0,0,1.3659272193908691,1736754325.9309123,,,,,,
38,38,51.948527035,1.950000068973168e-06,39.0,0,1.2641161680221558,1736754326.3860047,,,,,,
39,39,52.403861067,1.9999999949504854e-06,40.0,0,1.3204824924468994,1736754326.841011,,,,,,
40,40,52.859277508,2.049999920927803e-06,41.0,0,1.2774438858032227,1736754327.2964058,,,,,,
41,41,53.313762771,2.100000074278796e-06,42.0,0,1.3045233488082886,1736754327.751243,,,,,,
42,42,53.770159913,2.1500000002561137e-06,43.0,0,1.0921337604522705,1736754328.2073293,,,,,,
43,43,54.2244684,2.1999999262334313e-06,44.0,0,1.1924960613250732,1736754328.661634,,,,,,
44,44,54.680272026,2.2500000795844244e-06,45.0,0,1.162657380104065,1736754329.1174457,,,,,,
45,45,55.134904093,2.300000005561742e-06,46.0,0,1.2175476551055908,1736754329.5724063,,,,,,
46,46,55.591271152,2.3499999315390596e-06,47.0,0,1.2869616746902466,1736754330.0282767,,,,,,
47,47,56.046713859,2.4000000848900527e-06,48.0,0,1.17026686668396,1736754330.4842901,,,,,,
48,48,56.502048,2.4500000108673703e-06,49.0,0,1.1985671520233154,1736754330.939524,,,,,,
49,49,56.958047046,2.499999936844688e-06,50.0,0,1.0446033477783203,1736754331.3955424,,,,,,
50,50,57.414186186,2.550000090195681e-06,51.0,0,1.1101301908493042,1736754331.851329,,,,,,
51,51,57.870480704,2.6000000161729986e-06,52.0,0,1.106804609298706,1736754332.3079743,,,,,,
52,52,58.326818185,2.649999942150316e-06,53.0,0,1.3195136785507202,1736754332.764262,,,,,,
53,53,58.78219579,2.7000000955013093e-06,54.0,0,0.9598835110664368,1736754333.2195773,,,,,,
54,54,59.238476655,2.750000021478627e-06,55.0,0,1.0579863786697388,1736754333.6759615,,,,,,
55,55,59.694578139,2.7999999474559445e-06,56.0,0,0.9757381081581116,1736754334.131794,,,,,,
56,56,60.14966655,2.8500001008069376e-06,57.0,0,1.2297087907791138,1736754334.5869358,,,,,,
57,57,60.604975569,2.900000026784255e-06,58.0,0,1.1193536520004272,1736754335.0421114,,,,,,
58,58,61.060022021,2.9499999527615728e-06,59.0,0,1.1707675457000732,1736754335.4972866,,,,,,
59,59,61.515266993,3.000000106112566e-06,60.0,0,1.055469274520874,1736754335.952751,,,,,,
60,60,61.970514695,3.0500000320898835e-06,61.0,0,1.018073320388794,1736754336.408045,,,,,,
61,61,62.426459726,3.099999958067201e-06,62.0,0,1.09796941280365,1736754336.863639,,,,,,
62,62,62.882549164,3.150000111418194e-06,63.0,0,1.112051010131836,1736754337.3200495,,,,,,
63,63,63.338049618,3.2000000373955118e-06,64.0,0,1.0622085332870483,1736754337.7752583,,,,,,
64,64,63.793716907,3.2499999633728294e-06,65.0,0,1.0825086832046509,1736754338.2309504,,,,,,
65,65,64.249419159,3.299999889350147e-06,66.0,0,1.0773663520812988,1736754338.6866899,,,,,,
66,66,64.704511418,3.35000004270114e-06,67.0,0,1.044642448425293,1736754339.1417696,,,,,,
67,67,65.159720783,3.3999999686784577e-06,68.0,0,1.0981202125549316,1736754339.5972383,,,,,,
68,68,65.616171584,3.4499998946557753e-06,69.0,0,1.1813607215881348,1736754340.0533237,,,,,,
69,69,66.071685522,3.5000000480067683e-06,70.0,0,0.9676295518875122,1736754340.5091794,,,,,,
