trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,33.696059342,5.000000058430487e-08,1.0,0,0.6012167930603027,1736754774.223778,,,,,,
1,1,34.150550281,1.0000000116860974e-07,2.0,0,0.44001734256744385,1736754774.6782684,,,,,,
2,2,34.605417919,1.500000053056283e-07,3.0,0,0.5182256102561951,1736754775.133212,,,,,,
3,3,35.059947128,2.0000000233721948e-07,4.0,0,0.5748884081840515,1736754775.587728,,,,,,
4,4,35.514522293,2.499999993688107e-07,5.0,0,0.5630820989608765,1736754776.0423007,,,,,,
5,5,35.969196465,3.000000106112566e-07,6.0,0,0.6661452054977417,1736754776.4969594,,,,,,
6,6,36.423938526,3.4999999343199306e-07,7.0,0,0.5310497879981995,1736754776.9517586,,,,,,
7,7,36.878983058,4.0000000467443897e-07,8.0,0,0.4857747256755829,1736754777.406744,,,,,,
8,8,37.334029884,4.4999998749517545e-07,9.0,0,0.5703981518745422,1736754777.8618333,,,,,,
9,9,37.788159416,4.999999987376214e-07,10.0,0,0.5806695818901062,1736754778.3159528,,,,,,
10,10,38.243833717,5.499999815583578e-07,11.0,0,0.5664277076721191,1736754778.7716093,,,,,,
11,11,38.698609181,6.000000212225132e-07,12.0,0,0.6987501382827759,1736754779.2263036,,,,,,
12,12,39.152731334,6.500000040432496e-07,13.0,0,0.3951836824417114,1736754779.6805127,,,,,,
13,13,39.606672461,6.999999868639861e-07,14.0,0,0.5146852731704712,1736754780.134459,,,,,,
14,14,40.062792763,7.500000265281415e-07,15.0,0,0.511616051197052,1736754780.590539,,,,,,
15,15,40.517192498,8.000000093488779e-07,16.0,0,0.5054048895835876,1736754781.0449545,,,,,,
16,16,40.982029067,8.499999921696144e-07,17.0,0,0.5000142455101013,1736754781.509575,,,,,,
17,17,41.437336709,8.999999749903509e-07,18.0,0,0.5893374085426331,1736754781.9650683,,,,,,
18,18,41.89191408,9.500000146545062e-07,19.0,0,0.49503904581069946,1736754782.4196136,,,,,,
19,19,42.346625012,9.999999974752427e-07,20.0,0,0.4111066460609436,1736754782.8743892,,,,,,
20,20,42.803054336,1.050000037139398e-06,21.0,0,0.6357331871986389,1736754783.3307693,,,,,,
21,21,43.25817887,1.0999999631167157e-06,22.0,0,0.43491289019584656,1736754783.7859375,,,,,,
22,22,43.714967014,1.150000002780871e-06,23.0,0,0.48022305965423584,1736754784.242768,,,,,,
23,23,44.170902459,1.2000000424450263e-06,24.0,0,0.45975905656814575,1736754784.69866,,,,,,
24,24,44.625300082,1.249999968422344e-06,25.0,0,0.5453830361366272,1736754785.1530833,,,,,,
25,25,45.079406357,1.3000000080864993e-06,26.0,0,0.6132314205169678,1736754785.6071591,,,,,,
26,26,45.534905594,1.3500000477506546e-06,27.0,0,0.6837379336357117,1736754786.0626714,,,,,,
27,27,45.995511131,1.3999999737279722e-06,28.0,0,0.5497941374778748,1736754786.5233073,,,,,,
28,28,46.45073102,1.4500000133921276e-06,29.0,0,0.7799373865127563,1736754786.978507,,,,,,
29,29,46.905314725,1.500000053056283e-06,30.0,0,0.4020102024078369,1736754787.4331021,,,,,,
30,30,47.361042162,1.5499999790336005e-06,31.0,0,0.5303921103477478,1736754787.8887665,,,,,,
31,31,47.817717625,1.6000000186977559e-06,32.0,0,0.37162092328071594,1736754788.3454635,,,,,,
32,32,48.273271253,1.6499999446750735e-06,33.0,0,0.33872750401496887,1736754788.8010213,,,,,,
33,33,48.729546038,1.6999999843392288e-06,34.0,0,0.5903728008270264,1736754789.2573206,,,,,,
34,34,49.191123669,1.7500000240033842e-06,35.0,0,0.46990257501602173,1736754789.718865,,,,,,
35,35,49.654077268,1.7999999499807018e-06,36.0,0,0.54710453748703,1736754790.1817887,,,,,,
36,36,50.111560853,1.8499999896448571e-06,37.0,0,0.48707136511802673,1736754790.6393256,,,,,,
37,37,50.567347216,1.9000000293090125e-06,38.0,0,0.5385231971740723,1736754791.095075,,,,,,
