trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.707790697,5.000000058430487e-08,1.0,0,1.8201953172683716,1736851082.3110723,,,,,,
1,1,29.161265882,1.0000000116860974e-07,2.0,0,1.8508979082107544,1736851082.7645378,,,,,,
2,2,29.617314107,1.500000053056283e-07,3.0,0,1.849328637123108,1736851083.220433,,,,,,
3,3,30.070888433,2.0000000233721948e-07,4.0,0,1.8941234350204468,1736851083.674156,,,,,,
4,4,30.524608522,2.499999993688107e-07,5.0,0,1.8144826889038086,1736851084.1279318,,,,,,
5,5,30.981428783,3.000000106112566e-07,6.0,0,1.850695013999939,1736851084.584697,,,,,,
6,6,31.435955638,3.4999999343199306e-07,7.0,0,1.8114750385284424,1736851085.03921,,,,,,
7,7,31.891680588,4.0000000467443897e-07,8.0,0,1.6778310537338257,1736851085.4944663,,,,,,
8,8,32.34495569,4.4999998749517545e-07,9.0,0,1.8296204805374146,1736851085.9482362,,,,,,
9,9,32.799234055,4.999999987376214e-07,10.0,0,1.5172598361968994,1736851086.4020863,,,,,,
10,10,33.25297436,5.499999815583578e-07,11.0,0,1.5446038246154785,1736851086.856289,,,,,,
11,11,33.707306389,6.000000212225132e-07,12.0,0,1.57079017162323,1736851087.3105946,,,,,,
12,12,34.161635355,6.500000040432496e-07,13.0,0,1.2594761848449707,1736851087.7649033,,,,,,
13,13,34.618523766,6.999999868639861e-07,14.0,0,1.229952335357666,1736851088.2215745,,,,,,
14,14,35.074528616,7.500000265281415e-07,15.0,0,1.0423858165740967,1736851088.6778316,,,,,,
15,15,35.52908851,8.000000093488779e-07,16.0,0,1.1970398426055908,1736851089.132167,,,,,,
16,16,35.992288602,8.499999921696144e-07,17.0,0,1.0290031433105469,1736851089.595603,,,,,,
17,17,36.447204414,8.999999749903509e-07,18.0,0,0.9190000891685486,1736851090.0504909,,,,,,
18,18,36.90386085,9.500000146545062e-07,19.0,0,0.8499469757080078,1736851090.5071714,,,,,,
19,19,37.358846457,9.999999974752427e-07,20.0,0,0.7442898154258728,1736851090.9621937,,,,,,
20,20,37.814046418,1.050000037139398e-06,21.0,0,0.7297873497009277,1736851091.417114,,,,,,
21,21,38.271664099,1.0999999631167157e-06,22.0,0,0.6184977293014526,1736851091.8749392,,,,,,
22,22,38.725893911,1.150000002780871e-06,23.0,0,0.5564990043640137,1736851092.3289251,,,,,,
23,23,39.180485198,1.2000000424450263e-06,24.0,0,0.5842586159706116,1736851092.783734,,,,,,
24,24,39.635167507,1.249999968422344e-06,25.0,0,0.5376730561256409,1736851093.2383142,,,,,,
25,25,40.089730336,1.3000000080864993e-06,26.0,0,0.5261669754981995,1736851093.6928208,,,,,,
26,26,40.544699304,1.3500000477506546e-06,27.0,0,0.38026702404022217,1736851094.1479688,,,,,,
27,27,41.000896841,1.3999999737279722e-06,28.0,0,0.537122368812561,1736851094.6041987,,,,,,
28,28,41.455826691,1.4500000133921276e-06,29.0,0,0.3886392414569855,1736851095.0591416,,,,,,
29,29,41.91131728,1.500000053056283e-06,30.0,0,0.40720120072364807,1736851095.514574,,,,,,
30,30,42.365245542,1.5499999790336005e-06,31.0,0,0.367056667804718,1736851095.968353,,,,,,
31,31,42.819531957,1.6000000186977559e-06,32.0,0,0.32423216104507446,1736851096.4227462,,,,,,
32,32,43.275464254,1.6499999446750735e-06,33.0,0,0.2665574252605438,1736851096.8786938,,,,,,
33,33,43.730703225,1.6999999843392288e-06,34.0,0,0.3047536015510559,1736851097.3339999,,,,,,
34,34,44.18630272,1.7500000240033842e-06,35.0,0,0.2731390595436096,1736851097.7896016,,,,,,
35,35,44.642208137,1.7999999499807018e-06,36.0,0,0.2831653952598572,1736851098.2453678,,,,,,
36,36,45.09721805,1.8499999896448571e-06,37.0,0,0.3690450191497803,1736851098.7005253,,,,,,
37,37,45.554319427,1.9000000293090125e-06,38.0,0,0.24327372014522552,1736851099.1576023,,,,,,
38,38,46.009810192,1.950000068973168e-06,39.0,0,0.2550413906574249,1736851099.6131163,,,,,,
39,39,46.466560561,1.9999999949504854e-06,40.0,0,0.3119262456893921,1736851100.0698595,,,,,,
40,40,46.921769508,2.049999920927803e-06,41.0,0,0.27630615234375,1736851100.5250287,,,,,,
41,41,47.382782653,2.100000074278796e-06,42.0,0,0.19037894904613495,1736851100.9861,,,,,,
42,42,47.838964055,2.1500000002561137e-06,43.0,0,0.23267236351966858,1736851101.4422784,,,,,,
43,43,48.294827025000004,2.1999999262334313e-06,44.0,0,0.28032952547073364,1736851101.8981144,,,,,,
44,44,48.750400341,2.2500000795844244e-06,45.0,0,0.17872649431228638,1736851102.3536842,,,,,,
45,45,49.205221178,2.300000005561742e-06,46.0,0,0.2231520563364029,1736851102.808488,,,,,,
46,46,49.661943126,2.3499999315390596e-06,47.0,0,0.1407812535762787,1736851103.2652798,,,,,,
47,47,50.117230738,2.4000000848900527e-06,48.0,0,0.17972432076931,1736851103.720468,,,,,,
48,48,50.573582282,2.4500000108673703e-06,49.0,0,0.11474096029996872,1736851104.1765888,,,,,,
49,49,51.028471609,2.499999936844688e-06,50.0,0,0.13800933957099915,1736851104.6315343,,,,,,
50,50,51.483553917,2.550000090195681e-06,51.0,0,0.28815391659736633,1736851105.0868156,,,,,,
51,51,51.939812508,2.6000000161729986e-06,52.0,0,0.21606725454330444,1736851105.5431554,,,,,,
