trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.107463212,5.000000058430487e-08,1.0,0,0.35668474435806274,1736752808.399986,,,,,,
1,1,29.559661852,1.0000000116860974e-07,2.0,0,0.4680987000465393,1736752808.8522327,,,,,,
2,2,30.016746218,1.500000053056283e-07,3.0,0,0.6507940292358398,1736752809.3093612,,,,,,
3,3,30.469844594,2.0000000233721948e-07,4.0,0,0.32508596777915955,1736752809.762406,,,,,,
4,4,30.923037937,2.499999993688107e-07,5.0,0,0.3475463390350342,1736752810.215669,,,,,,
5,5,31.375925483,3.000000106112566e-07,6.0,0,0.4149644672870636,1736752810.6685178,,,,,,
6,6,31.832079675,3.4999999343199306e-07,7.0,0,0.3423740863800049,1736752811.1246262,,,,,,
7,7,32.284732586,4.0000000467443897e-07,8.0,0,0.2783606946468353,1736752811.5770836,,,,,,
8,8,32.737521492,4.4999998749517545e-07,9.0,0,0.33984091877937317,1736752812.0301137,,,,,,
9,9,33.19007924,4.999999987376214e-07,10.0,0,0.4441989064216614,1736752812.4826896,,,,,,
10,10,33.643675229,5.499999815583578e-07,11.0,0,0.4759373366832733,1736752812.9361603,,,,,,
11,11,34.096158513,6.000000212225132e-07,12.0,0,0.3884579837322235,1736752813.3887722,,,,,,
12,12,34.549178366,6.500000040432496e-07,13.0,0,0.33534011244773865,1736752813.8415327,,,,,,
13,13,35.001677177,6.999999868639861e-07,14.0,0,0.4052661657333374,1736752814.294282,,,,,,
14,14,35.454572922,7.500000265281415e-07,15.0,0,0.3893929123878479,1736752814.747186,,,,,,
15,15,35.908124837,8.000000093488779e-07,16.0,0,0.38105279207229614,1736752815.2007403,,,,,,
16,16,36.367663909,8.499999921696144e-07,17.0,0,0.3738429844379425,1736752815.660249,,,,,,
17,17,36.820265827,8.999999749903509e-07,18.0,0,0.29997479915618896,1736752816.1128495,,,,,,
18,18,37.27306398,9.500000146545062e-07,19.0,0,0.36521637439727783,1736752816.5656593,,,,,,
19,19,37.725773748,9.999999974752427e-07,20.0,0,0.5088912844657898,1736752817.0183728,,,,,,
20,20,38.178886188,1.050000037139398e-06,21.0,0,0.24479767680168152,1736752817.4715118,,,,,,
21,21,38.632448303,1.0999999631167157e-06,22.0,0,0.36299964785575867,1736752817.9250371,,,,,,
22,22,39.085317061,1.150000002780871e-06,23.0,0,0.24883152544498444,1736752818.377927,,,,,,
23,23,39.539549671,1.2000000424450263e-06,24.0,0,0.24174785614013672,1736752818.8314896,,,,,,
24,24,39.99152058,1.249999968422344e-06,25.0,0,0.35461485385894775,1736752819.2841377,,,,,,
25,25,40.395973382,1.3000000080864993e-06,26.0,0,0.2791978716850281,1736752819.6885576,,,,,,
25,26,42.803567429,,,0,,1736752822.0961037,0.8913043737411499,0.32381895184516907,,,,
25,27,42.820697208,,,0,,1736752822.1133587,,,0.8743961453437805,0.37057435512542725,,
26,28,47.750897606,,,1,,1736752827.0433729,,,,,0.8913043737411499,0.32793715596199036
