trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.022066591,5.000000058430487e-08,1.0,0,1.1661045551300049,1736751982.3297982,,,,,,
1,1,30.475070545,1.0000000116860974e-07,2.0,0,1.149540901184082,1736751982.7828012,,,,,,
2,2,30.927612075,1.500000053056283e-07,3.0,0,1.0673539638519287,1736751983.2350972,,,,,,
3,3,31.380350493,2.0000000233721948e-07,4.0,0,1.2736769914627075,1736751983.6880755,,,,,,
4,4,31.832561915,2.499999993688107e-07,5.0,0,0.9952880144119263,1736751984.1400273,,,,,,
5,5,32.285383299,3.000000106112566e-07,6.0,0,1.1676316261291504,1736751984.5931559,,,,,,
6,6,32.738691033,3.4999999343199306e-07,7.0,0,1.1363499164581299,1736751985.0464218,,,,,,
7,7,33.191680101,4.0000000467443897e-07,8.0,0,0.9628843069076538,1736751985.4994156,,,,,,
8,8,33.644922583,4.4999998749517545e-07,9.0,0,1.0329740047454834,1736751985.9526513,,,,,,
9,9,34.101358098,4.999999987376214e-07,10.0,0,0.970950722694397,1736751986.4091375,,,,,,
10,10,34.554507356,5.499999815583578e-07,11.0,0,1.173258900642395,1736751986.862229,,,,,,
11,11,35.006669268,6.000000212225132e-07,12.0,0,1.151801347732544,1736751987.314362,,,,,,
12,12,35.460540738,6.500000040432496e-07,13.0,0,1.115041732788086,1736751987.7677631,,,,,,
13,13,35.913488029,6.999999868639861e-07,14.0,0,0.9546689391136169,1736751988.2206447,,,,,,
14,14,36.36616782,7.500000265281415e-07,15.0,0,1.0211719274520874,1736751988.673901,,,,,,
15,15,36.819186185,8.000000093488779e-07,16.0,0,0.8046750426292419,1736751989.1269262,,,,,,
16,16,37.283684082,8.499999921696144e-07,17.0,0,0.9830361604690552,1736751989.5914,,,,,,
17,17,37.740765647,8.999999749903509e-07,18.0,0,0.8314316272735596,1736751990.0484748,,,,,,
18,18,38.194385217,9.500000146545062e-07,19.0,0,0.8359198570251465,1736751990.5017438,,,,,,
19,19,38.647441564,9.999999974752427e-07,20.0,0,1.016921043395996,1736751990.9551728,,,,,,
20,20,39.10078059,1.050000037139398e-06,21.0,0,0.8005394339561462,1736751991.4082465,,,,,,
21,21,39.554171203,1.0999999631167157e-06,22.0,0,0.8885560631752014,1736751991.8615472,,,,,,
22,22,40.007350561,1.150000002780871e-06,23.0,0,0.8441118001937866,1736751992.3146846,,,,,,
23,23,40.459945846,1.2000000424450263e-06,24.0,0,0.7211028337478638,1736751992.7676327,,,,,,
24,24,40.913970656000004,1.249999968422344e-06,25.0,0,0.7469698190689087,1736751993.2212572,,,,,,
25,25,41.366820368,1.3000000080864993e-06,26.0,0,0.7955763936042786,1736751993.6742256,,,,,,
26,26,41.818929104,1.3500000477506546e-06,27.0,0,0.7666227221488953,1736751994.1266906,,,,,,
27,27,42.271200876,1.3999999737279722e-06,28.0,0,0.8456390500068665,1736751994.5789692,,,,,,
28,28,42.724001226,1.4500000133921276e-06,29.0,0,0.7717992067337036,1736751995.031473,,,,,,
29,29,43.176403642,1.500000053056283e-06,30.0,0,0.5732896327972412,1736751995.4841046,,,,,,
30,30,43.628727121,1.5499999790336005e-06,31.0,0,0.5773349404335022,1736751995.9364288,,,,,,
31,31,44.081537071,1.6000000186977559e-06,32.0,0,0.7394875884056091,1736751996.3889031,,,,,,
32,32,44.53507382,1.6499999446750735e-06,33.0,0,0.8071004152297974,1736751996.842806,,,,,,
33,33,44.995563904,1.6999999843392288e-06,34.0,0,0.6986784338951111,1736751997.30302,,,,,,
34,34,45.449852279,1.7500000240033842e-06,35.0,0,0.6247442960739136,1736751997.7572043,,,,,,
35,35,45.903602168,1.7999999499807018e-06,36.0,0,0.5877239108085632,1736751998.2113054,,,,,,
36,36,46.357167561,1.8499999896448571e-06,37.0,0,0.6570146083831787,1736751998.664913,,,,,,
37,37,46.811647506,1.9000000293090125e-06,38.0,0,0.6334173083305359,1736751999.11933,,,,,,
38,38,47.265705361,1.950000068973168e-06,39.0,0,0.6132548451423645,1736751999.5731246,,,,,,
39,39,47.720062175,1.9999999949504854e-06,40.0,0,0.6022176146507263,1736752000.027442,,,,,,
40,40,48.173687162,2.049999920927803e-06,41.0,0,0.607336163520813,1736752000.4814558,,,,,,
41,41,48.627491122,2.100000074278796e-06,42.0,0,0.5740434527397156,1736752000.9352183,,,,,,
42,42,49.080081423,2.1500000002561137e-06,43.0,0,0.5712229013442993,1736752001.3878405,,,,,,
43,43,49.533719785,2.1999999262334313e-06,44.0,0,0.6478732824325562,1736752001.8414142,,,,,,
44,44,49.987811996,2.2500000795844244e-06,45.0,0,0.5505461096763611,1736752002.2955532,,,,,,
45,45,50.441583127,2.300000005561742e-06,46.0,0,0.5071479678153992,1736752002.749328,,,,,,
46,46,50.895959219,2.3499999315390596e-06,47.0,0,0.4272904098033905,1736752003.2034752,,,,,,
47,47,51.348874459,2.4000000848900527e-06,48.0,0,0.43442025780677795,1736752003.6566257,,,,,,
48,48,51.803160614,2.4500000108673703e-06,49.0,0,0.4046865701675415,1736752004.1108956,,,,,,
49,49,52.263155296,2.499999936844688e-06,50.0,0,0.43452757596969604,1736752004.5705836,,,,,,
50,50,52.716832402,2.550000090195681e-06,51.0,0,0.3385606110095978,1736752005.0245306,,,,,,
51,51,53.171500573,2.6000000161729986e-06,52.0,0,0.5137432813644409,1736752005.478947,,,,,,
52,52,53.626023581,2.649999942150316e-06,53.0,0,0.46150079369544983,1736752005.933736,,,,,,
53,53,54.080732137,2.7000000955013093e-06,54.0,0,0.36519768834114075,1736752006.3885293,,,,,,
54,54,54.535344023,2.750000021478627e-06,55.0,0,0.5706173777580261,1736752006.8430853,,,,,,
55,55,54.990265277,2.7999999474559445e-06,56.0,0,0.3759222626686096,1736752007.2976086,,,,,,
56,56,55.44501453,2.8500001008069376e-06,57.0,0,0.35160547494888306,1736752007.7523088,,,,,,
57,57,55.899354548,2.900000026784255e-06,58.0,0,0.3852187395095825,1736752008.207116,,,,,,
58,58,56.3525101,2.9499999527615728e-06,59.0,0,0.37785959243774414,1736752008.660261,,,,,,
59,59,56.806724093,3.000000106112566e-06,60.0,0,0.3359585404396057,1736752009.114484,,,,,,
60,60,57.261809636,3.0500000320898835e-06,61.0,0,0.32697364687919617,1736752009.5695438,,,,,,
61,61,57.716421042,3.099999958067201e-06,62.0,0,0.32814717292785645,1736752010.02414,,,,,,
62,62,58.171061573,3.150000111418194e-06,63.0,0,0.39260128140449524,1736752010.4785314,,,,,,
63,63,58.625202009,3.2000000373955118e-06,64.0,0,0.3210465610027313,1736752010.9329941,,,,,,
64,64,59.080386077,3.2499999633728294e-06,65.0,0,0.33120521903038025,1736752011.3879206,,,,,,
