trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,44.339556891,5.000000058430487e-08,1.0,0,0.05879950523376465,1736752698.1964054,,,,,,
1,1,44.798919602,1.0000000116860974e-07,2.0,0,0.11929861456155777,1736752698.6557114,,,,,,
2,2,45.265908387,1.500000053056283e-07,3.0,0,0.08587804436683655,1736752699.1225364,,,,,,
3,3,45.718701463,2.0000000233721948e-07,4.0,0,0.09056559205055237,1736752699.5755932,,,,,,
4,4,46.17158544,2.499999993688107e-07,5.0,0,0.041238293051719666,1736752700.0284193,,,,,,
5,5,46.624318568,3.000000106112566e-07,6.0,0,0.06575942784547806,1736752700.4811707,,,,,,
6,6,47.077790836,3.4999999343199306e-07,7.0,0,0.10606203228235245,1736752700.9341478,,,,,,
7,7,47.53118921,4.0000000467443897e-07,8.0,0,0.04090278223156929,1736752701.387716,,,,,,
8,8,47.983884683,4.4999998749517545e-07,9.0,0,0.12569072842597961,1736752701.840774,,,,,,
9,9,48.436385516,4.999999987376214e-07,10.0,0,0.06504769623279572,1736752702.293212,,,,,,
10,10,48.889756393,5.499999815583578e-07,11.0,0,0.06827670335769653,1736752702.746357,,,,,,
11,11,49.343480211,6.000000212225132e-07,12.0,0,0.06278851628303528,1736752703.2003534,,,,,,
12,12,49.797153322,6.500000040432496e-07,13.0,0,0.07367883622646332,1736752703.6540544,,,,,,
13,13,50.250301554,6.999999868639861e-07,14.0,0,0.08745434135198593,1736752704.1071608,,,,,,
14,14,50.703570759,7.500000265281415e-07,15.0,0,0.041396498680114746,1736752704.5604255,,,,,,
15,15,51.157194361,8.000000093488779e-07,16.0,0,0.03917519748210907,1736752705.0140426,,,,,,
16,16,51.612980242,8.499999921696144e-07,17.0,0,0.03726496919989586,1736752705.4698553,,,,,,
17,17,52.069149955,8.999999749903509e-07,18.0,0,0.05497331544756889,1736752705.9260368,,,,,,
18,18,52.528827698,9.500000146545062e-07,19.0,0,0.022044386714696884,1736752706.3857243,,,,,,
19,19,52.981828148,9.999999974752427e-07,20.0,0,0.028252065181732178,1736752706.8386824,,,,,,
20,20,53.434957688,1.050000037139398e-06,21.0,0,0.03501662239432335,1736752707.291826,,,,,,
21,21,53.887960017,1.0999999631167157e-06,22.0,0,0.0757763609290123,1736752707.7448144,,,,,,
22,22,54.341237351,1.150000002780871e-06,23.0,0,0.057178959250450134,1736752708.1981003,,,,,,
23,23,54.795015153,1.2000000424450263e-06,24.0,0,0.04898675158619881,1736752708.6516013,,,,,,
24,24,55.247739093,1.249999968422344e-06,25.0,0,0.0254885982722044,1736752709.1046438,,,,,,
25,25,55.701058157,1.3000000080864993e-06,26.0,0,0.06314440816640854,1736752709.5578973,,,,,,
26,26,56.154724744,1.3500000477506546e-06,27.0,0,0.04619932919740677,1736752710.0113966,,,,,,
27,27,56.6076799,1.3999999737279722e-06,28.0,0,0.030327606946229935,1736752710.4645202,,,,,,
28,28,57.060766212,1.4500000133921276e-06,29.0,0,0.05991470813751221,1736752710.9176335,,,,,,
29,29,57.51410254,1.500000053056283e-06,30.0,0,0.01915094628930092,1736752711.3709612,,,,,,
30,30,57.967662607,1.5499999790336005e-06,31.0,0,0.02808503806591034,1736752711.8245273,,,,,,
31,31,58.420071688,1.6000000186977559e-06,32.0,0,0.0259066354483366,1736752712.2769225,,,,,,
32,32,58.874255974,1.6499999446750735e-06,33.0,0,0.04227601736783981,1736752712.7307997,,,,,,
33,33,59.327612892,1.6999999843392288e-06,34.0,0,0.01809777319431305,1736752713.184497,,,,,,
34,34,59.781484285,1.7500000240033842e-06,35.0,0,0.05116374418139458,1736752713.6383586,,,,,,
35,35,59.870817988,1.7999999499807018e-06,36.0,0,0.01602543517947197,1736752713.7277234,,,,,,
35,36,62.151563875,,,0,,1736752716.00832,0.9940000176429749,0.029830418527126312,,,,
35,37,62.169139079,,,0,,1736752716.0260615,,,0.9855555295944214,0.05528932064771652,,
36,38,66.965784958,,,1,,1736752720.8224788,,,,,0.9919999837875366,0.02647504024207592
