trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,42.222487396,5.000000058430487e-08,1.0,0,1.3242512941360474,1736752507.1157541,,,,,,
1,1,42.67740668,1.0000000116860974e-07,2.0,0,1.325863003730774,1736752507.570639,,,,,,
2,2,43.147476662,1.500000053056283e-07,3.0,0,1.387141227722168,1736752508.040472,,,,,,
3,3,43.606653192,2.0000000233721948e-07,4.0,0,1.3248010873794556,1736752508.499691,,,,,,
4,4,44.069408299,2.499999993688107e-07,5.0,0,1.179377555847168,1736752508.9623764,,,,,,
5,5,44.542039208,3.000000106112566e-07,6.0,0,1.2051922082901,1736752509.4351814,,,,,,
6,6,45.011149419,3.4999999343199306e-07,7.0,0,1.2665939331054688,1736752509.9038818,,,,,,
7,7,45.476309008,4.0000000467443897e-07,8.0,0,1.2555909156799316,1736752510.3693922,,,,,,
8,8,45.948476406,4.4999998749517545e-07,9.0,0,1.3474552631378174,1736752510.841324,,,,,,
9,9,46.418713215,4.999999987376214e-07,10.0,0,1.2274601459503174,1736752511.3115714,,,,,,
10,10,46.890201487,5.499999815583578e-07,11.0,0,1.1968786716461182,1736752511.783318,,,,,,
11,11,47.353387799,6.000000212225132e-07,12.0,0,1.3070449829101562,1736752512.2465587,,,,,,
12,12,47.818229763,6.500000040432496e-07,13.0,0,1.173111081123352,1736752512.71121,,,,,,
13,13,48.289409745,6.999999868639861e-07,14.0,0,1.1965305805206299,1736752513.1822076,,,,,,
14,14,48.754910662,7.500000265281415e-07,15.0,0,1.2314550876617432,1736752513.6481004,,,,,,
15,15,49.224480386,8.000000093488779e-07,16.0,0,0.9054665565490723,1736752514.1172614,,,,,,
16,16,49.704659742,8.499999921696144e-07,17.0,0,1.1070135831832886,1736752514.597624,,,,,,
17,17,50.17070216,8.999999749903509e-07,18.0,0,1.1661661863327026,1736752515.0635781,,,,,,
18,18,50.644147366,9.500000146545062e-07,19.0,0,1.1363400220870972,1736752515.5371673,,,,,,
19,19,51.113237684,9.999999974752427e-07,20.0,0,1.3942241668701172,1736752516.0064278,,,,,,
20,20,51.575239262,1.050000037139398e-06,21.0,0,1.0628856420516968,1736752516.4682853,,,,,,
21,21,52.052228159,1.0999999631167157e-06,22.0,0,1.1526986360549927,1736752516.9450352,,,,,,
22,22,52.522022919,1.150000002780871e-06,23.0,0,1.1206187009811401,1736752517.4151757,,,,,,
23,23,52.994748765,1.2000000424450263e-06,24.0,0,1.0118132829666138,1736752517.8878891,,,,,,
24,24,53.459885271,1.249999968422344e-06,25.0,0,1.1641418933868408,1736752518.3527436,,,,,,
25,25,53.935297486,1.3000000080864993e-06,26.0,0,1.1612051725387573,1736752518.8284588,,,,,,
26,26,54.408430907,1.3500000477506546e-06,27.0,0,1.224685549736023,1736752519.3011734,,,,,,
27,27,54.877001928,1.3999999737279722e-06,28.0,0,1.0239763259887695,1736752519.770137,,,,,,
28,28,55.341674568,1.4500000133921276e-06,29.0,0,1.1453540325164795,1736752520.2347,,,,,,
29,29,55.818033299,1.500000053056283e-06,30.0,0,1.4264246225357056,1736752520.7109294,,,,,,
30,30,56.283803057,1.5499999790336005e-06,31.0,0,0.8943836092948914,1736752521.1769938,,,,,,
31,31,56.749707143,1.6000000186977559e-06,32.0,0,0.9833692312240601,1736752521.6426873,,,,,,
32,32,57.218925586,1.6499999446750735e-06,33.0,0,1.2895002365112305,1736752522.1119432,,,,,,
33,33,57.688878455,1.6999999843392288e-06,34.0,0,1.020424246788025,1736752522.5820286,,,,,,
34,34,58.160329052,1.7500000240033842e-06,35.0,0,0.9359233379364014,1736752523.0534816,,,,,,
35,35,58.63476937,1.7999999499807018e-06,36.0,0,1.0556461811065674,1736752523.5276453,,,,,,
36,36,59.09868048,1.8499999896448571e-06,37.0,0,0.9901679158210754,1736752523.9917343,,,,,,
37,37,59.564352377,1.9000000293090125e-06,38.0,0,0.9945437908172607,1736752524.4573238,,,,,,
38,38,60.03716821,1.950000068973168e-06,39.0,0,1.0266270637512207,1736752524.9303467,,,,,,
39,39,60.516193253,1.9999999949504854e-06,40.0,0,0.7538778185844421,1736752525.409041,,,,,,
40,40,60.986728907,2.049999920927803e-06,41.0,0,0.865687370300293,1736752525.8797662,,,,,,
41,41,61.450927809,2.100000074278796e-06,42.0,0,0.970858633518219,1736752526.3441195,,,,,,
42,42,61.922098791,2.1500000002561137e-06,43.0,0,0.8964851498603821,1736752526.8151145,,,,,,
43,43,62.390849684,2.1999999262334313e-06,44.0,0,1.1358360052108765,1736752527.2840104,,,,,,
44,44,62.861935057,2.2500000795844244e-06,45.0,0,0.8132869005203247,1736752527.7551496,,,,,,
45,45,63.334740555,2.300000005561742e-06,46.0,0,1.1565654277801514,1736752528.2278283,,,,,,
46,46,63.802446911,2.3499999315390596e-06,47.0,0,1.1426433324813843,1736752528.6954367,,,,,,
47,47,64.277478652,2.4000000848900527e-06,48.0,0,0.9629615545272827,1736752529.1706192,,,,,,
48,48,64.748002454,2.4500000108673703e-06,49.0,0,0.9189086556434631,1736752529.6408749,,,,,,
49,49,65.220363682,2.499999936844688e-06,50.0,0,1.0104411840438843,1736752530.1133194,,,,,,
50,50,65.711443864,2.550000090195681e-06,51.0,0,0.930722177028656,1736752530.6045809,,,,,,
51,51,66.194377773,2.6000000161729986e-06,52.0,0,1.1097686290740967,1736752531.08751,,,,,,
52,52,66.666138859,2.649999942150316e-06,53.0,0,1.2402981519699097,1736752531.559208,,,,,,
53,53,67.139479046,2.7000000955013093e-06,54.0,0,1.0195600986480713,1736752532.032666,,,,,,
54,54,67.606343549,2.750000021478627e-06,55.0,0,0.9253187775611877,1736752532.4993935,,,,,,
55,55,68.079961412,2.7999999474559445e-06,56.0,0,0.8816202878952026,1736752532.9731314,,,,,,
56,56,68.55626878,2.8500001008069376e-06,57.0,0,0.8889182806015015,1736752533.4493403,,,,,,
57,57,69.029131534,2.900000026784255e-06,58.0,0,0.8186629414558411,1736752533.9219933,,,,,,
58,58,69.502750154,2.9499999527615728e-06,59.0,0,0.9265588521957397,1736752534.395977,,,,,,
59,59,69.9777801,3.000000106112566e-06,60.0,0,0.8416686654090881,1736752534.8708727,,,,,,
60,60,70.450703877,3.0500000320898835e-06,61.0,0,0.9418113827705383,1736752535.3435662,,,,,,
61,61,70.92212342,3.099999958067201e-06,62.0,0,0.749762237071991,1736752535.815131,,,,,,
62,62,71.394878353,3.150000111418194e-06,63.0,0,0.9036901593208313,1736752536.287882,,,,,,
63,63,71.866549643,3.2000000373955118e-06,64.0,0,0.9820358157157898,1736752536.7596967,,,,,,
64,64,72.334691297,3.2499999633728294e-06,65.0,0,0.8732907176017761,1736752537.2275891,,,,,,
65,65,72.803564524,3.299999889350147e-06,66.0,0,0.9470149874687195,1736752537.696763,,,,,,
66,66,73.268800333,3.35000004270114e-06,67.0,0,0.8947960138320923,1736752538.1619804,,,,,,
67,67,73.745212501,3.3999999686784577e-06,68.0,0,0.949058473110199,1736752538.6383872,,,,,,
68,68,74.214223688,3.4499998946557753e-06,69.0,0,0.9995307326316833,1736752539.1074755,,,,,,
69,69,74.681566661,3.5000000480067683e-06,70.0,0,0.7443814873695374,1736752539.5744054,,,,,,
70,70,75.152575803,3.549999973984086e-06,71.0,0,0.84079909324646,1736752540.0454416,,,,,,
71,71,75.632127453,3.5999998999614036e-06,72.0,0,0.7403917908668518,1736752540.5247545,,,,,,
72,72,76.108524398,3.6500000533123966e-06,73.0,0,0.8464796543121338,1736752541.001729,,,,,,
73,73,76.579347094,3.6999999792897142e-06,74.0,0,1.0489035844802856,1736752541.4724874,,,,,,
74,74,77.047654007,3.749999905267032e-06,75.0,0,0.9760703444480896,1736752541.9405208,,,,,,
75,75,77.526107858,3.800000058618025e-06,76.0,0,0.8648841381072998,1736752542.4192722,,,,,,
76,76,77.992910884,3.850000211969018e-06,77.0,0,0.9922073483467102,1736752542.8859904,,,,,,
77,77,78.480419518,3.900000137946336e-06,78.0,0,1.0997921228408813,1736752543.373369,,,,,,
78,78,78.959382809,3.950000063923653e-06,79.0,0,0.9799150228500366,1736752543.8525388,,,,,,
79,79,79.432833402,3.999999989900971e-06,80.0,0,0.8236475586891174,1736752544.3260581,,,,,,
80,80,79.900396564,4.0499999158782884e-06,81.0,0,0.9334838390350342,1736752544.7936165,,,,,,
81,81,80.367816362,4.099999841855606e-06,82.0,0,1.000527024269104,1736752545.2609794,,,,,,
82,82,80.840319893,4.1500002225802746e-06,83.0,0,0.8807264566421509,1736752545.7334685,,,,,,
83,83,81.314810781,4.200000148557592e-06,84.0,0,1.0087573528289795,1736752546.2080054,,,,,,
84,84,81.780659261,4.25000007453491e-06,85.0,0,1.1402300596237183,1736752546.6738288,,,,,,
85,85,82.256385097,4.300000000512227e-06,86.0,0,0.8727765083312988,1736752547.1490357,,,,,,
86,86,82.743502714,4.349999926489545e-06,87.0,0,0.9728831052780151,1736752547.6366935,,,,,,
87,87,83.215138246,4.399999852466863e-06,88.0,0,0.8662644028663635,1736752548.1081045,,,,,,
88,88,83.686417021,4.44999977844418e-06,89.0,0,0.8188900947570801,1736752548.5793922,,,,,,
89,89,84.161961753,4.500000159168849e-06,90.0,0,0.9374949336051941,1736752549.0550275,,,,,,
90,90,84.635252296,4.550000085146166e-06,91.0,0,0.731944739818573,1736752549.5281177,,,,,,
91,91,85.110922417,4.600000011123484e-06,92.0,0,0.9873810410499573,1736752550.0039,,,,,,
92,92,85.581586221,4.649999937100802e-06,93.0,0,0.8541127443313599,1736752550.4746752,,,,,,
93,93,86.059522629,4.699999863078119e-06,94.0,0,1.062168836593628,1736752550.952413,,,,,,
94,94,86.530678483,4.749999789055437e-06,95.0,0,0.9526698589324951,1736752551.4236536,,,,,,
95,95,86.997684867,4.800000169780105e-06,96.0,0,0.8360499739646912,1736752551.8909054,,,,,,
96,96,87.464410247,4.850000095757423e-06,97.0,0,0.8265072703361511,1736752552.357041,,,,,,
97,97,87.937620469,4.900000021734741e-06,98.0,0,0.8035311698913574,1736752552.8306801,,,,,,
98,98,88.4067143,4.949999947712058e-06,99.0,0,0.9981282949447632,1736752553.299892,,,,,,
99,99,88.878780671,4.999999873689376e-06,100.0,0,0.8971825838088989,1736752553.7719896,,,,,,
100,100,89.352239018,5.0499997996666934e-06,101.0,0,1.0082999467849731,1736752554.2454207,,,,,,
101,101,89.827836958,5.100000180391362e-06,102.0,0,0.7798784971237183,1736752554.7209206,,,,,,
102,102,90.300133473,5.1500001063686796e-06,103.0,0,0.7546358704566956,1736752555.1927183,,,,,,
103,103,90.779663685,5.200000032345997e-06,104.0,0,0.9655869603157043,1736752555.672883,,,,,,
104,104,91.253806788,5.249999958323315e-06,105.0,0,0.8962370157241821,1736752556.1466882,,,,,,
105,105,91.733566665,5.299999884300632e-06,106.0,0,0.9849302768707275,1736752556.6266956,,,,,,
106,106,92.206961423,5.34999981027795e-06,107.0,0,0.8548988103866577,1736752557.1000009,,,,,,
107,107,92.684622554,5.4000001910026185e-06,108.0,0,0.8943234086036682,1736752557.5778387,,,,,,
108,108,93.149607482,5.450000116979936e-06,109.0,0,0.931464433670044,1736752558.042725,,,,,,
109,109,93.612763233,5.500000042957254e-06,110.0,0,0.9260016679763794,1736752558.5057633,,,,,,
110,110,94.075944381,5.549999968934571e-06,111.0,0,0.831459641456604,1736752558.969164,,,,,,
111,111,94.5347607,5.599999894911889e-06,112.0,0,0.9120897650718689,1736752559.4278386,,,,,,
112,112,94.98823098,5.649999820889207e-06,113.0,0,0.7431910037994385,1736752559.8815103,,,,,,
113,113,95.443338405,5.700000201613875e-06,114.0,0,0.8024154901504517,1736752560.3366697,,,,,,
114,114,95.898913478,5.750000127591193e-06,115.0,0,0.7610184550285339,1736752560.792211,,,,,,
115,115,96.354184576,5.80000005356851e-06,116.0,0,0.7578755617141724,1736752561.247498,,,,,,
