trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp
0,0,33.31145594,9.999999747378752e-06,1,0,1.4385417699813843,1736971394.5177112
1,1,33.765208632,9.999999747378752e-06,2,0,1.1002693176269531,1736971394.9713378
2,2,34.219935442,9.999999747378752e-06,3,0,1.0315265655517578,1736971395.4262693
3,3,34.677040643,9.999999747378752e-06,4,0,1.274573564529419,1736971395.8833983
4,4,35.133790727,9.999999747378752e-06,5,0,1.0593422651290894,1736971396.3400643
5,5,35.588325625,9.999999747378752e-06,6,0,1.0572409629821777,1736971396.794315
6,6,36.043474264,9.999999747378752e-06,7,0,1.1070361137390137,1736971397.249784
7,7,36.502319287,9.999999747378752e-06,8,0,1.0596134662628174,1736971397.708705
8,8,36.95605809,9.999999747378752e-06,9,0,1.0269547700881958,1736971398.1623685
9,9,37.410699075,9.999999747378752e-06,10,0,1.0304656028747559,1736971398.6168387
10,10,37.864527996,9.999999747378752e-06,11,0,0.9817944169044495,1736971399.0708637
11,11,38.319135879,9.999999747378752e-06,12,0,1.0816413164138794,1736971399.525318
12,12,38.773123426,9.999999747378752e-06,13,0,0.9251818656921387,1736971399.979454
13,13,39.227252319,9.999999747378752e-06,14,0,0.8917672038078308,1736971400.4336069
14,14,39.683022089,9.999999747378752e-06,15,0,0.796058177947998,1736971400.8891048
15,15,40.138949035,9.999999747378752e-06,16,0,0.6862738728523254,1736971401.3450441
16,16,40.595923825,9.999999747378752e-06,17,0,0.8211118578910828,1736971401.8022792
17,17,41.050846425,9.999999747378752e-06,18,0,0.7815897464752197,1736971402.256743
18,18,41.507637259,9.999999747378752e-06,19,0,1.0921061038970947,1736971402.7136095
19,19,41.964817624,9.999999747378752e-06,20,0,0.7364698648452759,1736971403.1709783
20,20,42.421616382,9.999999747378752e-06,21,0,0.7837339639663696,1736971403.6277719
21,21,42.876837199,9.999999747378752e-06,22,0,1.0198105573654175,1736971404.0831199
22,22,43.330394776,9.999999747378752e-06,23,0,0.7276570200920105,1736971404.5367167
23,23,43.787046167,9.999999747378752e-06,24,0,0.6184587478637695,1736971404.9930992
24,24,44.241104031,9.999999747378752e-06,25,0,0.7376302480697632,1736971405.4474962
