trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,35.912266979,9.999999747378752e-06,1.0,0,1.0917621850967407,1736969381.2599478,,,,,,
1,1,36.373027574,9.999999747378752e-06,2.0,0,1.961256980895996,1736969381.7206748,,,,,,
2,2,36.829736213,9.999999747378752e-06,3.0,0,1.949763536453247,1736969382.177371,,,,,,
3,3,37.290931941,9.999999747378752e-06,4.0,0,1.1725014448165894,1736969382.6385632,,,,,,
4,4,37.749034175,9.999999747378752e-06,5.0,0,1.1672335863113403,1736969383.096659,,,,,,
5,5,38.205444457,9.999999747378752e-06,6.0,0,1.1897568702697754,1736969383.5531492,,,,,,
6,6,38.66528984,9.999999747378752e-06,7.0,0,1.012308120727539,1736969384.0129187,,,,,,
7,7,39.123490908,9.999999747378752e-06,8.0,0,0.8513820171356201,1736969384.4711509,,,,,,
8,8,39.580624621,9.999999747378752e-06,9.0,0,1.0323500633239746,1736969384.928308,,,,,,
9,9,40.038857258,9.999999747378752e-06,10.0,0,0.8875857591629028,1736969385.3864276,,,,,,
10,10,40.501953427,9.999999747378752e-06,11.0,0,1.104347825050354,1736969385.849597,,,,,,
11,11,40.957172049,9.999999747378752e-06,12.0,0,1.014410376548767,1736969386.3048313,,,,,,
12,12,41.413877,9.999999747378752e-06,13.0,0,0.7365542054176331,1736969386.7614868,,,,,,
13,13,41.870976017,9.999999747378752e-06,14.0,0,0.9284239411354065,1736969387.218611,,,,,,
14,14,42.328296968,9.999999747378752e-06,15.0,0,0.9111868739128113,1736969387.6758823,,,,,,
15,15,42.785544452,9.999999747378752e-06,16.0,0,0.8204036355018616,1736969388.1331432,,,,,,
16,16,43.245938378,9.999999747378752e-06,17.0,0,0.7262668609619141,1736969388.5936687,,,,,,
17,17,43.711721429,9.999999747378752e-06,18.0,0,0.7502456903457642,1736969389.0594258,,,,,,
18,18,44.168451605,9.999999747378752e-06,19.0,0,0.7125029563903809,1736969389.5160747,,,,,,
19,19,44.627112451,9.999999747378752e-06,20.0,0,0.8430497646331787,1736969389.9747417,,,,,,
20,20,45.08391419,9.999999747378752e-06,21.0,0,0.8534430861473083,1736969390.4315407,,,,,,
21,21,45.541885646,9.999999747378752e-06,22.0,0,0.8147897124290466,1736969390.8895025,,,,,,
22,22,45.998659964,9.999999747378752e-06,23.0,0,0.6209020614624023,1736969391.3463273,,,,,,
23,23,46.454942111,9.999999747378752e-06,24.0,0,0.6484226584434509,1736969391.802626,,,,,,
24,24,46.912266487,9.999999747378752e-06,25.0,0,0.8292416930198669,1736969392.2598572,,,,,,
