trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.959319156,9.999999747378752e-06,1.0,0,2.0091629028320312,1736969511.7314718,,,,,,
1,1,37.416600859,9.999999747378752e-06,2.0,0,1.9362001419067383,1736969512.188754,,,,,,
2,2,37.871096619,9.999999747378752e-06,3.0,0,2.049746513366699,1736969512.6432602,,,,,,
3,3,38.325471289,9.999999747378752e-06,4.0,0,1.5641651153564453,1736969513.097638,,,,,,
4,4,38.78461878,9.999999747378752e-06,5.0,0,1.7375751733779907,1736969513.5567865,,,,,,
5,5,39.238956476,9.999999747378752e-06,6.0,0,1.6497777700424194,1736969514.0111225,,,,,,
6,6,39.693086694,9.999999747378752e-06,7.0,0,1.3602168560028076,1736969514.4652321,,,,,,
7,7,40.146977463,9.999999747378752e-06,8.0,0,1.4714224338531494,1736969514.9191163,,,,,,
8,8,40.600857719,9.999999747378752e-06,9.0,0,1.6919609308242798,1736969515.3729985,,,,,,
9,9,41.054986836,9.999999747378752e-06,10.0,0,1.2677154541015625,1736969515.827148,,,,,,
10,10,41.509005435,9.999999747378752e-06,11.0,0,1.3044661283493042,1736969516.2811866,,,,,,
11,11,41.962959336,9.999999747378752e-06,12.0,0,1.0993616580963135,1736969516.7351356,,,,,,
12,12,42.416837044,9.999999747378752e-06,13.0,0,1.2940152883529663,1736969517.1890142,,,,,,
13,13,42.871018522,9.999999747378752e-06,14.0,0,1.326241135597229,1736969517.6431897,,,,,,
14,14,43.325375678,9.999999747378752e-06,15.0,0,1.1389416456222534,1736969518.0972896,,,,,,
15,15,43.779968336,9.999999747378752e-06,16.0,0,1.2668516635894775,1736969518.5521235,,,,,,
16,16,44.23855011,9.999999747378752e-06,17.0,0,1.046299695968628,1736969519.0106897,,,,,,
17,17,44.694812723,9.999999747378752e-06,18.0,0,1.0986945629119873,1736969519.4669576,,,,,,
18,18,45.154206436,9.999999747378752e-06,19.0,0,1.137965440750122,1736969519.9263644,,,,,,
19,19,45.608144445,9.999999747378752e-06,20.0,0,1.0432411432266235,1736969520.3803732,,,,,,
20,20,46.062976242,9.999999747378752e-06,21.0,0,1.1503657102584839,1736969520.835148,,,,,,
21,21,46.517067574,9.999999747378752e-06,22.0,0,1.115445852279663,1736969521.2892303,,,,,,
22,22,46.970880727,9.999999747378752e-06,23.0,0,1.0674800872802734,1736969521.7430575,,,,,,
23,23,47.424915769,9.999999747378752e-06,24.0,0,0.9950628876686096,1736969522.197099,,,,,,
24,24,47.878950097,9.999999747378752e-06,25.0,0,0.9741860628128052,1736969522.6510828,,,,,,
25,25,48.332718656,9.999999747378752e-06,26.0,0,1.033424735069275,1736969523.1049001,,,,,,
26,26,48.786112987,9.999999747378752e-06,27.0,0,1.0698797702789307,1736969523.5582607,,,,,,
27,27,49.24000877,9.999999747378752e-06,28.0,0,1.0911614894866943,1736969524.0122068,,,,,,
28,28,49.693639325,9.999999747378752e-06,29.0,0,1.0636167526245117,1736969524.4653015,,,,,,
29,29,50.147883217,9.999999747378752e-06,30.0,0,1.0059341192245483,1736969524.9200354,,,,,,
30,30,50.601322213,9.999999747378752e-06,31.0,0,0.9826772809028625,1736969525.373552,,,,,,
31,31,50.938887863,9.999999747378752e-06,32.0,0,0.858824610710144,1736969525.7108388,,,,,,
31,32,53.271066686,,,0,,1736969528.0432005,0.7827051281929016,0.7824983596801758,,,,
31,33,53.281648188,,,0,,1736969528.0538995,,,0.6414676308631897,1.2818044424057007,,
32,34,58.131256211,,,1,,1736969532.903351,,,,,0.7960088849067688,0.7581467032432556
