trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.43716099,9.999999747378752e-06,1.0,0,2.315168619155884,1736973964.6874082,,,,,,
1,1,30.891738051,9.999999747378752e-06,2.0,0,2.199108600616455,1736973965.1420765,,,,,,
2,2,31.357064826,9.999999747378752e-06,3.0,0,1.914982795715332,1736973965.6073537,,,,,,
3,3,31.814093591,9.999999747378752e-06,4.0,0,1.7922919988632202,1736973966.064115,,,,,,
4,4,32.270179346,9.999999747378752e-06,5.0,0,1.549450159072876,1736973966.5204582,,,,,,
5,5,32.725902641,9.999999747378752e-06,6.0,0,1.4163795709609985,1736973966.975952,,,,,,
6,6,33.185592249,9.999999747378752e-06,7.0,0,1.1292240619659424,1736973967.4358523,,,,,,
7,7,33.640856893,9.999999747378752e-06,8.0,0,0.8967739343643188,1736973967.8911014,,,,,,
8,8,34.096930996,9.999999747378752e-06,9.0,0,0.9046380519866943,1736973968.346873,,,,,,
9,9,34.552377197,9.999999747378752e-06,10.0,0,0.6348803639411926,1736973968.8026757,,,,,,
10,10,35.00795329,9.999999747378752e-06,11.0,0,0.6729065775871277,1736973969.2578287,,,,,,
11,11,35.462897036,9.999999747378752e-06,12.0,0,0.525208055973053,1736973969.7127247,,,,,,
12,12,35.917973355,9.999999747378752e-06,13.0,0,0.4239879846572876,1736973970.1680052,,,,,,
13,13,36.372830248,9.999999747378752e-06,14.0,0,0.3836711049079895,1736973970.6228685,,,,,,
14,14,36.829792584,9.999999747378752e-06,15.0,0,0.30764859914779663,1736973971.0796008,,,,,,
15,15,37.284464887,9.999999747378752e-06,16.0,0,0.32171279191970825,1736973971.534673,,,,,,
16,16,37.741486503,9.999999747378752e-06,17.0,0,0.20962762832641602,1736973971.9913354,,,,,,
17,17,38.199386753,9.999999747378752e-06,18.0,0,0.2844716012477875,1736973972.4496937,,,,,,
18,18,38.661000891,9.999999747378752e-06,19.0,0,0.25029489398002625,1736973972.9110348,,,,,,
19,19,39.116845446,9.999999747378752e-06,20.0,0,0.28478163480758667,1736973973.3667226,,,,,,
20,20,39.57168862,9.999999747378752e-06,21.0,0,0.2708621323108673,1736973973.821964,,,,,,
21,21,40.027745746,9.999999747378752e-06,22.0,0,0.3503687083721161,1736973974.2777565,,,,,,
22,22,40.482983072,9.999999747378752e-06,23.0,0,0.2805577516555786,1736973974.7329886,,,,,,
23,23,40.938145554,9.999999747378752e-06,24.0,0,0.5212306976318359,1736973975.1883998,,,,,,
24,24,41.395201182,9.999999747378752e-06,25.0,0,0.24202097952365875,1736973975.645446,,,,,,
25,25,41.851914132,9.999999747378752e-06,26.0,0,0.24950402975082397,1736973976.101807,,,,,,
26,26,42.306942986,9.999999747378752e-06,27.0,0,0.3671095073223114,1736973976.557198,,,,,,
27,27,42.763064327,9.999999747378752e-06,28.0,0,0.3269490897655487,1736973977.0130417,,,,,,
28,28,43.217364647,9.999999747378752e-06,29.0,0,0.2131262868642807,1736973977.467624,,,,,,
29,29,43.67344881,9.999999747378752e-06,30.0,0,0.15974391996860504,1736973977.923375,,,,,,
30,30,44.130534137,9.999999747378752e-06,31.0,0,0.19317883253097534,1736973978.3803542,,,,,,
31,31,44.586572716,9.999999747378752e-06,32.0,0,0.15040268003940582,1736973978.8365226,,,,,,
32,32,45.042631567,9.999999747378752e-06,33.0,0,0.11981019377708435,1736973979.2928991,,,,,,
33,33,45.498603993,9.999999747378752e-06,34.0,0,0.08875729143619537,1736973979.7489161,,,,,,
34,34,45.955069776,9.999999747378752e-06,35.0,0,0.14737612009048462,1736973980.2053258,,,,,,
35,35,46.411394845,9.999999747378752e-06,36.0,0,0.13863660395145416,1736973980.6616676,,,,,,
36,36,46.867595982,9.999999747378752e-06,37.0,0,0.12721404433250427,1736973981.1178584,,,,,,
37,37,47.324180057,9.999999747378752e-06,38.0,0,0.1695108711719513,1736973981.5741942,,,,,,
38,38,47.78038031,9.999999747378752e-06,39.0,0,0.15948587656021118,1736973982.030678,,,,,,
39,39,48.236616956,9.999999747378752e-06,40.0,0,0.09770603477954865,1736973982.4869072,,,,,,
40,40,48.693892708999996,9.999999747378752e-06,41.0,0,0.1588064283132553,1736973982.9441836,,,,,,
41,41,49.151565755,9.999999747378752e-06,42.0,0,0.12976855039596558,1736973983.4018393,,,,,,
42,42,49.607564742,9.999999747378752e-06,43.0,0,0.2059093564748764,1736973983.8578103,,,,,,
43,43,50.063976004,9.999999747378752e-06,44.0,0,0.04574323818087578,1736973984.314227,,,,,,
44,44,50.519640587,9.999999747378752e-06,45.0,0,0.267074316740036,1736973984.7699213,,,,,,
45,45,50.976857961,9.999999747378752e-06,46.0,0,0.08098066598176956,1736973985.2268353,,,,,,
46,46,51.433003842,9.999999747378752e-06,47.0,0,0.10647010803222656,1736973985.6832592,,,,,,
47,47,51.889226712,9.999999747378752e-06,48.0,0,0.13962532579898834,1736973986.1394916,,,,,,
48,48,52.345954143,9.999999747378752e-06,49.0,0,0.06608454138040543,1736973986.596249,,,,,,
49,49,52.802739972,9.999999747378752e-06,50.0,0,0.11719901859760284,1736973987.0529826,,,,,,
50,50,53.259014453,9.999999747378752e-06,51.0,0,0.12107739597558975,1736973987.5092845,,,,,,
51,51,53.716348691,9.999999747378752e-06,52.0,0,0.1265896111726761,1736973987.9663231,,,,,,
52,52,54.172559787,9.999999747378752e-06,53.0,0,0.19688498973846436,1736973988.422549,,,,,,
53,53,54.628981252,9.999999747378752e-06,54.0,0,0.09489655494689941,1736973988.879005,,,,,,
54,54,55.08483672,9.999999747378752e-06,55.0,0,0.20572273433208466,1736973989.3351157,,,,,,
55,55,55.540722658,9.999999747378752e-06,56.0,0,0.06709679961204529,1736973989.791,,,,,,
56,56,55.997051835,9.999999747378752e-06,57.0,0,0.07602345943450928,1736973990.247337,,,,,,
57,57,56.453459649,9.999999747378752e-06,58.0,0,0.08040320128202438,1736973990.7036617,,,,,,
58,58,56.910250913,9.999999747378752e-06,59.0,0,0.1691313534975052,1736973991.1604898,,,,,,
59,59,57.36699489,9.999999747378752e-06,60.0,0,0.12486132979393005,1736973991.6169996,,,,,,
60,60,57.822585719,9.999999747378752e-06,61.0,0,0.1338280588388443,1736973992.072874,,,,,,
61,61,58.279516233,9.999999747378752e-06,62.0,0,0.07885818928480148,1736973992.5295305,,,,,,
62,62,58.73609564,9.999999747378752e-06,63.0,0,0.15426219999790192,1736973992.9859884,,,,,,
63,63,59.194024878,9.999999747378752e-06,64.0,0,0.11491512507200241,1736973993.4443107,,,,,,
64,64,59.650916471,9.999999747378752e-06,65.0,0,0.10653504729270935,1736973993.901168,,,,,,
65,65,60.107245574,9.999999747378752e-06,66.0,0,0.0965770035982132,1736973994.3571997,,,,,,
66,66,60.563824486,9.999999747378752e-06,67.0,0,0.16062796115875244,1736973994.8140671,,,,,,
67,67,61.020836376,9.999999747378752e-06,68.0,0,0.04482407122850418,1736973995.2708592,,,,,,
68,68,61.477495744,9.999999747378752e-06,69.0,0,0.14432555437088013,1736973995.727742,,,,,,
69,69,61.93651538,9.999999747378752e-06,70.0,0,0.06107292324304581,1736973996.186493,,,,,,
70,70,62.392630316,9.999999747378752e-06,71.0,0,0.0677325502038002,1736973996.642886,,,,,,
71,71,62.849499692,9.999999747378752e-06,72.0,0,0.15002204477787018,1736973997.0997875,,,,,,
72,72,63.30773308,9.999999747378752e-06,73.0,0,0.10839289426803589,1736973997.5576963,,,,,,
73,73,63.764811631,9.999999747378752e-06,74.0,0,0.08422593027353287,1736973998.0148275,,,,,,
74,74,64.221141813,9.999999747378752e-06,75.0,0,0.09614038467407227,1736973998.4714327,,,,,,
75,75,64.677623693,9.999999747378752e-06,76.0,0,0.14490213990211487,1736973998.9279068,,,,,,
76,76,65.133997586,9.999999747378752e-06,77.0,0,0.04876067489385605,1736973999.384288,,,,,,
77,77,65.591334105,9.999999747378752e-06,78.0,0,0.08227093517780304,1736973999.841154,,,,,,
78,78,66.04784098,9.999999747378752e-06,79.0,0,0.05613992363214493,1736974000.2981253,,,,,,
79,79,66.504784916,9.999999747378752e-06,80.0,0,0.1151663139462471,1736974000.7550578,,,,,,
80,80,66.962222218,9.999999747378752e-06,81.0,0,0.05858687311410904,1736974001.2122726,,,,,,
81,81,67.418885574,9.999999747378752e-06,82.0,0,0.05115514248609543,1736974001.668876,,,,,,
82,82,67.875459132,9.999999747378752e-06,83.0,0,0.10365535318851471,1736974002.125751,,,,,,
83,83,68.33312074,9.999999747378752e-06,84.0,0,0.05793682113289833,1736974002.5834124,,,,,,
84,84,68.790108103,9.999999747378752e-06,85.0,0,0.05486100912094116,1736974003.0403986,,,,,,
85,85,69.248049617,9.999999747378752e-06,86.0,0,0.11739692091941833,1736974003.4980328,,,,,,
86,86,69.704246543,9.999999747378752e-06,87.0,0,0.05500704050064087,1736974003.9544988,,,,,,
87,87,70.160876049,9.999999747378752e-06,88.0,0,0.028009451925754547,1736974004.4111564,,,,,,
88,88,70.618097767,9.999999747378752e-06,89.0,0,0.05686088651418686,1736974004.8677847,,,,,,
89,89,71.074737461,9.999999747378752e-06,90.0,0,0.05094340443611145,1736974005.324749,,,,,,
90,90,71.531088257,9.999999747378752e-06,91.0,0,0.07603177428245544,1736974005.7813406,,,,,,
91,91,71.988190859,9.999999747378752e-06,92.0,0,0.1943647414445877,1736974006.2384384,,,,,,
92,92,72.444238263,9.999999747378752e-06,93.0,0,0.057429373264312744,1736974006.6945515,,,,,,
93,93,72.901261743,9.999999747378752e-06,94.0,0,0.05180435627698898,1736974007.1512542,,,,,,
94,94,73.357646461,9.999999747378752e-06,95.0,0,0.08535614609718323,1736974007.6079412,,,,,,
95,95,73.815007883,9.999999747378752e-06,96.0,0,0.16523084044456482,1736974008.0653198,,,,,,
96,96,74.272648553,9.999999747378752e-06,97.0,0,0.03996802121400833,1736974008.5226665,,,,,,
97,97,74.72906192,9.999999747378752e-06,98.0,0,0.05042802914977074,1736974008.979067,,,,,,
98,98,75.185226128,9.999999747378752e-06,99.0,0,0.08576521277427673,1736974009.4354959,,,,,,
99,99,75.641542795,9.999999747378752e-06,100.0,0,0.12617036700248718,1736974009.8917944,,,,,,
100,100,76.099163091,9.999999747378752e-06,101.0,0,0.03896285220980644,1736974010.3491476,,,,,,
101,101,76.55587851,9.999999747378752e-06,102.0,0,0.030712680891156197,1736974010.8061504,,,,,,
102,102,77.012250912,9.999999747378752e-06,103.0,0,0.05967792868614197,1736974011.2625303,,,,,,
103,103,77.468422591,9.999999747378752e-06,104.0,0,0.029704581946134567,1736974011.7187207,,,,,,
104,104,77.926171058,9.999999747378752e-06,105.0,0,0.033862873911857605,1736974012.176159,,,,,,
105,105,78.382752982,9.999999747378752e-06,106.0,0,0.06636659055948257,1736974012.6330597,,,,,,
106,106,78.839420372,9.999999747378752e-06,107.0,0,0.1357143074274063,1736974013.089713,,,,,,
107,107,79.295923871,9.999999747378752e-06,108.0,0,0.05714738368988037,1736974013.5462582,,,,,,
108,108,79.75326954,9.999999747378752e-06,109.0,0,0.051797837018966675,1736974014.0035524,,,,,,
109,109,80.21022933,9.999999747378752e-06,110.0,0,0.09073033928871155,1736974014.460199,,,,,,
110,110,80.666864743,9.999999747378752e-06,111.0,0,0.0774601474404335,1736974014.917113,,,,,,
111,111,81.124138889,9.999999747378752e-06,112.0,0,0.03229609876871109,1736974015.3740268,,,,,,
112,112,81.580036404,9.999999747378752e-06,113.0,0,0.027484137564897537,1736974015.8298552,,,,,,
113,113,82.036946357,9.999999747378752e-06,114.0,0,0.07152634859085083,1736974016.286888,,,,,,
114,114,82.493492209,9.999999747378752e-06,115.0,0,0.07372207194566727,1736974016.7438083,,,,,,
115,115,82.951110809,9.999999747378752e-06,116.0,0,0.02209181897342205,1736974017.2013915,,,,,,
116,116,83.40809638,9.999999747378752e-06,117.0,0,0.032181330025196075,1736974017.658353,,,,,,
117,117,83.865196824,9.999999747378752e-06,118.0,0,0.13009339570999146,1736974018.1155329,,,,,,
118,118,84.321703089,9.999999747378752e-06,119.0,0,0.07900208979845047,1736974018.572003,,,,,,
119,119,84.778800857,9.999999747378752e-06,120.0,0,0.0716969221830368,1736974019.0290394,,,,,,
120,120,85.235473332,9.999999747378752e-06,121.0,0,0.15676245093345642,1736974019.4857848,,,,,,
121,121,85.692789451,9.999999747378752e-06,122.0,0,0.019999783486127853,1736974019.942829,,,,,,
122,122,86.14907012,9.999999747378752e-06,123.0,0,0.1709243655204773,1736974020.3993802,,,,,,
123,123,86.606727231,9.999999747378752e-06,124.0,0,0.20230257511138916,1736974020.8566597,,,,,,
124,124,87.062847073,9.999999747378752e-06,125.0,0,0.0632549449801445,1736974021.313086,,,,,,
125,125,87.519466336,9.999999747378752e-06,126.0,0,0.05112859606742859,1736974021.7697263,,,,,,
126,126,87.976233999,9.999999747378752e-06,127.0,0,0.05106326937675476,1736974022.2265155,,,,,,
127,127,88.433237698,9.999999747378752e-06,128.0,0,0.038385942578315735,1736974022.683279,,,,,,
128,128,88.889741067,9.999999747378752e-06,129.0,0,0.0897240862250328,1736974023.1400495,,,,,,
129,129,89.346466261,9.999999747378752e-06,130.0,0,0.11264990270137787,1736974023.5967572,,,,,,
130,130,89.803177746,9.999999747378752e-06,131.0,0,0.0681927502155304,1736974024.0531325,,,,,,
131,131,90.25947426,9.999999747378752e-06,132.0,0,0.043429743498563766,1736974024.5097725,,,,,,
132,132,90.716170123,9.999999747378752e-06,133.0,0,0.07683119922876358,1736974024.9664118,,,,,,
133,133,91.173217851,9.999999747378752e-06,134.0,0,0.06513168662786484,1736974025.423498,,,,,,
134,134,91.630483251,9.999999747378752e-06,135.0,0,0.08275232464075089,1736974025.8807378,,,,,,
135,135,92.087313004,9.999999747378752e-06,136.0,0,0.022531479597091675,1736974026.3375876,,,,,,
136,136,92.545644274,9.999999747378752e-06,137.0,0,0.11018200218677521,1736974026.7959225,,,,,,
137,137,93.003328891,9.999999747378752e-06,138.0,0,0.04588846489787102,1736974027.2536037,,,,,,
138,138,93.467791566,9.999999747378752e-06,139.0,0,0.07060129940509796,1736974027.7178571,,,,,,
139,139,93.924217741,9.999999747378752e-06,140.0,0,0.0697050467133522,1736974028.174521,,,,,,
140,140,94.380807602,9.999999747378752e-06,141.0,0,0.0911719873547554,1736974028.6310806,,,,,,
141,141,94.837660858,9.999999747378752e-06,142.0,0,0.037251587957143784,1736974029.0876975,,,,,,
142,142,95.294710758,9.999999747378752e-06,143.0,0,0.04701140150427818,1736974029.544956,,,,,,
143,143,95.751420421,9.999999747378752e-06,144.0,0,0.0861663818359375,1736974030.0016718,,,,,,
144,144,96.207780665,9.999999747378752e-06,145.0,0,0.018955767154693604,1736974030.4580362,,,,,,
145,145,96.665996835,9.999999747378752e-06,146.0,0,0.053131792694330215,1736974030.9157834,,,,,,
