trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.390904918,9.999999747378752e-06,1.0,0,2.108314037322998,1736972707.125548,,,,,,
1,1,36.844440123,9.999999747378752e-06,2.0,0,1.5928351879119873,1736972707.5791159,,,,,,
2,2,37.301000909,9.999999747378752e-06,3.0,0,1.5857926607131958,1736972708.0351248,,,,,,
3,3,37.754918361,9.999999747378752e-06,4.0,0,1.5072287321090698,1736972708.4890878,,,,,,
4,4,38.208650991,9.999999747378752e-06,5.0,0,1.4369347095489502,1736972708.9432647,,,,,,
5,5,38.663018063,9.999999747378752e-06,6.0,0,1.4548739194869995,1736972709.3973978,,,,,,
6,6,39.118659661,9.999999747378752e-06,7.0,0,1.249061107635498,1736972709.8532488,,,,,,
7,7,39.574771846,9.999999747378752e-06,8.0,0,1.262757420539856,1736972710.3094258,,,,,,
8,8,40.030351256,9.999999747378752e-06,9.0,0,1.41020667552948,1736972710.7647629,,,,,,
9,9,40.488150807,9.999999747378752e-06,10.0,0,1.3727061748504639,1736972711.2227976,,,,,,
10,10,40.943067145,9.999999747378752e-06,11.0,0,1.366990089416504,1736972711.677364,,,,,,
11,11,41.397301742,9.999999747378752e-06,12.0,0,1.3070956468582153,1736972712.1319861,,,,,,
12,12,41.853106426,9.999999747378752e-06,13.0,0,1.0815051794052124,1736972712.587417,,,,,,
13,13,42.307056492,9.999999747378752e-06,14.0,0,1.0706720352172852,1736972713.0416708,,,,,,
14,14,42.761598012,9.999999747378752e-06,15.0,0,1.0134819746017456,1736972713.4962912,,,,,,
15,15,43.217300454,9.999999747378752e-06,16.0,0,1.1183316707611084,1736972713.9519324,,,,,,
16,16,43.680936495,9.999999747378752e-06,17.0,0,1.3492300510406494,1736972714.4153538,,,,,,
17,17,44.13543293,9.999999747378752e-06,18.0,0,1.0094906091690063,1736972714.8700788,,,,,,
18,18,44.590132537,9.999999747378752e-06,19.0,0,1.217368721961975,1736972715.324834,,,,,,
19,19,45.045197533,9.999999747378752e-06,20.0,0,1.1133990287780762,1736972715.779848,,,,,,
20,20,45.500000428,9.999999747378752e-06,21.0,0,0.9087312817573547,1736972716.2344189,,,,,,
21,21,45.954397354,9.999999747378752e-06,22.0,0,1.1677414178848267,1736972716.6887646,,,,,,
