trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.835761865,9.999999747378752e-06,1.0,0,1.115624189376831,1736973544.1127834,,,,,,
1,1,31.298053899,9.999999747378752e-06,2.0,0,0.7154633402824402,1736973544.575194,,,,,,
2,2,31.76038129,9.999999747378752e-06,3.0,0,1.0450489521026611,1736973545.0374365,,,,,,
3,3,32.221269373,9.999999747378752e-06,4.0,0,0.6430129408836365,1736973545.4983413,,,,,,
4,4,32.675113994,9.999999747378752e-06,5.0,0,0.7043495774269104,1736973545.9522316,,,,,,
5,5,33.129853592,9.999999747378752e-06,6.0,0,0.6349979043006897,1736973546.406907,,,,,,
6,6,33.586846766,9.999999747378752e-06,7.0,0,0.43582427501678467,1736973546.8638916,,,,,,
7,7,34.041363281,9.999999747378752e-06,8.0,0,0.5160937905311584,1736973547.3184018,,,,,,
8,8,34.496804677,9.999999747378752e-06,9.0,0,0.3842197060585022,1736973547.773846,,,,,,
9,9,34.952029942,9.999999747378752e-06,10.0,0,0.5105644464492798,1736973548.2287157,,,,,,
10,10,35.406998821,9.999999747378752e-06,11.0,0,0.3653578460216522,1736973548.6840765,,,,,,
11,11,35.862716504,9.999999747378752e-06,12.0,0,0.4538847506046295,1736973549.1398017,,,,,,
12,12,36.317234625,9.999999747378752e-06,13.0,0,0.39962059259414673,1736973549.5943148,,,,,,
13,13,36.772714957,9.999999747378752e-06,14.0,0,0.41461533308029175,1736973550.0495472,,,,,,
14,14,37.227454672,9.999999747378752e-06,15.0,0,0.4412246346473694,1736973550.5044925,,,,,,
15,15,37.682166335,9.999999747378752e-06,16.0,0,0.3078955411911011,1736973550.959234,,,,,,
16,16,38.137820454,9.999999747378752e-06,17.0,0,0.4150058329105377,1736973551.4149554,,,,,,
17,17,38.602097435,9.999999747378752e-06,18.0,0,0.3592548072338104,1736973551.8791392,,,,,,
18,18,39.057524683,9.999999747378752e-06,19.0,0,0.32635951042175293,1736973552.3345633,,,,,,
19,19,39.514784462,9.999999747378752e-06,20.0,0,0.2657407522201538,1736973552.7917354,,,,,,
20,20,39.969968789,9.999999747378752e-06,21.0,0,0.525772213935852,1736973553.2469985,,,,,,
21,21,40.424640502,9.999999747378752e-06,22.0,0,0.3114425241947174,1736973553.701696,,,,,,
22,22,40.880466154,9.999999747378752e-06,23.0,0,0.26744717359542847,1736973554.1572242,,,,,,
23,23,41.335039627,9.999999747378752e-06,24.0,0,0.28972452878952026,1736973554.6120746,,,,,,
24,24,41.790693019,9.999999747378752e-06,25.0,0,0.27147525548934937,1736973555.0676951,,,,,,
25,25,42.245979229,9.999999747378752e-06,26.0,0,0.39569029211997986,1736973555.5230212,,,,,,
26,26,42.701276571,9.999999747378752e-06,27.0,0,0.328543484210968,1736973555.9783335,,,,,,
27,27,43.156666125,9.999999747378752e-06,28.0,0,0.4436578154563904,1736973556.4337034,,,,,,
28,28,43.611774206,9.999999747378752e-06,29.0,0,0.29328060150146484,1736973556.8888373,,,,,,
29,29,44.067270059,9.999999747378752e-06,30.0,0,0.32830512523651123,1736973557.3441308,,,,,,
30,30,44.52236167,9.999999747378752e-06,31.0,0,0.3316524922847748,1736973557.799448,,,,,,
31,31,44.977757218,9.999999747378752e-06,32.0,0,0.19644629955291748,1736973558.2546518,,,,,,
32,32,45.433009299,9.999999747378752e-06,33.0,0,0.27082884311676025,1736973558.7098365,,,,,,
33,33,45.889791199,9.999999747378752e-06,34.0,0,0.35733065009117126,1736973559.1668713,,,,,,
34,34,46.346753356,9.999999747378752e-06,35.0,0,0.1857462227344513,1736973559.6238234,,,,,,
35,35,46.802964625,9.999999747378752e-06,36.0,0,0.3442267179489136,1736973560.079989,,,,,,
36,36,47.259016879,9.999999747378752e-06,37.0,0,0.23462125658988953,1736973560.5356984,,,,,,
37,37,47.714528587,9.999999747378752e-06,38.0,0,0.38287249207496643,1736973560.991598,,,,,,
38,38,48.170780464,9.999999747378752e-06,39.0,0,0.1862807273864746,1736973561.4475236,,,,,,
39,39,48.627073949,9.999999747378752e-06,40.0,0,0.24491152167320251,1736973561.9039025,,,,,,
40,40,49.083019688,9.999999747378752e-06,41.0,0,0.3056524395942688,1736973562.3600695,,,,,,
41,41,49.538915263,9.999999747378752e-06,42.0,0,0.24995750188827515,1736973562.8159864,,,,,,
42,42,49.995533666,9.999999747378752e-06,43.0,0,0.2763441205024719,1736973563.2726212,,,,,,
43,43,50.451152868,9.999999747378752e-06,44.0,0,0.27877581119537354,1736973563.7282197,,,,,,
44,44,50.90775954,9.999999747378752e-06,45.0,0,0.25123152136802673,1736973564.184821,,,,,,
45,45,51.364306952,9.999999747378752e-06,46.0,0,0.3283188045024872,1736973564.6411378,,,,,,
46,46,51.820834948,9.999999747378752e-06,47.0,0,0.3786415159702301,1736973565.0979152,,,,,,
47,47,52.27726834,9.999999747378752e-06,48.0,0,0.1926698386669159,1736973565.554126,,,,,,
48,48,52.733270899,9.999999747378752e-06,49.0,0,0.29546311497688293,1736973566.01004,,,,,,
49,49,53.188937645,9.999999747378752e-06,50.0,0,0.23734450340270996,1736973566.4660301,,,,,,
50,50,53.645732501,9.999999747378752e-06,51.0,0,0.37123021483421326,1736973566.9227748,,,,,,
51,51,54.102553948,9.999999747378752e-06,52.0,0,0.2799362540245056,1736973567.3795993,,,,,,
52,52,54.559264388,9.999999747378752e-06,53.0,0,0.28432944416999817,1736973567.836335,,,,,,
53,53,55.015756623,9.999999747378752e-06,54.0,0,0.24790330231189728,1736973568.292811,,,,,,
54,54,55.472412493,9.999999747378752e-06,55.0,0,0.24076007306575775,1736973568.749492,,,,,,
55,55,55.92875492,9.999999747378752e-06,56.0,0,0.3154706060886383,1736973569.2058363,,,,,,
56,56,56.385185372,9.999999747378752e-06,57.0,0,0.34612613916397095,1736973569.6622608,,,,,,
57,57,56.841577924,9.999999747378752e-06,58.0,0,0.2925359010696411,1736973570.1186547,,,,,,
58,58,57.297808276,9.999999747378752e-06,59.0,0,0.2205250859260559,1736973570.5748682,,,,,,
59,59,57.754123695,9.999999747378752e-06,60.0,0,0.2642301023006439,1736973571.031177,,,,,,
60,60,58.210364717,9.999999747378752e-06,61.0,0,0.25451046228408813,1736973571.487424,,,,,,
61,61,58.667990698,9.999999747378752e-06,62.0,0,0.1647750288248062,1736973571.9447618,,,,,,
62,62,59.124410575,9.999999747378752e-06,63.0,0,0.2977379560470581,1736973572.4014692,,,,,,
63,63,59.581704988,9.999999747378752e-06,64.0,0,0.344727486371994,1736973572.8587384,,,,,,
64,64,60.037319401,9.999999747378752e-06,65.0,0,0.27144354581832886,1736973573.314168,,,,,,
65,65,60.494253174,9.999999747378752e-06,66.0,0,0.3124832808971405,1736973573.7713366,,,,,,
66,66,60.951813452,9.999999747378752e-06,67.0,0,0.32967591285705566,1736973574.2288797,,,,,,
67,67,61.408749759,9.999999747378752e-06,68.0,0,0.22975964844226837,1736973574.6858194,,,,,,
68,68,61.865294387,9.999999747378752e-06,69.0,0,0.4047066867351532,1736973575.1423895,,,,,,
