trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,28.904710268,9.999999747378752e-06,1.0,0,1.2524341344833374,1736971295.3409452,,,,,,
1,1,29.359744195,9.999999747378752e-06,2.0,0,1.7669981718063354,1736971295.7959876,,,,,,
2,2,29.817716565,9.999999747378752e-06,3.0,0,1.0986149311065674,1736971296.2539577,,,,,,
3,3,30.27250525,9.999999747378752e-06,4.0,0,1.0400301218032837,1736971296.7087688,,,,,,
4,4,30.726531494,9.999999747378752e-06,5.0,0,0.9957091212272644,1736971297.1627946,,,,,,
5,5,31.180961415,9.999999747378752e-06,6.0,0,0.9145107269287109,1736971297.6172214,,,,,,
6,6,31.63569198,9.999999747378752e-06,7.0,0,0.9005155563354492,1736971298.0719538,,,,,,
7,7,31.736855258,9.999999747378752e-06,8.0,0,0.7025986313819885,1736971298.1731496,,,,,,
7,8,33.633223906,,,0,,1736971300.0694225,0.8039215803146362,0.6262760758399963,,,,
7,9,33.648151125,,,0,,1736971300.0844815,,,0.6884531378746033,1.1279577016830444,,
8,10,38.050594727,,,1,,1736971304.486771,,,,,0.7549019455909729,0.658872663974762
