trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,34.94772406,9.999999747378752e-06,1.0,0,0.6012167930603027,1736850203.6419914,,,,,,
1,1,35.402517456,9.999999747378752e-06,2.0,0,0.5270248055458069,1736850204.0967884,,,,,,
2,2,35.85585962,9.999999747378752e-06,3.0,0,0.6699105501174927,1736850204.5500908,,,,,,
3,3,36.309613386,9.999999747378752e-06,4.0,0,0.6118687391281128,1736850205.0038877,,,,,,
4,4,36.766574187,9.999999747378752e-06,5.0,0,0.5542059540748596,1736850205.4608333,,,,,,
5,5,37.220143021,9.999999747378752e-06,6.0,0,0.7531738877296448,1736850205.9144425,,,,,,
6,6,37.67460172,9.999999747378752e-06,7.0,0,0.5837299823760986,1736850206.3688428,,,,,,
7,7,38.129343333,9.999999747378752e-06,8.0,0,0.5663793087005615,1736850206.8236058,,,,,,
8,8,38.59027733,9.999999747378752e-06,9.0,0,0.577484130859375,1736850207.2845373,,,,,,
9,9,39.045448344,9.999999747378752e-06,10.0,0,0.6068760752677917,1736850207.7397325,,,,,,
10,10,39.500569933,9.999999747378752e-06,11.0,0,0.6116355061531067,1736850208.1947622,,,,,,
11,11,39.954665218,9.999999747378752e-06,12.0,0,0.7194406390190125,1736850208.6488938,,,,,,
12,12,40.408937234,9.999999747378752e-06,13.0,0,0.452973872423172,1736850209.1031985,,,,,,
13,13,40.863538229,9.999999747378752e-06,14.0,0,0.5664458274841309,1736850209.5577824,,,,,,
14,14,41.317557042,9.999999747378752e-06,15.0,0,0.5752360224723816,1736850210.0118115,,,,,,
15,15,41.772414662,9.999999747378752e-06,16.0,0,0.740974485874176,1736850210.4666777,,,,,,
16,16,42.236769885,9.999999747378752e-06,17.0,0,0.5974593162536621,1736850210.9310503,,,,,,
17,17,42.690755001,9.999999747378752e-06,18.0,0,0.6304659247398376,1736850211.3850322,,,,,,
18,18,43.145909921,9.999999747378752e-06,19.0,0,0.6282169222831726,1736850211.8401322,,,,,,
19,19,43.6032634,9.999999747378752e-06,20.0,0,0.43773263692855835,1736850212.2975373,,,,,,
20,20,44.060680068,9.999999747378752e-06,21.0,0,0.6349210143089294,1736850212.7549596,,,,,,
21,21,44.514501003,9.999999747378752e-06,22.0,0,0.6205959320068359,1736850213.208719,,,,,,
22,22,44.969554078,9.999999747378752e-06,23.0,0,0.5508426427841187,1736850213.663813,,,,,,
23,23,45.424436902,9.999999747378752e-06,24.0,0,0.584359884262085,1736850214.1186574,,,,,,
24,24,45.878943575,9.999999747378752e-06,25.0,0,0.6455847024917603,1736850214.5732543,,,,,,
25,25,46.333364042,9.999999747378752e-06,26.0,0,0.6238323450088501,1736850215.0276506,,,,,,
26,26,46.788045671,9.999999747378752e-06,27.0,0,0.6754154562950134,1736850215.48234,,,,,,
27,27,47.242309125,9.999999747378752e-06,28.0,0,0.7365463972091675,1736850215.9365757,,,,,,
28,28,47.701455143,9.999999747378752e-06,29.0,0,0.8792635798454285,1736850216.3957162,,,,,,
29,29,48.158162368,9.999999747378752e-06,30.0,0,0.4876830279827118,1736850216.8524797,,,,,,
30,30,48.612721673,9.999999747378752e-06,31.0,0,0.6049447655677795,1736850217.3070138,,,,,,
31,31,49.066855041,9.999999747378752e-06,32.0,0,0.48541757464408875,1736850217.7611578,,,,,,
32,32,49.522214186,9.999999747378752e-06,33.0,0,0.43713071942329407,1736850218.2164686,,,,,,
33,33,49.977681888,9.999999747378752e-06,34.0,0,0.6699212193489075,1736850218.6719317,,,,,,
34,34,50.438157373,9.999999747378752e-06,35.0,0,0.4502622187137604,1736850219.1324072,,,,,,
35,35,50.893602138,9.999999747378752e-06,36.0,0,0.6685850620269775,1736850219.5878794,,,,,,
36,36,51.348425632,9.999999747378752e-06,37.0,0,0.5803229808807373,1736850220.0426686,,,,,,
37,37,51.803133837,9.999999747378752e-06,38.0,0,0.6912557482719421,1736850220.4973998,,,,,,
38,38,52.258411973,9.999999747378752e-06,39.0,0,0.555797815322876,1736850220.95265,,,,,,
39,39,52.7140773,9.999999747378752e-06,40.0,0,0.7112739682197571,1736850221.4083862,,,,,,
40,40,53.170944056,9.999999747378752e-06,41.0,0,0.5742850303649902,1736850221.8652084,,,,,,
41,41,53.627228442,9.999999747378752e-06,42.0,0,0.7214028835296631,1736850222.3214977,,,,,,
42,42,54.084773553,9.999999747378752e-06,43.0,0,0.6864106059074402,1736850222.779067,,,,,,
43,43,54.5398281,9.999999747378752e-06,44.0,0,0.6458122730255127,1736850223.2341213,,,,,,
44,44,54.995497579,9.999999747378752e-06,45.0,0,0.47935783863067627,1736850223.689749,,,,,,
45,45,55.451305341,9.999999747378752e-06,46.0,0,0.5386929512023926,1736850224.1455724,,,,,,
46,46,55.908620723,9.999999747378752e-06,47.0,0,0.6114547848701477,1736850224.602891,,,,,,
47,47,56.364350361,9.999999747378752e-06,48.0,0,0.5286855697631836,1736850225.058566,,,,,,
48,48,56.822255316,9.999999747378752e-06,49.0,0,0.7289299368858337,1736850225.5165484,,,,,,
49,49,57.280757835,9.999999747378752e-06,50.0,0,0.4856000542640686,1736850225.975033,,,,,,
50,50,57.736296928,9.999999747378752e-06,51.0,0,0.5789207220077515,1736850226.4306004,,,,,,
51,51,58.194205235,9.999999747378752e-06,52.0,0,0.4557410180568695,1736850226.8884916,,,,,,
