trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,35.74958826,9.999999747378752e-06,1.0,0,0.6012167930603027,1736973178.7524748,,,,,,
1,1,36.212914312,9.999999747378752e-06,2.0,0,0.5269062519073486,1736973179.2158108,,,,,,
2,2,36.676789717,9.999999747378752e-06,3.0,0,0.6707310676574707,1736973179.679748,,,,,,
3,3,37.132034242,9.999999747378752e-06,4.0,0,0.6106448173522949,1736973180.134988,,,,,,
4,4,37.587179836,9.999999747378752e-06,5.0,0,0.5531408786773682,1736973180.5900974,,,,,,
5,5,38.045751,9.999999747378752e-06,6.0,0,0.7508609294891357,1736973181.0486703,,,,,,
6,6,38.500874616,9.999999747378752e-06,7.0,0,0.5845992565155029,1736973181.5037534,,,,,,
7,7,38.957978435,9.999999747378752e-06,8.0,0,0.5688585042953491,1736973181.9609537,,,,,,
8,8,39.413429272,9.999999747378752e-06,9.0,0,0.580854058265686,1736973182.4163568,,,,,,
9,9,39.868752001,9.999999747378752e-06,10.0,0,0.5997558832168579,1736973182.8716867,,,,,,
10,10,40.323966071,9.999999747378752e-06,11.0,0,0.6137277483940125,1736973183.3269148,,,,,,
11,11,40.781516447,9.999999747378752e-06,12.0,0,0.7236037850379944,1736973183.7843726,,,,,,
12,12,41.236009388,9.999999747378752e-06,13.0,0,0.45544642210006714,1736973184.2389522,,,,,,
13,13,41.691360877,9.999999747378752e-06,14.0,0,0.5726817846298218,1736973184.6942239,,,,,,
14,14,42.152016322,9.999999747378752e-06,15.0,0,0.5782123804092407,1736973185.1549358,,,,,,
15,15,42.610606447,9.999999747378752e-06,16.0,0,0.7648454904556274,1736973185.6135015,,,,,,
16,16,43.071272083,9.999999747378752e-06,17.0,0,0.5966823101043701,1736973186.0742178,,,,,,
17,17,43.531805516,9.999999747378752e-06,18.0,0,0.6210775375366211,1736973186.5347292,,,,,,
18,18,43.990380166,9.999999747378752e-06,19.0,0,0.6135071516036987,1736973186.9932961,,,,,,
19,19,44.448511305,9.999999747378752e-06,20.0,0,0.4417676627635956,1736973187.4514315,,,,,,
20,20,44.906709608,9.999999747378752e-06,21.0,0,0.6212579011917114,1736973187.9096146,,,,,,
21,21,45.362898668,9.999999747378752e-06,22.0,0,0.5868600010871887,1736973188.36584,,,,,,
22,22,45.818837402,9.999999747378752e-06,23.0,0,0.5505873560905457,1736973188.8217072,,,,,,
23,23,46.27900351,9.999999747378752e-06,24.0,0,0.6077313423156738,1736973189.2819943,,,,,,
24,24,46.735695679,9.999999747378752e-06,25.0,0,0.652877926826477,1736973189.7386546,,,,,,
25,25,47.192031066,9.999999747378752e-06,26.0,0,0.6421210765838623,1736973190.1950126,,,,,,
26,26,47.648451973,9.999999747378752e-06,27.0,0,0.6866651773452759,1736973190.6513305,,,,,,
27,27,48.104230767,9.999999747378752e-06,28.0,0,0.7182800769805908,1736973191.1071293,,,,,,
28,28,48.560402374,9.999999747378752e-06,29.0,0,0.8651276230812073,1736973191.5633101,,,,,,
29,29,49.01655688,9.999999747378752e-06,30.0,0,0.4818216562271118,1736973192.0194857,,,,,,
30,30,49.47325521,9.999999747378752e-06,31.0,0,0.6053488850593567,1736973192.476125,,,,,,
31,31,49.931051161,9.999999747378752e-06,32.0,0,0.46780335903167725,1736973192.9339533,,,,,,
32,32,50.387711784,9.999999747378752e-06,33.0,0,0.45856279134750366,1736973193.3906353,,,,,,
33,33,50.843733138,9.999999747378752e-06,34.0,0,0.6567704081535339,1736973193.846627,,,,,,
34,34,51.30059654,9.999999747378752e-06,35.0,0,0.42260968685150146,1736973194.303493,,,,,,
35,35,51.756752487,9.999999747378752e-06,36.0,0,0.6394057869911194,1736973194.7596536,,,,,,
36,36,52.212664122,9.999999747378752e-06,37.0,0,0.5969533324241638,1736973195.2155719,,,,,,
37,37,52.668473789,9.999999747378752e-06,38.0,0,0.7098778486251831,1736973195.6714156,,,,,,
38,38,53.124511811,9.999999747378752e-06,39.0,0,0.555290937423706,1736973196.127458,,,,,,
39,39,53.580416457,9.999999747378752e-06,40.0,0,0.7042865753173828,1736973196.5833304,,,,,,
40,40,54.036236467,9.999999747378752e-06,41.0,0,0.5692600607872009,1736973197.0391793,,,,,,
41,41,54.492294431,9.999999747378752e-06,42.0,0,0.7503603100776672,1736973197.4952407,,,,,,
42,42,54.948652384,9.999999747378752e-06,43.0,0,0.6517927050590515,1736973197.9515834,,,,,,
43,43,55.404535627,9.999999747378752e-06,44.0,0,0.6625057458877563,1736973198.407438,,,,,,
44,44,55.860368686,9.999999747378752e-06,45.0,0,0.4893503487110138,1736973198.8632617,,,,,,
45,45,56.316747604,9.999999747378752e-06,46.0,0,0.5339878797531128,1736973199.3196757,,,,,,
46,46,56.773310644,9.999999747378752e-06,47.0,0,0.6175928711891174,1736973199.7762914,,,,,,
47,47,57.22952666,9.999999747378752e-06,48.0,0,0.5174120664596558,1736973200.2324557,,,,,,
48,48,57.686126883,9.999999747378752e-06,49.0,0,0.7161769270896912,1736973200.6890543,,,,,,
49,49,58.141968616,9.999999747378752e-06,50.0,0,0.4730367958545685,1736973201.1448834,,,,,,
50,50,58.599523277,9.999999747378752e-06,51.0,0,0.5501037836074829,1736973201.602468,,,,,,
51,51,59.056798088,9.999999747378752e-06,52.0,0,0.47161656618118286,1736973202.059687,,,,,,
52,52,59.513848785,9.999999747378752e-06,53.0,0,0.7401077151298523,1736973202.5167775,,,,,,
53,53,59.970880807,9.999999747378752e-06,54.0,0,0.548275887966156,1736973202.9737842,,,,,,
54,54,60.427679027,9.999999747378752e-06,55.0,0,0.6113130450248718,1736973203.4305875,,,,,,
55,55,60.885203669,9.999999747378752e-06,56.0,0,0.6956257820129395,1736973203.8881953,,,,,,
56,56,61.341989228,9.999999747378752e-06,57.0,0,0.5794736742973328,1736973204.3449864,,,,,,
57,57,61.799209727,9.999999747378752e-06,58.0,0,0.3575068712234497,1736973204.8021266,,,,,,
58,58,62.255833047,9.999999747378752e-06,59.0,0,0.6427363753318787,1736973205.2587526,,,,,,
59,59,62.713965084,9.999999747378752e-06,60.0,0,0.3002028167247772,1736973205.716896,,,,,,
60,60,63.171377244,9.999999747378752e-06,61.0,0,0.6265363097190857,1736973206.1743236,,,,,,
61,61,63.627930909,9.999999747378752e-06,62.0,0,0.5057336091995239,1736973206.630838,,,,,,
62,62,64.085278431,9.999999747378752e-06,63.0,0,0.49228063225746155,1736973207.0882182,,,,,,
63,63,64.541593445,9.999999747378752e-06,64.0,0,0.6497408151626587,1736973207.5444982,,,,,,
64,64,64.997821276,9.999999747378752e-06,65.0,0,0.8866959810256958,1736973208.000764,,,,,,
65,65,65.454328121,9.999999747378752e-06,66.0,0,0.45554250478744507,1736973208.4572985,,,,,,
66,66,65.911195736,9.999999747378752e-06,67.0,0,0.5293508768081665,1736973208.9141562,,,,,,
67,67,66.367679369,9.999999747378752e-06,68.0,0,0.49460935592651367,1736973209.370587,,,,,,
68,68,66.824221502,9.999999747378752e-06,69.0,0,0.5462929010391235,1736973209.8270884,,,,,,
69,69,67.280708594,9.999999747378752e-06,70.0,0,0.7052863836288452,1736973210.2836523,,,,,,
70,70,67.736752663,9.999999747378752e-06,71.0,0,0.7944614887237549,1736973210.739654,,,,,,
71,71,68.193015671,9.999999747378752e-06,72.0,0,0.5508711934089661,1736973211.1959932,,,,,,
72,72,68.649756089,9.999999747378752e-06,73.0,0,0.5639155507087708,1736973211.6526632,,,,,,
73,73,69.106241513,9.999999747378752e-06,74.0,0,0.5417079925537109,1736973212.109203,,,,,,
74,74,69.563568756,9.999999747378752e-06,75.0,0,0.41898930072784424,1736973212.5665061,,,,,,
75,75,70.020326018,9.999999747378752e-06,76.0,0,0.4872426688671112,1736973213.0232027,,,,,,
76,76,70.477412455,9.999999747378752e-06,77.0,0,0.4618953764438629,1736973213.480379,,,,,,
77,77,70.934354223,9.999999747378752e-06,78.0,0,0.3795475661754608,1736973213.9372501,,,,,,
78,78,71.391268914,9.999999747378752e-06,79.0,0,0.5302916169166565,1736973214.3942137,,,,,,
79,79,71.848556679,9.999999747378752e-06,80.0,0,0.5989464521408081,1736973214.8514662,,,,,,
80,80,72.306063273,9.999999747378752e-06,81.0,0,0.38683077692985535,1736973215.3089645,,,,,,
81,81,72.763335211,9.999999747378752e-06,82.0,0,0.7009777426719666,1736973215.766232,,,,,,
82,82,73.221065033,9.999999747378752e-06,83.0,0,0.455525666475296,1736973216.2239954,,,,,,
83,83,73.678967047,9.999999747378752e-06,84.0,0,0.4302661120891571,1736973216.6818988,,,,,,
84,84,74.137473966,9.999999747378752e-06,85.0,0,0.5585487484931946,1736973217.1404045,,,,,,
85,85,74.594638471,9.999999747378752e-06,86.0,0,0.5396187901496887,1736973217.5975618,,,,,,
86,86,75.051859341,9.999999747378752e-06,87.0,0,0.7745164036750793,1736973218.0547824,,,,,,
87,87,75.508901211,9.999999747378752e-06,88.0,0,0.6141520142555237,1736973218.5118887,,,,,,
88,88,75.966587829,9.999999747378752e-06,89.0,0,0.6325570344924927,1736973218.9695225,,,,,,
89,89,76.42392978,9.999999747378752e-06,90.0,0,0.5195323824882507,1736973219.4269197,,,,,,
90,90,76.882057342,9.999999747378752e-06,91.0,0,0.6008263826370239,1736973219.8849604,,,,,,
91,91,77.339992809,9.999999747378752e-06,92.0,0,0.63921719789505,1736973220.3429332,,,,,,
92,92,77.797484983,9.999999747378752e-06,93.0,0,0.6217655539512634,1736973220.8003848,,,,,,
