trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.559165582,9.999999747378752e-06,1.0,0,2.1636617183685303,1736969846.1377504,,,,,,
1,1,31.022038049,9.999999747378752e-06,2.0,0,1.5109091997146606,1736969846.6007109,,,,,,
2,2,31.480936208,9.999999747378752e-06,3.0,0,1.3164832592010498,1736969847.0595498,,,,,,
3,3,31.936494459,9.999999747378752e-06,4.0,0,1.0784554481506348,1736969847.515076,,,,,,
4,4,32.391078611,9.999999747378752e-06,5.0,0,0.9718078374862671,1736969847.969695,,,,,,
5,5,32.845598993,9.999999747378752e-06,6.0,0,0.8504965305328369,1736969848.42422,,,,,,
6,6,33.300146604,9.999999747378752e-06,7.0,0,0.7628589868545532,1736969848.8783627,,,,,,
7,7,33.754539337,9.999999747378752e-06,8.0,0,0.6780409812927246,1736969849.3327959,,,,,,
8,8,34.209008939,9.999999747378752e-06,9.0,0,0.6698865294456482,1736969849.787133,,,,,,
9,9,34.663433856,9.999999747378752e-06,10.0,0,0.605140745639801,1736969850.2420232,,,,,,
10,10,35.118660075,9.999999747378752e-06,11.0,0,0.380323201417923,1736969850.6968758,,,,,,
11,11,35.5732194,9.999999747378752e-06,12.0,0,0.36812129616737366,1736969851.1518633,,,,,,
12,12,36.027929569,9.999999747378752e-06,13.0,0,0.4297192394733429,1736969851.606219,,,,,,
13,13,36.481656628,9.999999747378752e-06,14.0,0,0.34042927622795105,1736969852.0599983,,,,,,
14,14,36.936472696,9.999999747378752e-06,15.0,0,0.2820851802825928,1736969852.5148478,,,,,,
15,15,37.391330474,9.999999747378752e-06,16.0,0,0.25918564200401306,1736969852.9700003,,,,,,
16,16,37.851901987,9.999999747378752e-06,17.0,0,0.2617911696434021,1736969853.4305205,,,,,,
17,17,38.306028266,9.999999747378752e-06,18.0,0,0.2907877266407013,1736969853.884663,,,,,,
18,18,38.766510984,9.999999747378752e-06,19.0,0,0.3836270272731781,1736969854.3451133,,,,,,
19,19,39.220754565,9.999999747378752e-06,20.0,0,0.3782309293746948,1736969854.7993517,,,,,,
20,20,39.675621007,9.999999747378752e-06,21.0,0,0.3324534296989441,1736969855.253939,,,,,,
21,21,40.129556592,9.999999747378752e-06,22.0,0,0.3240286409854889,1736969855.707859,,,,,,
22,22,40.583735553,9.999999747378752e-06,23.0,0,0.18750032782554626,1736969856.1623313,,,,,,
23,23,41.037451802,9.999999747378752e-06,24.0,0,0.21206915378570557,1736969856.6160676,,,,,,
24,24,41.49175396,9.999999747378752e-06,25.0,0,0.2354801893234253,1736969857.0700295,,,,,,
25,25,41.946908669,9.999999747378752e-06,26.0,0,0.16804316639900208,1736969857.5252163,,,,,,
26,26,42.401172727,9.999999747378752e-06,27.0,0,0.17806395888328552,1736969857.9797292,,,,,,
27,27,42.856818137,9.999999747378752e-06,28.0,0,0.23397225141525269,1736969858.4351273,,,,,,
28,28,43.310509819,9.999999747378752e-06,29.0,0,0.1767181158065796,1736969858.8891032,,,,,,
29,29,43.764958813,9.999999747378752e-06,30.0,0,0.12820373475551605,1736969859.343273,,,,,,
30,30,44.220617066,9.999999747378752e-06,31.0,0,0.1903511881828308,1736969859.799232,,,,,,
31,31,44.676438839,9.999999747378752e-06,32.0,0,0.15817029774188995,1736969860.2550542,,,,,,
32,32,45.131735346,9.999999747378752e-06,33.0,0,0.15214243531227112,1736969860.7103524,,,,,,
33,33,45.587355068,9.999999747378752e-06,34.0,0,0.13773900270462036,1736969861.1656713,,,,,,
34,34,46.042999004,9.999999747378752e-06,35.0,0,0.1171749085187912,1736969861.6216588,,,,,,
35,35,46.498658536,9.999999747378752e-06,36.0,0,0.12419798970222473,1736969862.0766358,,,,,,
36,36,46.954361203,9.999999747378752e-06,37.0,0,0.13680990040302277,1736969862.532694,,,,,,
37,37,47.409956085,9.999999747378752e-06,38.0,0,0.06629779934883118,1736969862.9885669,,,,,,
38,38,47.86562579,9.999999747378752e-06,39.0,0,0.07391195744276047,1736969863.443953,,,,,,
39,39,48.319763537,9.999999747378752e-06,40.0,0,0.11487941443920135,1736969863.8983514,,,,,,
40,40,48.774837565,9.999999747378752e-06,41.0,0,0.08891704678535461,1736969864.3531172,,,,,,
41,41,49.231025753,9.999999747378752e-06,42.0,0,0.24068120121955872,1736969864.809624,,,,,,
42,42,49.686775487,9.999999747378752e-06,43.0,0,0.1617177128791809,1736969865.2651355,,,,,,
43,43,50.141718803,9.999999747378752e-06,44.0,0,0.08232647180557251,1736969865.7203486,,,,,,
44,44,50.596715612,9.999999747378752e-06,45.0,0,0.13499604165554047,1736969866.1753044,,,,,,
45,45,51.052804952,9.999999747378752e-06,46.0,0,0.11265457421541214,1736969866.6314054,,,,,,
46,46,51.507757401,9.999999747378752e-06,47.0,0,0.09825334697961807,1736969867.0864165,,,,,,
47,47,51.963356682,9.999999747378752e-06,48.0,0,0.12943218648433685,1736969867.5419545,,,,,,
48,48,52.418901619,9.999999747378752e-06,49.0,0,0.07867641746997833,1736969867.9975123,,,,,,
49,49,52.874146266,9.999999747378752e-06,50.0,0,0.1079534962773323,1736969868.4524388,,,,,,
50,50,53.330117492,9.999999747378752e-06,51.0,0,0.056374404579401016,1736969868.9087338,,,,,,
51,51,53.786305994,9.999999747378752e-06,52.0,0,0.15176895260810852,1736969869.3646512,,,,,,
52,52,54.241463035,9.999999747378752e-06,53.0,0,0.12015513330698013,1736969869.820059,,,,,,
53,53,54.697172522,9.999999747378752e-06,54.0,0,0.09356372058391571,1736969870.27577,,,,,,
54,54,55.152927588,9.999999747378752e-06,55.0,0,0.09893205016851425,1736969870.7314973,,,,,,
55,55,55.608435276,9.999999747378752e-06,56.0,0,0.11336207389831543,1736969871.1870315,,,,,,
56,56,56.064014709,9.999999747378752e-06,57.0,0,0.20459522306919098,1736969871.6423573,,,,,,
57,57,56.519720437,9.999999747378752e-06,58.0,0,0.1460401862859726,1736969872.0983288,,,,,,
58,58,56.975507142,9.999999747378752e-06,59.0,0,0.09691966325044632,1736969872.5537515,,,,,,
59,59,57.430202889,9.999999747378752e-06,60.0,0,0.10443075746297836,1736969873.008841,,,,,,
60,60,57.885753727,9.999999747378752e-06,61.0,0,0.14317059516906738,1736969873.4640958,,,,,,
61,61,58.341108874,9.999999747378752e-06,62.0,0,0.12990030646324158,1736969873.9197593,,,,,,
62,62,58.796894142,9.999999747378752e-06,63.0,0,0.11679085344076157,1736969874.375185,,,,,,
63,63,59.252283995,9.999999747378752e-06,64.0,0,0.11835569888353348,1736969874.830637,,,,,,
64,64,59.707620776,9.999999747378752e-06,65.0,0,0.13639621436595917,1736969875.2862134,,,,,,
65,65,60.16362258,9.999999747378752e-06,66.0,0,0.06654111295938492,1736969875.7419415,,,,,,
66,66,60.619504719,9.999999747378752e-06,67.0,0,0.05064898729324341,1736969876.1981075,,,,,,
67,67,61.07648473,9.999999747378752e-06,68.0,0,0.05192621424794197,1736969876.6550856,,,,,,
68,68,61.532038961,9.999999747378752e-06,69.0,0,0.057447247207164764,1736969877.1106946,,,,,,
69,69,61.98759483,9.999999747378752e-06,70.0,0,0.025614993646740913,1736969877.566216,,,,,,
70,70,62.44324086,9.999999747378752e-06,71.0,0,0.062157195061445236,1736969878.0215302,,,,,,
71,71,62.898809173,9.999999747378752e-06,72.0,0,0.06089630350470543,1736969878.4771059,,,,,,
72,72,63.35416321,9.999999747378752e-06,73.0,0,0.11331179738044739,1736969878.932533,,,,,,
73,73,63.809776812,9.999999747378752e-06,74.0,0,0.043778590857982635,1736969879.3884096,,,,,,
74,74,64.26548451,9.999999747378752e-06,75.0,0,0.04604041576385498,1736969879.843829,,,,,,
75,75,64.720780585,9.999999747378752e-06,76.0,0,0.03954670950770378,1736969880.2991467,,,,,,
76,76,65.176148048,9.999999747378752e-06,77.0,0,0.049188289791345596,1736969880.754466,,,,,,
77,77,65.631721292,9.999999747378752e-06,78.0,0,0.08686145395040512,1736969881.2103138,,,,,,
78,78,66.087752615,9.999999747378752e-06,79.0,0,0.08021478354930878,1736969881.666045,,,,,,
79,79,66.543152755,9.999999747378752e-06,80.0,0,0.026933331042528152,1736969882.1214645,,,,,,
80,80,66.998864993,9.999999747378752e-06,81.0,0,0.027261802926659584,1736969882.577133,,,,,,
81,81,67.453776982,9.999999747378752e-06,82.0,0,0.0446210652589798,1736969883.0323858,,,,,,
82,82,67.909884731,9.999999747378752e-06,83.0,0,0.06193161383271217,1736969883.4884806,,,,,,
83,83,68.365271112,9.999999747378752e-06,84.0,0,0.10770092159509659,1736969883.9439209,,,,,,
84,84,68.820763667,9.999999747378752e-06,85.0,0,0.020938243716955185,1736969884.3994167,,,,,,
85,85,69.27618254,9.999999747378752e-06,86.0,0,0.028106505051255226,1736969884.854802,,,,,,
86,86,69.732158466,9.999999747378752e-06,87.0,0,0.06668619066476822,1736969885.310441,,,,,,
87,87,70.187398951,9.999999747378752e-06,88.0,0,0.03518057242035866,1736969885.7659774,,,,,,
88,88,70.642663442,9.999999747378752e-06,89.0,0,0.0600769966840744,1736969886.2212975,,,,,,
89,89,71.098998243,9.999999747378752e-06,90.0,0,0.025310689583420753,1736969886.67761,,,,,,
90,90,71.555413332,9.999999747378752e-06,91.0,0,0.034330807626247406,1736969887.13351,,,,,,
91,91,72.010203765,9.999999747378752e-06,92.0,0,0.0487448126077652,1736969887.5885813,,,,,,
92,92,72.465686959,9.999999747378752e-06,93.0,0,0.0481540821492672,1736969888.0442936,,,,,,
93,93,72.921465127,9.999999747378752e-06,94.0,0,0.11343713849782944,1736969888.5001283,,,,,,
94,94,73.377381405,9.999999747378752e-06,95.0,0,0.02329356037080288,1736969888.9560397,,,,,,
95,95,73.832737154,9.999999747378752e-06,96.0,0,0.05123796686530113,1736969889.411408,,,,,,
96,96,74.288363253,9.999999747378752e-06,97.0,0,0.13193733990192413,1736969889.8669696,,,,,,
97,97,74.744283337,9.999999747378752e-06,98.0,0,0.01882052980363369,1736969890.3228898,,,,,,
98,98,75.200351836,9.999999747378752e-06,99.0,0,0.045926596969366074,1736969890.7789419,,,,,,
99,99,75.656105949,9.999999747378752e-06,100.0,0,0.021620899438858032,1736969891.2344003,,,,,,
100,100,76.111385143,9.999999747378752e-06,101.0,0,0.04048873111605644,1736969891.6900032,,,,,,
101,101,76.566995558,9.999999747378752e-06,102.0,0,0.02570965327322483,1736969892.1456227,,,,,,
102,102,77.02216313,9.999999747378752e-06,103.0,0,0.09178802371025085,1736969892.6007333,,,,,,
103,103,77.477869181,9.999999747378752e-06,104.0,0,0.07055563479661942,1736969893.0562186,,,,,,
104,104,77.933098341,9.999999747378752e-06,105.0,0,0.08847653865814209,1736969893.5117092,,,,,,
105,105,78.38929675,9.999999747378752e-06,106.0,0,0.02362413890659809,1736969893.9679053,,,,,,
106,106,78.847890743,9.999999747378752e-06,107.0,0,0.05679180845618248,1736969894.4264894,,,,,,
107,107,79.306316105,9.999999747378752e-06,108.0,0,0.050092581659555435,1736969894.8848937,,,,,,
108,108,79.76184472,9.999999747378752e-06,109.0,0,0.09349234402179718,1736969895.3404477,,,,,,
109,109,80.217454243,9.999999747378752e-06,110.0,0,0.043434564024209976,1736969895.7960627,,,,,,
110,110,80.672812801,9.999999747378752e-06,111.0,0,0.043528955429792404,1736969896.2514231,,,,,,
111,111,81.128084484,9.999999747378752e-06,112.0,0,0.038649782538414,1736969896.7066572,,,,,,
112,112,81.584338264,9.999999747378752e-06,113.0,0,0.07192986458539963,1736969897.1629033,,,,,,
113,113,82.039821961,9.999999747378752e-06,114.0,0,0.030259443446993828,1736969897.6184568,,,,,,
114,114,82.495375357,9.999999747378752e-06,115.0,0,0.03199569135904312,1736969898.0739841,,,,,,
115,115,82.950648967,9.999999747378752e-06,116.0,0,0.04293415695428848,1736969898.5292056,,,,,,
116,116,83.407108445,9.999999747378752e-06,117.0,0,0.05108253285288811,1736969898.9854324,,,,,,
117,117,83.864533887,9.999999747378752e-06,118.0,0,0.03872763738036156,1736969899.4431295,,,,,,
118,118,84.323039546,9.999999747378752e-06,119.0,0,0.06967706233263016,1736969899.9014099,,,,,,
119,119,84.780014168,9.999999747378752e-06,120.0,0,0.020127493888139725,1736969900.3585918,,,,,,
120,120,85.236515377,9.999999747378752e-06,121.0,0,0.05648556351661682,1736969900.814878,,,,,,
121,121,85.694150586,9.999999747378752e-06,122.0,0,0.026095379143953323,1736969901.272774,,,,,,
122,122,86.149944426,9.999999747378752e-06,123.0,0,0.01831122674047947,1736969901.728564,,,,,,
123,123,86.6053438,9.999999747378752e-06,124.0,0,0.01067302655428648,1736969902.184008,,,,,,
124,124,87.060812885,9.999999747378752e-06,125.0,0,0.01588822528719902,1736969902.6391513,,,,,,
125,125,87.516114729,9.999999747378752e-06,126.0,0,0.0439034178853035,1736969903.0947337,,,,,,
126,126,87.97210828,9.999999747378752e-06,127.0,0,0.01764819398522377,1736969903.5507274,,,,,,
127,127,88.427747439,9.999999747378752e-06,128.0,0,0.024836845695972443,1736969904.0064383,,,,,,
128,128,88.884151961,9.999999747378752e-06,129.0,0,0.021254763007164,1736969904.4624503,,,,,,
129,129,89.339643812,9.999999747378752e-06,130.0,0,0.05594966188073158,1736969904.9179847,,,,,,
130,130,89.795255575,9.999999747378752e-06,131.0,0,0.0788290724158287,1736969905.3738637,,,,,,
131,131,90.251156433,9.999999747378752e-06,132.0,0,0.04641199856996536,1736969905.8294904,,,,,,
132,132,90.706492218,9.999999747378752e-06,133.0,0,0.03596087545156479,1736969906.2851174,,,,,,
133,133,91.161996916,9.999999747378752e-06,134.0,0,0.01184995286166668,1736969906.7406785,,,,,,
134,134,91.618275063,9.999999747378752e-06,135.0,0,0.013126103207468987,1736969907.1966097,,,,,,
135,135,92.073348184,9.999999747378752e-06,136.0,0,0.09107606112957001,1736969907.6519597,,,,,,
136,136,92.528601533,9.999999747378752e-06,137.0,0,0.0111914137378335,1736969908.107262,,,,,,
137,137,92.983911295,9.999999747378752e-06,138.0,0,0.03404206782579422,1736969908.5625367,,,,,,
138,138,93.440234046,9.999999747378752e-06,139.0,0,0.0491425059735775,1736969909.0187888,,,,,,
139,139,93.895667253,9.999999747378752e-06,140.0,0,0.018158303573727608,1736969909.4740045,,,,,,
140,140,94.350830729,9.999999747378752e-06,141.0,0,0.029323719441890717,1736969909.9294276,,,,,,
141,141,94.807040974,9.999999747378752e-06,142.0,0,0.01909608021378517,1736969910.3856745,,,,,,
142,142,95.263129435,9.999999747378752e-06,143.0,0,0.030826127156615257,1736969910.8417292,,,,,,
143,143,95.718378623,9.999999747378752e-06,144.0,0,0.023486224934458733,1736969911.2969944,,,,,,
144,144,96.174329584,9.999999747378752e-06,145.0,0,0.03350482136011124,1736969911.7528834,,,,,,
145,145,96.630025464,9.999999747378752e-06,146.0,0,0.07240017503499985,1736969912.2086282,,,,,,
146,146,97.086467278,9.999999747378752e-06,147.0,0,0.010475031100213528,1736969912.665041,,,,,,
147,147,97.541739981,9.999999747378752e-06,148.0,0,0.01632007770240307,1736969913.1203747,,,,,,
148,148,97.997492921,9.999999747378752e-06,149.0,0,0.01650586724281311,1736969913.5761008,,,,,,
149,149,98.454590458,9.999999747378752e-06,150.0,0,0.030788838863372803,1736969914.0327163,,,,,,
150,150,98.912639501,9.999999747378752e-06,151.0,0,0.012047003954648972,1736969914.4909904,,,,,,
151,151,99.370761814,9.999999747378752e-06,152.0,0,0.09659206122159958,1736969914.949013,,,,,,
152,152,99.827869437,9.999999747378752e-06,153.0,0,0.015070945024490356,1736969915.4064958,,,,,,
153,153,100.284228258,9.999999747378752e-06,154.0,0,0.012332894839346409,1736969915.862797,,,,,,
154,154,100.740993447,9.999999747378752e-06,155.0,0,0.015479621477425098,1736969916.319595,,,,,,
155,155,101.197545006,9.999999747378752e-06,156.0,0,0.01901906356215477,1736969916.776172,,,,,,
156,156,101.652406532,9.999999747378752e-06,157.0,0,0.05391201376914978,1736969917.2310236,,,,,,
157,157,102.107693947,9.999999747378752e-06,158.0,0,0.061816778033971786,1736969917.686331,,,,,,
158,158,102.562612777,9.999999747378752e-06,159.0,0,0.02792748250067234,1736969918.1413038,,,,,,
159,159,103.017477873,9.999999747378752e-06,160.0,0,0.031983938068151474,1736969918.5961375,,,,,,
160,160,103.472679885,9.999999747378752e-06,161.0,0,0.021491041406989098,1736969919.0513477,,,,,,
