trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,30.504502403,9.999999747378752e-06,1.0,0,2.2918758392333984,1736974913.50206,,,,,,
1,1,30.960052551,9.999999747378752e-06,2.0,0,2.295891761779785,1736974913.9574242,,,,,,
2,2,31.415340594,9.999999747378752e-06,3.0,0,2.1820127964019775,1736974914.4126515,,,,,,
3,3,31.874287794,9.999999747378752e-06,4.0,0,2.2802581787109375,1736974914.8718634,,,,,,
4,4,32.330940725,9.999999747378752e-06,5.0,0,2.1853713989257812,1736974915.328535,,,,,,
5,5,32.789543394,9.999999747378752e-06,6.0,0,2.066695213317871,1736974915.787183,,,,,,
6,6,33.245995604,9.999999747378752e-06,7.0,0,1.8632822036743164,1736974916.2436156,,,,,,
7,7,33.700622808,9.999999747378752e-06,8.0,0,1.878944993019104,1736974916.6982498,,,,,,
8,8,34.154869145,9.999999747378752e-06,9.0,0,1.7532473802566528,1736974917.1524892,,,,,,
9,9,34.609728449,9.999999747378752e-06,10.0,0,1.658832311630249,1736974917.607352,,,,,,
10,10,35.064003136,9.999999747378752e-06,11.0,0,1.6210044622421265,1736974918.0615628,,,,,,
11,11,35.518541773,9.999999747378752e-06,12.0,0,1.3008673191070557,1736974918.516186,,,,,,
12,12,35.974095286,9.999999747378752e-06,13.0,0,1.2129584550857544,1736974918.971328,,,,,,
13,13,36.429478305,9.999999747378752e-06,14.0,0,1.2498223781585693,1736974919.4266677,,,,,,
14,14,36.883979488,9.999999747378752e-06,15.0,0,1.192579746246338,1736974919.881595,,,,,,
15,15,37.338866833,9.999999747378752e-06,16.0,0,1.2858970165252686,1736974920.336478,,,,,,
16,16,37.798146421,9.999999747378752e-06,17.0,0,0.8729652166366577,1736974920.7956846,,,,,,
17,17,38.254533848,9.999999747378752e-06,18.0,0,0.8802483081817627,1736974921.2521703,,,,,,
18,18,38.711171402,9.999999747378752e-06,19.0,0,0.5659348368644714,1736974921.708483,,,,,,
19,19,39.17037992,9.999999747378752e-06,20.0,0,0.7252765893936157,1736974922.1680062,,,,,,
20,20,39.629256943,9.999999747378752e-06,21.0,0,0.6466705203056335,1736974922.626523,,,,,,
21,21,40.087452125,9.999999747378752e-06,22.0,0,0.5061196684837341,1736974923.0850732,,,,,,
22,22,40.54349795,9.999999747378752e-06,23.0,0,0.5921284556388855,1736974923.541136,,,,,,
23,23,40.998625532,9.999999747378752e-06,24.0,0,0.545112669467926,1736974923.99578,,,,,,
24,24,41.453564455,9.999999747378752e-06,25.0,0,0.38825762271881104,1736974924.4512038,,,,,,
25,25,41.909258846,9.999999747378752e-06,26.0,0,0.4912649095058441,1736974924.9065347,,,,,,
26,26,42.364080786,9.999999747378752e-06,27.0,0,0.41997358202934265,1736974925.3617213,,,,,,
27,27,42.819061053,9.999999747378752e-06,28.0,0,0.40635430812835693,1736974925.8166637,,,,,,
28,28,43.27395775,9.999999747378752e-06,29.0,0,0.4690142571926117,1736974926.2715993,,,,,,
29,29,43.730512577,9.999999747378752e-06,30.0,0,0.426099956035614,1736974926.7281783,,,,,,
30,30,44.186681679,9.999999747378752e-06,31.0,0,0.4623982608318329,1736974927.183964,,,,,,
31,31,44.641400075,9.999999747378752e-06,32.0,0,0.4096962809562683,1736974927.6390314,,,,,,
32,32,45.097899343,9.999999747378752e-06,33.0,0,0.32311487197875977,1736974928.0950286,,,,,,
33,33,45.553850368,9.999999747378752e-06,34.0,0,0.2959819734096527,1736974928.55149,,,,,,
34,34,46.011145756,9.999999747378752e-06,35.0,0,0.29787737131118774,1736974929.0087373,,,,,,
35,35,46.467873766,9.999999747378752e-06,36.0,0,0.39300405979156494,1736974929.4652383,,,,,,
36,36,46.923759374,9.999999747378752e-06,37.0,0,0.33734163641929626,1736974929.9213169,,,,,,
37,37,47.379952406,9.999999747378752e-06,38.0,0,0.2702118754386902,1736974930.3775742,,,,,,
38,38,47.836394133,9.999999747378752e-06,39.0,0,0.30750972032546997,1736974930.8340435,,,,,,
39,39,48.292256671,9.999999747378752e-06,40.0,0,0.25519487261772156,1736974931.2898533,,,,,,
40,40,48.748190672,9.999999747378752e-06,41.0,0,0.2954495847225189,1736974931.7455175,,,,,,
41,41,49.204109743,9.999999747378752e-06,42.0,0,0.2409231811761856,1736974932.2016785,,,,,,
42,42,49.660360623,9.999999747378752e-06,43.0,0,0.22465544939041138,1736974932.6579812,,,,,,
43,43,50.117405173,9.999999747378752e-06,44.0,0,0.15366923809051514,1736974933.1150272,,,,,,
44,44,50.573905928,9.999999747378752e-06,45.0,0,0.18624836206436157,1736974933.571534,,,,,,
45,45,51.030923544,9.999999747378752e-06,46.0,0,0.3705066442489624,1736974934.0285273,,,,,,
46,46,51.48853498,9.999999747378752e-06,47.0,0,0.26225996017456055,1736974934.4861236,,,,,,
47,47,51.944832099,9.999999747378752e-06,48.0,0,0.18212248384952545,1736974934.942451,,,,,,
48,48,52.401626427,9.999999747378752e-06,49.0,0,0.2669943869113922,1736974935.3989754,,,,,,
49,49,52.85686722,9.999999747378752e-06,50.0,0,0.22340327501296997,1736974935.8544605,,,,,,
50,50,53.313267315,9.999999747378752e-06,51.0,0,0.2076076716184616,1736974936.3108866,,,,,,
51,51,53.769333072,9.999999747378752e-06,52.0,0,0.14239183068275452,1736974936.7669778,,,,,,
52,52,54.227498506,9.999999747378752e-06,53.0,0,0.08156182616949081,1736974937.2247734,,,,,,
53,53,54.684258411,9.999999747378752e-06,54.0,0,0.22422128915786743,1736974937.6817055,,,,,,
54,54,55.141536748,9.999999747378752e-06,55.0,0,0.11069945991039276,1736974938.1388278,,,,,,
55,55,55.597269501,9.999999747378752e-06,56.0,0,0.13402971625328064,1736974938.594877,,,,,,
56,56,56.053135083,9.999999747378752e-06,57.0,0,0.149354949593544,1736974939.0507083,,,,,,
57,57,56.509737724,9.999999747378752e-06,58.0,0,0.2502078115940094,1736974939.5073864,,,,,,
58,58,56.965691427,9.999999747378752e-06,59.0,0,0.17335213720798492,1736974939.9632802,,,,,,
59,59,57.42135356,9.999999747378752e-06,60.0,0,0.26981279253959656,1736974940.4190235,,,,,,
60,60,57.879000938,9.999999747378752e-06,61.0,0,0.2939487099647522,1736974940.8761902,,,,,,
61,61,58.335449743,9.999999747378752e-06,62.0,0,0.15904030203819275,1736974941.3330622,,,,,,
62,62,58.793400245,9.999999747378752e-06,63.0,0,0.21859516203403473,1736974941.7910657,,,,,,
63,63,59.24966418,9.999999747378752e-06,64.0,0,0.22426080703735352,1736974942.2469358,,,,,,
64,64,59.70586251,9.999999747378752e-06,65.0,0,0.20627230405807495,1736974942.7035208,,,,,,
65,65,60.161900958,9.999999747378752e-06,66.0,0,0.26908135414123535,1736974943.1595738,,,,,,
66,66,60.619555396,9.999999747378752e-06,67.0,0,0.2932285666465759,1736974943.6168377,,,,,,
67,67,61.07553983,9.999999747378752e-06,68.0,0,0.3099227845668793,1736974944.0728884,,,,,,
68,68,61.532739701,9.999999747378752e-06,69.0,0,0.0876426175236702,1736974944.5301187,,,,,,
69,69,61.989175809,9.999999747378752e-06,70.0,0,0.14408084750175476,1736974944.986749,,,,,,
70,70,62.445955908,9.999999747378752e-06,71.0,0,0.2365267276763916,1736974945.4435925,,,,,,
71,71,62.902101697,9.999999747378752e-06,72.0,0,0.12806163728237152,1736974945.8994133,,,,,,
72,72,63.357543832,9.999999747378752e-06,73.0,0,0.11721090972423553,1736974946.3551562,,,,,,
73,73,63.814156953,9.999999747378752e-06,74.0,0,0.1509595364332199,1736974946.8113747,,,,,,
74,74,64.269990289,9.999999747378752e-06,75.0,0,0.11507813632488251,1736974947.2671707,,,,,,
75,75,64.727060374,9.999999747378752e-06,76.0,0,0.13084860146045685,1736974947.7244034,,,,,,
76,76,65.184265711,9.999999747378752e-06,77.0,0,0.066466324031353,1736974948.1815662,,,,,,
77,77,65.641575933,9.999999747378752e-06,78.0,0,0.08138713240623474,1736974948.6387713,,,,,,
78,78,66.098208411,9.999999747378752e-06,79.0,0,0.18786397576332092,1736974949.095485,,,,,,
79,79,66.553854175,9.999999747378752e-06,80.0,0,0.2251727283000946,1736974949.5511687,,,,,,
80,80,67.009707508,9.999999747378752e-06,81.0,0,0.14105767011642456,1736974950.0069704,,,,,,
81,81,67.464647935,9.999999747378752e-06,82.0,0,0.1385471224784851,1736974950.4622912,,,,,,
82,82,67.921573626,9.999999747378752e-06,83.0,0,0.20214858651161194,1736974950.9191663,,,,,,
83,83,68.37782024,9.999999747378752e-06,84.0,0,0.08592354506254196,1736974951.375463,,,,,,
84,84,68.836088236,9.999999747378752e-06,85.0,0,0.14825983345508575,1736974951.8332283,,,,,,
85,85,69.292863849,9.999999747378752e-06,86.0,0,0.1270366907119751,1736974952.2904956,,,,,,
86,86,69.750621023,9.999999747378752e-06,87.0,0,0.1314249038696289,1736974952.748273,,,,,,
87,87,70.206694695,9.999999747378752e-06,88.0,0,0.3572046756744385,1736974953.2042813,,,,,,
88,88,70.662848065,9.999999747378752e-06,89.0,0,0.09815961122512817,1736974953.6604886,,,,,,
89,89,71.119719682,9.999999747378752e-06,90.0,0,0.06512459367513657,1736974954.1174061,,,,,,
90,90,71.57562938,9.999999747378752e-06,91.0,0,0.16853879392147064,1736974954.5732746,,,,,,
91,91,72.0320461,9.999999747378752e-06,92.0,0,0.10243327170610428,1736974955.029312,,,,,,
92,92,72.488531444,9.999999747378752e-06,93.0,0,0.1775888353586197,1736974955.4858382,,,,,,
93,93,72.94589688,9.999999747378752e-06,94.0,0,0.22546860575675964,1736974955.9431806,,,,,,
94,94,73.402479584,9.999999747378752e-06,95.0,0,0.20051826536655426,1736974956.400054,,,,,,
95,95,73.859059191,9.999999747378752e-06,96.0,0,0.14481933414936066,1736974956.8562675,,,,,,
96,96,74.314981994,9.999999747378752e-06,97.0,0,0.298284649848938,1736974957.3122816,,,,,,
97,97,74.770409265,9.999999747378752e-06,98.0,0,0.10547574609518051,1736974957.7680361,,,,,,
98,98,75.227845283,9.999999747378752e-06,99.0,0,0.22200272977352142,1736974958.2254512,,,,,,
99,99,75.685403799,9.999999747378752e-06,100.0,0,0.11460269242525101,1736974958.682999,,,,,,
100,100,76.142477995,9.999999747378752e-06,101.0,0,0.37438228726387024,1736974959.1398058,,,,,,
101,101,76.599770177,9.999999747378752e-06,102.0,0,0.14304187893867493,1736974959.597279,,,,,,
102,102,77.056571799,9.999999747378752e-06,103.0,0,0.1363353133201599,1736974960.054168,,,,,,
103,103,77.51403646,9.999999747378752e-06,104.0,0,0.17722880840301514,1736974960.5116699,,,,,,
104,104,77.9712652,9.999999747378752e-06,105.0,0,0.06991035491228104,1736974960.9689076,,,,,,
105,105,78.428239277,9.999999747378752e-06,106.0,0,0.18448783457279205,1736974961.4258618,,,,,,
106,106,78.884569456,9.999999747378752e-06,107.0,0,0.058173954486846924,1736974961.8818831,,,,,,
107,107,79.341924686,9.999999747378752e-06,108.0,0,0.06626242399215698,1736974962.339255,,,,,,
108,108,79.798102976,9.999999747378752e-06,109.0,0,0.07942506670951843,1736974962.7957199,,,,,,
109,109,80.254767065,9.999999747378752e-06,110.0,0,0.19266106188297272,1736974963.252355,,,,,,
110,110,80.710777606,9.999999747378752e-06,111.0,0,0.06786781549453735,1736974963.708418,,,,,,
111,111,81.166626052,9.999999747378752e-06,112.0,0,0.08107305318117142,1736974964.1642733,,,,,,
112,112,81.622160966,9.999999747378752e-06,113.0,0,0.14863744378089905,1736974964.6197772,,,,,,
113,113,82.07884668,9.999999747378752e-06,114.0,0,0.08799330145120621,1736974965.0764415,,,,,,
114,114,82.537763867,9.999999747378752e-06,115.0,0,0.07996510714292526,1736974965.535155,,,,,,
115,115,82.993933569,9.999999747378752e-06,116.0,0,0.15614809095859528,1736974965.9915688,,,,,,
116,116,83.451958968,9.999999747378752e-06,117.0,0,0.2588290274143219,1736974966.4492106,,,,,,
117,117,83.910149759,9.999999747378752e-06,118.0,0,0.17354503273963928,1736974966.9077687,,,,,,
118,118,84.368303666,9.999999747378752e-06,119.0,0,0.09249499440193176,1736974967.365648,,,,,,
119,119,84.824756752,9.999999747378752e-06,120.0,0,0.20690010488033295,1736974967.8223712,,,,,,
120,120,85.281460856,9.999999747378752e-06,121.0,0,0.06709380447864532,1736974968.2790632,,,,,,
121,121,85.738129562,9.999999747378752e-06,122.0,0,0.09732823073863983,1736974968.7357452,,,,,,
122,122,86.195346876,9.999999747378752e-06,123.0,0,0.09671273827552795,1736974969.192952,,,,,,
123,123,86.651490763,9.999999747378752e-06,124.0,0,0.17848089337348938,1736974969.6491234,,,,,,
124,124,87.108536692,9.999999747378752e-06,125.0,0,0.04738132283091545,1736974970.1061475,,,,,,
125,125,87.566415711,9.999999747378752e-06,126.0,0,0.13482865691184998,1736974970.5637317,,,,,,
126,126,88.023274886,9.999999747378752e-06,127.0,0,0.13599978387355804,1736974971.0209067,,,,,,
127,127,88.480228214,9.999999747378752e-06,128.0,0,0.14154455065727234,1736974971.477845,,,,,,
128,128,88.936851012,9.999999747378752e-06,129.0,0,0.1863057017326355,1736974971.9342365,,,,,,
129,129,89.393252241,9.999999747378752e-06,130.0,0,0.13916611671447754,1736974972.3908682,,,,,,
130,130,89.850614743,9.999999747378752e-06,131.0,0,0.06437528133392334,1736974972.848236,,,,,,
131,131,90.309054624,9.999999747378752e-06,132.0,0,0.051322851330041885,1736974973.3066432,,,,,,
132,132,90.766142166,9.999999747378752e-06,133.0,0,0.11783763766288757,1736974973.763744,,,,,,
133,133,91.223140198,9.999999747378752e-06,134.0,0,0.1319182813167572,1736974974.2207584,,,,,,
134,134,91.681119971,9.999999747378752e-06,135.0,0,0.23772431910037994,1736974974.678451,,,,,,
135,135,92.137411524,9.999999747378752e-06,136.0,0,0.12435838580131531,1736974975.1346567,,,,,,
136,136,92.593709186,9.999999747378752e-06,137.0,0,0.23550571501255035,1736974975.5910997,,,,,,
137,137,93.050302222,9.999999747378752e-06,138.0,0,0.11706195026636124,1736974976.0479379,,,,,,
138,138,93.507720703,9.999999747378752e-06,139.0,0,0.09792733192443848,1736974976.5053496,,,,,,
139,139,93.965388202,9.999999747378752e-06,140.0,0,0.2731913924217224,1736974976.9630277,,,,,,
140,140,94.423674137,9.999999747378752e-06,141.0,0,0.1387753039598465,1736974977.4209533,,,,,,
141,141,94.880708614,9.999999747378752e-06,142.0,0,0.13019387423992157,1736974977.8782945,,,,,,
142,142,95.3374621,9.999999747378752e-06,143.0,0,0.06258255988359451,1736974978.3350792,,,,,,
143,143,95.793489032,9.999999747378752e-06,144.0,0,0.09513630717992783,1736974978.7911289,,,,,,
144,144,96.249947422,9.999999747378752e-06,145.0,0,0.05143917351961136,1736974979.2475877,,,,,,
145,145,96.706638958,9.999999747378752e-06,146.0,0,0.1766846776008606,1736974979.7042902,,,,,,
146,146,97.16401176,9.999999747378752e-06,147.0,0,0.18341396749019623,1736974980.161622,,,,,,
147,147,97.622168541,9.999999747378752e-06,148.0,0,0.11270378530025482,1736974980.619773,,,,,,
148,148,98.079264851,9.999999747378752e-06,149.0,0,0.03792048990726471,1736974981.076857,,,,,,
149,149,98.538481827,9.999999747378752e-06,150.0,0,0.12947112321853638,1736974981.5361016,,,,,,
150,150,98.997224062,9.999999747378752e-06,151.0,0,0.034947481006383896,1736974981.9945922,,,,,,
151,151,99.453922349,9.999999747378752e-06,152.0,0,0.05729900300502777,1736974982.4515102,,,,,,
