trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,31.862525342,9.999999747378752e-06,1.0,0,0.35668474435806274,1736971187.625422,,,,,,
1,1,32.321936841,9.999999747378752e-06,2.0,0,0.46494460105895996,1736971188.0845082,,,,,,
2,2,32.778503951,9.999999747378752e-06,3.0,0,0.6095514893531799,1736971188.5414321,,,,,,
3,3,33.232522248,9.999999747378752e-06,4.0,0,0.3523422181606293,1736971188.995472,,,,,,
4,4,33.686207777999996,9.999999747378752e-06,5.0,0,0.497437059879303,1736971189.449204,,,,,,
5,5,34.140491482,9.999999747378752e-06,6.0,0,0.2359122782945633,1736971189.903469,,,,,,
6,6,34.59755994,9.999999747378752e-06,7.0,0,0.2617425322532654,1736971190.360177,,,,,,
7,7,35.051165299,9.999999747378752e-06,8.0,0,0.23939268290996552,1736971190.8141105,,,,,,
8,8,35.505421458,9.999999747378752e-06,9.0,0,0.18356497585773468,1736971191.2679398,,,,,,
9,9,35.959287995,9.999999747378752e-06,10.0,0,0.29150390625,1736971191.722247,,,,,,
10,10,36.413326796,9.999999747378752e-06,11.0,0,0.4300781190395355,1736971192.1763065,,,,,,
11,11,36.867279884,9.999999747378752e-06,12.0,0,0.3274230360984802,1736971192.6302361,,,,,,
12,12,37.322306467,9.999999747378752e-06,13.0,0,0.1967175006866455,1736971193.0852475,,,,,,
13,13,37.77633774,9.999999747378752e-06,14.0,0,0.36122268438339233,1736971193.5392869,,,,,,
14,14,38.230176873,9.999999747378752e-06,15.0,0,0.2992134094238281,1736971193.9931362,,,,,,
15,15,38.684157771,9.999999747378752e-06,16.0,0,0.2552906572818756,1736971194.4470935,,,,,,
16,16,39.142611352,9.999999747378752e-06,17.0,0,0.2588144838809967,1736971194.905279,,,,,,
17,17,39.597241046,9.999999747378752e-06,18.0,0,0.15289881825447083,1736971195.3601975,,,,,,
18,18,40.050990177,9.999999747378752e-06,19.0,0,0.28187495470046997,1736971195.8139582,,,,,,
19,19,40.504954582,9.999999747378752e-06,20.0,0,0.5362807512283325,1736971196.2676656,,,,,,
20,20,40.958831641,9.999999747378752e-06,21.0,0,0.18528032302856445,1736971196.7217703,,,,,,
21,21,41.4134064,9.999999747378752e-06,22.0,0,0.2518354058265686,1736971197.1759403,,,,,,
22,22,41.868338548,9.999999747378752e-06,23.0,0,0.15683460235595703,1736971197.6313365,,,,,,
23,23,42.323196457,9.999999747378752e-06,24.0,0,0.18870773911476135,1736971198.0861976,,,,,,
24,24,42.777153404,9.999999747378752e-06,25.0,0,0.27755096554756165,1736971198.5398457,,,,,,
25,25,43.184172595,9.999999747378752e-06,26.0,0,0.223891481757164,1736971198.9468236,,,,,,
25,26,45.515408067,,,0,,1736971201.2782798,0.8994565010070801,0.28826281428337097,,,,
25,27,45.532289387,,,0,,1736971201.2953224,,,0.9006642699241638,0.3033432066440582,,
26,28,50.47781693,,,1,,1736971206.240641,,,,,0.904891312122345,0.27919188141822815
