trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,36.60807502,9.999999747378752e-06,1.0,0,0.7499175667762756,1736971671.9505126,,,,,,
1,1,37.025090014,9.999999747378752e-06,2.0,0,1.3868001699447632,1736971672.4059489,,,,,,
2,2,37.480490338,9.999999747378752e-06,3.0,0,0.6204331517219543,1736971672.8613741,,,,,,
3,3,37.93974091,9.999999747378752e-06,4.0,0,0.4717126190662384,1736971673.3206346,,,,,,
4,4,38.397961134,9.999999747378752e-06,5.0,0,0.5174720883369446,1736971673.778841,,,,,,
5,5,38.85492197,9.999999747378752e-06,6.0,0,0.7075018286705017,1736971674.2357895,,,,,,
6,6,39.310571594,9.999999747378752e-06,7.0,0,0.657197892665863,1736971674.6914434,,,,,,
7,7,39.766498246,9.999999747378752e-06,8.0,0,0.5705326795578003,1736971675.1473687,,,,,,
8,8,40.223415426,9.999999747378752e-06,9.0,0,0.43629705905914307,1736971675.6042886,,,,,,
9,9,40.678849864,9.999999747378752e-06,10.0,0,0.6621399521827698,1736971676.0597293,,,,,,
10,10,41.134304562,9.999999747378752e-06,11.0,0,0.5478688478469849,1736971676.5151923,,,,,,
11,11,41.590512372,9.999999747378752e-06,12.0,0,0.4071040451526642,1736971676.9714427,,,,,,
12,12,42.048484354,9.999999747378752e-06,13.0,0,0.3828440308570862,1736971677.4293666,,,,,,
13,13,42.50332374,9.999999747378752e-06,14.0,0,0.41101986169815063,1736971677.8842204,,,,,,
14,14,42.960400626,9.999999747378752e-06,15.0,0,0.4281150996685028,1736971678.3412545,,,,,,
15,15,43.419303035,9.999999747378752e-06,16.0,0,0.4391094446182251,1736971678.8001838,,,,,,
16,16,43.878506778,9.999999747378752e-06,17.0,0,0.36905717849731445,1736971679.2593436,,,,,,
17,17,44.335581768,9.999999747378752e-06,18.0,0,0.3981747031211853,1736971679.716487,,,,,,
18,18,44.791047764,9.999999747378752e-06,19.0,0,0.41321489214897156,1736971680.171904,,,,,,
19,19,45.251634118,9.999999747378752e-06,20.0,0,0.38073790073394775,1736971680.6324944,,,,,,
20,20,45.709581447,9.999999747378752e-06,21.0,0,0.37232327461242676,1736971681.0904706,,,,,,
21,21,46.166524874,9.999999747378752e-06,22.0,0,0.4269200265407562,1736971681.5473733,,,,,,
22,22,46.622915178,9.999999747378752e-06,23.0,0,0.308209091424942,1736971682.0037959,,,,,,
23,23,47.078600569,9.999999747378752e-06,24.0,0,0.38253292441368103,1736971682.4593852,,,,,,
24,24,47.534423345,9.999999747378752e-06,25.0,0,0.272865355014801,1736971682.9153244,,,,,,
25,25,47.989908816,9.999999747378752e-06,26.0,0,0.28253695368766785,1736971683.370817,,,,,,
26,26,48.446162196,9.999999747378752e-06,27.0,0,0.21954041719436646,1736971683.827051,,,,,,
27,27,48.902742662,9.999999747378752e-06,28.0,0,0.34148499369621277,1736971684.2835777,,,,,,
28,28,49.359644146,9.999999747378752e-06,29.0,0,0.27288195490837097,1736971684.7405372,,,,,,
29,29,49.81603985,9.999999747378752e-06,30.0,0,0.1790483146905899,1736971685.1969538,,,,,,
30,30,50.271578098,9.999999747378752e-06,31.0,0,0.2750741243362427,1736971685.652413,,,,,,
31,31,50.728293764,9.999999747378752e-06,32.0,0,0.3504755198955536,1736971686.1091805,,,,,,
32,32,51.184028776,9.999999747378752e-06,33.0,0,0.23318156599998474,1736971686.5648499,,,,,,
33,33,51.640693811,9.999999747378752e-06,34.0,0,0.25482702255249023,1736971687.0215328,,,,,,
34,34,52.097428689,9.999999747378752e-06,35.0,0,0.23633654415607452,1736971687.4782543,,,,,,
35,35,52.554580314,9.999999747378752e-06,36.0,0,0.48320823907852173,1736971687.9353995,,,,,,
36,36,53.011236873,9.999999747378752e-06,37.0,0,0.36473798751831055,1736971688.392032,,,,,,
37,37,53.468755008,9.999999747378752e-06,38.0,0,0.3673996031284332,1736971688.8495898,,,,,,
38,38,53.925164302,9.999999747378752e-06,39.0,0,0.2534903287887573,1736971689.3060853,,,,,,
39,39,54.381135169,9.999999747378752e-06,40.0,0,0.27874451875686646,1736971689.7620215,,,,,,
40,40,54.837094203,9.999999747378752e-06,41.0,0,0.3323918581008911,1736971690.2179422,,,,,,
41,41,55.293099591,9.999999747378752e-06,42.0,0,0.25613412261009216,1736971690.6739833,,,,,,
42,42,55.750464969,9.999999747378752e-06,43.0,0,0.22008122503757477,1736971691.13131,,,,,,
43,43,56.207525603,9.999999747378752e-06,44.0,0,0.24524575471878052,1736971691.5884447,,,,,,
44,44,56.662702319,9.999999747378752e-06,45.0,0,0.26645627617836,1736971692.043583,,,,,,
45,45,57.118711164,9.999999747378752e-06,46.0,0,0.23587091267108917,1736971692.4995327,,,,,,
46,46,57.574596727,9.999999747378752e-06,47.0,0,0.20537284016609192,1736971692.9554393,,,,,,
47,47,58.037949599,9.999999747378752e-06,48.0,0,0.3271634578704834,1736971693.4188032,,,,,,
48,48,58.493975283,9.999999747378752e-06,49.0,0,0.26490169763565063,1736971693.874854,,,,,,
49,49,58.949863815,9.999999747378752e-06,50.0,0,0.4225940704345703,1736971694.3307877,,,,,,
50,50,59.406133908,9.999999747378752e-06,51.0,0,0.3465072810649872,1736971694.7869422,,,,,,
51,51,59.862824529,9.999999747378752e-06,52.0,0,0.4573701322078705,1736971695.2436452,,,,,,
52,52,60.319822689,9.999999747378752e-06,53.0,0,0.27062103152275085,1736971695.700663,,,,,,
53,53,60.776297931,9.999999747378752e-06,54.0,0,0.16164833307266235,1736971696.157189,,,,,,
54,54,61.233845028,9.999999747378752e-06,55.0,0,0.2500927150249481,1736971696.6147168,,,,,,
55,55,61.690867391,9.999999747378752e-06,56.0,0,0.23310093581676483,1736971697.0711594,,,,,,
56,56,62.149435112,9.999999747378752e-06,57.0,0,0.3368968367576599,1736971697.530251,,,,,,
57,57,62.606064158,9.999999747378752e-06,58.0,0,0.3236241042613983,1736971697.986915,,,,,,
58,58,63.062662818,9.999999747378752e-06,59.0,0,0.2545492947101593,1736971698.4431846,,,,,,
59,59,63.52028582,9.999999747378752e-06,60.0,0,0.28456613421440125,1736971698.901088,,,,,,
60,60,63.976567338,9.999999747378752e-06,61.0,0,0.6813861727714539,1736971699.357424,,,,,,
61,61,64.433636865,9.999999747378752e-06,62.0,0,0.2185056358575821,1736971699.8144934,,,,,,
62,62,64.889754075,9.999999747378752e-06,63.0,0,0.2445020079612732,1736971700.270572,,,,,,
63,63,65.346067702,9.999999747378752e-06,64.0,0,0.3373230993747711,1736971700.7268903,,,,,,
64,64,65.802058021,9.999999747378752e-06,65.0,0,0.2659415602684021,1736971701.1829436,,,,,,
65,65,66.25818401,9.999999747378752e-06,66.0,0,0.21502135694026947,1736971701.6391191,,,,,,
66,66,66.714206265,9.999999747378752e-06,67.0,0,0.23041857779026031,1736971702.0950716,,,,,,
67,67,67.171077121,9.999999747378752e-06,68.0,0,0.25993162393569946,1736971702.5518942,,,,,,
68,68,67.628253187,9.999999747378752e-06,69.0,0,0.19996461272239685,1736971703.008812,,,,,,
69,69,68.084991043,9.999999747378752e-06,70.0,0,0.23338696360588074,1736971703.4658327,,,,,,
70,70,68.541368342,9.999999747378752e-06,71.0,0,0.22111740708351135,1736971703.9222918,,,,,,
71,71,68.997557059,9.999999747378752e-06,72.0,0,0.15139073133468628,1736971704.3784008,,,,,,
72,72,69.453376372,9.999999747378752e-06,73.0,0,0.3298867344856262,1736971704.8342519,,,,,,
73,73,69.909271247,9.999999747378752e-06,74.0,0,0.22565746307373047,1736971705.2901611,,,,,,
74,74,70.365028627,9.999999747378752e-06,75.0,0,0.19605784118175507,1736971705.7459178,,,,,,
75,75,70.821535401,9.999999747378752e-06,76.0,0,0.26126301288604736,1736971706.202437,,,,,,
76,76,71.276491699,9.999999747378752e-06,77.0,0,0.33799123764038086,1736971706.6573734,,,,,,
77,77,71.733395563,9.999999747378752e-06,78.0,0,0.23097588121891022,1736971707.1142862,,,,,,
78,78,72.189950985,9.999999747378752e-06,79.0,0,0.24050799012184143,1736971707.570832,,,,,,
79,79,72.647365946,9.999999747378752e-06,80.0,0,0.2801486551761627,1736971708.0281925,,,,,,
80,80,73.103414223,9.999999747378752e-06,81.0,0,0.17989976704120636,1736971708.4842672,,,,,,
81,81,73.560037285,9.999999747378752e-06,82.0,0,0.2001303732395172,1736971708.9408958,,,,,,
82,82,74.016442084,9.999999747378752e-06,83.0,0,0.15861468017101288,1736971709.3972518,,,,,,
83,83,74.473056438,9.999999747378752e-06,84.0,0,0.160905122756958,1736971709.8538997,,,,,,
84,84,74.930401846,9.999999747378752e-06,85.0,0,0.28552815318107605,1736971710.3112917,,,,,,
85,85,75.38792933,9.999999747378752e-06,86.0,0,0.2313726246356964,1736971710.7687685,,,,,,
86,86,75.844888059,9.999999747378752e-06,87.0,0,0.17553004622459412,1736971711.2256954,,,,,,
87,87,76.300411486,9.999999747378752e-06,88.0,0,0.2977725863456726,1736971711.6812823,,,,,,
88,88,76.755682016,9.999999747378752e-06,89.0,0,0.2021079957485199,1736971712.1365557,,,,,,
89,89,77.211087689,9.999999747378752e-06,90.0,0,0.2532777190208435,1736971712.5919054,,,,,,
90,90,77.666647925,9.999999747378752e-06,91.0,0,0.16057328879833221,1736971713.0475457,,,,,,
91,91,78.122300059,9.999999747378752e-06,92.0,0,0.2301265001296997,1736971713.5031214,,,,,,
92,92,78.578238878,9.999999747378752e-06,93.0,0,0.25345951318740845,1736971713.959085,,,,,,
93,93,79.035110758,9.999999747378752e-06,94.0,0,0.22841794788837433,1736971714.4159057,,,,,,
94,94,79.493634615,9.999999747378752e-06,95.0,0,0.14241014420986176,1736971714.874493,,,,,,
95,95,79.95007734,9.999999747378752e-06,96.0,0,0.27384495735168457,1736971715.3310044,,,,,,
96,96,80.411320748,9.999999747378752e-06,97.0,0,0.26227229833602905,1736971715.7922022,,,,,,
97,97,80.867763139,9.999999747378752e-06,98.0,0,0.31537163257598877,1736971716.248654,,,,,,
98,98,81.324884648,9.999999747378752e-06,99.0,0,0.16686375439167023,1736971716.7057087,,,,,,
99,99,81.781878629,9.999999747378752e-06,100.0,0,0.24957527220249176,1736971717.1627104,,,,,,
100,100,82.237425992,9.999999747378752e-06,101.0,0,0.22861389815807343,1736971717.618308,,,,,,
101,101,82.694625969,9.999999747378752e-06,102.0,0,0.20841893553733826,1736971718.0754724,,,,,,
102,102,83.151499095,9.999999747378752e-06,103.0,0,0.25982439517974854,1736971718.5323923,,,,,,
103,103,83.607602636,9.999999747378752e-06,104.0,0,0.23440386354923248,1736971718.9884734,,,,,,
104,104,84.063520429,9.999999747378752e-06,105.0,0,0.20046366751194,1736971719.4444199,,,,,,
105,105,84.519406115,9.999999747378752e-06,106.0,0,0.21024653315544128,1736971719.9002197,,,,,,
106,106,84.975184292,9.999999747378752e-06,107.0,0,0.23723143339157104,1736971720.3561127,,,,,,
107,107,85.431304396,9.999999747378752e-06,108.0,0,0.15409532189369202,1736971720.812105,,,,,,
108,108,85.88751096,9.999999747378752e-06,109.0,0,0.2718486189842224,1736971721.2683983,,,,,,
109,109,86.343417486,9.999999747378752e-06,110.0,0,0.32522720098495483,1736971721.7242844,,,,,,
110,110,86.800272613,9.999999747378752e-06,111.0,0,0.36610814929008484,1736971722.1811547,,,,,,
111,111,87.257119068,9.999999747378752e-06,112.0,0,0.2082100659608841,1736971722.6379857,,,,,,
112,112,87.712354815,9.999999747378752e-06,113.0,0,0.14391808211803436,1736971723.0932336,,,,,,
113,113,88.16788627,9.999999747378752e-06,114.0,0,0.26942428946495056,1736971723.5487862,,,,,,
114,114,88.624212055,9.999999747378752e-06,115.0,0,0.2634740173816681,1736971724.0050747,,,,,,
115,115,89.080727597,9.999999747378752e-06,116.0,0,0.17387297749519348,1736971724.4616005,,,,,,
116,116,89.540332872,9.999999747378752e-06,117.0,0,0.26819443702697754,1736971724.9207785,,,,,,
117,117,89.996993491,9.999999747378752e-06,118.0,0,0.3068084418773651,1736971725.3778427,,,,,,
118,118,90.453343171,9.999999747378752e-06,119.0,0,0.22270838916301727,1736971725.8341827,,,,,,
119,119,90.909638579,9.999999747378752e-06,120.0,0,0.1302674561738968,1736971726.2904875,,,,,,
120,120,91.36590792,9.999999747378752e-06,121.0,0,0.22843268513679504,1736971726.7467844,,,,,,
121,121,91.822726275,9.999999747378752e-06,122.0,0,0.16987267136573792,1736971727.203576,,,,,,
122,122,92.278950551,9.999999747378752e-06,123.0,0,0.23726996779441833,1736971727.659829,,,,,,
123,123,92.736642914,9.999999747378752e-06,124.0,0,0.16994428634643555,1736971728.1174836,,,,,,
124,124,93.193333115,9.999999747378752e-06,125.0,0,0.21222591400146484,1736971728.5741813,,,,,,
125,125,93.651154247,9.999999747378752e-06,126.0,0,0.19049572944641113,1736971729.0317225,,,,,,
126,126,94.107551676,9.999999747378752e-06,127.0,0,0.2523226737976074,1736971729.4884117,,,,,,
127,127,94.564425854,9.999999747378752e-06,128.0,0,0.24753731489181519,1736971729.9452558,,,,,,
128,128,95.021394331,9.999999747378752e-06,129.0,0,0.3000297546386719,1736971730.402269,,,,,,
