trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,46.123947015,9.999999747378752e-06,1.0,0,0.05879950523376465,1736971076.9961174,,,,,,
1,1,46.580985448,9.999999747378752e-06,2.0,0,0.11831310391426086,1736971077.4529145,,,,,,
2,2,47.0350667,9.999999747378752e-06,3.0,0,0.06580409407615662,1736971077.906844,,,,,,
3,3,47.489625577,9.999999747378752e-06,4.0,0,0.08419914543628693,1736971078.3618186,,,,,,
4,4,47.944020636,9.999999747378752e-06,5.0,0,0.1269051730632782,1736971078.8162816,,,,,,
5,5,48.401999982,9.999999747378752e-06,6.0,0,0.038332659751176834,1736971079.2742746,,,,,,
6,6,48.856510336,9.999999747378752e-06,7.0,0,0.09649713337421417,1736971079.7287066,,,,,,
7,7,49.31108519,9.999999747378752e-06,8.0,0,0.054656874388456345,1736971080.1833355,,,,,,
8,8,49.76583419,9.999999747378752e-06,9.0,0,0.04642868414521217,1736971080.6378148,,,,,,
9,9,50.219654316,9.999999747378752e-06,10.0,0,0.023470168933272362,1736971081.0919356,,,,,,
10,10,50.674080708,9.999999747378752e-06,11.0,0,0.027837250381708145,1736971081.5462863,,,,,,
11,11,51.128322664,9.999999747378752e-06,12.0,0,0.06853107362985611,1736971082.00056,,,,,,
12,12,51.582725851,9.999999747378752e-06,13.0,0,0.05111251026391983,1736971082.4549346,,,,,,
13,13,52.036595376,9.999999747378752e-06,14.0,0,0.17729772627353668,1736971082.908809,,,,,,
14,14,52.490612447,9.999999747378752e-06,15.0,0,0.06188730150461197,1736971083.3628151,,,,,,
15,15,52.944435563,9.999999747378752e-06,16.0,0,0.079147569835186,1736971083.816655,,,,,,
16,16,53.404967902,9.999999747378752e-06,17.0,0,0.12385080754756927,1736971084.2771566,,,,,,
17,17,53.859116568,9.999999747378752e-06,18.0,0,0.033290181308984756,1736971084.7313604,,,,,,
18,18,54.312874399,9.999999747378752e-06,19.0,0,0.010833129286766052,1736971085.1850855,,,,,,
19,19,54.767619933,9.999999747378752e-06,20.0,0,0.07674063742160797,1736971085.6398299,,,,,,
20,20,55.221374887,9.999999747378752e-06,21.0,0,0.07521674782037735,1736971086.0935886,,,,,,
21,21,55.67738338,9.999999747378752e-06,22.0,0,0.11660720407962799,1736971086.549594,,,,,,
22,22,56.131381619,9.999999747378752e-06,23.0,0,0.07639113068580627,1736971087.003605,,,,,,
23,23,56.585153542,9.999999747378752e-06,24.0,0,0.08073963224887848,1736971087.4573689,,,,,,
24,24,57.039815586,9.999999747378752e-06,25.0,0,0.028845632448792458,1736971087.9120579,,,,,,
25,25,57.49387116,9.999999747378752e-06,26.0,0,0.02050725370645523,1736971088.3658228,,,,,,
26,26,57.947780799,9.999999747378752e-06,27.0,0,0.050853293389081955,1736971088.8199584,,,,,,
27,27,58.403555478,9.999999747378752e-06,28.0,0,0.039343222975730896,1736971089.2757986,,,,,,
28,28,58.857722719,9.999999747378752e-06,29.0,0,0.015978166833519936,1736971089.7299554,,,,,,
29,29,59.311593233,9.999999747378752e-06,30.0,0,0.040106430649757385,1736971090.1838088,,,,,,
30,30,59.76547698,9.999999747378752e-06,31.0,0,0.05827212706208229,1736971090.637676,,,,,,
31,31,60.219455715,9.999999747378752e-06,32.0,0,0.017170950770378113,1736971091.0916388,,,,,,
32,32,60.674727396,9.999999747378752e-06,33.0,0,0.2002505362033844,1736971091.5469797,,,,,,
33,33,61.129837774,9.999999747378752e-06,34.0,0,0.09866046160459518,1736971092.0020328,,,,,,
34,34,61.584588024,9.999999747378752e-06,35.0,0,0.059742458164691925,1736971092.4567919,,,,,,
35,35,61.680826486,9.999999747378752e-06,36.0,0,0.042496390640735626,1736971092.5530865,,,,,,
35,36,63.801777346,,,0,,1736971094.6739044,0.972000002861023,0.07477845996618271,,,,
35,37,63.819980704,,,0,,1736971094.6922219,,,0.9791111350059509,0.06853006035089493,,
36,38,68.473625904,,,1,,1736971099.345772,,,,,0.984000027179718,0.05063718929886818
