trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,44.878046823,9.999999747378752e-06,1.0,0,1.3242512941360474,1736970870.231641,,,,,,
1,1,45.336600503,9.999999747378752e-06,2.0,0,1.2510786056518555,1736970870.6902118,,,,,,
2,2,45.80659493,9.999999747378752e-06,3.0,0,1.3210495710372925,1736970871.1600814,,,,,,
3,3,46.270301345,9.999999747378752e-06,4.0,0,1.1861788034439087,1736970871.6237109,,,,,,
4,4,46.740733131,9.999999747378752e-06,5.0,0,1.0760127305984497,1736970872.0940623,,,,,,
5,5,47.217820094,9.999999747378752e-06,6.0,0,1.1273505687713623,1736970872.5713387,,,,,,
6,6,47.69329585,9.999999747378752e-06,7.0,0,1.2026314735412598,1736970873.0467784,,,,,,
7,7,48.15770514,9.999999747378752e-06,8.0,0,1.1494109630584717,1736970873.5110297,,,,,,
8,8,48.637755565,9.999999747378752e-06,9.0,0,1.264072060585022,1736970873.99129,,,,,,
9,9,49.109484359,9.999999747378752e-06,10.0,0,1.0711970329284668,1736970874.4623337,,,,,,
10,10,49.58438508,9.999999747378752e-06,11.0,0,1.0505452156066895,1736970874.9378557,,,,,,
11,11,50.06235878,9.999999747378752e-06,12.0,0,1.2377294301986694,1736970875.4155657,,,,,,
12,12,50.53951299,9.999999747378752e-06,13.0,0,1.0299763679504395,1736970875.892746,,,,,,
13,13,51.007511352,9.999999747378752e-06,14.0,0,0.9914902448654175,1736970876.3608782,,,,,,
14,14,51.476031884,9.999999747378752e-06,15.0,0,1.04270601272583,1736970876.829418,,,,,,
15,15,51.94908614,9.999999747378752e-06,16.0,0,0.7161808609962463,1736970877.3025618,,,,,,
16,16,52.439142386,9.999999747378752e-06,17.0,0,1.0549874305725098,1736970877.7925477,,,,,,
17,17,52.913365363,9.999999747378752e-06,18.0,0,0.9930585026741028,1736970878.2667515,,,,,,
18,18,53.396798177,9.999999747378752e-06,19.0,0,1.0975947380065918,1736970878.7500846,,,,,,
19,19,53.872147848,9.999999747378752e-06,20.0,0,1.1359097957611084,1736970879.2253978,,,,,,
20,20,54.351388685,9.999999747378752e-06,21.0,0,0.910316526889801,1736970879.7045193,,,,,,
21,21,54.833960648,9.999999747378752e-06,22.0,0,0.9284205436706543,1736970880.1869628,,,,,,
22,22,55.304677223,9.999999747378752e-06,23.0,0,0.9561103582382202,1736970880.6581411,,,,,,
23,23,55.77301514,9.999999747378752e-06,24.0,0,0.973283588886261,1736970881.1264002,,,,,,
24,24,56.246378564,9.999999747378752e-06,25.0,0,1.1320469379425049,1736970881.5997062,,,,,,
25,25,56.714713533,9.999999747378752e-06,26.0,0,1.04928457736969,1736970882.068155,,,,,,
26,26,57.191718793,9.999999747378752e-06,27.0,0,1.0218496322631836,1736970882.5451174,,,,,,
27,27,57.684328569,9.999999747378752e-06,28.0,0,0.7517655491828918,1736970883.0375001,,,,,,
28,28,58.17238955,9.999999747378752e-06,29.0,0,0.9128801822662354,1736970883.5258958,,,,,,
29,29,58.647215755,9.999999747378752e-06,30.0,0,1.2891682386398315,1736970884.0002408,,,,,,
30,30,59.13679813,9.999999747378752e-06,31.0,0,0.8001956343650818,1736970884.4901404,,,,,,
31,31,59.616724741,9.999999747378752e-06,32.0,0,0.7887800335884094,1736970884.970207,,,,,,
32,32,60.09221131,9.999999747378752e-06,33.0,0,1.1264128684997559,1736970885.4456499,,,,,,
33,33,60.570596774,9.999999747378752e-06,34.0,0,0.8887725472450256,1736970885.9240654,,,,,,
34,34,61.049248425,9.999999747378752e-06,35.0,0,0.815975546836853,1736970886.4025621,,,,,,
35,35,61.533084232,9.999999747378752e-06,36.0,0,0.9692633748054504,1736970886.8865223,,,,,,
36,36,62.003456552,9.999999747378752e-06,37.0,0,0.9214459657669067,1736970887.3569481,,,,,,
37,37,62.478661005,9.999999747378752e-06,38.0,0,0.8541457653045654,1736970887.8319192,,,,,,
38,38,62.955455003,9.999999747378752e-06,39.0,0,0.9061126708984375,1736970888.3087769,,,,,,
39,39,63.433653146,9.999999747378752e-06,40.0,0,0.6669266223907471,1736970888.7871094,,,,,,
40,40,63.906955734,9.999999747378752e-06,41.0,0,0.692672073841095,1736970889.2603328,,,,,,
41,41,64.376895855,9.999999747378752e-06,42.0,0,0.9501239061355591,1736970889.730209,,,,,,
42,42,64.851390078,9.999999747378752e-06,43.0,0,0.8237245082855225,1736970890.2044506,,,,,,
43,43,65.322193819,9.999999747378752e-06,44.0,0,0.9826104044914246,1736970890.6756752,,,,,,
44,44,65.795265478,9.999999747378752e-06,45.0,0,0.757569432258606,1736970891.1487603,,,,,,
45,45,66.272853787,9.999999747378752e-06,46.0,0,1.0429351329803467,1736970891.626321,,,,,,
46,46,66.751524169,9.999999747378752e-06,47.0,0,0.9717248678207397,1736970892.1049898,,,,,,
47,47,67.226089919,9.999999747378752e-06,48.0,0,0.8854004740715027,1736970892.579444,,,,,,
48,48,67.715605865,9.999999747378752e-06,49.0,0,0.962348222732544,1736970893.0690482,,,,,,
49,49,68.194862723,9.999999747378752e-06,50.0,0,1.0719422101974487,1736970893.548099,,,,,,
50,50,68.685513778,9.999999747378752e-06,51.0,0,0.9339799880981445,1736970894.0387566,,,,,,
51,51,69.193005047,9.999999747378752e-06,52.0,0,0.9012264013290405,1736970894.546411,,,,,,
52,52,69.678559578,9.999999747378752e-06,53.0,0,1.0117429494857788,1736970895.0312207,,,,,,
53,53,70.162915015,9.999999747378752e-06,54.0,0,0.7951246500015259,1736970895.5164125,,,,,,
54,54,70.641773608,9.999999747378752e-06,55.0,0,0.8519232273101807,1736970895.994944,,,,,,
55,55,71.11786881,9.999999747378752e-06,56.0,0,0.8404180407524109,1736970896.4713454,,,,,,
56,56,71.594629521,9.999999747378752e-06,57.0,0,0.8432826399803162,1736970896.9479458,,,,,,
57,57,72.08226402,9.999999747378752e-06,58.0,0,0.7229434251785278,1736970897.4356048,,,,,,
58,58,72.559421383,9.999999747378752e-06,59.0,0,0.9037348628044128,1736970897.912961,,,,,,
59,59,73.03214633,9.999999747378752e-06,60.0,0,0.8351712226867676,1736970898.3854282,,,,,,
60,60,73.514906643,9.999999747378752e-06,61.0,0,0.876837432384491,1736970898.868274,,,,,,
61,61,73.989079957,9.999999747378752e-06,62.0,0,0.7227243185043335,1736970899.342558,,,,,,
62,62,74.466504286,9.999999747378752e-06,63.0,0,0.7581513524055481,1736970899.819981,,,,,,
63,63,74.947039746,9.999999747378752e-06,64.0,0,0.7891741394996643,1736970900.3004146,,,,,,
64,64,75.421319126,9.999999747378752e-06,65.0,0,0.8823540806770325,1736970900.7747922,,,,,,
65,65,75.896296175,9.999999747378752e-06,66.0,0,0.7371543645858765,1736970901.2494173,,,,,,
66,66,76.366679165,9.999999747378752e-06,67.0,0,0.8488017916679382,1736970901.7201636,,,,,,
67,67,76.845158158,9.999999747378752e-06,68.0,0,0.9016906023025513,1736970902.1985924,,,,,,
68,68,77.323250182,9.999999747378752e-06,69.0,0,0.9424726963043213,1736970902.6765044,,,,,,
69,69,77.809761717,9.999999747378752e-06,70.0,0,0.6989261507987976,1736970903.163241,,,,,,
70,70,78.296343623,9.999999747378752e-06,71.0,0,0.7659328579902649,1736970903.649451,,,,,,
71,71,78.779987009,9.999999747378752e-06,72.0,0,0.7261719107627869,1736970904.1334019,,,,,,
72,72,79.271620458,9.999999747378752e-06,73.0,0,0.7875557541847229,1736970904.625128,,,,,,
73,73,79.747524728,9.999999747378752e-06,74.0,0,1.0630197525024414,1736970905.1008446,,,,,,
74,74,80.22032708,9.999999747378752e-06,75.0,0,0.9023474454879761,1736970905.5738943,,,,,,
75,75,80.691633874,9.999999747378752e-06,76.0,0,0.7776751518249512,1736970906.0450916,,,,,,
