trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,33.04838323,5.000000058430487e-08,1.0,0,1.0917621850967407,1736751045.5363917,,,,,,
1,1,33.508172232,1.0000000116860974e-07,2.0,0,0.8574686646461487,1736751045.9962122,,,,,,
2,2,33.964171704,1.500000053056283e-07,3.0,0,1.149309515953064,1736751046.4520266,,,,,,
3,3,34.425401219,2.0000000233721948e-07,4.0,0,1.0321252346038818,1736751046.9133465,,,,,,
4,4,34.879950146,2.499999993688107e-07,5.0,0,0.8568511009216309,1736751047.3680043,,,,,,
5,5,35.33529612,3.000000106112566e-07,6.0,0,1.0630360841751099,1736751047.8233616,,,,,,
6,6,35.789918607,3.4999999343199306e-07,7.0,0,1.08245849609375,1736751048.2778332,,,,,,
7,7,36.2462099,4.0000000467443897e-07,8.0,0,0.8759527802467346,1736751048.7341814,,,,,,
8,8,36.701119265,4.4999998749517545e-07,9.0,0,1.0655899047851562,1736751049.1890662,,,,,,
9,9,37.159674289,4.999999987376214e-07,10.0,0,0.9346250295639038,1736751049.647611,,,,,,
10,10,37.614781035,5.499999815583578e-07,11.0,0,1.1429479122161865,1736751050.1027334,,,,,,
11,11,38.069976931,6.000000212225132e-07,12.0,0,1.007821798324585,1736751050.5579636,,,,,,
12,12,38.525219694,6.500000040432496e-07,13.0,0,0.8779548406600952,1736751051.0132256,,,,,,
13,13,38.980099763,6.999999868639861e-07,14.0,0,0.9858062267303467,1736751051.4681122,,,,,,
14,14,39.43478516,7.500000265281415e-07,15.0,0,0.9843507409095764,1736751051.9228513,,,,,,
15,15,39.890940834,8.000000093488779e-07,16.0,0,0.9397297501564026,1736751052.3789225,,,,,,
16,16,40.346404597,8.499999921696144e-07,17.0,0,0.7733754515647888,1736751052.834357,,,,,,
17,17,40.813785702,8.999999749903509e-07,18.0,0,0.9912751913070679,1736751053.301836,,,,,,
18,18,41.269670184,9.500000146545062e-07,19.0,0,0.8799884915351868,1736751053.7576385,,,,,,
19,19,41.727077441,9.999999974752427e-07,20.0,0,0.9713059663772583,1736751054.2150474,,,,,,
20,20,42.180565522,1.050000037139398e-06,21.0,0,0.972876787185669,1736751054.6685832,,,,,,
21,21,42.635973008,1.0999999631167157e-06,22.0,0,0.9410281777381897,1736751055.1239781,,,,,,
22,22,43.090693845,1.150000002780871e-06,23.0,0,0.790589451789856,1736751055.5786881,,,,,,
23,23,43.545875302,1.2000000424450263e-06,24.0,0,0.8141741156578064,1736751056.0337927,,,,,,
24,24,44.002364434,1.249999968422344e-06,25.0,0,0.9428433775901794,1736751056.4903967,,,,,,
25,25,44.458484266,1.3000000080864993e-06,26.0,0,1.0278568267822266,1736751056.946486,,,,,,
