trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.822494655,5.000000058430487e-08,1.0,0,2.0091629028320312,1736751167.954269,,,,,,
1,1,30.274741886,1.0000000116860974e-07,2.0,0,2.130608558654785,1736751168.4066439,,,,,,
2,2,30.727275752,1.500000053056283e-07,3.0,0,2.2389543056488037,1736751168.8589294,,,,,,
3,3,31.180533232,2.0000000233721948e-07,4.0,0,1.8426717519760132,1736751169.3123982,,,,,,
4,4,31.636261909,2.499999993688107e-07,5.0,0,2.1872406005859375,1736751169.7680905,,,,,,
5,5,32.089123451,3.000000106112566e-07,6.0,0,2.0858066082000732,1736751170.2210119,,,,,,
6,6,32.541374054,3.4999999343199306e-07,7.0,0,1.7742280960083008,1736751170.6732326,,,,,,
7,7,32.993763337,4.0000000467443897e-07,8.0,0,2.11810302734375,1736751171.1255784,,,,,,
8,8,33.445922382,4.4999998749517545e-07,9.0,0,2.359287977218628,1736751171.577827,,,,,,
9,9,33.898303942,4.999999987376214e-07,10.0,0,1.8949542045593262,1736751172.0301619,,,,,,
10,10,34.350798026,5.499999815583578e-07,11.0,0,1.9538875818252563,1736751172.4827254,,,,,,
11,11,34.803681327,6.000000212225132e-07,12.0,0,1.8488044738769531,1736751172.9352815,,,,,,
12,12,35.255433637,6.500000040432496e-07,13.0,0,2.135674238204956,1736751173.3873196,,,,,,
13,13,35.708727257,6.999999868639861e-07,14.0,0,1.83968985080719,1736751173.8405466,,,,,,
14,14,36.160867253,7.500000265281415e-07,15.0,0,1.9021061658859253,1736751174.2927725,,,,,,
15,15,36.613362635,8.000000093488779e-07,16.0,0,2.007342576980591,1736751174.7452044,,,,,,
16,16,37.07076858,8.499999921696144e-07,17.0,0,1.9148110151290894,1736751175.202676,,,,,,
17,17,37.527012256,8.999999749903509e-07,18.0,0,2.1696555614471436,1736751175.6588905,,,,,,
18,18,37.980755041,9.500000146545062e-07,19.0,0,1.7415271997451782,1736751176.1126554,,,,,,
19,19,38.433210304,9.999999974752427e-07,20.0,0,1.7328739166259766,1736751176.5651195,,,,,,
20,20,38.885665315,1.050000037139398e-06,21.0,0,1.783833622932434,1736751177.0175278,,,,,,
21,21,39.337981872,1.0999999631167157e-06,22.0,0,1.909210443496704,1736751177.4697273,,,,,,
22,22,39.789896176,1.150000002780871e-06,23.0,0,1.8691513538360596,1736751177.9217238,,,,,,
23,23,40.242115463,1.2000000424450263e-06,24.0,0,1.6990382671356201,1736751178.3738756,,,,,,
24,24,40.694330973,1.249999968422344e-06,25.0,0,1.8736807107925415,1736751178.8261993,,,,,,
25,25,41.147445484,1.3000000080864993e-06,26.0,0,1.76854407787323,1736751179.2793667,,,,,,
26,26,41.599875428,1.3500000477506546e-06,27.0,0,1.6431742906570435,1736751179.731737,,,,,,
27,27,42.052005482,1.3999999737279722e-06,28.0,0,1.9887721538543701,1736751180.183918,,,,,,
28,28,42.504242819,1.4500000133921276e-06,29.0,0,1.8748478889465332,1736751180.6361535,,,,,,
29,29,42.956833536,1.500000053056283e-06,30.0,0,1.7039650678634644,1736751181.0887194,,,,,,
30,30,43.409331953,1.5499999790336005e-06,31.0,0,1.6013710498809814,1736751181.5412343,,,,,,
31,31,43.744824974,1.6000000186977559e-06,32.0,0,1.698905348777771,1736751181.8767128,,,,,,
31,32,46.269081878,,,0,,1736751184.400896,0.5764966607093811,1.5919550657272339,,,,
31,33,46.279909544,,,0,,1736751184.4118645,,,0.4796847999095917,1.91755211353302,,
32,34,51.34347791,,,1,,1736751189.4752932,,,,,0.5831485390663147,1.5875440835952759
