trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,31.159581156,5.000000058430487e-08,1.0,0,2.315168619155884,1736755555.9087617,,,,,,
1,1,31.61889458,1.0000000116860974e-07,2.0,0,2.3264033794403076,1736755556.3680758,,,,,,
2,2,32.073342207,1.500000053056283e-07,3.0,0,2.253056287765503,1736755556.8224943,,,,,,
3,3,32.529573289,2.0000000233721948e-07,4.0,0,2.306626558303833,1736755557.2784975,,,,,,
4,4,32.986186217,2.499999993688107e-07,5.0,0,2.2741425037384033,1736755557.7353332,,,,,,
5,5,33.446249578,3.000000106112566e-07,6.0,0,2.2838644981384277,1736755558.1954036,,,,,,
6,6,33.900134411,3.4999999343199306e-07,7.0,0,2.263716459274292,1736755558.6493304,,,,,,
7,7,34.354332423,4.0000000467443897e-07,8.0,0,2.2561588287353516,1736755559.1032681,,,,,,
8,8,34.807732522,4.4999998749517545e-07,9.0,0,2.2783989906311035,1736755559.556922,,,,,,
9,9,35.260833307,4.999999987376214e-07,10.0,0,2.2338476181030273,1736755560.0100198,,,,,,
10,10,35.714876593,5.499999815583578e-07,11.0,0,2.253937244415283,1736755560.464019,,,,,,
11,11,36.168788633,6.000000212225132e-07,12.0,0,2.232257843017578,1736755560.9179084,,,,,,
12,12,36.622351774,6.500000040432496e-07,13.0,0,2.2047882080078125,1736755561.3715403,,,,,,
13,13,37.075759292,6.999999868639861e-07,14.0,0,2.19480562210083,1736755561.8249218,,,,,,
14,14,37.530029962,7.500000265281415e-07,15.0,0,2.193070411682129,1736755562.2791784,,,,,,
15,15,37.990938491,8.000000093488779e-07,16.0,0,2.1323676109313965,1736755562.7400863,,,,,,
16,16,38.445898977,8.499999921696144e-07,17.0,0,2.0362772941589355,1736755563.195108,,,,,,
17,17,38.910502646,8.999999749903509e-07,18.0,0,2.12337589263916,1736755563.6596901,,,,,,
18,18,39.365067766,9.500000146545062e-07,19.0,0,1.9461314678192139,1736755564.1139085,,,,,,
19,19,39.819494113,9.999999974752427e-07,20.0,0,1.9456043243408203,1736755564.568657,,,,,,
20,20,40.273891225,1.050000037139398e-06,21.0,0,1.9282443523406982,1736755565.0230696,,,,,,
21,21,40.734342296,1.0999999631167157e-06,22.0,0,1.8874937295913696,1736755565.4832108,,,,,,
22,22,41.189316061,1.150000002780871e-06,23.0,0,1.822806715965271,1736755565.9384449,,,,,,
23,23,41.643964561,1.2000000424450263e-06,24.0,0,1.7693043947219849,1736755566.3931909,,,,,,
24,24,42.098308248,1.249999968422344e-06,25.0,0,1.6926898956298828,1736755566.8471236,,,,,,
25,25,42.551780123,1.3000000080864993e-06,26.0,0,1.6885097026824951,1736755567.3009477,,,,,,
26,26,43.005436434,1.3500000477506546e-06,27.0,0,1.6925441026687622,1736755567.7546182,,,,,,
27,27,43.460153399,1.3999999737279722e-06,28.0,0,1.5191428661346436,1736755568.2090273,,,,,,
28,28,43.913859732,1.4500000133921276e-06,29.0,0,1.6762490272521973,1736755568.6630075,,,,,,
29,29,44.372867488,1.500000053056283e-06,30.0,0,1.4416686296463013,1736755569.1220257,,,,,,
30,30,44.826898639,1.5499999790336005e-06,31.0,0,1.3914296627044678,1736755569.575839,,,,,,
31,31,45.28757851,1.6000000186977559e-06,32.0,0,1.4895895719528198,1736755570.0364053,,,,,,
32,32,45.741539197,1.6499999446750735e-06,33.0,0,1.2196303606033325,1736755570.4906821,,,,,,
33,33,46.196679833,1.6999999843392288e-06,34.0,0,1.1230945587158203,1736755570.9458344,,,,,,
34,34,46.652371774,1.7500000240033842e-06,35.0,0,1.202683687210083,1736755571.4012942,,,,,,
