trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.164847119,5.000000058430487e-08,1.0,0,1.2724401950836182,1736751274.8880146,,,,,,
1,1,29.617682245,1.0000000116860974e-07,2.0,0,1.326287031173706,1736751275.340724,,,,,,
2,2,30.072201157,1.500000053056283e-07,3.0,0,1.3355576992034912,1736751275.7948797,,,,,,
3,3,30.525934112,2.0000000233721948e-07,4.0,0,1.4449961185455322,1736751276.2488143,,,,,,
4,4,30.979588021,2.499999993688107e-07,5.0,0,1.3265748023986816,1736751276.7027636,,,,,,
5,5,31.435147571,3.000000106112566e-07,6.0,0,1.3372787237167358,1736751277.1583362,,,,,,
6,6,31.889029397,3.4999999343199306e-07,7.0,0,1.3876806497573853,1736751277.6122217,,,,,,
7,7,32.343272219,4.0000000467443897e-07,8.0,0,1.1328169107437134,1736751278.0661287,,,,,,
8,8,32.798806084,4.4999998749517545e-07,9.0,0,1.3794020414352417,1736751278.5220199,,,,,,
9,9,33.253076379,4.999999987376214e-07,10.0,0,1.13736093044281,1736751278.9762557,,,,,,
10,10,33.708489091,5.499999815583578e-07,11.0,0,1.0060949325561523,1736751279.4312449,,,,,,
11,11,34.161585003,6.000000212225132e-07,12.0,0,1.0170990228652954,1736751279.8847513,,,,,,
12,12,34.615620984,6.500000040432496e-07,13.0,0,0.9739499092102051,1736751280.338757,,,,,,
13,13,35.070132805,6.999999868639861e-07,14.0,0,0.716484546661377,1736751280.7933042,,,,,,
14,14,35.52414868,7.500000265281415e-07,15.0,0,0.664982259273529,1736751281.2473392,,,,,,
15,15,35.978831854,8.000000093488779e-07,16.0,0,0.670019805431366,1736751281.7016115,,,,,,
16,16,36.443075801,8.499999921696144e-07,17.0,0,0.6392439603805542,1736751282.1662352,,,,,,
17,17,36.895754351,8.999999749903509e-07,18.0,0,0.6592403650283813,1736751282.6187892,,,,,,
18,18,37.348950639,9.500000146545062e-07,19.0,0,0.5405523777008057,1736751283.07185,,,,,,
19,19,37.801993291,9.999999974752427e-07,20.0,0,0.6331023573875427,1736751283.5249226,,,,,,
20,20,38.254870164,1.050000037139398e-06,21.0,0,0.503486156463623,1736751283.9777236,,,,,,
21,21,38.707819965,1.0999999631167157e-06,22.0,0,0.5659236311912537,1736751284.4310393,,,,,,
22,22,39.161496785,1.150000002780871e-06,23.0,0,0.45243966579437256,1736751284.8846729,,,,,,
23,23,39.614678351,1.2000000424450263e-06,24.0,0,0.364465594291687,1736751285.3378541,,,,,,
24,24,40.067221465,1.249999968422344e-06,25.0,0,0.3449387848377228,1736751285.7903614,,,,,,
25,25,40.519290043,1.3000000080864993e-06,26.0,0,0.3568032383918762,1736751286.2423012,,,,,,
26,26,40.972272179,1.3500000477506546e-06,27.0,0,0.30303362011909485,1736751286.6954021,,,,,,
27,27,41.425158016,1.3999999737279722e-06,28.0,0,0.38618892431259155,1736751287.148348,,,,,,
28,28,41.87749011,1.4500000133921276e-06,29.0,0,0.3697757124900818,1736751287.6006513,,,,,,
29,29,42.332402045,1.500000053056283e-06,30.0,0,0.32436251640319824,1736751288.0555992,,,,,,
30,30,42.785398593,1.5499999790336005e-06,31.0,0,0.2610364556312561,1736751288.5082889,,,,,,
31,31,43.238353042,1.6000000186977559e-06,32.0,0,0.32198652625083923,1736751288.9615397,,,,,,
32,32,43.691600771,1.6499999446750735e-06,33.0,0,0.2617620825767517,1736751289.4146216,,,,,,
33,33,44.144766247,1.6999999843392288e-06,34.0,0,0.24525098502635956,1736751289.8677485,,,,,,
34,34,44.600154247,1.7500000240033842e-06,35.0,0,0.2664564251899719,1736751290.3231735,,,,,,
35,35,45.05589117,1.7999999499807018e-06,36.0,0,0.2249649316072464,1736751290.7787118,,,,,,
36,36,45.511570857,1.8499999896448571e-06,37.0,0,0.19939111173152924,1736751291.2345383,,,,,,
37,37,45.966352867,1.9000000293090125e-06,38.0,0,0.2302062213420868,1736751291.6893404,,,,,,
