trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,27.892744128,5.000000058430487e-08,1.0,0,1.2524341344833374,1736752912.632752,,,,,,
1,1,28.347553233,1.0000000116860974e-07,2.0,0,1.358330249786377,1736752913.0875812,,,,,,
2,2,28.800472938,1.500000053056283e-07,3.0,0,1.2860866785049438,1736752913.5404615,,,,,,
3,3,29.257043858,2.0000000233721948e-07,4.0,0,1.070016622543335,1736752913.997084,,,,,,
4,4,29.710310801,2.499999993688107e-07,5.0,0,1.413347601890564,1736752914.4503272,,,,,,
5,5,30.164419444,3.000000106112566e-07,6.0,0,1.2433834075927734,1736752914.9044461,,,,,,
6,6,30.617992439,3.4999999343199306e-07,7.0,0,1.392282485961914,1736752915.3580709,,,,,,
7,7,30.719892456,4.0000000467443897e-07,8.0,0,1.2657583951950073,1736752915.4599862,,,,,,
7,8,32.687484435,,,0,,1736752917.427434,0.686274528503418,1.3129911422729492,,,,
7,9,32.70251024,,,0,,1736752917.4425635,,,0.6938998103141785,1.2874503135681152,,
8,10,37.213076432,,,1,,1736752921.9530814,,,,,0.6666666865348816,1.3297020196914673
