trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.945381967,5.000000058430487e-08,1.0,0,2.1636617183685303,1736751498.023254,,,,,,
1,1,30.404724249,1.0000000116860974e-07,2.0,0,2.2084152698516846,1736751498.4826114,,,,,,
2,2,30.857285464,1.500000053056283e-07,3.0,0,2.1869614124298096,1736751498.935236,,,,,,
3,3,31.309778944,2.0000000233721948e-07,4.0,0,2.0393710136413574,1736751499.3876903,,,,,,
4,4,31.762734858,2.499999993688107e-07,5.0,0,2.185045003890991,1736751499.840699,,,,,,
5,5,32.215936132,3.000000106112566e-07,6.0,0,2.137592077255249,1736751500.2938843,,,,,,
6,6,32.668278852,3.4999999343199306e-07,7.0,0,2.0073084831237793,1736751500.7462318,,,,,,
7,7,33.120953733,4.0000000467443897e-07,8.0,0,2.168314218521118,1736751501.198914,,,,,,
8,8,33.573542344,4.4999998749517545e-07,9.0,0,2.0445871353149414,1736751501.6514742,,,,,,
9,9,34.025873203,4.999999987376214e-07,10.0,0,2.0106570720672607,1736751502.1038687,,,,,,
10,10,34.481408023,5.499999815583578e-07,11.0,0,1.9056698083877563,1736751502.5593333,,,,,,
11,11,34.93413287,6.000000212225132e-07,12.0,0,1.8912591934204102,1736751503.0120344,,,,,,
12,12,35.388790442,6.500000040432496e-07,13.0,0,2.003910779953003,1736751503.466523,,,,,,
13,13,35.841184190999996,6.999999868639861e-07,14.0,0,1.7144180536270142,1736751503.9187102,,,,,,
14,14,36.293497852,7.500000265281415e-07,15.0,0,1.8125807046890259,1736751504.3714142,,,,,,
15,15,36.74679394,8.000000093488779e-07,16.0,0,1.7191648483276367,1736751504.8247573,,,,,,
16,16,37.20401189,8.499999921696144e-07,17.0,0,1.5412254333496094,1736751505.2815366,,,,,,
17,17,37.660957713,8.999999749903509e-07,18.0,0,1.5330418348312378,1736751505.7388656,,,,,,
18,18,38.113988887,9.500000146545062e-07,19.0,0,1.6559772491455078,1736751506.1919475,,,,,,
19,19,38.569176664,9.999999974752427e-07,20.0,0,1.4894394874572754,1736751506.6470563,,,,,,
20,20,39.02191342,1.050000037139398e-06,21.0,0,1.4938172101974487,1736751507.0998602,,,,,,
21,21,39.474627644,1.0999999631167157e-06,22.0,0,1.4641801118850708,1736751507.552332,,,,,,
22,22,39.927091511,1.150000002780871e-06,23.0,0,1.2321560382843018,1736751508.005002,,,,,,
23,23,40.379777925,1.2000000424450263e-06,24.0,0,1.2989799976348877,1736751508.457686,,,,,,
24,24,40.832402533,1.249999968422344e-06,25.0,0,1.3001062870025635,1736751508.910385,,,,,,
25,25,41.28808502,1.3000000080864993e-06,26.0,0,1.3536784648895264,1736751509.3659022,,,,,,
26,26,41.741738513,1.3500000477506546e-06,27.0,0,1.161737322807312,1736751509.8196392,,,,,,
27,27,42.195028518,1.3999999737279722e-06,28.0,0,1.0819480419158936,1736751510.272985,,,,,,
28,28,42.648187899,1.4500000133921276e-06,29.0,0,1.0565695762634277,1736751510.726106,,,,,,
29,29,43.101351358,1.500000053056283e-06,30.0,0,0.9316552877426147,1736751511.178885,,,,,,
30,30,43.554154335,1.5499999790336005e-06,31.0,0,1.1236884593963623,1736751511.6317732,,,,,,
31,31,44.006901688,1.6000000186977559e-06,32.0,0,0.8812090158462524,1736751512.0848649,,,,,,
32,32,44.460873871,1.6499999446750735e-06,33.0,0,1.0058848857879639,1736751512.538771,,,,,,
33,33,44.914325391,1.6999999843392288e-06,34.0,0,0.8787175416946411,1736751512.9922338,,,,,,
34,34,45.368846432,1.7500000240033842e-06,35.0,0,0.7272908091545105,1736751513.44644,,,,,,
35,35,45.822854344,1.7999999499807018e-06,36.0,0,0.8179918527603149,1736751513.9007545,,,,,,
36,36,46.277197834,1.8499999896448571e-06,37.0,0,0.7730422616004944,1736751514.3551326,,,,,,
37,37,46.731622327,1.9000000293090125e-06,38.0,0,0.6740387678146362,1736751514.8095045,,,,,,
38,38,47.185459592,1.950000068973168e-06,39.0,0,0.5467211604118347,1736751515.2633712,,,,,,
39,39,47.639943306,1.9999999949504854e-06,40.0,0,0.6661566495895386,1736751515.7178504,,,,,,
40,40,48.094502331,2.049999920927803e-06,41.0,0,0.595880925655365,1736751516.1719458,,,,,,
41,41,48.548549441,2.100000074278796e-06,42.0,0,0.9145547747612,1736751516.6261005,,,,,,
42,42,49.002165786,2.1500000002561137e-06,43.0,0,0.6852709650993347,1736751517.079904,,,,,,
43,43,49.456448186,2.1999999262334313e-06,44.0,0,0.5623712539672852,1736751517.5343597,,,,,,
44,44,49.910094127,2.2500000795844244e-06,45.0,0,0.503923237323761,1736751517.9880416,,,,,,
45,45,50.363802627,2.300000005561742e-06,46.0,0,0.830513596534729,1736751518.4416952,,,,,,
46,46,50.817635208,2.3499999315390596e-06,47.0,0,0.6239442825317383,1736751518.8955617,,,,,,
47,47,51.27125892,2.4000000848900527e-06,48.0,0,0.5295037627220154,1736751519.3492188,,,,,,
48,48,51.725058782,2.4500000108673703e-06,49.0,0,0.5340812802314758,1736751519.803003,,,,,,
49,49,52.179569203,2.499999936844688e-06,50.0,0,0.5610715746879578,1736751520.2567952,,,,,,
50,50,52.633540837,2.550000090195681e-06,51.0,0,0.38211122155189514,1736751520.7114575,,,,,,
51,51,53.087706975,2.6000000161729986e-06,52.0,0,0.5068822503089905,1736751521.1656427,,,,,,
52,52,53.541729977,2.649999942150316e-06,53.0,0,0.605536937713623,1736751521.6191962,,,,,,
53,53,53.995804745,2.7000000955013093e-06,54.0,0,0.5127243995666504,1736751522.0737152,,,,,,
54,54,54.449743832,2.750000021478627e-06,55.0,0,0.4365687966346741,1736751522.5276535,,,,,,
55,55,54.903553125,2.7999999474559445e-06,56.0,0,0.3549914062023163,1736751522.9814708,,,,,,
56,56,55.357293982,2.8500001008069376e-06,57.0,0,0.44435563683509827,1736751523.4351935,,,,,,
57,57,55.810849182,2.900000026784255e-06,58.0,0,0.4107983708381653,1736751523.8888218,,,,,,
58,58,56.264765298,2.9499999527615728e-06,59.0,0,0.40942972898483276,1736751524.3427358,,,,,,
59,59,56.719159268,3.000000106112566e-06,60.0,0,0.37917622923851013,1736751524.797083,,,,,,
60,60,57.173510448,3.0500000320898835e-06,61.0,0,0.3877952992916107,1736751525.2514381,,,,,,
61,61,57.627373236,3.099999958067201e-06,62.0,0,0.38733187317848206,1736751525.7052727,,,,,,
62,62,58.081964416,3.150000111418194e-06,63.0,0,0.3365027904510498,1736751526.159874,,,,,,
63,63,58.537770999,3.2000000373955118e-06,64.0,0,0.33584535121917725,1736751526.6157064,,,,,,
64,64,58.992027004,3.2499999633728294e-06,65.0,0,0.31600260734558105,1736751527.0699637,,,,,,
65,65,59.445877151,3.299999889350147e-06,66.0,0,0.30274027585983276,1736751527.5236125,,,,,,
66,66,59.899781149,3.35000004270114e-06,67.0,0,0.2838190197944641,1736751527.9777224,,,,,,
67,67,60.356872487,3.3999999686784577e-06,68.0,0,0.21264897286891937,1736751528.434647,,,,,,
68,68,60.81051111,3.4499998946557753e-06,69.0,0,0.2361314445734024,1736751528.8884346,,,,,,
69,69,61.265406724,3.5000000480067683e-06,70.0,0,0.222450852394104,1736751529.3433535,,,,,,
70,70,61.719764393,3.549999973984086e-06,71.0,0,0.3485535681247711,1736751529.7976701,,,,,,
71,71,62.174541336,3.5999998999614036e-06,72.0,0,0.23914942145347595,1736751530.2524488,,,,,,
72,72,62.628365048,3.6500000533123966e-06,73.0,0,0.4035568833351135,1736751530.7062647,,,,,,
73,73,63.082395928,3.6999999792897142e-06,74.0,0,0.24470382928848267,1736751531.1603,,,,,,
74,74,63.543892035,3.749999905267032e-06,75.0,0,0.20777784287929535,1736751531.6214106,,,,,,
75,75,63.998210714,3.800000058618025e-06,76.0,0,0.1854284405708313,1736751532.0757732,,,,,,
76,76,64.452316556,3.850000211969018e-06,77.0,0,0.20285770297050476,1736751532.5302198,,,,,,
77,77,64.905949214,3.900000137946336e-06,78.0,0,0.17229394614696503,1736751532.9838295,,,,,,
78,78,65.360090163,3.950000063923653e-06,79.0,0,0.19919657707214355,1736751533.4380007,,,,,,
79,79,65.81439043,3.999999989900971e-06,80.0,0,0.17680887877941132,1736751533.8919702,,,,,,
80,80,66.268080487,4.0499999158782884e-06,81.0,0,0.19866803288459778,1736751534.3460803,,,,,,
81,81,66.722013299,4.099999841855606e-06,82.0,0,0.17249053716659546,1736751534.7999294,,,,,,
82,82,67.176728955,4.1500002225802746e-06,83.0,0,0.18498897552490234,1736751535.254637,,,,,,
83,83,67.630808843,4.200000148557592e-06,84.0,0,0.2057410180568695,1736751535.7086983,,,,,,
84,84,68.084567441,4.25000007453491e-06,85.0,0,0.14707203209400177,1736751536.162545,,,,,,
85,85,68.538891507,4.300000000512227e-06,86.0,0,0.15847764909267426,1736751536.6168332,,,,,,
86,86,68.992638274,4.349999926489545e-06,87.0,0,0.22280964255332947,1736751537.0705395,,,,,,
87,87,69.446606896,4.399999852466863e-06,88.0,0,0.12082289904356003,1736751537.5243752,,,,,,
88,88,69.900095702,4.44999977844418e-06,89.0,0,0.17008918523788452,1736751537.9780018,,,,,,
89,89,70.353892544,4.500000159168849e-06,90.0,0,0.12909512221813202,1736751538.431842,,,,,,
90,90,70.807909299,4.550000085146166e-06,91.0,0,0.15096378326416016,1736751538.8858418,,,,,,
91,91,71.262121429,4.600000011123484e-06,92.0,0,0.15380258858203888,1736751539.3396997,,,,,,
92,92,71.717049649,4.649999937100802e-06,93.0,0,0.12075426429510117,1736751539.7944994,,,,,,
93,93,72.172951058,4.699999863078119e-06,94.0,0,0.13212332129478455,1736751540.2504597,,,,,,
94,94,72.627968526,4.749999789055437e-06,95.0,0,0.11733697354793549,1736751540.7058392,,,,,,
95,95,73.083195165,4.800000169780105e-06,96.0,0,0.14891505241394043,1736751541.160745,,,,,,
96,96,73.53847012599999,4.850000095757423e-06,97.0,0,0.19268281757831573,1736751541.616406,,,,,,
97,97,73.992374725,4.900000021734741e-06,98.0,0,0.10221955180168152,1736751542.070289,,,,,,
98,98,74.446411792,4.949999947712058e-06,99.0,0,0.19000770151615143,1736751542.524319,,,,,,
99,99,74.901185257,4.999999873689376e-06,100.0,0,0.08454667031764984,1736751542.9790967,,,,,,
100,100,75.357541762,5.0499997996666934e-06,101.0,0,0.12856899201869965,1736751543.4354506,,,,,,
101,101,75.813617983,5.100000180391362e-06,102.0,0,0.12235188484191895,1736751543.8912685,,,,,,
102,102,76.268077183,5.1500001063686796e-06,103.0,0,0.10741928964853287,1736751544.3460326,,,,,,
103,103,76.722465439,5.200000032345997e-06,104.0,0,0.12356855720281601,1736751544.7998953,,,,,,
104,104,77.178560759,5.249999958323315e-06,105.0,0,0.15272410213947296,1736751545.2560139,,,,,,
105,105,77.634633316,5.299999884300632e-06,106.0,0,0.10337921231985092,1736751545.7125776,,,,,,
106,106,78.090643006,5.34999981027795e-06,107.0,0,0.09277307242155075,1736751546.1685174,,,,,,
107,107,78.544786579,5.4000001910026185e-06,108.0,0,0.0887557715177536,1736751546.6227036,,,,,,
