trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,29.481773781,5.000000058430487e-08,1.0,0,2.2918758392333984,1736756502.3286119,,,,,,
1,1,29.944202877,1.0000000116860974e-07,2.0,0,2.4769840240478516,1736756502.7906692,,,,,,
2,2,30.399105596,1.500000053056283e-07,3.0,0,2.4920389652252197,1736756503.2459435,,,,,,
3,3,30.853859868,2.0000000233721948e-07,4.0,0,2.4061074256896973,1736756503.7007,,,,,,
4,4,31.308492177,2.499999993688107e-07,5.0,0,2.4181761741638184,1736756504.1554077,,,,,,
5,5,31.770066372,3.000000106112566e-07,6.0,0,2.42128849029541,1736756504.616869,,,,,,
6,6,32.224697397,3.4999999343199306e-07,7.0,0,2.3312129974365234,1736756505.0714877,,,,,,
7,7,32.681207215,4.0000000467443897e-07,8.0,0,2.468079090118408,1736756505.5280252,,,,,,
8,8,33.135663507,4.4999998749517545e-07,9.0,0,2.37766695022583,1736756505.9824636,,,,,,
9,9,33.588883883,4.999999987376214e-07,10.0,0,2.4219658374786377,1736756506.4357073,,,,,,
10,10,34.044228738,5.499999815583578e-07,11.0,0,2.373436689376831,1736756506.8910494,,,,,,
11,11,34.499477712,6.000000212225132e-07,12.0,0,2.3746180534362793,1736756507.346296,,,,,,
12,12,34.953934981,6.500000040432496e-07,13.0,0,2.309034824371338,1736756507.8005574,,,,,,
13,13,35.407621004,6.999999868639861e-07,14.0,0,2.2558536529541016,1736756508.2541573,,,,,,
14,14,35.861633811,7.500000265281415e-07,15.0,0,2.2505156993865967,1736756508.7084646,,,,,,
15,15,36.316598246,8.000000093488779e-07,16.0,0,2.24920916557312,1736756509.1631296,,,,,,
16,16,36.775078462,8.499999921696144e-07,17.0,0,2.2045321464538574,1736756509.6219456,,,,,,
17,17,37.231346594,8.999999749903509e-07,18.0,0,2.225135564804077,1736756510.0781927,,,,,,
18,18,37.690230523,9.500000146545062e-07,19.0,0,2.1814639568328857,1736756510.5368338,,,,,,
19,19,38.144626749,9.999999974752427e-07,20.0,0,2.1127800941467285,1736756510.99144,,,,,,
20,20,38.601772922,1.050000037139398e-06,21.0,0,2.122246265411377,1736756511.4486208,,,,,,
21,21,39.06112816,1.0999999631167157e-06,22.0,0,2.0811781883239746,1736756511.9079573,,,,,,
22,22,39.515302187,1.150000002780871e-06,23.0,0,2.0868048667907715,1736756512.3621426,,,,,,
23,23,39.970883512,1.2000000424450263e-06,24.0,0,2.052232265472412,1736756512.8172066,,,,,,
24,24,40.425215665,1.249999968422344e-06,25.0,0,1.9799844026565552,1736756513.272056,,,,,,
25,25,40.879117652,1.3000000080864993e-06,26.0,0,1.984415054321289,1736756513.72597,,,,,,
26,26,41.334043771,1.3500000477506546e-06,27.0,0,1.9148552417755127,1736756514.180694,,,,,,
27,27,41.787791427,1.3999999737279722e-06,28.0,0,1.9643827676773071,1736756514.6346428,,,,,,
28,28,42.242795214,1.4500000133921276e-06,29.0,0,1.8788516521453857,1736756515.0896666,,,,,,
29,29,42.698330042,1.500000053056283e-06,30.0,0,1.845559000968933,1736756515.5451956,,,,,,
30,30,43.153916875,1.5499999790336005e-06,31.0,0,1.900221824645996,1736756516.0003536,,,,,,
31,31,43.60815169,1.6000000186977559e-06,32.0,0,1.831666350364685,1736756516.4547217,,,,,,
32,32,44.064188101,1.6499999446750735e-06,33.0,0,1.7444363832473755,1736756516.9106922,,,,,,
33,33,44.520682448,1.6999999843392288e-06,34.0,0,1.780575156211853,1736756517.3673244,,,,,,
34,34,44.975637066,1.7500000240033842e-06,35.0,0,1.6414357423782349,1736756517.8224728,,,,,,
35,35,45.43118898,1.7999999499807018e-06,36.0,0,1.6642005443572998,1736756518.2776816,,,,,,
36,36,45.886464018,1.8499999896448571e-06,37.0,0,1.5545016527175903,1736756518.7333045,,,,,,
37,37,46.342674637,1.9000000293090125e-06,38.0,0,1.5226372480392456,1736756519.1895208,,,,,,
38,38,46.800120181,1.950000068973168e-06,39.0,0,1.5527193546295166,1736756519.6469166,,,,,,
39,39,47.255329468,1.9999999949504854e-06,40.0,0,1.529572606086731,1736756520.1021369,,,,,,
40,40,47.71046222,2.049999920927803e-06,41.0,0,1.5792039632797241,1736756520.557287,,,,,,
41,41,48.165779501,2.100000074278796e-06,42.0,0,1.569390058517456,1736756521.0126114,,,,,,
42,42,48.623178935,2.1500000002561137e-06,43.0,0,1.335785150527954,1736756521.469824,,,,,,
43,43,49.078269281,2.1999999262334313e-06,44.0,0,1.4061471223831177,1736756521.9250834,,,,,,
44,44,49.533797237,2.2500000795844244e-06,45.0,0,1.4383883476257324,1736756522.3803997,,,,,,
45,45,49.989131582,2.300000005561742e-06,46.0,0,1.399840235710144,1736756522.8359613,,,,,,
46,46,50.445160633,2.3499999315390596e-06,47.0,0,1.1888474225997925,1736756523.2919993,,,,,,
47,47,50.900287721,2.4000000848900527e-06,48.0,0,1.2787730693817139,1736756523.747086,,,,,,
48,48,51.355995087,2.4500000108673703e-06,49.0,0,1.1043579578399658,1736756524.2026088,,,,,,
49,49,51.812302323,2.499999936844688e-06,50.0,0,1.2132807970046997,1736756524.6591325,,,,,,
50,50,52.267929107,2.550000090195681e-06,51.0,0,1.2466247081756592,1736756525.11478,,,,,,
51,51,52.72359621,2.6000000161729986e-06,52.0,0,1.020706057548523,1736756525.5701058,,,,,,
52,52,53.178906859,2.649999942150316e-06,53.0,0,0.9118500351905823,1736756526.0255163,,,,,,
53,53,53.634431622,2.7000000955013093e-06,54.0,0,0.9220865964889526,1736756526.4812822,,,,,,
54,54,54.090861216,2.750000021478627e-06,55.0,0,0.7492390871047974,1736756526.937675,,,,,,
55,55,54.547546727,2.7999999474559445e-06,56.0,0,0.7471005320549011,1736756527.394365,,,,,,
56,56,55.003739909,2.8500001008069376e-06,57.0,0,0.854233980178833,1736756527.8505538,,,,,,
57,57,55.459056111,2.900000026784255e-06,58.0,0,1.0316084623336792,1736756528.3058658,,,,,,
58,58,55.917789088,2.9499999527615728e-06,59.0,0,0.811257004737854,1736756528.7646277,,,,,,
59,59,56.374396006,3.000000106112566e-06,60.0,0,0.8295457363128662,1736756529.221287,,,,,,
60,60,56.831239605,3.0500000320898835e-06,61.0,0,0.7846189141273499,1736756529.6775346,,,,,,
61,61,57.287132508,3.099999958067201e-06,62.0,0,0.6536799669265747,1736756530.1336575,,,,,,
62,62,57.743550778,3.150000111418194e-06,63.0,0,0.6664595007896423,1736756530.5904138,,,,,,
63,63,58.199721748,3.2000000373955118e-06,64.0,0,0.6169369220733643,1736756531.0465415,,,,,,
64,64,58.656849402,3.2499999633728294e-06,65.0,0,0.6127209067344666,1736756531.5037246,,,,,,
65,65,59.112556808,3.299999889350147e-06,66.0,0,0.6373233199119568,1736756531.959393,,,,,,
66,66,59.568270955,3.35000004270114e-06,67.0,0,0.5965685248374939,1736756532.4151678,,,,,,
67,67,60.024457693,3.3999999686784577e-06,68.0,0,0.6794132590293884,1736756532.8712883,,,,,,
