trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,31.299154108,5.000000058430487e-08,1.0,0,0.7499175667762756,1736753277.9481654,,,,,,
1,1,31.772494185,1.0000000116860974e-07,2.0,0,0.7330875992774963,1736753278.421478,,,,,,
2,2,32.22666915,1.500000053056283e-07,3.0,0,0.810843825340271,1736753278.8756845,,,,,,
3,3,32.679679169,2.0000000233721948e-07,4.0,0,0.788610577583313,1736753279.3286989,,,,,,
4,4,33.133520967,2.499999993688107e-07,5.0,0,0.7487464547157288,1736753279.7825792,,,,,,
5,5,33.587454998,3.000000106112566e-07,6.0,0,0.796676516532898,1736753280.2365577,,,,,,
6,6,34.040875074,3.4999999343199306e-07,7.0,0,0.7712218761444092,1736753280.6898916,,,,,,
7,7,34.502144263,4.0000000467443897e-07,8.0,0,0.7573981285095215,1736753281.1511672,,,,,,
8,8,34.956476989,4.4999998749517545e-07,9.0,0,0.6582796573638916,1736753281.6055262,,,,,,
9,9,35.411280738,4.999999987376214e-07,10.0,0,0.6873226165771484,1736753282.0602953,,,,,,
10,10,35.865263086,5.499999815583578e-07,11.0,0,0.5921186208724976,1736753282.5142617,,,,,,
11,11,36.319113405,6.000000212225132e-07,12.0,0,0.5856344103813171,1736753282.9681516,,,,,,
12,12,36.772465238,6.500000040432496e-07,13.0,0,0.6339825987815857,1736753283.4214995,,,,,,
13,13,37.226501224,6.999999868639861e-07,14.0,0,0.5589098334312439,1736753283.8750005,,,,,,
14,14,37.679053586,7.500000265281415e-07,15.0,0,0.5483420491218567,1736753284.3280833,,,,,,
15,15,38.132864469,8.000000093488779e-07,16.0,0,0.5604165196418762,1736753284.7818613,,,,,,
16,16,38.587923622,8.499999921696144e-07,17.0,0,0.490435928106308,1736753285.2365227,,,,,,
17,17,39.052529242,8.999999749903509e-07,18.0,0,0.5199406147003174,1736753285.701599,,,,,,
18,18,39.505884958,9.500000146545062e-07,19.0,0,0.5404479503631592,1736753286.1549015,,,,,,
19,19,39.959186291,9.999999974752427e-07,20.0,0,0.4676244854927063,1736753286.6081843,,,,,,
20,20,40.412162675,1.050000037139398e-06,21.0,0,0.48436522483825684,1736753287.061208,,,,,,
21,21,40.865570125,1.0999999631167157e-06,22.0,0,0.49235451221466064,1736753287.5146122,,,,,,
22,22,41.318719141,1.150000002780871e-06,23.0,0,0.4336893856525421,1736753287.9677386,,,,,,
23,23,41.772255803,1.2000000424450263e-06,24.0,0,0.44087380170822144,1736753288.4212713,,,,,,
24,24,42.225665687,1.249999968422344e-06,25.0,0,0.42845943570137024,1736753288.8746681,,,,,,
25,25,42.679326219000004,1.3000000080864993e-06,26.0,0,0.4124429523944855,1736753289.3280451,,,,,,
26,26,43.132957126,1.3500000477506546e-06,27.0,0,0.3796819746494293,1736753289.7819824,,,,,,
27,27,43.586500748,1.3999999737279722e-06,28.0,0,0.432280957698822,1736753290.2355154,,,,,,
28,28,44.039684554,1.4500000133921276e-06,29.0,0,0.4031951129436493,1736753290.6887455,,,,,,
29,29,44.493251209,1.500000053056283e-06,30.0,0,0.31865009665489197,1736753291.142077,,,,,,
30,30,44.952140606,1.5499999790336005e-06,31.0,0,0.4246484339237213,1736753291.6011758,,,,,,
31,31,45.405646765,1.6000000186977559e-06,32.0,0,0.4109225273132324,1736753292.054661,,,,,,
32,32,45.860231857,1.6499999446750735e-06,33.0,0,0.3968178629875183,1736753292.5091748,,,,,,
33,33,46.314179653,1.6999999843392288e-06,34.0,0,0.41152918338775635,1736753292.9632313,,,,,,
34,34,46.768456515,1.7500000240033842e-06,35.0,0,0.42781588435173035,1736753293.41747,,,,,,
35,35,47.22240431,1.7999999499807018e-06,36.0,0,0.37040382623672485,1736753293.871426,,,,,,
36,36,47.676395725,1.8499999896448571e-06,37.0,0,0.4155145585536957,1736753294.3254309,,,,,,
37,37,48.130969853,1.9000000293090125e-06,38.0,0,0.37183016538619995,1736753294.7799473,,,,,,
38,38,48.585305894,1.950000068973168e-06,39.0,0,0.2913903295993805,1736753295.234314,,,,,,
39,39,49.040168902,1.9999999949504854e-06,40.0,0,0.350845605134964,1736753295.6891713,,,,,,
40,40,49.49381138,2.049999920927803e-06,41.0,0,0.6066407561302185,1736753296.1425378,,,,,,
41,41,49.948407446,2.100000074278796e-06,42.0,0,0.5166282653808594,1736753296.5974033,,,,,,
42,42,50.403207565,2.1500000002561137e-06,43.0,0,0.4072410464286804,1736753297.0522213,,,,,,
43,43,50.857829477,2.1999999262334313e-06,44.0,0,0.3807612955570221,1736753297.5067954,,,,,,
