trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/test,loss/test
0,0,33.660142062,5.000000058430487e-08,1.0,0,1.8697997331619263,1736752145.3617024,,
1,1,34.113160005,1.0000000116860974e-07,2.0,0,1.8263654708862305,1736752145.814763,,
2,2,34.568532651,1.500000053056283e-07,3.0,0,1.8626959323883057,1736752146.270099,,
3,3,35.021529123,2.0000000233721948e-07,4.0,0,1.8054730892181396,1736752146.7231848,,
4,4,35.475504196,2.499999993688107e-07,5.0,0,1.8213082551956177,1736752147.1770785,,
5,5,35.927873777,3.000000106112566e-07,6.0,0,1.790377140045166,1736752147.6294029,,
6,6,36.38605613,3.4999999343199306e-07,7.0,0,1.8082003593444824,1736752148.0876708,,
7,7,36.839381979,4.0000000467443897e-07,8.0,0,1.769856333732605,1736752148.5409544,,
8,8,37.292620284,4.4999998749517545e-07,9.0,0,1.7779912948608398,1736752148.9941947,,
9,9,37.745972403,4.999999987376214e-07,10.0,0,1.6850910186767578,1736752149.4475808,,
10,10,38.199395435,5.499999815583578e-07,11.0,0,1.6664955615997314,1736752149.9009705,,
11,11,38.652537992,6.000000212225132e-07,12.0,0,1.6154024600982666,1736752150.3541195,,
12,12,39.107630637,6.500000040432496e-07,13.0,0,1.6819489002227783,1736752150.8092391,,
13,13,39.5609956,6.999999868639861e-07,14.0,0,1.4705355167388916,1736752151.2625759,,
14,14,40.013521775,7.500000265281415e-07,15.0,0,1.4363853931427002,1736752151.7150784,,
15,15,40.467200075,8.000000093488779e-07,16.0,0,1.4287751913070679,1736752152.1687412,,
16,16,40.923171304,8.499999921696144e-07,17.0,0,1.2804330587387085,1736752152.6247587,,
17,17,41.378966394,8.999999749903509e-07,18.0,0,1.167596459388733,1736752153.0805702,,
18,18,41.837079741,9.500000146545062e-07,19.0,0,1.25090754032135,1736752153.5386534,,
19,19,42.291305505,9.999999974752427e-07,20.0,0,1.3184633255004883,1736752153.9927626,,
20,20,42.744691229,1.050000037139398e-06,21.0,0,1.3038997650146484,1736752154.4462528,,
21,21,43.200128671,1.0999999631167157e-06,22.0,0,1.0763181447982788,1736752154.901724,,
22,22,43.656158882,1.150000002780871e-06,23.0,0,1.137002944946289,1736752155.3574865,,
23,23,44.109900531,1.2000000424450263e-06,24.0,0,1.0651462078094482,1736752155.811154,,
