trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.161706316,9.999999747378752e-06,1.0,0,2.3149023056030273,1736748102.896363,,,,,,
1,1,26.912496349,9.999999747378752e-06,2.0,0,2.1956088542938232,1736748103.6471715,,,,,,
2,2,27.663412532,9.999999747378752e-06,3.0,0,1.9085800647735596,1736748104.3980699,,,,,,
3,3,28.41673074,9.999999747378752e-06,4.0,0,1.7715539932250977,1736748105.1513872,,,,,,
4,4,29.170573615,9.999999747378752e-06,5.0,0,1.5410534143447876,1736748105.9052665,,,,,,
5,5,29.922550027,9.999999747378752e-06,6.0,0,1.386772632598877,1736748106.657226,,,,,,
6,6,30.676260425,9.999999747378752e-06,7.0,0,1.1250948905944824,1736748107.4109452,,,,,,
7,7,31.430590635,9.999999747378752e-06,8.0,0,0.9082247614860535,1736748108.1652942,,,,,,
8,8,32.185169599,9.999999747378752e-06,9.0,0,0.9330605864524841,1736748108.9198003,,,,,,
9,9,32.941247687,9.999999747378752e-06,10.0,0,0.6415624022483826,1736748109.6759326,,,,,,
10,10,33.698848109,9.999999747378752e-06,11.0,0,0.7394518852233887,1736748110.43353,,,,,,
11,11,34.453206726,9.999999747378752e-06,12.0,0,0.5173531770706177,1736748111.1878629,,,,,,
12,12,35.207845217,9.999999747378752e-06,13.0,0,0.426669716835022,1736748111.942543,,,,,,
13,13,35.964345787,9.999999747378752e-06,14.0,0,0.36952999234199524,1736748112.6990132,,,,,,
14,14,36.719464924,9.999999747378752e-06,15.0,0,0.32253095507621765,1736748113.4541237,,,,,,
15,15,37.473935372,9.999999747378752e-06,16.0,0,0.3554144501686096,1736748114.2086306,,,,,,
16,16,38.231340703,9.999999747378752e-06,17.0,0,0.17130792140960693,1736748114.9660273,,,,,,
17,17,38.986430842,9.999999747378752e-06,18.0,0,0.2403336614370346,1736748115.7211194,,,,,,
