trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,25.825708076,9.999999747378752e-06,1.0,0,1.2720742225646973,1736719988.160004,,,,,,
1,1,26.576434055,9.999999747378752e-06,2.0,0,0.8827080726623535,1736719988.9106755,,,,,,
2,2,27.328332567,9.999999747378752e-06,3.0,0,0.6554275751113892,1736719989.662616,,,,,,
3,3,28.079528317,9.999999747378752e-06,4.0,0,0.5247642397880554,1736719990.4138186,,,,,,
4,4,28.832065098,9.999999747378752e-06,5.0,0,0.3524543344974518,1736719991.1663547,,,,,,
5,5,29.583854001,9.999999747378752e-06,6.0,0,0.3092697262763977,1736719991.9181821,,,,,,
6,6,30.335724437,9.999999747378752e-06,7.0,0,0.2476380467414856,1736719992.670027,,,,,,
7,7,31.087846338,9.999999747378752e-06,8.0,0,0.1928149312734604,1736719993.4221733,,,,,,
8,8,31.840621839,9.999999747378752e-06,9.0,0,0.3701995313167572,1736719994.1749365,,,,,,
9,9,32.594013225,9.999999747378752e-06,10.0,0,0.2645741105079651,1736719994.9283383,,,,,,
10,10,33.348330284,9.999999747378752e-06,11.0,0,0.21908746659755707,1736719995.682649,,,,,,
11,11,34.102726423,9.999999747378752e-06,12.0,0,0.1792283058166504,1736719996.4370234,,,,,,
12,12,34.856788283,9.999999747378752e-06,13.0,0,0.1515677273273468,1736719997.191061,,,,,,
13,13,35.611005817,9.999999747378752e-06,14.0,0,0.14649808406829834,1736719997.945326,,,,,,
14,14,36.365631446,9.999999747378752e-06,15.0,0,0.2521767318248749,1736719998.6999543,,,,,,
15,15,37.120958373,9.999999747378752e-06,16.0,0,0.17933332920074463,1736719999.4552553,,,,,,
16,16,37.883762459,9.999999747378752e-06,17.0,0,0.13724187016487122,1736720000.2180836,,,,,,
17,17,38.63869772,9.999999747378752e-06,18.0,0,0.29414474964141846,1736720000.9730191,,,,,,
18,18,39.393585216,9.999999747378752e-06,19.0,0,0.17299409210681915,1736720001.7278843,,,,,,
19,19,40.148923104,9.999999747378752e-06,20.0,0,0.161916583776474,1736720002.4832215,,,,,,
20,20,40.903993255,9.999999747378752e-06,21.0,0,0.2214224636554718,1736720003.2383463,,,,,,
21,21,41.659427929,9.999999747378752e-06,22.0,0,0.22611725330352783,1736720003.9937487,,,,,,
22,22,42.414243647,9.999999747378752e-06,23.0,0,0.1823163777589798,1736720004.7485447,,,,,,
23,23,43.17015029,9.999999747378752e-06,24.0,0,0.18663522601127625,1736720005.504435,,,,,,
24,24,43.925288704,9.999999747378752e-06,25.0,0,0.13986386358737946,1736720006.2596107,,,,,,
25,25,44.680543416,9.999999747378752e-06,26.0,0,0.1119709238409996,1736720007.0148647,,,,,,
26,26,45.43645659,9.999999747378752e-06,27.0,0,0.14295022189617157,1736720007.770748,,,,,,
27,27,46.192014339,9.999999747378752e-06,28.0,0,0.21568576991558075,1736720008.5263314,,,,,,
28,28,46.94816225,9.999999747378752e-06,29.0,0,0.20519599318504333,1736720009.2824674,,,,,,
29,29,47.704626934,9.999999747378752e-06,30.0,0,0.18389324843883514,1736720010.0389512,,,,,,
30,30,48.460813517,9.999999747378752e-06,31.0,0,0.10854700952768326,1736720010.7951133,,,,,,
31,31,49.217141545,9.999999747378752e-06,32.0,0,0.1730469912290573,1736720011.5514026,,,,,,
32,32,49.975154386,9.999999747378752e-06,33.0,0,0.09642864018678665,1736720012.3094745,,,,,,
33,33,50.732083032,9.999999747378752e-06,34.0,0,0.18615472316741943,1736720013.066425,,,,,,
34,34,51.48992448,9.999999747378752e-06,35.0,0,0.14987210929393768,1736720013.8242078,,,,,,
35,35,52.248947594,9.999999747378752e-06,36.0,0,0.2512970566749573,1736720014.5832474,,,,,,
36,36,53.008651214,9.999999747378752e-06,37.0,0,0.09924015402793884,1736720015.3429666,,,,,,
37,37,53.768711282,9.999999747378752e-06,38.0,0,0.17533136904239655,1736720016.1030073,,,,,,
38,38,54.52851288,9.999999747378752e-06,39.0,0,0.13115713000297546,1736720016.8628163,,,,,,
39,39,55.288562517,9.999999747378752e-06,40.0,0,0.13026924431324005,1736720017.622877,,,,,,
40,40,56.048596753,9.999999747378752e-06,41.0,0,0.10526025295257568,1736720018.3828895,,,,,,
41,41,56.808594719,9.999999747378752e-06,42.0,0,0.1644527018070221,1736720019.142917,,,,,,
42,42,57.568413067,9.999999747378752e-06,43.0,0,0.1635323166847229,1736720019.9026926,,,,,,
43,43,58.328810976,9.999999747378752e-06,44.0,0,0.20634542405605316,1736720020.6631162,,,,,,
44,44,59.08867598,9.999999747378752e-06,45.0,0,0.04178066924214363,1736720021.422983,,,,,,
45,45,59.848942091,9.999999747378752e-06,46.0,0,0.15883342921733856,1736720022.1832373,,,,,,
46,46,60.609012206,9.999999747378752e-06,47.0,0,0.1318068951368332,1736720022.9433315,,,,,,
47,47,61.369016691,9.999999747378752e-06,48.0,0,0.09141417592763901,1736720023.7033236,,,,,,
48,48,62.128875549,9.999999747378752e-06,49.0,0,0.16359558701515198,1736720024.4631655,,,,,,
49,49,62.889052965,9.999999747378752e-06,50.0,0,0.1901627629995346,1736720025.223368,,,,,,
50,50,63.64955802,9.999999747378752e-06,51.0,0,0.12678690254688263,1736720025.9838154,,,,,,
51,51,64.409825183,9.999999747378752e-06,52.0,0,0.05418533459305763,1736720026.74412,,,,,,
52,52,65.171042455,9.999999747378752e-06,53.0,0,0.05383395403623581,1736720027.5053492,,,,,,
53,53,65.931076892,9.999999747378752e-06,54.0,0,0.13437311351299286,1736720028.265352,,,,,,
54,54,66.691576848,9.999999747378752e-06,55.0,0,0.17267343401908875,1736720029.025901,,,,,,
55,55,67.452383321,9.999999747378752e-06,56.0,0,0.25300416350364685,1736720029.7866962,,,,,,
56,56,68.213284265,9.999999747378752e-06,57.0,0,0.09098099172115326,1736720030.5475848,,,,,,
57,57,68.974080169,9.999999747378752e-06,58.0,0,0.16653434932231903,1736720031.3083847,,,,,,
58,58,69.735030944,9.999999747378752e-06,59.0,0,0.10164406895637512,1736720032.0693486,,,,,,
59,59,70.495840471,9.999999747378752e-06,60.0,0,0.12095215916633606,1736720032.8301437,,,,,,
60,60,71.256418443,9.999999747378752e-06,61.0,0,0.10564115643501282,1736720033.5907295,,,,,,
61,61,72.017630094,9.999999747378752e-06,62.0,0,0.1471400409936905,1736720034.3519223,,,,,,
62,62,72.77899432,9.999999747378752e-06,63.0,0,0.2678844928741455,1736720035.113311,,,,,,
63,63,73.539894522,9.999999747378752e-06,64.0,0,0.12171341478824615,1736720035.8742118,,,,,,
64,64,74.301246521,9.999999747378752e-06,65.0,0,0.14156240224838257,1736720036.6355314,,,,,,
65,65,75.062808361,9.999999747378752e-06,66.0,0,0.09355181455612183,1736720037.3970983,,,,,,
66,66,75.82376305,9.999999747378752e-06,67.0,0,0.1242663636803627,1736720038.158061,,,,,,
67,67,76.584985641,9.999999747378752e-06,68.0,0,0.111984483897686,1736720038.9193017,,,,,,
68,68,77.346513217,9.999999747378752e-06,69.0,0,0.07952520251274109,1736720039.6808221,,,,,,
69,69,78.107606276,9.999999747378752e-06,70.0,0,0.08330625295639038,1736720040.4419038,,,,,,
70,70,78.868749477,9.999999747378752e-06,71.0,0,0.03842192143201828,1736720041.2030702,,,,,,
71,71,79.630240913,9.999999747378752e-06,72.0,0,0.05413495749235153,1736720041.9645615,,,,,,
72,72,80.391308132,9.999999747378752e-06,73.0,0,0.045093100517988205,1736720042.7255955,,,,,,
73,73,81.152572594,9.999999747378752e-06,74.0,0,0.05224481225013733,1736720043.4868867,,,,,,
74,74,81.914245662,9.999999747378752e-06,75.0,0,0.03499674052000046,1736720044.248561,,,,,,
75,75,82.675888797,9.999999747378752e-06,76.0,0,0.11274013668298721,1736720045.010158,,,,,,
76,76,83.437129768,9.999999747378752e-06,77.0,0,0.14718195796012878,1736720045.7714388,,,,,,
77,77,84.198808949,9.999999747378752e-06,78.0,0,0.14695879817008972,1736720046.5330918,,,,,,
78,78,84.961380607,9.999999747378752e-06,79.0,0,0.09376794844865799,1736720047.2956967,,,,,,
79,79,85.722763004,9.999999747378752e-06,80.0,0,0.09491974115371704,1736720048.0570805,,,,,,
80,80,86.484340548,9.999999747378752e-06,81.0,0,0.0705236941576004,1736720048.8186224,,,,,,
81,81,87.246332691,9.999999747378752e-06,82.0,0,0.05447455495595932,1736720049.5806375,,,,,,
82,82,88.008704265,9.999999747378752e-06,83.0,0,0.0929378941655159,1736720050.343022,,,,,,
83,83,88.771130784,9.999999747378752e-06,84.0,0,0.08652599155902863,1736720051.1054227,,,,,,
84,84,89.533286706,9.999999747378752e-06,85.0,0,0.05136928707361221,1736720051.8675919,,,,,,
85,85,90.295046084,9.999999747378752e-06,86.0,0,0.13805006444454193,1736720052.629337,,,,,,
86,86,91.057379323,9.999999747378752e-06,87.0,0,0.06960535794496536,1736720053.3917005,,,,,,
87,87,91.819778983,9.999999747378752e-06,88.0,0,0.08608241379261017,1736720054.1540887,,,,,,
88,88,92.582296051,9.999999747378752e-06,89.0,0,0.16786032915115356,1736720054.9165776,,,,,,
89,89,93.344351363,9.999999747378752e-06,90.0,0,0.2377433180809021,1736720055.6786497,,,,,,
90,90,94.10707648100001,9.999999747378752e-06,91.0,0,0.16995172202587128,1736720056.4413621,,,,,,
91,91,94.870178882,9.999999747378752e-06,92.0,0,0.058413680642843246,1736720057.2044723,,,,,,
92,92,95.632192628,9.999999747378752e-06,93.0,0,0.031900592148303986,1736720057.9665077,,,,,,
93,93,96.394325511,9.999999747378752e-06,94.0,0,0.09214004129171371,1736720058.7286487,,,,,,
94,94,97.156206419,9.999999747378752e-06,95.0,0,0.036024145781993866,1736720059.4904988,,,,,,
95,95,97.918612456,9.999999747378752e-06,96.0,0,0.08557099848985672,1736720060.2529054,,,,,,
96,96,98.68113698,9.999999747378752e-06,97.0,0,0.1448730230331421,1736720061.0153587,,,,,,
97,97,99.444223892,9.999999747378752e-06,98.0,0,0.07654769718647003,1736720061.778537,,,,,,
98,98,100.207575758,9.999999747378752e-06,99.0,0,0.08680469542741776,1736720062.5418801,,,,,,
99,99,100.969521903,9.999999747378752e-06,100.0,0,0.08298410475254059,1736720063.3038776,,,,,,
100,100,101.73198319,9.999999747378752e-06,101.0,0,0.0841900035738945,1736720064.066305,,,,,,
101,101,102.494351843,9.999999747378752e-06,102.0,0,0.10934969782829285,1736720064.828657,,,,,,
102,102,103.256634802,9.999999747378752e-06,103.0,0,0.027844538912177086,1736720065.5909243,,,,,,
103,103,104.018673554,9.999999747378752e-06,104.0,0,0.1829739212989807,1736720066.3529928,,,,,,
104,104,104.781571585,9.999999747378752e-06,105.0,0,0.12474022805690765,1736720067.115897,,,,,,
105,105,105.544884799,9.999999747378752e-06,106.0,0,0.11895476281642914,1736720067.879203,,,,,,
106,106,106.307098652,9.999999747378752e-06,107.0,0,0.11107344180345535,1736720068.6413844,,,,,,
107,107,107.069433484,9.999999747378752e-06,108.0,0,0.07889906316995621,1736720069.4037046,,,,,,
108,108,107.831797391,9.999999747378752e-06,109.0,0,0.09577453881502151,1736720070.1661167,,,,,,
109,109,108.593664681,9.999999747378752e-06,110.0,0,0.12528492510318756,1736720070.9279745,,,,,,
110,110,109.356208623,9.999999747378752e-06,111.0,0,0.08547937124967575,1736720071.6904945,,,,,,
111,111,110.118582675,9.999999747378752e-06,112.0,0,0.04731089621782303,1736720072.4528813,,,,,,
112,112,110.880716559,9.999999747378752e-06,113.0,0,0.09065417945384979,1736720073.2150536,,,,,,
113,113,111.643786415,9.999999747378752e-06,114.0,0,0.06094413995742798,1736720073.9781086,,,,,,
114,114,112.406356667,9.999999747378752e-06,115.0,0,0.04442930966615677,1736720074.7406595,,,,,,
115,115,113.169080725,9.999999747378752e-06,116.0,0,0.11166029423475266,1736720075.5033429,,,,,,
116,116,113.931879706,9.999999747378752e-06,117.0,0,0.11629128456115723,1736720076.2662024,,,,,,
117,117,114.694289641,9.999999747378752e-06,118.0,0,0.12690329551696777,1736720077.0286076,,,,,,
118,118,115.456399284,9.999999747378752e-06,119.0,0,0.13228541612625122,1736720077.7906787,,,,,,
119,119,116.219264665,9.999999747378752e-06,120.0,0,0.1262824535369873,1736720078.553618,,,,,,
120,120,116.981425348,9.999999747378752e-06,121.0,0,0.11136483401060104,1736720079.3157372,,,,,,
121,121,117.744950209,9.999999747378752e-06,122.0,0,0.09892245382070541,1736720080.0792482,,,,,,
122,122,118.506997241,9.999999747378752e-06,123.0,0,0.06564892828464508,1736720080.8413007,,,,,,
123,123,119.269511377,9.999999747378752e-06,124.0,0,0.08523069322109222,1736720081.603774,,,,,,
124,124,120.033613051,9.999999747378752e-06,125.0,0,0.12498297542333603,1736720082.3679147,,,,,,
125,125,120.795911333,9.999999747378752e-06,126.0,0,0.07570041716098785,1736720083.1302462,,,,,,
126,126,121.558428434,9.999999747378752e-06,127.0,0,0.05849296972155571,1736720083.8927217,,,,,,
127,127,122.321353466,9.999999747378752e-06,128.0,0,0.08637025952339172,1736720084.6556284,,,,,,
128,128,123.083858833,9.999999747378752e-06,129.0,0,0.057395484298467636,1736720085.4181705,,,,,,
129,129,123.846682162,9.999999747378752e-06,130.0,0,0.05419843643903732,1736720086.1809723,,,,,,
130,130,124.609201269,9.999999747378752e-06,131.0,0,0.10045746713876724,1736720086.9435136,,,,,,
131,131,125.371579952,9.999999747378752e-06,132.0,0,0.03438785672187805,1736720087.7058964,,,,,,
132,132,126.134052706,9.999999747378752e-06,133.0,0,0.09397050738334656,1736720088.4683466,,,,,,
133,133,126.896568148,9.999999747378752e-06,134.0,0,0.16320356726646423,1736720089.2308853,,,,,,
134,134,127.659957417,9.999999747378752e-06,135.0,0,0.12183204293251038,1736720089.994243,,,,,,
135,135,128.422623917,9.999999747378752e-06,136.0,0,0.07175362855195999,1736720090.7569315,,,,,,
136,136,129.186080089,9.999999747378752e-06,137.0,0,0.060531314462423325,1736720091.5203757,,,,,,
137,137,129.94761857,9.999999747378752e-06,138.0,0,0.12223413586616516,1736720092.2819118,,,,,,
138,138,130.709069839,9.999999747378752e-06,139.0,0,0.053874630481004715,1736720093.0434084,,,,,,
139,139,131.470810369,9.999999747378752e-06,140.0,0,0.15101255476474762,1736720093.8051195,,,,,,
140,140,132.232693111,9.999999747378752e-06,141.0,0,0.04675990343093872,1736720094.5669951,,,,,,
141,141,132.994736811,9.999999747378752e-06,142.0,0,0.0769786685705185,1736720095.329059,,,,,,
142,142,133.756771565,9.999999747378752e-06,143.0,0,0.05383283272385597,1736720096.0910563,,,,,,
143,143,134.51940854,9.999999747378752e-06,144.0,0,0.022171419113874435,1736720096.853711,,,,,,
144,144,135.280482508,9.999999747378752e-06,145.0,0,0.0904792994260788,1736720097.6147938,,,,,,
145,145,136.042492084,9.999999747378752e-06,146.0,0,0.09015748649835587,1736720098.3767974,,,,,,
146,146,136.804861651,9.999999747378752e-06,147.0,0,0.16482141613960266,1736720099.1391768,,,,,,
147,147,137.566445743,9.999999747378752e-06,148.0,0,0.07252921909093857,1736720099.9007459,,,,,,
148,148,138.328137831,9.999999747378752e-06,149.0,0,0.03456269949674606,1736720100.662439,,,,,,
149,149,139.089599458,9.999999747378752e-06,150.0,0,0.14151854813098907,1736720101.4239106,,,,,,
150,150,139.851638115,9.999999747378752e-06,151.0,0,0.07936160266399384,1736720102.1859205,,,,,,
151,151,140.615302907,9.999999747378752e-06,152.0,0,0.05682007595896721,1736720102.9496267,,,,,,
152,152,141.376968638,9.999999747378752e-06,153.0,0,0.081346295773983,1736720103.7112741,,,,,,
153,153,142.138912407,9.999999747378752e-06,154.0,0,0.10141107439994812,1736720104.4731994,,,,,,
154,154,142.900609092,9.999999747378752e-06,155.0,0,0.10185817629098892,1736720105.2349224,,,,,,
155,155,143.662538345,9.999999747378752e-06,156.0,0,0.03343594819307327,1736720105.9968545,,,,,,
156,156,144.424338921,9.999999747378752e-06,157.0,0,0.04133426025509834,1736720106.758624,,,,,,
157,157,145.185521265,9.999999747378752e-06,158.0,0,0.022683965042233467,1736720107.5198364,,,,,,
158,158,145.947246488,9.999999747378752e-06,159.0,0,0.06890932470560074,1736720108.2815676,,,,,,
159,159,146.709083614,9.999999747378752e-06,160.0,0,0.021383102983236313,1736720109.0434055,,,,,,
160,160,147.470986859,9.999999747378752e-06,161.0,0,0.05011657625436783,1736720109.8052974,,,,,,
161,161,148.233643149,9.999999747378752e-06,162.0,0,0.035881560295820236,1736720110.5679314,,,,,,
162,162,148.995845261,9.999999747378752e-06,163.0,0,0.06040852889418602,1736720111.3301673,,,,,,
163,163,149.757804218,9.999999747378752e-06,164.0,0,0.041503578424453735,1736720112.092129,,,,,,
164,164,150.519682259,9.999999747378752e-06,165.0,0,0.07773072272539139,1736720112.8539782,,,,,,
165,165,151.281479339,9.999999747378752e-06,166.0,0,0.04444358870387077,1736720113.6158257,,,,,,
166,166,152.043522711,9.999999747378752e-06,167.0,0,0.07327336072921753,1736720114.3778255,,,,,,
167,167,152.805964064,9.999999747378752e-06,168.0,0,0.05505065992474556,1736720115.14029,,,,,,
168,168,153.384789097,9.999999747378752e-06,169.0,0,0.04325857385993004,1736720115.7191012,,,,,,
168,169,194.314430202,,,0,,1736720156.6487277,0.9844907522201538,0.050288815051317215,,,,
168,170,194.321326551,,,0,,1736720156.6556742,,,0.9548611044883728,0.1342766433954239,,
169,171,196.35997542,9.999999747378752e-06,170.0,1,0.03417208790779114,1736720158.694248,,,,,,
170,172,197.123351757,9.999999747378752e-06,171.0,1,0.09789778292179108,1736720159.4576712,,,,,,
171,173,197.884763648,9.999999747378752e-06,172.0,1,0.025527406483888626,1736720160.2190452,,,,,,
172,174,198.647891287,9.999999747378752e-06,173.0,1,0.016896139830350876,1736720160.9822166,,,,,,
173,175,199.409749475,9.999999747378752e-06,174.0,1,0.05943556874990463,1736720161.7440631,,,,,,
174,176,200.172592798,9.999999747378752e-06,175.0,1,0.08553019911050797,1736720162.5068681,,,,,,
175,177,200.934870978,9.999999747378752e-06,176.0,1,0.043802764266729355,1736720163.269233,,,,,,
176,178,201.69764655,9.999999747378752e-06,177.0,1,0.012310503050684929,1736720164.0319161,,,,,,
177,179,202.462218281,9.999999747378752e-06,178.0,1,0.10331779718399048,1736720164.7965047,,,,,,
178,180,203.225909358,9.999999747378752e-06,179.0,1,0.12640736997127533,1736720165.5602322,,,,,,
179,181,203.98804484,9.999999747378752e-06,180.0,1,0.11428777873516083,1736720166.3223348,,,,,,
180,182,204.750223775,9.999999747378752e-06,181.0,1,0.0481380932033062,1736720167.0845492,,,,,,
181,183,205.514133298,9.999999747378752e-06,182.0,1,0.056741271167993546,1736720167.8484483,,,,,,
182,184,206.277767635,9.999999747378752e-06,183.0,1,0.06017487868666649,1736720168.6121206,,,,,,
183,185,207.040461262,9.999999747378752e-06,184.0,1,0.04651690274477005,1736720169.3747807,,,,,,
