trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,43.786183554,9.999999747378752e-06,1.0,0,2.1091299057006836,1736739328.3160577,,,,,,
1,1,44.543862882,9.999999747378752e-06,2.0,0,1.595334768295288,1736739329.0737376,,,,,,
2,2,45.295705019,9.999999747378752e-06,3.0,0,1.5935808420181274,1736739329.8255944,,,,,,
3,3,46.047326453,9.999999747378752e-06,4.0,0,1.4975310564041138,1736739330.5772002,,,,,,
4,4,46.799057173,9.999999747378752e-06,5.0,0,1.4350143671035767,1736739331.3289883,,,,,,
5,5,47.550922258,9.999999747378752e-06,6.0,0,1.4512615203857422,1736739332.080824,,,,,,
6,6,48.303267235,9.999999747378752e-06,7.0,0,1.2649179697036743,1736739332.833124,,,,,,
7,7,49.057033131,9.999999747378752e-06,8.0,0,1.269173264503479,1736739333.58693,,,,,,
8,8,49.809729777,9.999999747378752e-06,9.0,0,1.4241790771484375,1736739334.3396227,,,,,,
9,9,50.563404097,9.999999747378752e-06,10.0,0,1.374234914779663,1736739335.0932698,,,,,,
10,10,51.317199941,9.999999747378752e-06,11.0,0,1.3784987926483154,1736739335.8471084,,,,,,
11,11,52.071370847,9.999999747378752e-06,12.0,0,1.3063212633132935,1736739336.601247,,,,,,
12,12,52.82713722,9.999999747378752e-06,13.0,0,1.0819311141967773,1736739337.3570335,,,,,,
13,13,53.581495805,9.999999747378752e-06,14.0,0,1.0593993663787842,1736739338.1113973,,,,,,
14,14,54.336544266,9.999999747378752e-06,15.0,0,1.0232014656066895,1736739338.8663692,,,,,,
15,15,55.092959992,9.999999747378752e-06,16.0,0,1.1217795610427856,1736739339.6228552,,,,,,
16,16,55.847989872,9.999999747378752e-06,17.0,0,1.3320919275283813,1736739340.3778772,,,,,,
17,17,56.605230128,9.999999747378752e-06,18.0,0,1.0254703760147095,1736739341.1351342,,,,,,
18,18,57.360818985,9.999999747378752e-06,19.0,0,1.2332396507263184,1736739341.8907173,,,,,,
19,19,58.118942266,9.999999747378752e-06,20.0,0,1.1260018348693848,1736739342.6488214,,,,,,
20,20,58.874238408,9.999999747378752e-06,21.0,0,0.9440168142318726,1736739343.4041069,,,,,,
21,21,59.629118513,9.999999747378752e-06,22.0,0,1.1440184116363525,1736739344.1590078,,,,,,
