trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.543997389,9.999999747378752e-06,1.0,0,1.1167150735855103,1736854605.5288699,,,,,,
1,1,27.291421309,9.999999747378752e-06,2.0,0,0.714679479598999,1736854606.2762914,,,,,,
2,2,28.037300973,9.999999747378752e-06,3.0,0,1.0530532598495483,1736854607.0221698,,,,,,
3,3,28.784549437,9.999999747378752e-06,4.0,0,0.6478720307350159,1736854607.7693994,,,,,,
4,4,29.532533843,9.999999747378752e-06,5.0,0,0.7068452835083008,1736854608.5173984,,,,,,
5,5,30.28038994,9.999999747378752e-06,6.0,0,0.6449462175369263,1736854609.2652586,,,,,,
6,6,31.02911513,9.999999747378752e-06,7.0,0,0.4332149028778076,1736854610.014006,,,,,,
7,7,31.783248813,9.999999747378752e-06,8.0,0,0.5121137499809265,1736854610.7681098,,,,,,
8,8,32.531905279,9.999999747378752e-06,9.0,0,0.38774222135543823,1736854611.5167603,,,,,,
9,9,33.28045259,9.999999747378752e-06,10.0,0,0.5171094536781311,1736854612.2653193,,,,,,
10,10,34.028926182,9.999999747378752e-06,11.0,0,0.3633992373943329,1736854613.013782,,,,,,
11,11,34.779510422,9.999999747378752e-06,12.0,0,0.4521186351776123,1736854613.7643313,,,,,,
12,12,35.529544717,9.999999747378752e-06,13.0,0,0.4075952172279358,1736854614.5144107,,,,,,
13,13,36.27849704,9.999999747378752e-06,14.0,0,0.4155183434486389,1736854615.2633755,,,,,,
14,14,37.027618347,9.999999747378752e-06,15.0,0,0.43900585174560547,1736854616.012473,,,,,,
15,15,37.77709445,9.999999747378752e-06,16.0,0,0.30877333879470825,1736854616.761955,,,,,,
16,16,38.527702293,9.999999747378752e-06,17.0,0,0.42093250155448914,1736854617.5125597,,,,,,
17,17,39.283120586,9.999999747378752e-06,18.0,0,0.3631020188331604,1736854618.2679677,,,,,,
18,18,40.034628575,9.999999747378752e-06,19.0,0,0.329457551240921,1736854619.0194976,,,,,,
19,19,40.786310432,9.999999747378752e-06,20.0,0,0.2641424536705017,1736854619.7711747,,,,,,
20,20,41.537789459,9.999999747378752e-06,21.0,0,0.5305455327033997,1736854620.5226622,,,,,,
21,21,42.289254807,9.999999747378752e-06,22.0,0,0.31220772862434387,1736854621.2741168,,,,,,
