trainer/global_step,_step,_runtime,lr,elapsed_train_steps,epoch,loss/train_step,_timestamp,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
0,0,26.072965656,9.999999747378752e-06,1.0,0,2.163356065750122,1736722148.052354,,,,,,
1,1,26.828462822,9.999999747378752e-06,2.0,0,1.5101872682571411,1736722148.8078668,,,,,,
2,2,27.580576039,9.999999747378752e-06,3.0,0,1.31784987449646,1736722149.559965,,,,,,
3,3,28.332630549,9.999999747378752e-06,4.0,0,1.0781396627426147,1736722150.3120592,,,,,,
4,4,29.084652917,9.999999747378752e-06,5.0,0,0.9716111421585083,1736722151.0640726,,,,,,
5,5,29.837371447,9.999999747378752e-06,6.0,0,0.8522915244102478,1736722151.8167858,,,,,,
6,6,30.592721682,9.999999747378752e-06,7.0,0,0.7629379630088806,1736722152.5721164,,,,,,
7,7,31.34792383,9.999999747378752e-06,8.0,0,0.6782681345939636,1736722153.3273175,,,,,,
8,8,32.102249381,9.999999747378752e-06,9.0,0,0.6701167225837708,1736722154.0816572,,,,,,
9,9,32.859435857,9.999999747378752e-06,10.0,0,0.609788179397583,1736722154.8388345,,,,,,
10,10,33.614064941,9.999999747378752e-06,11.0,0,0.3829188644886017,1736722155.5934567,,,,,,
11,11,34.36882282,9.999999747378752e-06,12.0,0,0.358991414308548,1736722156.3482497,,,,,,
12,12,35.123533446,9.999999747378752e-06,13.0,0,0.4294722378253937,1736722157.1029558,,,,,,
13,13,35.878995428,9.999999747378752e-06,14.0,0,0.3413025140762329,1736722157.8583875,,,,,,
14,14,36.635219947,9.999999747378752e-06,15.0,0,0.27964261174201965,1736722158.614586,,,,,,
15,15,37.390116732,9.999999747378752e-06,16.0,0,0.26448842883110046,1736722159.3695378,,,,,,
16,16,38.144918653,9.999999747378752e-06,17.0,0,0.2617482841014862,1736722160.124348,,,,,,
17,17,38.904145481,9.999999747378752e-06,18.0,0,0.2887471616268158,1736722160.8835566,,,,,,
18,18,39.659642082,9.999999747378752e-06,19.0,0,0.39361587166786194,1736722161.6390178,,,,,,
19,19,40.415688139,9.999999747378752e-06,20.0,0,0.3871881067752838,1736722162.3950987,,,,,,
20,20,41.170844013,9.999999747378752e-06,21.0,0,0.3383499085903168,1736722163.1502779,,,,,,
21,21,41.926536567,9.999999747378752e-06,22.0,0,0.3256223797798157,1736722163.9059272,,,,,,
22,22,42.682725949,9.999999747378752e-06,23.0,0,0.16021659970283508,1736722164.6621258,,,,,,
23,23,43.441255173,9.999999747378752e-06,24.0,0,0.21808326244354248,1736722165.4206688,,,,,,
24,24,44.197512999,9.999999747378752e-06,25.0,0,0.24171319603919983,1736722166.176947,,,,,,
25,25,44.954086111,9.999999747378752e-06,26.0,0,0.15809328854084015,1736722166.9335017,,,,,,
26,26,45.710290124,9.999999747378752e-06,27.0,0,0.17531614005565643,1736722167.689641,,,,,,
27,27,46.468296652,9.999999747378752e-06,28.0,0,0.2125675082206726,1736722168.4477055,,,,,,
28,28,47.224689031,9.999999747378752e-06,29.0,0,0.16386762261390686,1736722169.2040932,,,,,,
29,29,47.981492018,9.999999747378752e-06,30.0,0,0.11709322035312653,1736722169.9608643,,,,,,
30,30,48.738784417,9.999999747378752e-06,31.0,0,0.2128928005695343,1736722170.718182,,,,,,
31,31,49.496751343,9.999999747378752e-06,32.0,0,0.1831527054309845,1736722171.4761667,,,,,,
32,32,50.256848362,9.999999747378752e-06,33.0,0,0.14717163145542145,1736722172.2362297,,,,,,
33,33,51.016934446,9.999999747378752e-06,34.0,0,0.13641566038131714,1736722172.996393,,,,,,
34,34,51.776659075,9.999999747378752e-06,35.0,0,0.13236021995544434,1736722173.7560709,,,,,,
35,35,52.537004978,9.999999747378752e-06,36.0,0,0.12663649022579193,1736722174.5164092,,,,,,
36,36,53.297498268,9.999999747378752e-06,37.0,0,0.14806915819644928,1736722175.27692,,,,,,
37,37,54.057401656,9.999999747378752e-06,38.0,0,0.07004237920045853,1736722176.0367777,,,,,,
38,38,54.818000008,9.999999747378752e-06,39.0,0,0.07453133165836334,1736722176.7973852,,,,,,
